Date,Open,High,Low,Close,Volume
2012-07-23,,,,50.5,0
2012-07-24,,,,50.5,0
2012-07-25,,,,50.75,0
2012-07-26,,,,50.75,0
2012-07-27,,,,50.75,0
2012-07-30,,,,50.75,0
2012-07-31,,,,50.75,0
2012-08-01,,,,50.75,0
2012-08-02,,,,50.75,0
2012-08-03,,,,50.75,0
2012-08-06,,,,50.75,0
2012-08-07,,,,50.75,0
2012-08-08,,,,50.75,0
2012-08-09,,,,50.75,0
2012-08-10,,,,50.75,0
2012-08-13,,,,50.75,0
2012-08-14,,,,50.5,0
2012-08-15,,,,50.5,0
2012-08-16,,,,50.5,0
2012-08-17,,,,50.5,0
2012-08-20,,,,50.5,0
2012-08-21,,,,50.5,0
2012-08-22,,,,50.5,0
2012-08-23,,,,50.5,0
2012-08-24,,,,50.5,0
2012-08-28,,,,50.5,0
2012-08-29,,,,50.5,0
2012-08-30,,,,50.5,0
2012-08-31,,,,50.5,0
2012-09-03,,,,50.5,0
2012-09-04,,,,50.5,0
2012-09-05,,,,50.5,0
2012-09-06,,,,50.5,0
2012-09-07,,,,50.5,0
2012-09-10,,,,50.5,0
2012-09-11,,,,50.5,0
2012-09-12,,,,50.5,0
2012-09-13,,,,50.5,0
2012-09-14,,,,51.25,0
2012-09-17,,,,51.25,0
2012-09-18,,,,51.25,0
2012-09-19,,,,51.25,0
2012-09-20,,,,52.47,0
2012-09-21,,,,52.47,0
2012-09-24,,,,52.47,0
2012-09-25,,,,52.47,0
2012-09-26,,,,51.25,0
2012-09-27,,,,51.25,0
2012-09-28,,,,51.25,0
2012-10-01,,,,51.25,0
2013-08-21,71.25,71.5,70.0,70.0,29634
2013-08-22,70.25,71.75,70.0,70.25,27982
2013-08-23,72.75,73.0,72.0,72.5,40055
2013-08-27,72.25,72.0,72.0,72.0,94
2013-08-28,73.25,73.25,72.0,72.0,10137
2013-08-29,72.0,73.5,72.0,72.0,36464
2013-12-31,80.75,81.0,80.75,81.0,8147
2014-01-02,80.75,81.25,80.75,80.85,9071
2014-01-03,80.75,81.0,80.75,81.0,18855
2014-01-06,81.25,81.5,81.0,81.25,20783
2014-01-07,82.0,82.75,81.75,82.58,75678
2014-01-08,82.5,82.5,82.0,82.0,37579
2014-01-09,82.5,82.5,82.25,82.33,51669
2014-01-10,82.75,82.75,82.75,82.75,78
2014-01-13,82.75,82.75,82.25,82.25,1912
2014-01-14,82.25,83.0,82.25,82.75,84825
2014-01-15,83.25,83.5,83.25,83.25,50826
2014-01-16,83.75,83.75,83.0,83.0,11864
2014-01-17,83.75,84.0,83.5,83.5,51926
2014-01-20,83.75,84.0,83.75,83.75,16255
2014-01-21,84.25,84.25,84.25,84.25,2477
2014-01-22,84.75,84.75,84.25,84.35,44502
2014-01-23,85.0,85.0,84.5,84.5,37105
2014-01-24,84.5,84.5,83.75,83.75,68934
2014-01-27,83.5,83.5,81.5,81.65,61206
2014-01-28,82.0,83.25,82.0,83.17,237140
2014-01-29,83.5,85.5,83.5,84.5,193054
2014-01-30,84.75,,,85.0,0
2014-01-31,85.25,85.25,83.5,83.5,41013
2014-02-03,83.75,83.75,83.0,83.5,37410
2014-02-04,83.39,,,83.2,0
2014-02-05,83.0,83.0,83.0,83.17,1600
2014-02-06,84.0,84.0,84.0,84.0,36385
2014-02-07,85.0,85.0,84.5,84.5,77551
2014-02-10,85.0,85.5,85.0,85.1,29157
2014-02-11,86.5,87.5,86.5,87.25,96185
2014-02-12,87.0,87.25,87.0,87.25,12742
2014-02-13,86.75,87.5,86.5,87.25,54464
2014-02-14,87.0,88.0,87.0,88.0,18859
2014-02-17,88.25,88.5,88.0,88.0,19343
2014-02-18,88.5,89.0,87.75,87.75,50460
2014-02-19,88.5,88.5,87.75,87.75,4339
2014-02-20,88.0,88.0,88.0,88.0,24039
2014-02-21,88.25,88.25,88.25,88.25,17723
2014-02-24,88.0,88.25,87.75,88.25,19527
2014-02-25,90.75,90.75,90.75,90.75,258966
2014-02-26,88.25,88.25,87.75,88.25,24434
2014-02-27,88.0,88.25,88.0,88.25,10900
2014-02-28,88.5,89.5,88.5,89.0,51182
2014-03-03,88.0,88.0,87.5,88.0,60530
2014-03-04,88.5,88.5,88.5,88.5,4896
2014-03-05,88.0,88.0,88.0,88.0,9000
2014-03-06,88.0,88.5,88.0,88.5,13575
2014-03-07,88.11,,,88.05,0
2014-03-10,88.0,88.0,88.0,88.0,238
2014-03-11,88.5,88.5,88.5,88.36,3308
2014-03-12,88.0,88.5,87.75,87.75,22345
2014-03-13,88.0,88.5,87.25,87.25,51583
2014-03-14,87.25,87.25,87.25,87.25,1517
2014-03-17,88.0,88.0,87.4,88.0,9738
2014-03-18,87.5,87.9,87.27,87.75,25666
2014-03-19,87.75,87.8,87.32,87.75,491
2014-03-20,87.25,87.75,87.25,87.5,12643
2014-03-21,87.0,87.9,86.5,86.75,43410
2014-03-24,87.0,88.0,86.57,88.0,8278
2014-03-25,87.0,87.62,86.5,86.75,23951
2014-03-26,86.5,87.5,86.25,86.25,32449
2014-03-27,86.25,87.0,86.0,86.74,34143
2014-03-28,86.0,86.94,85.75,86.25,44529
2014-03-31,86.25,86.9,84.26,85.5,123820
2014-04-01,84.75,85.28,83.2,85.2,131357
2014-04-02,84.75,84.75,83.51,84.0,20500
2014-04-03,84.0,84.75,83.25,84.1,27325
2014-04-04,84.25,84.75,82.74,84.0,29173
2014-04-07,84.0,84.5,83.0,83.95,73795
2014-04-08,83.0,83.74,81.0,81.75,105620
2014-04-09,82.75,82.75,82.0,82.59,40454
2014-04-10,83.0,83.25,82.0,82.97,66727
2014-04-11,82.25,83.25,82.0,82.71,29360
2014-04-14,82.25,83.0,82.0,82.25,12885
2014-04-15,82.25,83.17,82.25,83.08,2800
2014-04-16,83.0,83.25,82.1,83.19,15019
2014-04-17,83.12,83.19,82.0,82.6,0
2014-04-22,83.5,84.5,83.5,84.0,34981
2014-04-23,83.75,84.25,83.52,83.75,12516
2014-04-24,83.75,84.19,83.5,83.5,3100
2014-04-25,84.25,85.0,83.58,84.65,24922
2014-04-28,85.0,85.25,84.36,85.25,61305
2014-04-29,85.5,86.0,85.0,86.0,11545
2014-04-30,86.0,86.75,85.33,86.0,99459
2014-05-01,86.75,86.75,85.85,85.85,26430
2014-05-02,85.75,86.0,85.0,86.0,18293
2014-05-06,86.0,86.0,84.75,85.13,30116
2014-05-07,85.0,85.5,84.5,84.76,13570
2014-05-08,85.02,85.02,84.5,84.9,0
2014-05-09,85.75,85.75,84.0,84.75,47216
2014-05-12,84.58,84.58,83.51,84.53,0
2014-05-13,85.0,85.0,84.0,84.0,229
2014-05-14,84.5,85.5,84.06,85.03,15149
2014-05-15,84.5,85.35,83.5,83.67,50279
2014-05-16,84.0,84.85,83.0,83.0,25569
