Date,Open,High,Low,Close,Volume
2012-01-03,520.0,520.0,507.63,516.5,14793
2012-01-04,517.5,517.5,509.5,514.0,12642
2012-01-05,518.0,518.0,513.5,517.5,7789
2012-01-06,520.0,520.0,513.22,519.5,1017
2012-01-09,509.5,511.89,501.5,505.5,11697
2012-01-10,508.0,520.0,508.0,520.0,8972
2012-01-11,513.0,519.5,511.67,518.0,4006
2012-01-12,514.5,525.0,511.16,522.0,38969
2012-01-13,522.0,528.0,522.0,526.0,31628
2012-01-16,522.5,528.0,522.46,526.5,13311
2012-01-17,524.5,528.0,510.0,512.0,24899
2012-01-18,515.0,532.0,512.0,532.0,20785
2012-01-19,530.5,532.0,520.5,530.5,168263
2012-01-20,532.0,532.6,527.5,530.0,362288
2012-01-23,528.0,528.0,518.0,520.5,28388
2012-01-24,518.0,527.0,518.0,520.0,13804
2012-01-25,522.5,523.75,517.03,520.0,34790
2012-01-26,521.5,521.5,0.0,521.5,298
2012-01-27,527.5,529.5,523.75,528.5,348295
2012-01-30,527.0,530.0,519.43,529.0,158403
2012-01-31,528.0,531.76,525.0,526.0,20716
2012-02-01,528.5,534.6,527.0,528.5,12124
2012-02-02,529.0,533.31,529.0,530.68,48843
2012-02-03,527.5,534.5,525.0,531.0,167346
2012-02-06,533.5,545.0,533.5,545.0,95676
2012-02-07,536.0,545.0,533.5,544.0,18360
2012-02-08,545.0,558.0,540.0,558.0,31675
2012-02-09,558.0,579.5,553.5,579.0,88624
2012-02-10,568.0,569.5,558.53,569.5,36186
2012-02-13,566.0,570.0,562.0,570.0,8442
2012-02-14,566.5,570.08,565.0,566.0,4657
2012-02-15,567.0,575.0,565.0,570.0,16001
2012-02-16,568.5,570.5,565.0,569.5,23167
2012-02-17,573.5,577.0,570.5,577.0,13767
2012-02-20,571.5,575.0,569.5,569.5,1178
2012-02-21,566.0,567.5,561.34,563.5,2169
2012-02-22,562.0,568.0,561.0,563.5,3965
2012-02-23,568.5,568.5,555.5,555.5,7858
2012-02-24,557.5,562.04,555.0,558.5,7152
2012-02-27,551.0,558.0,550.89,558.0,1973
2012-02-28,555.0,557.5,550.05,557.5,897
2012-02-29,548.5,557.75,545.0,545.0,1470
2012-03-01,543.0,547.0,532.0,532.0,17155
2012-03-02,530.0,535.31,528.28,531.0,3828
2012-03-05,532.5,537.25,527.0,527.0,8883
2012-03-06,527.0,529.0,516.17,524.0,12549
2012-03-07,517.0,524.88,514.25,517.0,7276
2012-03-08,515.5,529.5,515.5,529.5,13978
2012-03-09,527.0,530.0,524.0,524.0,451
2012-03-12,526.5,529.48,514.75,519.0,16328
2012-03-13,512.0,521.82,512.0,512.0,6879
2012-03-14,516.0,519.0,510.62,515.0,65243
2012-03-15,512.0,513.43,508.5,509.5,2704
2012-03-16,507.5,516.5,504.5,504.5,11147
2012-03-19,506.0,511.5,501.0,501.0,18911
2012-03-20,501.5,503.5,493.0,497.0,10928
2012-03-21,495.0,495.0,482.25,488.99,75315
2012-03-22,500.0,503.0,497.5,499.0,43481
2012-03-23,497.0,503.45,490.75,492.25,9340
2012-03-26,495.0,501.0,490.0,496.5,15654
2012-03-27,505.0,509.5,502.5,502.5,12113
2012-03-28,501.0,502.12,490.5,494.0,24511
2012-03-29,494.25,498.81,491.85,495.0,25908
2012-03-30,493.5,498.5,489.0,489.0,30675
2012-04-02,485.0,491.22,477.72,482.0,25108
2012-04-03,480.5,480.5,460.75,461.5,40664
2012-04-04,465.75,466.74,460.65,464.0,6892
2012-04-05,470.0,509.5,470.0,495.48,272284
2012-04-10,503.5,506.0,493.75,496.0,33994
2012-04-11,500.0,506.5,495.0,503.5,8692
2012-04-12,505.5,509.5,500.52,509.5,15202
2012-04-13,509.0,535.0,504.0,532.0,29690
2012-04-16,530.0,534.0,514.5,516.0,20134
2012-04-17,513.0,515.5,505.0,505.0,96694
2012-04-18,508.5,520.5,505.5,510.0,74102
2012-04-19,510.0,512.5,508.75,510.0,67137
2012-04-20,516.0,519.5,511.0,512.5,265157
2012-04-23,515.5,525.92,501.0,510.63,51959
2012-04-24,510.0,519.0,508.5,513.0,69732
2012-04-25,512.0,518.61,503.0,503.5,31584
2012-04-26,508.0,509.5,502.5,505.0,8132
2012-04-27,505.0,509.75,500.0,504.5,111470
2012-04-30,460.0,468.0,458.07,462.05,134655
2012-05-01,465.5,467.5,463.0,464.0,27871
2012-05-02,460.0,467.0,452.5,458.0,48966
2012-05-03,466.0,466.0,460.0,463.0,35295
2012-05-04,460.5,465.75,456.0,457.0,25171
2012-05-08,459.25,463.39,451.75,453.25,37122
2012-05-09,455.5,459.0,452.0,454.0,126577
2012-05-10,456.5,457.75,440.75,445.8,420215
2012-05-11,440.5,452.5,432.5,449.25,194273
2012-05-14,452.25,462.0,448.75,456.5,65865
2012-05-15,460.25,465.0,449.0,460.0,296780
2012-05-16,460.0,464.5,457.0,461.38,62412
2012-05-17,460.75,469.49,460.5,462.0,30508
2012-05-18,460.0,470.0,459.25,462.55,51621
2012-05-21,468.25,468.25,458.75,462.57,52274
2012-05-22,468.0,468.0,460.25,466.5,38032
2012-05-23,469.5,472.0,465.0,466.5,39545
2012-05-24,468.5,491.5,468.5,480.25,75649
