Date,Open,High,Low,Close,Volume
2012-01-03,346.2,353.1,339.4,353.1,155812
2012-01-04,353.6,360.0,353.1,359.1,147924
2012-01-05,360.0,362.7,357.38,360.2,102450
2012-01-06,363.0,364.8,357.63,360.0,80046
2012-01-09,362.2,362.4,356.2,359.7,118802
2012-01-10,364.1,365.0,356.0,362.4,86177
2012-01-11,365.0,368.38,355.48,361.8,80676
2012-01-12,355.1,365.3,355.1,362.7,86193
2012-01-13,355.1,374.7,355.1,368.8,182579
2012-01-16,369.1,373.5,362.4,369.9,106546
2012-01-17,375.0,384.3,364.5,384.3,170793
2012-01-18,392.6,392.6,366.96,380.1,211824
2012-01-19,383.0,385.1,375.6,383.6,183590
2012-01-20,385.9,395.0,382.11,395.0,171402
2012-01-23,393.3,399.8,388.6,390.2,164885
2012-01-24,393.4,393.4,373.3,376.7,226301
2012-01-25,380.0,387.0,375.8,383.9,313916
2012-01-26,384.9,400.0,381.51,391.9,68784
2012-01-27,388.7,395.0,386.2,391.5,263421
2012-01-30,388.6,399.9,388.06,394.6,201866
2012-01-31,394.5,397.0,386.0,394.0,127742
2012-02-01,395.0,432.0,395.0,425.5,429289
2012-02-02,424.3,425.0,399.0,401.4,712185
2012-02-03,401.4,408.1,392.4,401.6,217147
2012-02-06,402.9,410.0,399.9,400.0,174051
2012-02-07,402.0,407.8,395.17,400.0,218486
2012-02-08,400.0,400.0,388.9,400.0,557608
2012-02-09,398.9,403.76,392.4,394.1,279064
2012-02-10,391.0,401.8,390.0,397.7,185236
2012-02-13,398.6,403.3,397.0,399.0,52364
2012-02-14,397.1,405.0,395.3,400.0,82995
2012-02-15,396.9,405.0,393.8,396.2,87426
2012-02-16,398.1,398.1,388.0,392.3,90563
2012-02-17,393.0,400.0,389.1,395.6,80682
2012-02-20,395.5,398.0,390.0,395.5,63874
2012-02-21,394.1,398.1,388.0,392.2,103604
2012-02-22,391.4,394.7,380.0,390.9,140952
2012-02-23,390.0,409.8,382.3,391.5,174008
2012-02-24,392.1,410.0,383.3,403.9,122857
2012-02-27,395.8,401.14,388.0,393.5,20265
2012-02-28,392.6,399.4,388.3,393.6,122237
2012-02-29,391.2,399.2,391.2,397.0,45139
2012-03-01,395.0,399.9,388.8,397.0,88343
2012-03-02,395.5,395.8,384.7,386.4,208758
2012-03-05,383.5,394.6,383.5,390.0,81536
2012-03-06,387.2,391.8,371.47,390.9,149451
2012-03-07,389.9,395.0,385.0,385.0,107737
2012-03-08,382.0,395.9,382.0,390.5,110790
2012-03-09,388.5,397.74,388.4,395.3,86735
2012-03-12,393.2,400.0,386.0,397.1,60441
2012-03-13,397.3,415.0,396.9,415.0,192007
2012-03-14,415.5,422.6,415.5,422.0,128704
2012-03-15,420.0,425.0,410.0,420.0,149427
2012-03-16,419.1,427.9,414.0,427.9,235442
2012-03-19,426.0,428.1,414.3,418.1,151277
2012-03-20,415.3,417.0,401.7,410.0,132776
2012-03-21,413.4,416.5,408.1,412.1,111411
2012-03-22,409.3,410.0,405.0,407.0,87577
2012-03-23,405.9,407.7,397.0,407.7,105653
2012-03-26,410.0,434.9,410.0,426.5,163903
2012-03-27,425.6,434.0,425.6,428.0,106486
2012-03-28,433.8,433.8,425.9,429.0,99442
2012-03-29,426.9,431.1,413.0,420.6,115970
2012-03-30,421.3,463.52,400.2,450.0,378575
2012-04-02,450.0,453.0,442.1,453.0,282806
2012-04-03,451.3,455.0,437.9,448.0,148825
2012-04-04,448.4,448.4,436.0,440.1,93056
2012-04-05,438.8,446.2,431.84,436.3,78014
2012-04-10,434.0,435.42,417.8,417.8,175900
2012-04-11,417.8,427.4,415.0,421.9,60989
2012-04-12,420.7,430.0,418.7,425.6,74959
2012-04-13,424.7,437.5,424.7,432.8,82252
2012-04-16,430.2,433.8,428.4,429.1,95600
2012-04-17,427.5,436.1,425.5,436.1,79344
2012-04-18,433.3,441.5,430.3,441.5,88419
2012-04-19,440.7,450.0,438.62,443.5,64359
2012-04-20,442.3,451.3,442.3,451.3,98034
2012-04-23,446.9,452.9,435.4,445.0,98587
2012-04-24,444.7,449.4,439.68,445.0,52164
2012-04-25,444.5,450.0,444.4,449.9,56349
2012-04-26,449.1,452.9,445.3,450.2,63756
2012-04-27,446.0,459.6,446.0,459.6,31889
2012-04-30,458.9,464.1,456.2,458.6,53100
2012-05-01,456.2,465.0,455.0,458.0,43837
2012-05-02,455.0,463.3,455.0,460.0,142245
2012-05-03,458.8,460.0,452.3,458.0,64526
2012-05-04,454.5,456.9,447.4,450.1,50640
2012-05-08,449.4,455.7,435.1,436.6,87215
2012-05-09,435.0,443.3,425.0,435.1,141415
2012-05-10,438.0,451.1,435.21,449.2,122466
2012-05-11,444.0,459.9,441.5,458.6,125768
2012-05-14,445.0,455.0,435.0,454.0,67064
2012-05-15,450.0,454.3,443.9,449.1,87844
2012-05-16,449.0,457.4,445.0,453.1,88560
2012-05-17,451.9,460.0,444.0,452.0,64876
2012-05-18,446.0,450.1,443.0,450.0,120720
2012-05-21,446.9,451.3,438.7,441.0,84660
2012-05-22,446.5,447.1,416.1,418.0,229376
2012-05-23,414.4,418.4,410.0,417.0,72035
2012-05-24,414.0,427.7,413.1,424.9,91503
2012-05-25,423.5,426.8,413.3,419.9,104773
2012-05-28,430.0,430.0,420.0,425.0,28490
2012-05-29,428.8,443.6,427.5,443.6,113491
2012-05-30,440.8,440.8,424.3,436.9,135231
2012-05-31,435.3,445.0,429.9,443.5,194160
2012-06-01,438.6,443.6,428.9,429.4,89227
2012-06-06,433.0,445.0,429.6,445.0,120856
2012-06-07,443.9,453.9,439.4,453.9,153474
2012-06-08,450.6,455.7,441.0,446.5,75519
2012-06-11,450.4,453.88,438.3,444.3,118371
2012-06-12,445.5,445.5,432.3,439.7,81433
2012-06-13,443.9,455.0,430.1,446.1,128413
2012-06-14,441.4,448.0,438.0,445.23,166248
2012-06-15,445.3,459.5,440.2,448.2,323806
2012-06-18,453.5,453.5,440.4,448.4,79425
2012-06-19,449.0,450.0,444.7,446.4,81903
2012-06-20,449.9,458.2,442.6,456.0,120573
2012-06-21,455.1,456.1,451.3,454.0,76072
2012-06-22,450.0,452.05,442.54,449.3,37036
2012-06-25,451.0,452.7,445.7,445.7,36529
2012-06-26,443.8,448.3,440.0,442.9,66453
2012-06-27,442.8,445.0,434.5,440.8,50413
2012-06-28,444.3,444.3,435.0,438.9,30198
2012-06-29,444.1,450.0,442.9,445.5,32079
2012-07-02,444.2,453.1,443.7,448.0,34904
2012-07-03,448.0,455.0,448.0,453.4,60964
2012-07-04,455.7,455.7,445.7,454.0,17781
2012-07-05,450.1,454.8,442.9,454.0,73144
2012-07-06,455.0,455.0,449.1,452.7,65834
2012-07-09,452.8,455.0,445.7,445.7,73268
2012-07-10,442.8,448.7,442.8,445.8,50261
2012-07-11,443.0,447.1,443.0,443.9,29056
2012-07-12,440.4,443.1,436.7,438.0,26723
2012-07-13,436.4,454.0,431.7,431.7,84319
2012-07-16,432.6,436.3,430.9,432.3,26706
2012-07-17,434.6,435.9,425.0,427.7,129667
2012-07-18,427.4,439.6,425.5,439.6,67686
2012-07-19,440.0,449.0,435.4,446.0,38802
2012-07-20,444.1,449.9,440.0,449.9,25683
2012-07-23,444.2,448.1,435.9,444.9,81698
2012-07-24,447.2,447.2,440.5,445.3,56857
2012-07-25,447.0,453.6,442.6,447.3,64388
2012-07-26,452.3,452.3,436.3,442.31,48191
2012-07-27,446.9,449.0,440.6,445.98,73502
2012-07-30,459.3,459.3,415.2,420.0,209278
2012-07-31,421.1,421.1,404.02,417.1,80389
2012-08-01,415.0,425.6,415.0,422.0,92858
2012-08-02,423.1,425.0,418.0,418.0,65210
2012-08-03,417.0,428.6,417.0,424.7,63758
2012-08-06,423.0,430.0,419.7,423.0,45793
2012-08-07,420.0,425.6,417.0,425.2,31159
2012-08-08,422.4,431.1,419.9,428.5,51960
2012-08-09,418.0,427.6,418.0,426.7,67905
2012-08-10,423.1,431.3,421.3,429.9,30097
2012-08-13,434.7,434.7,420.0,426.0,28507
2012-08-14,425.6,429.2,424.0,429.2,32374
2012-08-15,425.0,433.1,425.0,430.0,3553
2012-08-16,431.1,438.9,429.41,434.5,67876
2012-08-17,431.0,435.0,431.0,434.6,26232
2012-08-20,436.9,436.9,425.0,427.0,76300
2012-08-21,432.0,432.0,425.5,429.0,33159
2012-08-22,425.6,428.0,423.2,425.0,26539
2012-08-23,425.5,433.42,423.7,425.3,72687
