Date,Open,High,Low,Close,Volume
2012-01-03,259.7,260.75,256.73,257.4,193507
2012-01-04,259.2,259.2,256.8,256.9,76884
2012-01-05,256.4,256.4,246.0,250.04,420649
2012-01-06,250.1,252.8,249.5,250.49,194453
2012-01-09,255.8,256.0,252.2,254.2,46350
2012-01-10,251.4,255.5,249.2,254.55,166191
2012-01-11,256.9,257.5,254.32,255.31,84582
2012-01-12,254.5,256.2,252.0,254.04,131524
2012-01-13,256.5,256.5,250.3,252.17,97884
2012-01-16,252.4,252.4,249.25,250.3,107020
2012-01-17,251.1,256.0,251.1,251.6,93897
2012-01-18,250.0,256.16,250.0,252.25,334374
2012-01-19,256.3,265.0,255.3,260.81,322854
2012-01-20,262.8,266.0,261.4,264.96,130898
2012-01-23,267.7,267.7,264.1,266.55,186384
2012-01-24,263.3,265.2,258.4,259.3,129049
2012-01-25,261.4,262.9,258.0,261.0,125618
2012-01-26,262.5,262.5,260.75,261.6,25760
2012-01-27,260.0,264.0,260.0,264.0,24888
2012-01-30,264.0,267.0,260.0,260.2,259225
2012-01-31,260.5,266.2,260.0,266.2,303295
2012-02-01,266.2,277.0,264.1,275.4,241230
2012-02-02,271.3,276.9,271.3,276.6,161326
2012-02-03,275.7,279.0,271.5,275.1,284540
2012-02-06,272.1,288.6,272.1,280.0,183756
2012-02-07,278.0,279.6,275.4,276.0,212768
2012-02-08,275.2,279.0,273.2,277.4,71917
2012-02-09,276.9,278.9,274.12,277.4,637255
2012-02-10,277.4,278.5,276.6,278.5,69507
2012-02-13,279.0,283.0,278.62,282.3,65967
2012-02-14,281.3,284.0,277.0,281.6,159235
2012-02-15,282.9,284.5,278.6,284.5,108057
2012-02-16,284.0,284.2,277.92,284.2,85106
2012-02-17,284.8,289.81,284.8,288.2,81646
2012-02-20,290.0,294.0,288.0,291.47,90001
2012-02-21,296.1,300.0,275.03,288.04,409995
2012-02-22,285.9,312.0,284.7,312.0,290505
2012-02-23,311.1,316.9,308.0,310.0,272353
2012-02-24,310.0,314.91,295.23,310.9,155586
2012-02-27,307.6,314.0,306.58,310.6,105296
2012-02-28,314.0,314.0,309.04,310.4,111960
2012-02-29,311.0,316.0,310.0,314.3,112744
2012-03-01,312.7,315.84,311.1,315.0,91763
2012-03-02,314.1,316.74,311.62,313.4,141902
2012-03-05,313.2,316.79,312.16,316.7,49113
2012-03-06,312.1,316.38,311.2,314.6,114002
2012-03-07,313.6,318.2,310.8,317.4,62545
2012-03-08,317.0,320.88,315.0,319.5,117487
2012-03-09,318.5,329.9,318.5,329.0,120525
2012-03-12,329.0,334.84,323.35,332.2,75701
2012-03-13,330.1,333.2,328.1,330.0,145123
2012-03-14,330.0,333.65,325.9,326.9,172981
2012-03-15,328.0,328.0,320.65,323.9,118137
2012-03-16,325.2,325.86,321.8,323.5,319421
2012-03-19,323.5,325.0,322.0,324.3,59519
2012-03-20,325.0,325.0,321.0,321.0,59836
2012-03-21,323.0,323.74,320.0,321.6,180526
2012-03-22,322.0,324.2,320.5,321.8,104737
2012-03-23,321.8,321.8,315.4,320.0,122574
2012-03-26,319.8,321.0,316.3,319.4,203102
2012-03-27,319.4,321.0,314.03,315.2,131158
2012-03-28,313.9,314.4,303.81,308.0,207169
2012-03-29,310.5,310.5,303.4,305.1,175014
2012-03-30,306.4,310.7,303.8,304.61,125051
2012-04-02,305.7,315.9,304.86,315.9,166142
2012-04-03,315.0,317.8,308.0,317.8,68227
2012-04-04,316.2,317.9,311.56,313.9,164367
2012-04-05,313.0,315.0,311.5,314.5,71496
2012-04-10,313.2,313.6,310.8,310.8,145869
2012-04-11,311.4,316.0,311.4,313.1,93342
2012-04-12,312.8,315.8,312.0,315.4,141410
2012-04-13,313.8,317.2,312.0,313.5,69464
2012-04-16,312.1,315.4,311.0,311.3,168245
2012-04-17,310.7,317.7,310.7,316.9,86374
2012-04-18,318.0,318.0,312.87,317.0,77400
2012-04-19,316.0,317.8,312.9,313.0,139900
2012-04-20,311.9,312.6,300.51,307.0,214017
2012-04-23,303.4,307.0,303.2,303.7,108364
2012-04-24,303.0,308.5,302.8,307.1,80969
2012-04-25,306.5,311.01,306.5,309.7,180195
2012-04-26,309.0,311.4,306.0,306.4,201055
2012-04-27,306.0,308.5,305.8,306.0,98452
2012-04-30,308.4,308.55,306.0,308.3,88377
2012-05-01,306.6,309.0,306.2,308.5,77277
2012-05-02,311.0,311.0,305.4,307.8,140439
2012-05-03,306.0,308.5,306.0,306.1,49707
2012-05-04,306.8,308.5,300.2,300.2,197405
2012-05-08,301.2,305.57,290.4,290.4,202918
2012-05-09,291.0,291.6,287.2,288.5,370914
2012-05-10,288.6,293.1,288.6,290.0,172531
2012-05-11,290.4,293.8,289.3,293.7,109081
2012-05-14,292.3,295.25,291.1,295.0,96302
2012-05-15,295.0,299.9,294.4,299.9,170888
2012-05-16,298.0,303.91,295.0,302.7,170539
2012-05-17,302.5,305.8,302.1,302.1,128679
2012-05-18,300.0,303.8,299.3,299.9,160955
2012-05-21,298.1,300.9,298.0,298.0,89511
2012-05-22,298.2,302.42,296.2,300.0,214753
2012-05-23,299.5,302.3,299.5,302.0,158097
