Date,Open,High,Low,Close,Volume
2012-01-03,191.9,209.4,190.2,209.4,1593564
2012-01-04,207.9,209.4,204.75,207.61,1424950
2012-01-05,206.4,209.3,201.5,202.9,635013
2012-01-06,203.5,204.1,200.4,204.1,911408
2012-01-09,203.4,207.1,199.0,205.5,773985
2012-01-10,207.5,211.3,206.4,208.3,426868
2012-01-11,208.2,211.3,206.9,209.0,614191
2012-01-12,208.4,212.7,208.4,210.9,620722
2012-01-13,212.2,213.57,206.6,208.4,810228
2012-01-16,207.7,210.4,205.5,209.1,628991
2012-01-17,212.6,215.6,210.1,211.7,1014312
2012-01-18,210.7,215.8,208.01,214.71,578261
2012-01-19,215.2,219.0,215.2,218.1,777920
2012-01-20,218.0,220.0,215.7,216.0,496302
2012-01-23,217.3,219.9,214.1,218.9,405390
2012-01-24,216.6,216.9,211.9,213.5,534664
2012-01-25,213.9,216.9,212.8,215.9,573397
2012-01-26,217.6,219.8,215.3,218.0,823429
2012-01-27,216.0,219.6,215.8,216.1,733876
2012-01-30,216.0,216.1,208.0,208.8,870506
2012-01-31,210.8,215.8,209.3,215.6,705781
2012-02-01,216.2,228.0,215.6,222.56,1545710
2012-02-02,227.6,234.7,226.4,233.4,1363222
2012-02-03,235.0,236.4,222.2,232.2,1676680
2012-02-06,232.3,235.3,228.39,234.1,907157
2012-02-07,235.7,235.7,228.2,231.5,2500254
2012-02-08,231.9,235.9,228.3,234.81,1980209
2012-02-09,235.7,238.0,233.1,236.6,534842
2012-02-10,234.7,236.8,231.4,235.0,344879
2012-02-13,235.4,239.7,235.4,237.4,489372
2012-02-14,236.6,240.9,235.5,238.5,561382
2012-02-15,240.8,243.1,239.5,242.3,691173
2012-02-16,238.6,241.6,234.5,236.3,978566
2012-02-17,238.6,242.9,238.6,241.8,344800
2012-02-20,242.7,246.5,241.2,245.7,259921
2012-02-21,245.1,245.2,241.8,242.9,555224
2012-02-22,243.6,244.5,241.46,243.1,346434
2012-02-23,242.4,246.7,242.08,243.9,409334
2012-02-24,244.3,246.6,243.3,244.0,740859
2012-02-27,242.9,243.3,240.0,242.5,345540
2012-02-28,243.1,245.1,241.7,242.9,450817
2012-02-29,243.7,244.2,238.4,241.5,429400
2012-03-01,247.7,251.4,244.7,246.6,1037436
2012-03-02,246.8,252.3,245.4,250.5,812184
