Date,Open,High,Low,Close,Volume
2012-01-03,140.7,140.7,133.13,137.3,935671
2012-01-04,136.8,140.5,135.0,136.5,143073
2012-01-05,136.4,138.5,135.7,136.0,309862
2012-01-06,136.9,136.92,133.5,135.1,534813
2012-01-09,137.3,138.2,132.52,138.0,236966
2012-01-10,138.6,143.5,137.4,139.4,821432
2012-01-11,142.7,144.7,141.0,143.6,245152
2012-01-12,143.1,147.1,143.0,145.7,226757
2012-01-13,145.1,147.9,145.1,147.8,303684
2012-01-16,148.0,148.16,144.8,146.4,257034
2012-01-17,148.0,155.6,147.6,148.3,751335
2012-01-18,149.0,150.0,145.7,146.7,417618
2012-01-19,148.5,151.0,145.0,150.0,765625
2012-01-20,150.0,151.3,147.2,150.4,792363
2012-01-23,150.4,153.7,147.0,151.0,277400
2012-01-24,149.7,151.8,146.8,147.7,311485
2012-01-25,148.1,151.5,148.1,148.1,2526167
2012-01-26,149.0,153.4,146.5,151.1,370838
2012-01-27,152.4,155.2,149.8,151.0,330047
2012-01-30,151.0,153.1,147.2,150.2,376964
2012-01-31,150.3,154.5,149.68,153.3,454898
2012-02-01,153.2,161.1,151.5,161.1,815021
2012-02-02,159.4,160.68,154.0,156.0,893165
2012-02-03,156.9,162.2,155.0,161.9,552839
2012-02-06,161.9,162.97,159.53,160.4,589126
2012-02-07,160.9,162.4,159.0,160.34,889551
2012-02-08,162.0,164.2,160.5,162.3,358756
2012-02-09,162.1,163.6,161.0,161.2,356065
2012-02-10,160.1,161.1,158.4,160.8,267538
2012-02-13,161.0,165.2,160.97,164.1,173646
2012-02-14,166.5,166.5,158.7,159.6,226738
2012-02-15,162.5,166.5,159.56,165.4,498916
2012-02-16,164.8,167.5,158.4,166.9,467460
2012-02-17,168.2,168.2,164.4,166.9,139495
2012-02-20,167.3,170.26,165.2,169.5,97480
2012-02-21,170.0,170.2,166.8,167.2,380416
2012-02-22,166.7,168.8,162.4,166.6,427099
2012-02-23,167.5,169.6,166.0,166.5,622691
2012-02-24,168.3,169.5,165.4,168.0,246260
2012-02-27,166.3,168.1,164.4,165.9,155107
2012-02-28,165.9,165.93,155.2,165.0,654135
2012-02-29,160.4,167.34,159.71,163.69,459417
2012-03-01,166.4,169.0,165.7,167.97,342146
2012-03-02,168.8,176.5,166.3,168.5,435089
2012-03-05,176.2,183.7,173.0,181.53,635586
2012-03-06,182.3,183.77,174.1,177.73,891199
2012-03-07,176.5,178.2,174.16,177.6,390610
2012-03-08,177.8,184.4,177.8,184.1,386534
2012-03-09,183.8,190.0,183.8,188.6,333774
2012-03-12,187.5,190.7,186.2,189.5,298688
2012-03-13,190.0,196.5,190.0,196.1,317921
2012-03-14,196.5,196.6,188.2,192.85,474426
2012-03-15,190.0,191.6,184.68,186.66,667139
2012-03-16,187.8,188.6,182.48,188.08,1171024
2012-03-19,186.9,190.7,183.4,188.9,232543
2012-03-20,188.0,189.7,185.2,186.8,534204
2012-03-21,186.7,191.3,184.8,184.8,301667
2012-03-22,183.6,186.0,179.24,182.2,548038
2012-03-23,183.0,186.0,181.0,185.2,326671
