Date,Open,High,Low,Close,Volume
2012-01-03,1420.0,1447.0,1420.0,1440.0,28988
2012-01-04,1442.0,1453.0,1437.0,1444.0,11977
2012-01-05,1438.0,1446.0,1413.0,1430.0,30226
2012-01-06,1415.0,1444.0,1415.0,1422.0,33525
2012-01-09,1422.0,1435.09,1422.0,1424.0,12537
2012-01-10,1426.0,1489.0,1426.0,1473.0,39624
2012-01-11,1470.0,1487.0,1465.0,1475.0,24164
2012-01-12,1475.0,1486.0,1460.0,1475.0,25765
2012-01-13,1475.0,1480.0,1457.0,1464.0,16089
2012-01-16,1472.0,1472.0,1457.0,1463.0,7377
2012-01-17,1465.0,1465.0,1444.0,1455.0,43665
2012-01-18,1443.0,1466.0,1443.0,1457.0,32928
2012-01-19,1460.0,1492.0,1456.0,1487.0,80973
2012-01-20,1470.0,1470.0,1450.0,1458.0,50025
2012-01-23,1458.0,1461.0,1453.0,1454.0,58158
2012-01-24,1450.0,1457.91,1447.1,1455.0,134565
2012-01-25,1451.0,1463.0,1451.0,1452.0,135039
2012-01-26,1452.0,1458.49,1451.0,1451.0,48042
2012-01-27,1458.0,1462.0,1451.56,1455.0,56369
2012-01-30,1465.0,1466.0,1450.0,1457.0,28242
2012-01-31,1472.0,1472.0,1451.0,1455.0,59479
2012-02-01,1455.0,1457.0,1450.0,1455.0,166835
2012-02-02,1452.0,1502.0,1447.0,1488.0,66364
2012-02-03,1489.0,1567.0,1489.0,1528.0,78481
2012-02-06,1546.0,1552.0,1515.0,1548.0,64948
2012-02-07,1558.0,1570.0,1541.0,1570.0,51489
2012-02-08,1581.0,1610.0,1567.0,1600.0,45729
2012-02-09,1603.0,1633.0,1596.22,1633.0,22367
2012-02-10,1623.0,1648.0,1544.0,1634.72,70317
2012-02-13,1650.0,1653.0,1635.11,1645.0,10918
2012-02-14,1654.0,1672.0,1648.0,1664.0,11005
2012-02-15,1672.0,1680.0,1658.0,1675.0,41855
2012-02-16,1669.0,1671.65,1656.0,1665.0,19250
2012-02-17,1667.0,1674.0,1653.0,1653.0,18121
2012-02-20,1654.0,1667.0,1622.0,1624.0,13954
2012-02-21,1637.0,1640.0,1621.29,1627.0,30862
2012-02-22,1626.0,1630.0,1615.0,1629.0,16691
2012-02-23,1635.0,1640.0,1623.31,1636.0,21130
2012-02-24,1627.0,1640.0,1627.0,1634.0,29393
2012-02-27,1630.0,1640.0,1627.0,1633.0,17731
2012-02-28,1631.0,1640.0,1620.29,1632.0,33583
2012-02-29,1623.0,1634.0,1617.97,1634.0,10428
2012-03-01,1626.0,1645.58,1626.0,1640.0,12923
2012-03-02,1632.0,1660.0,1632.0,1650.0,18867
2012-03-05,1645.0,1694.0,1640.0,1687.0,13540
2012-03-06,1669.0,1687.0,1650.0,1667.0,17920
2012-03-07,1665.0,1677.0,1660.51,1670.0,11748
2012-03-08,1677.0,1680.0,1668.0,1671.0,23307
2012-03-09,1666.0,1680.0,1665.0,1670.0,43281
2012-03-12,1671.0,1680.0,1670.0,1674.0,8383
