Date,Open,High,Low,Close,Volume
2014-10-28,101.2,102.0,101.2,102.0,0
2014-10-29,101.2,102.0,101.02,101.99,0
2014-10-30,,,,101.99,0
2014-10-31,101.75,102.25,101.5,102.25,0
2014-11-03,,,,102.25,0
2014-11-04,102.25,102.25,101.5,102.25,0
2014-11-05,102.25,102.38,102.0,102.12,0
2014-11-06,102.38,102.38,102.37,102.37,0
2014-11-07,102.25,102.38,102.25,102.25,0
2014-11-10,102.25,102.25,101.9,102.24,0
2014-11-11,101.75,102.23,101.75,101.75,4000
2014-11-12,102.18,102.18,102.18,102.18,0
2014-11-13,102.0,102.18,102.0,102.18,0
2014-11-14,102.0,104.1,102.0,102.52,0
2014-11-17,102.52,102.52,102.52,102.52,0
2014-11-18,102.18,102.18,102.18,102.18,0
2014-11-19,102.52,102.52,102.0,102.52,0
2014-11-20,102.18,102.18,102.0,102.18,0
2014-11-21,,,,102.18,0
2014-11-24,,,,102.18,0
2014-11-25,102.52,102.52,102.52,102.52,0
2014-11-26,102.52,102.52,102.52,102.52,0
2014-11-27,102.52,102.52,102.52,102.52,0
2014-11-28,102.52,102.52,102.52,102.52,0
2014-12-01,102.52,103.0,102.0,102.99,0
2014-12-02,102.99,102.99,102.99,102.99,0
2014-12-03,102.98,102.99,102.25,102.98,0
2014-12-04,102.98,102.98,102.98,102.98,0
2014-12-05,102.99,103.0,102.97,103.0,0
2014-12-08,102.85,102.96,102.25,102.96,0
2014-12-09,102.96,102.96,102.25,102.96,0
2014-12-10,102.95,103.5,102.25,102.25,0
2014-12-11,102.95,102.95,102.95,102.95,0
2014-12-12,102.94,102.94,102.94,102.94,0
2014-12-15,103.0,103.25,102.25,102.25,0
2014-12-16,103.25,103.25,103.25,103.25,0
2014-12-17,103.0,103.0,103.0,103.0,0
2014-12-18,103.0,103.0,102.5,103.0,0
2014-12-19,102.0,102.0,102.0,102.0,0
2014-12-22,,,,102.0,0
2014-12-23,103.0,103.0,102.99,102.99,0
2014-12-24,,,,102.99,0
2014-12-29,102.99,102.99,102.99,102.99,0
2014-12-30,102.25,102.98,102.25,102.98,0
2014-12-31,,,,102.98,0
2015-01-05,102.98,102.98,102.98,102.98,0
2015-01-06,102.98,103.0,102.25,103.0,0
2015-01-07,102.98,102.99,102.98,102.99,0
2015-01-08,102.98,102.98,102.98,102.98,0
2015-01-09,103.11,103.56,103.0,103.56,0
2015-01-12,102.5,103.6,102.5,103.6,0
2015-01-13,,,,103.6,0
2015-01-14,103.25,103.25,103.25,103.25,0
2015-01-15,103.0,103.25,103.0,103.25,0
2015-01-16,103.4,103.42,103.07,103.07,0
2015-01-19,103.5,103.5,103.39,103.39,0
2015-01-20,103.5,103.92,103.39,103.92,50666
2015-01-21,103.95,105.49,103.66,105.49,0
2015-01-22,105.97,105.97,105.97,105.97,0
2015-01-23,106.5,106.99,105.9,106.99,2111
2015-01-26,106.99,106.99,106.25,106.97,0
2015-01-27,,,,106.97,0
2015-01-28,106.25,107.0,106.25,107.0,0
2015-01-29,106.19,106.19,100.0,100.0,0
2015-01-30,106.17,106.17,106.16,106.16,0
2015-02-02,105.25,106.16,105.16,105.16,932
2015-02-03,105.92,105.92,105.66,105.92,0
2015-02-04,106.25,106.49,106.25,106.49,932
2015-02-05,105.95,106.06,105.95,106.06,0
2015-02-06,105.95,105.95,105.75,105.95,0
2015-02-09,106.5,106.5,106.5,106.5,14184
2015-02-10,106.0,106.49,106.0,106.0,0
2015-02-11,106.06,106.06,106.0,106.06,0
2015-02-12,105.95,105.95,105.41,105.95,0
2015-02-13,105.75,106.25,105.75,106.25,0
2015-02-16,105.95,106.06,105.75,106.06,0
2015-02-17,106.5,106.5,106.0,106.25,2000
2015-02-18,106.5,106.99,106.1,106.5,25000
2015-02-19,106.38,106.38,106.38,106.38,0
2015-02-20,,,,106.38,0
2015-02-23,106.38,106.38,105.88,106.36,0
2015-02-24,106.5,106.5,106.48,106.48,0
2015-02-25,106.0,106.35,105.89,106.35,7500
2015-02-26,106.12,106.48,106.12,106.48,0
2015-02-27,106.0,106.48,105.87,106.0,3700
2015-03-02,106.85,107.49,106.85,107.49,0
2015-03-03,106.25,107.0,106.25,106.48,1488
2015-03-04,107.25,107.25,106.21,106.59,3910
2015-03-05,106.75,107.5,106.75,107.5,14798
2015-03-06,106.7,106.75,106.7,106.75,0
2015-03-09,106.21,106.75,106.12,106.12,0
2015-03-10,106.5,107.31,106.5,107.31,0
2015-03-11,106.88,107.31,106.88,107.31,0
2015-03-12,107.5,107.5,107.0,107.31,6800
2015-03-13,107.31,107.31,106.38,107.0,0
2015-03-16,107.28,107.35,106.4,107.35,0
2015-03-17,106.25,107.35,106.25,107.1,834
2015-03-18,107.25,107.49,106.2,107.49,834
2015-03-19,107.5,108.0,106.75,108.0,25000
2015-03-20,107.75,108.0,107.75,108.0,0
2015-03-23,108.0,108.0,106.95,108.0,0
2015-03-24,108.0,108.0,107.25,107.75,0
2015-03-25,107.0,108.0,107.0,108.0,26857
2015-03-26,108.0,108.5,107.0,108.0,241884
2015-03-27,108.0,108.0,107.99,108.0,25000
2015-03-30,108.99,108.99,107.0,107.5,0
2015-03-31,108.97,108.97,107.3,108.97,0
2015-04-01,109.0,109.0,107.26,107.3,0
2015-04-02,108.35,108.35,107.55,107.55,0
2015-04-07,107.55,108.06,107.55,108.05,0
2015-04-08,108.5,108.5,107.25,108.0,0
2015-04-09,107.25,108.5,107.25,108.0,0
2015-04-10,108.0,108.0,107.26,108.0,0
2015-04-13,108.05,108.05,107.51,108.05,0
2015-04-14,107.5,108.24,107.5,107.5,0
