Date,Open,High,Low,Close,Volume
2012-01-03,386.8,394.2,376.1,394.2,489921
2012-01-04,392.5,401.1,388.0,397.15,169052
2012-01-05,399.2,399.2,391.8,395.0,1051645
2012-01-06,394.1,397.4,387.0,396.5,280601
2012-01-09,397.7,401.1,395.8,399.5,260721
2012-01-10,400.0,401.1,395.0,397.3,275257
2012-01-11,400.0,401.7,396.0,399.2,152301
2012-01-12,397.6,401.3,397.6,400.0,332022
2012-01-13,402.9,410.0,399.2,404.5,229439
2012-01-16,404.5,405.7,397.6,397.6,55698
2012-01-17,403.1,403.1,395.0,395.0,141105
2012-01-18,396.1,406.4,395.0,397.7,200449
2012-01-19,397.2,405.6,394.6,394.6,209662
2012-01-20,395.8,398.9,391.6,391.6,147512
2012-01-23,391.6,394.0,388.0,388.8,159329
2012-01-24,386.8,389.5,383.87,386.4,370132
2012-01-25,388.5,391.6,381.7,386.1,240199
2012-01-26,388.4,389.68,380.7,381.0,210277
2012-01-27,380.6,386.9,373.69,384.0,188336
2012-01-30,383.6,383.6,376.5,381.0,348285
2012-01-31,383.8,390.6,376.5,379.0,459447
2012-02-01,380.5,394.6,378.1,386.1,376930
2012-02-02,388.8,393.9,384.0,384.0,291013
2012-02-03,382.8,389.4,381.36,385.3,320697
2012-02-06,386.1,388.0,381.85,383.6,202026
2012-02-07,384.9,384.9,375.3,380.3,450950
2012-02-08,379.1,384.5,367.2,375.5,514533
2012-02-09,375.7,384.7,375.7,382.0,1174691
2012-02-10,381.5,389.1,381.5,388.0,289274
2012-02-13,388.1,400.7,387.9,400.2,232875
2012-02-14,397.9,408.04,395.8,397.99,286248
2012-02-15,399.1,410.9,395.4,401.2,275850
2012-02-16,400.4,402.0,394.8,400.0,218406
2012-02-17,400.1,401.8,392.9,400.0,252466
2012-02-20,395.0,406.1,395.0,406.1,115117
2012-02-21,403.3,410.5,403.3,407.5,174577
2012-02-22,400.9,416.3,400.9,413.73,428514
2012-02-23,418.3,446.9,414.3,441.86,814787
2012-02-24,441.6,450.0,438.2,446.71,372797
2012-02-27,449.2,452.7,442.8,451.9,241977
2012-02-28,453.9,453.9,445.75,450.0,297670
2012-02-29,453.3,453.3,446.5,450.0,257942
2012-03-01,450.5,450.5,445.1,449.1,450253
2012-03-02,450.8,450.8,443.0,449.0,189020
2012-03-05,449.4,452.0,447.0,449.2,337822
2012-03-06,449.6,450.68,439.9,443.0,308719
2012-03-07,442.0,446.3,429.0,446.0,333151
2012-03-08,446.1,460.0,446.1,457.9,294539
2012-03-09,456.6,465.9,456.6,462.6,189675
2012-03-12,460.8,466.2,460.7,464.7,228630
2012-03-13,464.6,468.8,458.3,465.4,314221
2012-03-14,468.5,472.5,453.4,455.4,361207
2012-03-15,456.6,467.2,455.2,467.2,309978
2012-03-16,466.2,469.8,460.1,465.7,414696
2012-03-19,463.7,466.7,453.3,463.0,104612
2012-03-20,462.9,464.2,446.2,462.0,288690
2012-03-21,464.4,465.3,454.0,462.4,222517
2012-03-22,462.9,462.9,455.1,462.0,375131
2012-03-23,461.8,465.08,452.5,463.7,252276
2012-03-26,463.1,470.6,463.1,470.6,103665
2012-03-27,470.1,474.6,462.4,467.2,266743
2012-03-28,465.0,469.9,463.0,466.2,223331
2012-03-29,465.0,467.7,462.4,465.1,182569
2012-03-30,464.4,476.2,459.4,475.0,363742
2012-04-02,474.5,479.1,468.3,479.1,322649
2012-04-03,480.4,480.4,473.3,476.0,277715
2012-04-04,473.3,478.6,470.9,478.5,332729
2012-04-05,476.5,479.6,474.7,476.1,242219
2012-04-10,471.4,477.8,470.4,472.0,398145
2012-04-11,465.0,467.1,459.66,465.4,219393
2012-04-12,465.0,486.9,465.0,484.5,307586
2012-04-13,481.9,488.0,466.8,473.7,333730
2012-04-16,471.2,484.7,471.2,481.0,206778
2012-04-17,481.5,484.8,480.3,481.6,270746
2012-04-18,483.3,485.0,480.8,482.0,586937
2012-04-19,485.0,485.0,477.3,478.5,269618
2012-04-20,478.1,478.58,468.0,468.0,430965
2012-04-23,467.5,473.03,459.9,460.3,459815
2012-04-24,458.5,470.9,458.5,469.05,401040
2012-04-25,462.5,469.0,456.9,462.9,406976
2012-04-26,465.2,470.8,463.0,470.0,386876
2012-04-27,465.4,472.8,460.82,464.9,202551
2012-04-30,465.0,470.5,462.7,464.4,166308
2012-05-01,465.0,470.5,463.4,467.8,176212
2012-05-02,466.4,479.1,466.4,479.1,558332
2012-05-03,478.0,483.9,474.8,483.1,266346
2012-05-04,481.5,488.57,476.6,482.6,344290
2012-05-08,481.6,485.7,474.2,476.7,468615
2012-05-09,474.3,480.3,459.2,467.4,258705
