Date,Open,High,Low,Close,Volume
2013-03-22,315.0,315.47,290.0,307.4,80828518
2013-03-25,304.5,306.91,290.0,304.94,3264281
2013-03-26,304.0,304.93,298.25,299.95,3645080
2013-03-27,300.5,301.62,293.25,295.5,2777754
2013-03-28,297.75,300.57,294.5,300.0,2453500
2013-04-02,300.0,304.0,299.69,303.0,1012878
2013-04-03,302.0,308.0,302.0,304.75,2106960
2013-04-04,302.0,305.0,300.25,301.5,276157
2013-04-05,305.0,305.0,295.0,300.0,826747
2013-04-08,302.25,303.25,296.22,299.5,871273
2013-04-09,300.0,302.32,295.0,296.0,286752
2013-04-10,296.5,299.25,293.75,296.0,1486460
2013-04-11,298.0,303.5,295.38,299.56,348044
2013-04-12,299.5,300.25,294.03,299.0,310315
2013-04-15,298.5,300.74,294.12,295.0,542745
2013-04-16,295.25,296.06,294.0,294.0,230783
2013-04-17,297.0,298.75,290.9,293.5,469254
2013-04-18,295.25,297.74,286.28,292.0,385805
2013-04-19,294.0,294.0,290.31,290.75,590066
2013-04-22,291.0,297.3,286.87,294.0,599287
2013-04-23,293.0,300.0,293.0,299.25,445643
2013-04-24,294.5,303.75,294.5,301.5,293014
2013-04-25,300.0,302.0,295.59,296.75,350283
2013-04-26,298.75,299.75,290.5,294.5,766736
2013-04-29,295.75,295.75,285.25,290.0,494612
2013-04-30,289.0,299.75,287.5,297.25,758909
2013-05-01,296.0,305.0,295.0,302.0,278826
2013-05-02,299.0,302.25,297.5,299.75,214299
2013-05-03,302.25,302.25,299.0,300.0,278037
2013-05-07,299.5,306.5,299.25,306.0,961172
2013-05-08,309.5,315.0,306.68,314.75,1673672
2013-05-09,312.0,321.0,310.0,320.0,1551047
2013-05-10,321.5,321.68,315.0,319.75,314672
2013-05-13,317.75,319.5,314.09,317.25,270413
2013-05-14,314.0,317.5,314.0,315.0,360092
2013-05-15,314.0,316.25,308.88,313.75,414906
2013-05-16,314.5,315.0,307.93,312.0,416585
2013-05-17,307.5,314.16,307.5,311.25,84427
2013-05-20,312.25,314.0,307.15,307.69,162262
2013-05-21,313.25,319.75,307.75,314.75,310190
2013-05-22,317.0,317.0,311.96,314.0,352796
2013-05-23,311.0,319.75,309.31,315.5,348242
2013-05-24,307.25,318.0,307.25,315.0,200206
2013-05-28,308.0,316.0,308.0,315.0,77073
2013-05-29,312.25,316.0,307.75,312.0,347530
2013-05-30,315.5,315.5,309.0,312.0,229380
2013-05-31,310.5,315.09,307.25,311.5,358551
2013-06-03,314.75,316.0,310.0,313.5,93712
2013-06-04,316.0,320.0,310.96,318.75,401776
2013-06-05,320.0,320.0,313.21,319.25,359560
2013-06-06,318.0,319.5,311.87,315.0,167414
2013-06-07,314.5,315.25,310.25,313.0,255590
2013-06-10,320.0,320.0,309.29,310.0,117702
2013-06-11,310.0,313.53,303.0,307.0,267496
2013-06-12,300.75,309.16,300.0,305.5,276615
2013-06-13,301.25,310.5,301.03,308.5,420176
2013-06-14,306.0,311.0,305.5,308.0,120337
2013-06-17,308.25,313.91,306.25,309.0,110718
2013-06-18,308.0,319.0,308.0,316.25,462608
2013-06-19,313.5,320.54,310.96,318.0,481394
2013-06-20,317.5,318.0,313.59,315.0,1105955
2013-06-21,318.0,322.0,314.25,320.75,16314724
2013-06-24,318.0,323.0,314.6,319.0,651256
2013-06-25,322.0,322.0,315.7,319.3,403270
2013-06-26,320.8,325.0,319.1,322.0,370471
2013-06-27,322.0,326.5,317.4,324.8,311041
2013-06-28,323.6,327.32,320.9,324.9,148042
2013-07-01,329.0,329.0,321.7,325.5,333699
2013-07-02,326.1,326.72,319.69,326.0,103802
2013-07-03,326.9,328.7,324.4,328.3,199289
2013-07-04,329.0,337.2,325.6,333.9,266707
2013-07-05,332.8,334.7,326.4,328.6,246103
2013-07-08,328.8,338.0,326.68,332.1,126427
2013-07-09,334.0,334.0,329.1,331.5,160803
2013-07-10,334.9,335.4,326.4,330.0,170300
2013-07-11,333.6,333.6,321.9,327.4,150106
2013-07-12,325.4,330.0,323.51,325.9,85188
2013-07-15,328.7,329.9,325.02,327.0,112885
2013-07-16,325.9,329.5,325.0,328.0,142371
2013-07-17,325.0,327.0,308.0,312.5,1171297
2013-07-18,313.5,317.28,303.61,305.9,781832
2013-07-19,305.5,314.2,305.41,308.8,427106
2013-07-22,307.4,311.1,307.4,308.0,162312
2013-07-23,307.3,312.6,307.3,309.1,342719
2013-07-24,316.4,316.4,307.1,307.3,224846
2013-07-25,307.0,308.3,301.8,302.1,141476
2013-07-26,302.5,302.5,298.0,298.5,208820
2013-07-29,299.1,299.1,293.1,294.5,457282
2013-07-30,293.7,299.9,293.7,296.0,355000
2013-07-31,294.0,302.2,294.0,295.7,466298
2013-08-01,296.0,300.0,295.5,299.5,150448
2013-08-02,300.0,307.9,299.8,306.4,262492
2013-08-05,303.9,314.1,303.9,311.5,147118
2013-08-06,305.1,305.1,246.0,246.0,3457528
2013-08-07,251.9,258.2,241.3,242.0,1442891
2013-08-08,243.0,254.8,243.0,248.0,690050
2013-08-09,251.6,257.0,250.3,254.5,546853
2013-08-12,256.5,256.5,254.0,255.0,742929
2013-08-13,255.0,260.0,249.8,251.0,330084
2013-08-14,249.6,252.7,247.5,248.0,744934
2013-08-15,246.4,250.0,238.7,238.8,468691
2013-08-16,235.9,240.7,234.5,238.6,444858
2013-08-19,235.0,240.0,235.0,240.0,247814
2013-08-20,233.9,240.1,233.9,236.49,282846
2013-08-21,236.0,238.7,234.2,235.6,138021
2013-08-22,235.0,239.6,235.0,236.0,112005
2013-08-23,235.0,239.5,235.0,237.0,155324
2013-08-27,239.0,239.5,237.4,237.4,541012
2013-08-28,235.6,243.5,235.6,241.76,457605
2013-08-29,237.6,246.9,237.6,243.5,974862
2013-08-30,242.0,244.0,241.8,242.0,717304
2013-09-02,242.0,244.0,242.0,242.0,299148
2013-09-03,240.0,242.9,238.0,238.0,243863
2013-09-04,239.0,239.0,232.2,233.0,437760
2013-09-05,227.9,233.8,227.8,228.5,530646
2013-09-06,228.0,230.0,225.1,227.0,871244
2013-09-09,227.0,230.0,225.6,228.0,291644
2013-09-10,227.0,233.3,227.0,230.0,215840
2013-09-11,230.5,233.5,229.4,232.4,202533
2013-09-12,230.0,234.0,230.0,233.0,785975
2013-09-13,235.0,235.0,227.0,227.7,399003
2013-09-16,227.5,234.3,227.5,233.0,321215
2013-09-17,237.0,237.0,231.9,234.0,278021
2013-09-18,235.3,245.0,233.6,244.5,886582
2013-09-19,245.0,250.9,244.0,250.0,1219696
2013-09-20,250.0,262.7,248.9,262.7,4376926
2013-09-24,249.4,252.3,249.4,249.7,152800
2013-09-25,250.9,250.9,245.3,246.5,173500
2013-09-26,246.0,249.6,245.4,248.4,61715
2013-09-27,242.7,248.1,242.7,247.5,178969
2013-09-30,244.6,246.5,242.3,244.3,201144
2013-10-01,241.8,245.3,241.5,244.0,123068
2013-10-02,245.6,248.2,239.5,239.8,196370
2013-10-03,242.7,245.8,239.2,239.2,497672
2013-10-04,238.7,239.2,234.7,236.5,287300
2013-10-07,231.5,233.4,227.5,227.6,181680
2013-10-08,229.0,229.0,223.3,224.9,433936
2013-10-09,221.2,223.8,221.0,221.94,329689
2013-10-10,221.8,229.6,221.8,229.6,252848
2013-10-11,232.5,233.1,229.1,230.0,322345
2013-10-14,231.5,231.8,228.0,229.5,128344
2013-10-15,234.0,234.0,226.0,227.0,231890
2013-10-16,227.0,228.5,223.7,226.0,421102
2013-10-17,228.0,230.1,225.1,228.0,447635
2013-10-18,230.4,230.4,227.2,228.2,172923
2013-10-21,230.0,232.5,229.7,230.8,755327
2013-10-22,235.1,240.6,233.8,238.6,549143
2013-10-23,235.3,,,239.0,275705
2013-10-24,239.0,242.5,238.5,241.0,549914
2013-10-25,243.8,246.5,240.8,241.4,573680
2013-10-28,240.5,241.9,232.2,232.7,450912
2013-10-29,232.9,234.8,231.7,231.9,244534
2013-10-30,230.4,235.0,229.2,229.5,379685
2013-10-31,230.0,230.0,226.4,226.5,318925
2013-11-01,226.8,229.2,225.3,226.0,317173
2013-11-04,223.0,228.0,223.0,225.9,183806
2013-11-05,226.0,226.0,224.0,225.5,216494
2013-11-06,226.0,226.0,223.4,223.7,159472
2013-11-07,223.3,224.5,222.4,223.0,174829
2013-11-08,225.0,231.8,224.7,228.0,656584
2013-11-11,226.8,230.0,221.5,221.5,372499
2013-11-12,225.0,225.0,212.3,213.25,885859
2013-11-13,219.6,228.0,219.6,224.0,1426053
2013-11-14,225.2,226.3,224.5,225.0,1096425
2013-11-15,225.1,227.8,224.7,227.0,385782
2013-11-18,230.8,235.9,227.2,233.1,961430
2013-11-19,230.6,233.6,230.0,230.8,246180
2013-11-20,230.9,242.2,229.4,237.9,561326
2013-11-21,238.1,245.9,234.8,242.4,601017
2013-11-22,237.2,247.4,237.2,245.6,418689
2013-11-25,246.0,250.2,244.5,248.3,568055
2013-11-26,249.6,254.0,247.6,253.0,3800109
2013-11-27,252.9,255.2,252.6,255.0,319319
2013-11-28,255.0,256.8,251.1,255.0,853064
2013-11-29,255.2,256.3,253.4,254.0,282290
2013-12-02,257.0,257.8,254.3,254.8,359419
2013-12-03,252.3,253.6,248.5,249.0,287885
2013-12-04,249.5,250.9,244.0,250.5,318831
2013-12-05,250.5,250.5,244.0,247.5,306692
2013-12-06,250.0,250.9,243.2,249.6,476231
2013-12-09,250.0,250.0,247.7,250.0,121211
2013-12-10,250.0,250.0,243.0,243.0,167401
2013-12-11,241.9,243.9,237.5,240.1,452977
2013-12-12,242.0,242.0,238.5,240.2,246682
2013-12-13,241.1,241.1,236.1,237.6,242720
2013-12-16,238.7,247.0,236.8,247.0,141759
2013-12-17,243.6,243.6,235.5,240.0,339195
2013-12-18,235.4,246.3,235.4,242.0,199157
2013-12-19,248.5,248.5,242.4,242.4,82687
2013-12-20,241.4,250.7,240.6,246.0,579894
2013-12-23,250.0,250.0,242.7,246.5,108198
2013-12-24,245.8,246.9,245.7,246.0,33896
2013-12-27,248.7,249.3,244.6,248.9,110106
2013-12-30,248.7,249.6,244.2,246.8,223108
2013-12-31,246.9,249.8,246.0,249.8,71159
2014-01-02,249.0,249.8,246.1,249.8,155090
2014-01-03,250.0,250.5,244.1,249.8,360485
2014-01-06,249.5,252.0,245.8,251.2,418609
2014-01-07,249.2,259.4,249.2,259.4,282283
2014-01-08,254.5,255.5,252.1,254.0,488251
2014-01-09,255.4,256.6,251.8,254.0,201157
2014-01-10,251.4,260.0,251.4,259.5,369836
2014-01-13,256.2,263.5,256.2,261.4,211819
2014-01-14,261.4,272.3,260.8,269.0,613491
2014-01-15,263.5,270.8,263.5,270.0,379090
2014-01-16,271.6,275.0,268.1,268.1,276569
2014-01-17,270.0,288.9,270.0,284.5,1040710
2014-01-20,280.0,291.1,280.0,289.61,365497
2014-01-21,288.8,291.0,285.0,289.22,223257
2014-01-22,288.0,292.5,287.5,290.0,526220
2014-01-23,285.1,286.2,276.2,280.0,518180
2014-01-24,275.0,278.8,273.7,274.0,648910
2014-01-27,273.6,274.1,265.6,265.8,487206
2014-01-28,265.0,274.8,265.0,269.8,312547
2014-01-29,273.7,279.1,267.3,269.7,235174
2014-01-30,270.7,277.1,269.9,274.8,281190
2014-01-31,274.3,275.1,266.8,272.6,260370
2014-02-03,268.9,274.7,266.8,266.8,196913
2014-02-04,262.5,267.7,262.5,266.5,133882
2014-02-05,263.4,267.6,261.2,261.2,218453
2014-02-06,258.2,267.8,258.1,267.3,459325
2014-02-07,265.8,273.1,265.8,272.0,225868
2014-02-10,271.8,275.5,271.0,272.6,78227
2014-02-11,272.4,276.8,271.8,273.0,213991
2014-02-12,273.5,280.0,273.5,280.0,244999
2014-02-13,279.9,280.0,275.5,276.3,281509
2014-02-14,275.0,278.0,274.8,276.1,186088
2014-02-17,275.2,278.5,275.2,276.4,123320
2014-02-18,275.4,277.5,273.7,276.9,196232
2014-02-19,270.0,277.0,270.0,274.7,208198
2014-02-20,270.1,275.6,270.1,274.5,163789
2014-02-21,275.7,276.5,272.1,274.9,98249
2014-02-24,274.1,279.2,273.9,277.0,262126
2014-02-25,280.5,280.5,273.2,279.5,594966
2014-02-26,276.4,276.4,272.9,274.2,128258
2014-02-27,271.2,273.1,267.5,270.0,169050
2014-02-28,271.9,272.8,268.0,269.5,395435
2014-03-03,275.6,275.6,257.0,257.2,422255
2014-03-04,260.0,260.0,256.5,257.5,194840
2014-03-05,255.0,268.1,255.0,264.0,509432
2014-03-06,267.1,269.3,262.6,265.4,287438
2014-03-07,267.9,274.7,264.1,270.7,363568
2014-03-10,270.0,276.9,266.0,275.3,907012
2014-03-11,268.0,271.1,263.6,267.0,2199720
2014-03-12,265.0,270.0,265.0,267.6,316467
2014-03-13,268.5,270.0,264.0,266.0,491971
2014-03-14,260.9,274.0,260.9,273.3,1036008
2014-03-17,279.5,279.5,273.36,276.4,518633
2014-03-18,275.1,284.9,275.1,283.6,1001881
2014-03-19,282.8,290.78,281.68,284.7,810752
2014-03-20,286.6,286.6,281.35,284.3,600903
2014-03-21,285.0,287.0,283.1,284.0,1658458
2014-03-24,285.5,288.0,285.0,285.5,375999
2014-03-25,284.0,287.07,284.0,284.7,583825
2014-03-26,284.6,290.0,284.49,287.3,699837
2014-03-27,284.1,288.9,283.7,286.2,301068
2014-03-28,286.0,290.7,286.0,286.1,286341
2014-03-31,288.7,289.3,276.49,279.7,356415
2014-04-01,280.1,282.83,278.0,279.73,323907
2014-04-02,280.2,280.88,278.3,278.6,165839
2014-04-03,278.0,279.49,274.1,275.0,201441
2014-04-04,274.2,279.1,272.5,272.9,174062
2014-04-07,272.2,275.5,268.0,273.2,325820
2014-04-08,271.8,276.0,263.64,267.7,656999
2014-04-09,259.9,259.9,243.7,244.0,1268373
2014-04-10,244.0,249.5,239.3,244.9,837611
2014-04-11,242.2,248.6,242.2,244.6,661158
2014-04-14,245.8,247.1,238.7,246.1,317435
2014-04-15,248.6,248.89,245.4,246.7,267457
2014-04-16,248.0,253.2,246.7,253.2,411521
2014-04-17,250.1,255.9,250.1,254.0,284128
2014-04-22,254.5,254.5,251.29,253.2,200830
2014-04-23,254.0,254.0,252.5,253.0,160962
2014-04-24,251.6,256.0,251.0,254.5,523872
2014-04-25,255.1,258.34,251.1,252.0,534943
2014-04-28,254.7,259.5,250.11,258.0,239828
2014-04-29,258.0,259.8,253.86,257.0,112287
2014-04-30,258.0,258.0,248.1,251.5,320030
2014-05-01,254.2,255.86,250.0,252.8,70838
2014-05-02,254.4,255.52,250.0,255.2,102231
2014-05-06,257.5,257.5,250.81,255.9,80186
2014-05-07,253.9,259.0,250.3,257.2,645058
2014-05-08,255.7,256.6,248.6,250.5,240446
2014-05-09,252.1,256.3,249.7,255.0,211842
2014-05-12,257.1,259.0,253.8,255.0,128524
2014-05-13,259.2,259.5,255.0,258.0,109792
2014-05-14,258.1,260.0,257.6,259.0,135839
2014-05-15,260.9,262.7,258.5,258.5,374439
2014-05-16,258.2,259.5,251.4,254.8,336869
2014-05-19,259.4,259.4,249.0,251.2,217161
2014-05-20,249.9,254.82,247.6,249.9,304750
2014-05-21,250.4,251.3,247.29,248.6,56981
2014-05-22,249.5,260.55,247.94,256.3,161471
2014-05-23,260.0,260.0,249.1,249.5,190219
2014-05-27,250.0,253.54,245.26,250.89,104705
2014-05-28,251.1,254.6,249.68,250.0,147469
2014-05-29,256.4,267.4,250.76,264.5,160434
2014-05-30,265.0,274.9,260.4,266.0,511354
2014-06-02,266.0,266.0,261.3,263.7,92009
2014-06-03,263.0,266.9,259.21,263.0,378009
2014-06-04,260.0,262.9,260.0,262.9,119795
2014-06-05,261.2,262.0,255.73,260.0,250631
2014-06-06,259.2,260.0,256.8,258.5,261745
