Date,Open,High,Low,Close,Volume
2012-01-03,205.0,207.5,203.0,203.12,124014.0
2012-01-04,203.36,206.84,203.0,204.0,82474.0
2012-01-05,205.0,205.0,198.13,200.0,273723.0
2012-01-06,198.5,0.0,198.0,198.0,20265.0
2012-01-09,200.45,0.0,194.0,199.08,284107.0
2012-01-10,195.25,198.0,194.0,195.69,300736.0
2012-01-11,193.0,193.0,188.0,191.94,534494.0
2012-01-12,192.0,194.58,192.0,194.38,349136.0
2012-01-13,195.0,200.0,195.0,197.52,456927.0
2012-01-16,199.0,200.3,196.0,200.3,50098.0
2012-01-17,199.33,200.88,199.1,200.0,32558.0
2012-01-18,199.45,203.5,198.0,199.8,254432.0
2012-01-19,201.0,202.0,200.0,200.3,1380649.0
2012-01-20,203.25,203.25,200.0,202.74,193516.0
2012-01-23,200.0,204.0,200.0,201.92,381347.0
2012-01-24,202.0,203.0,200.0,200.0,430503.0
2012-01-25,202.0,205.0,198.22,200.3,330249.0
2012-01-26,199.65,202.5,200.0,200.25,150176.0
2012-01-27,199.6,201.0,198.0,199.45,42200.0
2012-01-30,200.5,200.6,197.0,199.7,255971.0
2012-01-31,198.8,200.0,197.0,198.0,355681.0
2012-02-01,196.9,199.0,195.0,197.63,2292535.0
2012-02-02,198.5,200.3,197.0,200.3,230093.0
2012-02-03,200.0,202.0,198.8,199.82,2330841.0
2012-02-06,199.15,201.76,198.0,198.25,22380.0
2012-02-07,198.25,200.0,198.0,198.65,121407.0
2012-02-08,198.5,199.5,197.0,199.3,55300.0
2012-02-09,198.5,200.0,197.3,198.46,104783.0
2012-02-10,198.5,200.0,195.0,198.3,4702146.0
2012-02-13,,,,164.0,0.0
2012-02-14,163.5,166.0,163.45,165.0,18000.0
2012-02-15,165.25,168.0,165.15,165.96,11200.0
2012-02-16,165.25,165.7,163.12,163.25,22891.0
2012-02-17,163.5,163.75,161.4,161.76,50000.0
2012-02-20,161.58,162.5,153.0,153.0,24925.0
2012-02-21,,,,154.84,0.0
2012-02-22,154.84,159.0,154.26,158.5,12500.0
2012-02-23,,,,159.0,0.0
2012-02-24,,,,157.1,0.0
2012-02-27,,,,157.0,0.0
2012-02-28,154.0,154.0,150.5,152.0,23975.0
2012-02-29,,,,152.0,0.0
2012-03-01,152.5,154.7,152.0,153.75,3500.0
2012-03-02,153.75,162.5,153.75,160.42,50000.0
2012-03-05,,,,164.17,0.0
