Date,Open,High,Low,Close,Volume
2012-01-03,889.0,895.0,864.0,880.0,1859868
2012-01-04,884.5,891.0,865.5,866.5,2971848
2012-01-05,866.0,877.5,850.0,854.0,3395126
2012-01-06,861.0,865.5,848.5,853.0,1618512
2012-01-09,857.0,870.0,854.0,864.5,1882039
2012-01-10,870.5,879.0,868.0,876.5,2186234
2012-01-11,875.0,875.5,860.5,865.5,1436711
2012-01-12,868.0,876.0,858.5,862.5,1652272
2012-01-13,864.0,872.0,857.0,872.0,2787447
2012-01-16,867.5,877.5,867.5,875.5,1479073
2012-01-17,878.0,879.5,855.0,875.5,32284386
2012-01-18,875.5,897.0,875.5,892.0,2834094
2012-01-19,896.0,911.5,893.5,902.5,2340496
2012-01-20,909.0,909.0,890.0,890.5,1941639
2012-01-23,889.5,891.5,881.5,886.5,1366625
2012-01-24,880.5,885.0,874.0,879.5,1353371
2012-01-25,881.5,890.0,869.5,876.5,1423314
2012-01-26,881.0,885.0,873.72,880.0,1505704
2012-01-27,878.5,878.5,871.5,875.0,1379923
2012-01-30,872.5,874.0,853.5,858.5,1969700
2012-01-31,864.0,869.0,850.5,859.5,2126144
2012-02-01,860.0,874.0,860.0,874.0,2388021
2012-02-02,878.0,883.5,872.0,882.5,2425918
2012-02-03,882.0,906.5,879.0,903.5,1646735
2012-02-06,905.0,906.0,898.5,906.0,1199922
2012-02-07,906.0,922.84,903.0,916.0,3032166
2012-02-08,917.5,921.0,909.0,916.5,3336947
2012-02-09,918.0,924.5,912.0,914.5,1312138
2012-02-10,913.0,922.0,907.0,921.0,1779476
2012-02-13,925.5,930.0,919.5,929.5,1054040
2012-02-14,925.5,939.5,921.0,939.5,1432445
2012-02-15,944.5,953.07,938.5,950.5,1502425
2012-02-16,943.5,955.5,938.5,951.5,1006586
2012-02-17,950.5,959.0,933.0,945.5,2246868
2012-02-20,950.5,964.0,946.5,960.0,1189786
2012-02-21,959.5,959.5,938.0,942.0,1560239
2012-02-22,941.0,955.0,939.4,949.0,1396818
2012-02-23,946.5,961.0,946.0,953.5,1348296
2012-02-24,954.0,959.0,942.5,945.5,1405558
2012-02-27,940.5,944.0,934.0,942.0,1147848
2012-02-28,945.0,945.5,937.5,940.5,1411095
2012-02-29,938.0,947.5,933.5,945.5,2089172
2012-03-01,944.0,956.5,939.0,955.5,1496200
2012-03-02,955.0,958.5,930.5,932.5,1639970
2012-03-05,930.0,938.5,917.0,931.0,1512835
2012-03-06,926.0,927.0,907.0,910.5,1639785
2012-03-07,910.0,931.5,908.5,929.5,1877211
2012-03-08,931.5,953.5,931.0,949.5,2102276
2012-03-09,947.5,973.5,943.5,968.0,1629279
2012-03-12,964.5,973.5,959.5,965.0,1319380
2012-03-13,969.5,975.5,965.5,975.0,1628417
2012-03-14,975.0,979.0,971.5,973.5,1453688
2012-03-15,975.0,979.0,973.5,976.5,1097920
2012-03-16,976.5,990.0,973.5,983.0,2016735
2012-03-19,984.5,984.5,978.0,982.5,1306644
2012-03-20,980.5,983.0,979.5,980.5,1783133
2012-03-21,981.0,990.0,981.0,988.0,1220289
2012-03-22,987.0,989.48,982.0,985.0,2588805
2012-03-23,985.5,995.5,981.5,990.0,1315670
2012-03-26,991.0,1002.0,988.0,995.5,1026089
2012-03-27,998.0,1003.0,987.0,992.0,1264565
2012-03-28,989.5,994.5,981.5,990.5,2126594
2012-03-29,987.5,988.5,972.0,977.0,1465041
2012-03-30,979.0,982.86,968.0,974.5,2018623
2012-04-02,976.0,996.5,971.5,996.5,1918662
2012-04-03,999.5,1002.0,992.57,995.5,1443859
2012-04-04,990.5,995.0,969.0,971.5,1882974
2012-04-05,970.0,975.0,961.0,968.0,1688825
2012-04-10,959.5,966.5,950.0,957.5,1899870
2012-04-11,955.0,970.5,954.0,965.0,1947237
2012-04-12,964.5,995.5,964.5,993.5,1664398
2012-04-13,995.0,995.0,977.5,978.0,1315365
2012-04-16,973.0,984.5,973.0,975.0,1162308
2012-04-17,974.5,983.0,965.5,982.0,1910621
2012-04-18,982.0,984.5,973.5,984.5,953924
2012-04-19,989.5,999.0,984.5,996.5,1599531
