Date,Open,High,Low,Close,Volume
2012-01-03,102.5,103.7,101.1,103.7,364412
2012-01-04,102.4,103.6,102.1,102.7,201335
2012-01-05,102.6,103.6,102.3,102.7,644797
2012-01-06,103.1,103.61,102.2,103.0,427569
2012-01-09,102.3,103.3,102.1,102.9,397760
2012-01-10,102.1,103.9,102.1,103.7,372789
2012-01-11,103.0,103.3,102.0,102.7,275115
2012-01-12,102.7,103.3,102.03,102.7,290871
2012-01-13,102.1,102.9,102.0,102.8,693284
2012-01-16,102.0,103.4,102.0,102.5,677700
2012-01-17,103.5,103.5,102.5,102.5,577506
2012-01-18,102.3,103.12,102.3,102.8,571891
2012-01-19,102.8,103.84,102.3,103.6,1038356
2012-01-20,103.9,103.9,102.8,103.5,653173
2012-01-23,103.6,103.9,103.4,103.9,779374
2012-01-24,103.7,103.74,103.08,103.7,830238
2012-01-25,103.5,103.8,103.1,103.1,580940
2012-01-26,103.1,103.6,103.02,103.6,251042
2012-01-27,102.7,103.8,102.7,103.8,344877
2012-01-30,103.5,103.7,102.8,103.6,400294
2012-01-31,102.8,103.7,102.8,103.6,733208
2012-02-01,103.6,104.0,103.41,103.9,562152
2012-02-02,103.6,104.0,103.6,103.9,1154085
2012-02-03,103.9,103.99,103.6,103.8,683266
2012-02-06,103.7,103.9,103.7,103.8,572794
2012-02-07,103.9,104.0,103.6,103.9,746936
2012-02-08,103.2,103.5,102.7,102.9,683581
2012-02-09,102.9,103.4,102.9,103.0,615692
2012-02-10,103.1,103.5,102.8,103.0,455841
2012-02-13,103.1,103.1,102.6,102.9,41856
2012-02-14,102.9,102.9,102.4,102.4,323303
2012-02-15,103.0,103.0,102.5,102.8,236662
2012-02-16,102.4,102.6,102.2,102.2,298608
2012-02-17,102.2,102.9,102.2,102.9,434040
2012-02-20,102.8,103.24,102.7,103.0,152559
2012-02-21,103.1,103.2,102.5,102.9,377160
2012-02-22,102.8,103.06,102.6,103.0,216662
2012-02-23,102.9,103.0,102.5,102.9,184682
2012-02-24,102.7,102.9,102.5,102.7,352917
2012-02-27,102.8,103.0,102.5,102.6,94810
2012-02-28,103.0,103.0,102.6,103.0,120196
2012-02-29,102.8,103.1,102.6,102.8,218317
2012-03-01,102.7,102.9,102.6,102.7,207081
2012-03-02,102.5,103.0,102.4,102.4,386382
2012-03-05,102.8,102.8,102.1,102.1,382987
2012-03-06,102.0,102.2,101.6,102.0,418331
2012-03-07,101.6,102.0,101.6,101.7,91386
2012-03-08,101.9,102.0,101.5,101.7,371685
2012-03-09,101.5,101.99,101.3,101.6,186919
2012-03-12,101.5,101.8,101.3,101.3,192426
2012-03-13,101.7,102.0,101.4,102.0,372662
2012-03-14,102.0,102.0,101.5,101.8,326084
2012-03-15,101.9,101.9,100.5,101.46,941318
2012-03-16,100.5,101.0,100.4,100.9,1114186
2012-03-19,100.8,101.1,100.5,101.1,282202
2012-03-20,101.0,101.0,100.4,101.0,297741
2012-03-21,100.9,101.0,100.5,100.8,92370
2012-03-22,100.3,100.7,100.3,100.5,158418
2012-03-23,101.0,101.2,100.2,100.7,477054
2012-03-26,101.0,101.0,100.6,101.0,163965
2012-03-27,101.0,101.2,100.9,101.1,574861
2012-03-28,101.0,101.39,100.8,101.2,145095
2012-03-29,100.7,101.4,100.3,100.6,394236
2012-03-30,100.5,101.1,100.4,100.9,327655
2012-04-02,101.1,102.0,100.6,102.0,853605
2012-04-03,101.5,102.1,101.2,101.6,566409
2012-04-04,101.1,102.0,101.1,101.5,146055
