Date,Open,High,Low,Close,Volume
2012-01-03,69.5,69.5,67.0,69.0,64286
2012-01-04,69.0,69.05,68.5,68.5,102472
2012-01-05,69.5,69.5,69.0,69.25,131487
2012-01-06,69.25,69.75,69.0,69.75,56138
2012-01-09,69.5,69.5,69.0,69.0,84797
2012-01-10,70.0,70.59,70.0,70.5,78804
2012-01-11,71.0,71.0,70.0,70.0,16368
2012-01-12,70.5,71.5,70.5,71.25,135135
2012-01-13,71.75,72.0,71.01,72.0,224804
2012-01-16,72.0,72.0,71.25,71.75,252549
2012-01-17,72.0,73.0,72.0,73.0,75891
2012-01-18,73.0,73.5,72.75,73.5,33454
2012-01-19,73.25,76.75,73.25,76.75,204004
2012-01-20,77.5,78.49,76.79,78.25,80499
2012-01-23,78.5,78.5,78.0,78.25,93906
2012-01-24,78.25,78.49,77.5,77.5,84445
2012-01-25,78.25,78.5,76.5,78.0,87815
2012-01-26,78.0,78.11,77.1,77.75,74081
2012-01-27,78.0,78.11,78.0,78.0,33717
2012-01-30,78.25,78.25,76.54,77.75,77718
2012-01-31,78.25,78.25,77.0,78.25,117244
2012-02-01,77.0,78.29,77.0,77.5,173538
2012-02-02,78.5,78.5,78.0,78.0,36555
2012-02-03,78.25,78.29,77.5,78.25,89873
2012-02-06,78.5,78.5,77.5,78.0,121899
2012-02-07,78.0,78.0,77.5,77.5,116369
2012-02-08,77.5,78.25,76.75,77.0,84115
2012-02-09,77.25,78.5,77.25,78.25,99095
2012-02-10,77.0,77.0,76.25,76.25,46672
2012-02-13,78.25,78.5,77.25,78.0,16354
2012-02-14,78.25,78.5,75.0,75.0,52708
2012-02-15,77.0,77.74,75.5,76.75,47125
2012-02-16,77.0,77.2,76.5,76.5,8465
2012-02-17,77.0,77.5,76.5,77.5,65109
2012-02-20,77.5,78.09,76.5,77.5,14775
2012-02-21,76.5,78.0,76.11,76.75,26273
2012-02-22,76.0,76.75,75.75,76.5,4044
2012-02-23,76.25,76.25,75.75,76.0,3886
2012-02-24,77.0,77.0,75.5,75.5,28693
2012-02-27,75.75,75.75,74.5,74.5,28522
2012-02-28,76.5,76.62,76.25,76.25,2665
2012-02-29,75.45,76.0,75.0,76.0,9030
2012-03-01,75.5,75.5,75.25,75.5,9933
2012-03-02,76.0,77.0,74.75,77.0,22855
2012-03-05,75.75,76.0,74.5,74.5,11679
2012-03-06,75.5,75.69,74.25,75.25,43834
2012-03-07,74.25,75.0,72.5,72.5,30877
2012-03-08,74.5,74.59,73.0,73.0,26410
2012-03-09,74.25,74.25,72.5,72.5,10496
2012-03-12,73.25,73.5,72.25,72.25,14831
2012-03-13,73.75,73.75,73.0,73.0,12805
2012-03-14,73.5,73.5,72.5,73.0,18069
2012-03-15,73.0,73.25,72.0,72.25,47975
2012-03-16,72.25,72.89,72.0,72.5,81368
2012-03-19,72.0,73.24,72.0,73.0,10886
2012-03-20,72.0,72.5,72.0,72.5,13398
2012-03-21,72.75,72.75,72.0,72.75,832
2012-03-22,72.0,73.25,71.75,71.75,8161
2012-03-23,72.0,72.57,71.0,71.0,49073
2012-03-26,71.25,72.0,71.0,71.0,25347
2012-03-27,71.25,71.5,70.5,71.0,13768
2012-03-28,71.0,71.25,69.5,71.25,45864
2012-03-29,69.18,71.5,69.18,69.5,16835
2012-03-30,71.25,71.26,69.75,71.25,61282
2012-04-02,71.5,71.5,69.5,70.5,27071
2012-04-03,71.0,71.01,70.25,71.0,22283
2012-04-04,70.0,71.25,70.0,71.25,11812
2012-04-05,71.0,71.25,69.51,71.0,37985
2012-04-10,70.0,71.25,69.0,69.75,66714
2012-04-11,69.5,71.0,68.5,71.0,14654
2012-04-12,70.0,70.75,69.26,69.5,17799
2012-04-13,70.0,71.25,68.75,68.75,2286
2012-04-16,71.0,71.25,69.0,69.0,47083
2012-04-17,70.0,70.0,68.0,69.75,80394
2012-04-18,68.25,69.0,67.64,69.0,17727
2012-04-19,69.0,69.5,68.0,68.75,13809
2012-04-20,68.25,69.0,67.75,67.75,16713
2012-04-23,68.25,68.25,67.66,67.75,30140
2012-04-24,68.5,69.0,67.75,67.75,65085
2012-04-25,69.5,69.5,68.0,68.0,18337
2012-04-26,68.75,68.75,67.5,67.5,20388
2012-04-27,68.75,69.15,67.25,67.25,11505
2012-04-30,69.0,69.5,68.0,68.5,23059
2012-05-01,68.5,69.45,67.76,67.76,1549
2012-05-02,69.75,69.75,68.75,69.75,21255
2012-05-03,68.75,69.75,68.5,69.0,13218
2012-05-04,68.75,68.89,68.0,68.0,16147
2012-05-08,69.5,69.75,68.0,68.0,199932
2012-05-09,68.5,69.0,68.0,68.0,25625
2012-05-10,68.75,69.0,68.25,69.0,8820
2012-05-11,68.0,69.75,68.0,69.75,13337
2012-05-14,68.0,68.4,67.75,67.75,11742
2012-05-15,68.5,68.5,67.0,67.0,29550
2012-05-16,67.25,68.5,67.25,68.5,16146
2012-05-17,67.75,67.75,64.61,67.0,9028
2012-05-18,67.25,67.75,65.0,65.0,6170
2012-05-21,65.5,67.5,65.25,67.5,26577
2012-05-22,65.5,67.5,65.25,67.5,22180
2012-05-23,67.75,67.75,65.0,65.75,22403
2012-05-24,66.0,67.45,65.0,65.0,6092
2012-05-25,65.5,66.96,64.75,64.75,29686
2012-05-28,65.5,67.46,65.0,65.0,5832
2012-05-29,66.0,67.5,66.0,67.5,21023
2012-05-30,67.4,67.25,66.01,67.25,6042
2012-05-31,66.0,67.25,66.0,66.0,32888
2012-06-01,67.25,67.7,65.25,66.25,19913
2012-06-06,66.0,68.0,65.75,67.0,102379
2012-06-07,66.25,67.5,66.01,67.0,23840
2012-06-08,67.5,67.5,65.25,66.5,6716
2012-06-11,67.0,67.47,66.01,66.5,9517
2012-06-12,67.0,68.0,66.5,67.5,23216
2012-06-13,66.0,66.0,64.5,65.0,9415
2012-06-14,65.5,65.97,64.5,65.0,8775
2012-06-15,65.75,66.0,65.0,65.0,164745
2012-06-18,66.5,66.5,65.5,65.5,7850
2012-06-19,66.75,67.0,65.3,66.0,22820
2012-06-20,66.75,66.75,65.0,65.0,7040
2012-06-21,65.0,66.0,65.0,66.0,43418
2012-06-22,65.75,65.75,65.0,65.0,8006
2012-06-25,65.5,65.75,65.0,65.0,948
2012-06-26,64.75,64.9,64.0,64.5,17788
2012-06-27,64.25,65.29,64.25,65.25,12435
2012-06-28,64.5,65.25,64.0,65.25,35028
2012-06-29,65.25,66.56,63.9,66.0,102986
2012-07-02,64.5,67.0,64.25,66.5,88188
2012-07-03,65.25,66.5,65.0,66.5,11258
2012-07-04,66.75,66.75,65.25,66.75,11879
2012-07-05,65.25,66.5,65.0,66.5,20237
2012-07-06,65.0,66.25,65.0,66.25,14977
2012-07-09,66.5,66.75,65.06,66.25,8305
2012-07-10,65.5,66.5,65.5,66.5,5877
2012-07-11,66.0,66.25,64.0,66.25,16233
2012-07-12,66.0,66.13,64.5,66.0,36
2012-07-13,66.0,66.25,64.25,64.75,6838
2012-07-16,65.0,65.75,63.95,65.0,16069
2012-07-17,63.75,65.0,63.7,64.0,47816
2012-07-18,64.5,64.5,63.5,64.5,15690
2012-07-19,64.0,65.0,64.0,65.0,4426
2012-07-20,64.75,65.0,63.75,65.0,12409
2012-07-23,64.25,64.75,63.75,64.5,14293
2012-07-24,64.25,64.36,63.75,64.25,6430
2012-07-25,64.0,64.5,63.61,64.5,40109
2012-07-26,64.5,65.0,64.49,64.5,55010
2012-07-27,64.0,65.5,64.0,65.5,43345
2012-07-30,65.5,65.5,64.5,64.5,18335
2012-07-31,65.5,65.67,64.5,65.5,36214
2012-08-01,65.5,65.5,64.76,65.0,19450
2012-08-02,65.5,65.5,64.5,65.5,158932
2012-08-03,65.5,68.0,65.24,66.0,29714
2012-08-06,66.0,66.5,65.5,66.5,29365
2012-08-07,65.5,68.0,65.5,68.0,18094
2012-08-08,66.5,68.0,66.5,68.0,57292
2012-08-09,67.0,68.0,66.5,68.0,23399
2012-08-10,68.0,68.0,67.0,67.0,8235
2012-08-13,66.5,68.0,66.5,66.5,6186
2012-08-14,67.0,68.0,67.0,68.0,11652
2012-08-15,68.0,68.0,66.5,66.5,7672
2012-08-16,68.0,68.0,66.68,67.0,2411
2012-08-17,68.0,68.0,67.25,67.5,44968
2012-08-20,67.75,68.0,66.75,67.0,29608
2012-08-21,68.0,68.0,66.75,68.0,2111
2012-08-22,66.75,68.0,66.75,67.75,11940
2012-08-23,68.0,68.0,66.5,66.5,8704
2012-08-24,67.0,68.0,68.0,68.0,1184
