Date,Open,High,Low,Close,Volume
2014-06-20,315.0,320.0,311.0,320.0,31685
2014-06-23,320.0,320.0,316.0,320.0,17
2014-06-24,319.92,320.0,315.0,319.5,0
2014-06-25,314.0,318.0,314.0,317.0,9315
2014-06-26,315.0,317.0,315.0,315.0,0
2014-06-27,318.0,318.0,315.0,318.0,618
2014-06-30,318.0,318.0,318.0,318.0,4252
2014-07-01,315.0,319.5,315.0,319.5,0
2014-07-02,320.0,328.0,315.0,322.0,38155
2014-07-03,328.0,333.0,325.5,333.0,5011
2014-07-04,333.0,343.0,330.0,341.0,18318
2014-07-07,341.0,348.0,340.5,348.0,13242
2014-07-08,341.0,345.48,340.0,345.48,0
2014-07-09,345.0,345.5,340.0,344.0,45857
2014-07-10,340.0,345.5,332.03,338.0,16065
2014-07-11,330.0,337.0,330.0,337.0,2644
2014-07-14,330.0,337.0,327.0,337.0,18406
2014-07-15,336.0,339.0,335.0,336.5,9039
2014-07-16,340.0,340.0,329.0,334.0,84800
2014-07-17,337.0,337.0,329.0,329.0,2837
2014-07-18,337.0,337.0,333.0,337.0,2274
2014-07-21,337.0,337.0,336.0,337.0,799
2014-07-22,337.0,337.0,333.0,335.0,697
2014-07-23,337.0,337.0,333.0,337.0,7783
2014-07-24,337.0,337.0,329.0,329.0,4095
2014-07-25,329.5,336.0,329.0,329.0,378
2014-07-28,329.25,332.0,329.0,332.0,43577
2014-07-29,330.5,334.0,330.25,332.0,6204
2014-07-30,335.47,335.47,333.0,333.0,0
2014-07-31,329.0,335.0,329.0,335.0,2
2014-08-01,333.0,335.0,331.0,333.0,0
2014-08-04,334.0,334.0,333.0,333.0,0
2014-08-05,337.0,341.0,330.0,341.0,16504
2014-08-06,341.0,348.0,337.5,346.5,23090
2014-08-07,348.0,348.0,343.5,346.0,13744
2014-08-08,344.75,347.5,342.5,347.5,27449
2014-08-11,345.0,345.0,345.0,345.0,1215
2014-08-12,344.75,347.5,344.5,345.0,42035
2014-08-13,345.0,347.5,343.0,345.0,47100
2014-08-14,344.5,345.0,342.5,345.0,11392
2014-08-15,347.5,351.5,344.47,350.0,18448
2014-08-18,350.0,363.5,350.0,360.0,37726
2014-08-19,360.0,361.25,359.5,360.0,26325
2014-08-20,360.0,365.0,358.92,365.0,37198
2014-08-21,365.0,365.0,364.5,365.0,9628
2014-08-22,360.0,365.65,360.0,360.0,138
2014-08-26,366.0,366.0,362.0,365.7,1600
2014-08-27,365.0,365.0,362.0,365.0,0
2014-08-28,365.0,365.0,360.95,364.45,0
2014-08-29,365.0,365.0,364.45,365.0,2
2014-09-01,366.0,366.0,360.0,362.5,4484
2014-09-02,361.0,366.0,358.25,361.5,47472
2014-09-03,363.0,363.0,359.0,362.5,14533
2014-09-04,358.25,362.75,353.25,360.0,40563
2014-09-05,363.0,363.0,355.5,355.5,41852
2014-09-08,357.0,365.0,355.5,361.75,114684
2014-09-09,362.75,367.0,362.0,367.0,104698
2014-09-10,365.0,372.0,363.13,370.1,134156
2014-09-11,367.25,369.0,358.0,360.8,40267
2014-09-12,363.0,365.75,361.62,363.2,32333
2014-09-15,365.0,370.0,364.95,370.0,96510
2014-09-16,363.5,371.43,363.0,366.0,28760
2014-09-17,366.0,366.0,360.0,363.25,62612
2014-09-18,366.0,366.0,355.75,359.75,106987
2014-09-19,362.0,362.0,354.5,356.0,1526621
2014-09-22,358.0,358.0,356.5,358.0,3299
2014-09-23,356.0,358.0,353.0,358.0,26087
2014-09-24,357.75,359.0,355.0,355.0,12830
2014-09-25,359.0,360.0,356.25,359.0,13530
2014-09-26,359.75,359.75,355.25,359.0,4697
2014-09-29,357.5,358.75,357.0,358.0,2267
2014-09-30,357.0,358.5,355.25,356.5,17161
2014-10-01,354.25,359.0,353.75,356.5,27458
2014-10-02,356.0,359.25,354.25,354.25,23615
2014-10-03,357.75,357.75,354.5,354.5,637
2014-10-06,358.0,358.0,354.75,357.5,18100
2014-10-07,354.75,356.0,353.25,355.5,4852
2014-10-08,353.25,359.0,353.25,356.0,4777
2014-10-09,359.0,359.0,346.25,350.5,33847
2014-10-10,347.0,347.09,319.42,329.0,66776
2014-10-13,325.25,333.25,325.0,333.25,13346
2014-10-14,326.75,331.81,319.5,330.0,33342
2014-10-15,325.0,329.5,315.0,321.18,65097
2014-10-16,324.25,325.0,318.75,322.0,12228
2014-10-17,324.25,325.0,315.75,325.0,32876
2014-10-20,327.0,327.43,321.0,327.25,10378
2014-10-21,322.25,328.0,322.25,328.0,17762
2014-10-22,324.0,326.62,323.25,324.5,697
2014-10-23,324.25,325.88,322.0,322.75,11897
2014-10-24,320.0,324.75,320.0,323.5,3795
2014-10-27,329.0,329.0,320.0,324.0,15696
2014-10-28,328.0,328.5,325.0,326.5,51057
2014-10-29,330.0,337.5,328.25,337.5,22675
2014-10-30,337.5,339.0,332.75,334.5,22607
2014-10-31,337.5,343.0,337.5,337.75,17866
2014-11-03,337.0,343.0,337.0,338.25,11142
2014-11-04,337.0,345.0,337.0,344.0,18236
2014-11-05,344.5,345.0,338.75,342.75,31421
2014-11-06,338.0,344.77,337.0,337.25,6890
2014-11-07,338.75,340.75,337.0,340.75,6403
2014-11-10,342.0,342.0,338.5,338.5,2578
2014-11-11,341.75,341.75,337.25,340.0,2255
2014-11-12,337.0,348.75,337.0,348.75,11174
2014-11-13,340.0,342.5,339.0,341.25,54146
2014-11-14,340.0,344.06,340.0,340.0,2869
2014-11-17,339.5,343.56,339.25,340.0,45427
2014-11-18,344.5,344.5,340.25,340.5,1252
2014-11-19,345.0,345.0,340.0,340.0,3679
2014-11-20,340.0,343.25,340.0,340.0,17600
2014-11-21,340.25,341.0,340.0,340.0,245
2014-11-24,339.0,342.75,339.0,342.5,129
2014-11-25,340.75,349.5,340.75,349.5,23765
2014-11-26,343.0,350.0,343.0,350.0,9511
2014-11-27,350.0,350.75,346.0,350.75,516
2014-11-28,352.0,352.0,352.0,352.0,147
2014-12-01,345.0,347.25,345.0,345.0,38
2014-12-02,345.5,352.25,345.5,352.0,2433
2014-12-03,343.5,346.0,340.0,340.0,9984
2014-12-04,346.75,346.75,342.0,346.25,573
2014-12-05,346.0,365.0,343.75,360.0,38661
2014-12-08,358.75,359.0,356.19,359.0,1425
2014-12-09,,,,359.0,0
2014-12-10,360.0,360.0,356.44,360.0,5150
2014-12-11,360.0,360.0,353.0,353.0,3190
2014-12-12,353.0,353.5,353.0,353.0,1056
2014-12-15,353.5,353.5,353.0,353.0,5490
2014-12-16,353.0,353.5,350.0,350.0,5429
2014-12-17,351.0,352.88,351.0,351.0,6
2014-12-18,359.25,360.0,350.0,353.5,2758
2014-12-19,356.75,368.0,356.75,368.0,18936
2014-12-22,356.5,358.0,345.0,353.0,32459
2014-12-23,355.0,356.0,350.25,356.0,160
2014-12-24,350.5,354.62,350.0,350.0,2401
2014-12-29,349.25,356.0,348.5,356.0,7990
2014-12-30,348.25,356.0,348.25,356.0,1993
2014-12-31,353.0,353.0,353.0,353.0,0
2015-01-05,350.5,352.5,346.25,350.0,306
2015-01-06,352.0,352.0,346.25,350.0,405
2015-01-07,346.25,348.0,346.0,346.0,79
2015-01-08,346.0,350.0,346.0,346.0,353
2015-01-09,350.0,350.0,347.94,350.0,45
2015-01-12,346.25,348.25,346.25,347.5,827
2015-01-13,349.5,349.94,348.0,348.0,1465
2015-01-14,354.75,354.75,346.25,346.5,1417
2015-01-15,355.0,355.0,348.25,348.75,513
2015-01-16,350.0,352.5,346.25,352.5,3619
2015-01-19,350.5,352.25,348.25,349.25,315
