Date,Open,High,Low,Close,Volume
2012-01-03,1515.0,1546.0,1507.0,1546.0,25193
2012-01-04,1540.0,1564.0,1526.0,1564.0,40152
2012-01-05,1562.0,1581.12,1540.0,1580.0,58919
2012-01-06,1576.0,1627.0,1570.0,1612.0,30288
2012-01-09,1610.0,1635.0,1610.0,1615.85,69210
2012-01-10,1608.0,1631.0,1608.0,1626.0,32691
2012-01-11,1617.0,1641.0,1611.0,1632.0,82392
2012-01-12,1638.0,1638.0,1572.0,1598.0,140551
2012-01-13,1593.0,1631.0,1592.0,1621.0,61188
2012-01-16,1631.0,1631.0,1606.0,1623.0,10824
2012-01-17,1627.0,1669.0,1605.0,1663.0,123478
2012-01-18,1656.0,1691.85,1642.0,1677.0,27063
2012-01-19,1665.0,1686.98,1637.0,1680.0,28323
2012-01-20,1674.0,1762.0,1617.0,1678.0,20053
2012-01-23,1689.0,1690.0,1669.0,1680.0,41326
2012-01-24,1669.0,1678.0,1658.0,1670.0,28200
2012-01-25,1666.0,1696.0,1651.0,1670.0,26972
2012-01-26,1669.0,1686.0,1669.0,1676.0,12869
2012-01-27,1678.0,1679.0,1658.0,1664.66,260220
2012-01-30,1664.0,1674.0,1629.27,1669.0,56197
2012-01-31,1675.0,1687.0,1650.0,1665.0,38415
2012-02-01,1657.0,1692.0,1655.0,1674.0,41748
2012-02-02,1671.0,1671.0,1635.0,1668.0,179755
2012-02-03,1660.0,1695.0,1619.0,1660.0,137694
2012-02-06,1665.0,1686.0,1602.0,1676.0,40435
2012-02-07,1683.0,1723.0,1658.0,1691.0,593217
2012-02-08,1651.0,1702.0,1651.0,1698.0,163715
2012-02-09,1721.0,1753.0,1693.0,1702.0,142916
2012-02-10,1621.0,1703.0,1621.0,1697.0,209571
2012-02-13,1665.0,1685.0,1612.77,1612.77,62320
2012-02-14,1682.0,1682.0,1578.0,1587.0,62706
2012-02-15,1585.0,1630.0,1576.89,1627.0,64250
2012-02-16,1620.0,1650.0,1562.0,1649.0,49432
2012-02-17,1649.0,1674.0,1640.0,1673.0,45931
2012-02-20,1666.0,1766.0,1661.98,1766.0,87584
2012-02-21,1760.0,1777.0,1731.0,1742.9,63658
2012-02-22,1740.0,1749.0,1706.0,1706.0,67036
2012-02-23,1711.0,1716.0,1680.0,1689.0,61816
2012-02-24,1699.0,1699.0,1662.0,1665.0,44168
2012-02-27,1675.0,1675.0,1648.0,1660.0,35820
2012-02-28,1676.0,1676.0,1641.0,1658.0,16543
2012-02-29,1656.0,1669.0,1647.0,1660.0,33598
2012-03-01,1652.0,1667.0,1643.62,1652.0,21986
2012-03-02,1646.0,1674.0,1645.01,1655.0,37759
2012-03-05,1655.0,1655.0,1629.0,1630.0,31497
2012-03-06,1631.0,1646.0,1597.0,1597.0,70753
2012-03-07,1600.0,1616.0,1585.0,1585.0,36640
2012-03-08,1595.0,1615.0,1589.0,1597.0,47180
2012-03-09,1600.0,1618.0,1585.0,1601.0,38758
2012-03-12,1605.0,1609.49,1587.0,1594.52,23245
2012-03-13,1604.53,1636.0,1595.0,1617.45,45358
2012-03-14,1645.0,1662.0,1634.0,1641.28,43841
2012-03-15,1647.0,1647.0,1610.0,1642.14,37541
2012-03-16,1641.0,1674.0,1630.0,1674.0,79863
2012-03-19,1674.0,1703.0,1656.0,1662.0,24613
2012-03-20,1666.0,1676.0,1636.0,1652.0,31631
2012-03-21,1662.0,1683.0,1634.0,1659.0,20928
2012-03-22,1663.0,1663.0,1628.0,1648.0,16777
2012-03-23,1659.0,1666.0,1631.0,1666.0,29170
2012-03-26,1672.0,1694.0,1656.0,1684.0,38372
2012-03-27,1689.0,1699.0,1655.0,1659.0,25131
2012-03-28,1672.0,1672.0,1630.0,1639.0,46321
2012-03-29,1633.0,1650.0,1607.0,1618.0,33022
2012-03-30,1629.0,1670.0,1609.0,1655.0,71947
2012-04-02,1651.0,1654.0,1639.0,1647.0,33107
2012-04-03,1642.0,1648.0,1620.0,1639.0,26305
2012-04-04,1628.0,1630.42,1574.0,1575.0,32198
2012-04-05,1581.0,1591.0,1550.0,1574.22,38638
2012-04-10,1564.0,1573.0,1503.0,1524.0,60147
2012-04-11,1526.0,1555.0,1526.0,1553.0,36535
2012-04-12,1558.0,1591.0,1555.0,1588.0,24023
2012-04-13,1581.0,1613.0,1570.0,1585.0,62882
2012-04-16,1578.0,1594.0,1560.0,1590.0,42470
2012-04-17,1570.0,1598.0,1506.0,1556.6,46868
2012-04-18,1567.0,1567.0,1518.0,1530.0,64259
2012-04-19,1540.0,1540.0,1491.0,1522.0,47036
2012-04-20,1531.0,1561.0,1471.0,1543.0,40987
2012-04-23,1531.0,1534.0,1488.0,1506.0,29824
2012-04-24,1510.0,1544.0,1510.0,1531.0,39799
2012-04-25,1471.0,1481.0,1459.0,1479.0,38949
2012-04-26,1478.0,1495.0,1470.0,1487.67,34490
2012-04-27,1484.0,1508.0,1474.0,1499.0,27158
2012-04-30,1541.0,1559.0,1523.0,1550.0,89029
2012-05-01,1545.0,1555.1,1518.0,1529.27,40801
2012-05-02,1548.0,1571.0,1534.0,1550.0,50493
2012-05-03,1556.0,1567.0,1556.0,1564.0,34315
2012-05-04,1564.0,1564.0,1544.0,1548.0,48011
2012-05-08,1560.0,1563.0,1521.0,1529.0,38941
2012-05-09,1538.0,1548.0,1526.0,1532.0,32848
2012-05-10,1548.0,1548.0,1496.0,1500.0,45013
2012-05-11,1506.0,1529.0,1500.0,1523.0,31070
2012-05-14,1510.0,1526.0,1486.0,1496.0,19668
2012-05-15,1500.0,1515.0,1468.0,1488.0,26141
2012-05-16,1479.0,1486.0,1459.0,1464.0,27243
2012-05-17,1461.0,1475.0,1450.0,1452.0,24933
2012-05-18,1446.0,1460.0,1425.4,1449.0,43642
2012-05-21,1446.0,1455.0,1441.0,1441.0,12409
2012-05-22,1450.0,1472.0,1436.0,1465.98,34763
2012-05-23,1444.0,1466.0,1444.0,1457.0,36809
2012-05-24,1485.0,1494.0,1466.0,1472.0,23117
2012-05-25,1536.0,1536.0,1486.0,1491.0,29535
2012-05-28,1504.0,1526.0,1500.0,1502.0,6098
2012-05-29,1509.0,1582.9,1509.0,1527.0,18046
2012-05-30,1518.0,1532.78,1492.0,1496.0,23573
