Date,Open,High,Low,Close,Volume
2012-01-03,68.75,70.95,68.75,69.21,74768.0
2012-01-04,70.0,72.0,70.0,70.0,74801.0
2012-01-05,70.0,74.0,69.3,70.5,55820.0
2012-01-06,70.75,72.52,69.25,70.25,90496.0
2012-01-09,69.25,72.33,68.0,68.0,40523.0
2012-01-10,55.0,57.4,47.0,55.0,1650389.0
2012-01-11,54.75,59.99,54.55,57.0,523949.0
2012-01-12,58.0,61.75,57.73,61.0,355642.0
2012-01-13,61.0,61.48,60.0,60.36,102630.0
2012-01-16,60.5,60.98,57.55,59.72,121401.0
2012-01-17,60.0,62.0,58.55,62.0,64820.0
2012-01-18,61.0,61.75,59.75,61.75,61876.0
2012-01-19,61.75,63.25,60.57,62.03,56206.0
2012-01-20,63.0,63.86,61.25,61.25,79437.0
2012-01-23,59.75,63.6,59.25,60.91,78405.0
2012-01-24,59.25,60.91,59.25,59.5,29632.0
2012-01-25,61.0,62.0,60.15,60.15,39839.0
2012-01-26,60.0,61.89,59.0,60.33,279003.0
2012-01-27,60.0,62.0,59.0,59.0,153792.0
2012-01-30,61.0,61.0,59.0,59.0,93072.0
2012-01-31,62.0,62.0,60.05,60.2,73134.0
2012-02-01,61.0,64.1,61.0,63.41,65529.0
2012-02-02,65.75,66.5,63.2,66.5,59843.0
2012-02-03,66.39,0.0,64.48,64.66,31343.0
2012-02-06,65.5,66.75,64.29,65.99,69315.0
2012-02-07,66.5,67.0,64.88,67.0,27363.0
2012-02-08,64.5,64.5,64.5,64.5,9576.0
2012-02-09,66.5,66.9,62.5,64.5,130818.0
2012-02-10,65.0,67.75,63.25,63.25,127465.0
2012-02-13,,,,64.35,0.0
2012-02-14,63.25,64.74,60.0,60.5,30938.0
2012-02-15,62.0,62.99,60.0,60.0,16495.0
2012-02-16,63.0,63.0,62.0,62.0,7330.0
2012-02-17,,,,62.0,0.0
2012-02-20,64.0,68.78,62.2,66.5,68180.0
2012-02-21,68.0,73.0,67.33,71.0,154296.0
2012-02-22,71.0,71.95,70.8,71.0,36509.0
2012-02-23,70.75,71.45,68.25,68.75,18178.0
2012-02-24,69.0,71.25,68.75,68.75,2050.0
2012-02-27,68.25,70.7,67.95,68.0,34122.0
2012-02-28,,,,70.83,0.0
2012-02-29,70.0,71.0,67.86,70.0,13614.0
2012-03-01,70.0,70.7,69.41,70.0,10347.0
2012-03-02,70.5,70.5,70.0,70.0,62513.0
2012-03-05,69.0,70.38,69.0,70.08,520.0
2012-03-06,69.0,70.46,67.55,68.52,15537.0
2012-03-07,68.5,69.95,68.5,68.5,19573.0
2012-03-08,71.0,72.08,68.45,69.5,11148.0
2012-03-09,69.0,70.0,66.68,68.0,63772.0
2012-03-12,67.25,69.36,67.0,67.5,315.0
2012-03-13,67.0,68.76,67.0,67.25,134.0
2012-03-14,65.0,68.63,64.5,64.5,17087.0
2012-03-15,64.5,65.45,63.58,64.5,10929.0
2012-03-16,64.0,65.58,63.0,63.0,20733.0
2012-03-19,65.5,66.5,65.0,66.5,56788.0
2012-03-20,67.0,72.0,65.55,72.0,126117.0
2012-03-21,72.0,73.0,71.0,72.5,41931.0
2012-03-22,,,,70.66,0.0
2012-03-23,70.25,71.56,70.0,70.0,503.0
2012-03-26,,,,70.75,0.0
2012-03-27,71.45,71.45,70.0,70.0,16.0
2012-03-28,70.25,71.45,70.25,70.35,5000.0
2012-03-29,,,,70.68,0.0
2012-03-30,71.5,71.5,69.75,71.0,919.0
2012-04-02,70.0,71.41,68.88,69.25,18462.0
2012-04-03,69.0,70.42,68.75,68.75,10096.0
2012-04-04,,,,68.35,0.0
2012-04-05,,,,68.28,0.0
2012-04-10,70.25,73.64,70.25,71.0,39368.0
2012-04-11,,,,71.5,0.0
2012-04-12,,,,70.62,0.0
2012-04-13,,,,72.5,0.0
