Date,Open,High,Low,Close,Volume
2016-04-21,180.0,182.0,175.0,179.73,9762314
2016-04-22,175.0,178.25,172.25,176.75,1962500
2016-04-25,176.75,177.0,176.75,176.75,707926
2016-04-26,178.0,178.0,176.0,176.0,854211
2016-04-27,176.0,180.0,175.95,176.0,109528
2016-04-28,176.0,178.0,173.0,173.0,419620
2016-04-29,173.0,176.0,171.0,172.5,394781
2016-05-03,172.0,172.0,163.58,170.75,429907
2016-05-04,173.0,173.0,170.0,171.0,9931
2016-05-05,174.0,174.0,167.25,167.75,462409
2016-05-06,167.0,168.5,167.0,167.0,60368
2016-05-09,167.0,167.95,165.0,165.0,154264
2016-05-10,166.0,166.5,165.5,166.0,351479
2016-05-11,165.5,169.0,165.5,167.25,6761
2016-05-12,170.0,172.0,168.0,168.0,483038
2016-05-13,166.0,170.0,166.0,167.0,78840
2016-05-16,167.0,168.9,167.0,168.0,12200
2016-05-17,171.0,171.0,167.25,169.25,111912
2016-05-18,171.0,172.0,168.0,170.75,17748
2016-05-19,168.0,171.0,168.0,171.0,24225
2016-05-20,172.0,180.0,169.0,177.0,65294
2016-05-23,175.0,181.0,175.0,180.0,293211
2016-05-24,172.0,181.0,172.0,177.0,178362
2016-05-25,175.0,181.0,175.0,178.0,80911
2016-05-26,175.0,175.0,165.0,168.5,161899
2016-05-27,160.0,175.0,160.0,170.0,37816
2016-05-31,170.0,174.75,170.0,173.75,19367
2016-06-01,178.25,183.5,171.5,179.25,112083
2016-06-02,183.0,184.26,170.25,181.0,78272
2016-06-03,178.0,183.82,178.0,181.5,61622
2016-06-09,181.0,188.0,181.0,183.0,63059
2016-06-10,183.5,185.0,182.5,183.75,36755
2016-06-13,187.75,187.75,171.0,173.0,80069
2016-06-14,173.0,173.25,165.0,165.0,66135
2016-06-15,165.0,167.75,161.5,164.5,88553
2016-06-16,164.5,173.25,164.5,171.5,34078
2016-06-17,168.0,171.5,165.75,165.75,2019914
2016-06-20,170.0,171.8,165.0,171.25,47326
2016-06-21,170.0,175.0,170.0,175.0,27842
2016-06-22,176.5,184.0,171.48,177.0,117307
2016-06-23,183.0,183.0,178.0,180.0,17566
2016-06-24,165.0,165.0,154.68,160.0,103657
2016-06-27,157.0,157.0,134.5,142.75,117567
2016-06-28,147.0,147.0,136.25,142.0,48023
2016-06-29,145.75,149.0,143.25,144.25,61532
2016-06-30,143.0,149.0,140.75,144.0,271557
2016-07-01,144.0,144.75,136.0,138.75,87864
2016-07-04,138.75,141.25,128.5,128.75,65699
2016-07-05,128.25,128.25,112.0,123.5,160492
2016-07-06,114.0,117.75,112.43,113.0,36995
2016-07-07,113.0,114.75,110.75,112.0,37882
2016-07-08,112.0,118.05,110.75,111.0,53810
2016-07-11,110.0,122.48,110.0,116.25,161253
2016-07-12,119.75,122.2,117.5,117.5,65784
2016-07-13,123.25,126.5,120.0,120.0,21602
2016-07-14,122.0,124.05,120.0,120.0,15297
2016-07-15,120.0,122.2,116.5,116.5,24779
2016-07-18,118.25,123.25,117.0,117.0,13832
2016-07-19,117.0,122.7,117.0,118.0,18660
2016-07-20,117.0,122.0,117.0,119.0,4610
2016-07-21,118.25,125.13,118.25,122.0,20705
2016-07-22,122.0,126.14,122.0,124.0,5912
2016-07-25,124.0,127.0,123.75,126.5,33694
2016-07-26,126.0,126.0,121.0,124.0,30931
2016-07-27,127.0,127.35,124.5,126.0,37569
2016-07-28,125.0,129.0,125.0,126.0,22668
2016-07-29,125.0,137.0,125.0,135.25,47985
2016-08-01,138.0,144.0,136.75,140.0,23768
2016-08-02,135.0,142.0,135.0,139.5,19679
2016-08-03,140.0,147.12,140.0,145.25,69224
2016-08-04,140.25,148.0,140.0,146.75,66378
2016-08-05,147.75,150.5,145.75,150.0,41049
2016-08-08,150.0,151.0,148.65,151.0,53675
2016-08-09,151.25,153.0,144.51,148.5,78882
2016-08-10,148.75,149.0,146.25,149.0,26568
2016-08-11,149.75,149.75,144.75,145.0,61611
2016-08-12,145.0,154.25,144.5,149.25,62634
2016-08-15,151.0,153.38,144.85,147.0,4614
2016-08-16,150.0,150.8,146.5,150.0,76651
2016-08-17,145.25,151.0,145.25,148.0,74455
2016-08-18,145.0,153.5,144.5,153.5,42397
2016-08-19,148.0,152.5,146.31,148.75,24639
2016-08-22,145.0,149.5,145.0,148.0,26788
2016-08-23,145.75,151.58,145.75,150.0,19728
2016-08-24,149.0,150.0,149.0,150.0,1600
2016-08-25,155.0,159.8,151.66,155.0,18532
2016-08-26,154.75,165.81,154.75,160.75,29983
2016-08-30,163.25,170.0,162.0,167.0,45140
2016-08-31,170.0,170.0,165.28,169.75,103507
2016-09-01,170.0,172.0,169.07,169.75,73347
2016-09-02,167.5,169.0,165.0,166.75,125674
2016-09-05,168.0,168.0,166.5,167.0,7167
2016-09-06,168.0,169.75,165.25,166.0,60187
2016-09-07,168.25,169.78,162.25,163.0,67640
2016-09-08,164.5,166.35,160.0,163.5,31434
2016-09-09,166.0,166.0,159.0,163.75,87131
2016-09-12,162.0,164.28,157.68,160.0,27505
2016-09-13,159.25,166.0,159.25,164.75,30220
2016-09-14,165.0,165.0,163.0,163.0,23102
2016-09-15,167.0,167.0,160.25,161.25,67476
2016-09-16,164.0,165.0,160.0,165.0,196739
2016-09-19,165.0,165.25,160.0,162.5,19285
2016-09-20,163.0,167.0,162.75,162.75,12167
2016-09-21,164.0,165.0,162.0,162.0,99678
2016-09-22,162.75,166.0,162.75,163.0,84271
2016-09-23,163.0,167.0,163.0,165.75,62513
2016-09-26,166.0,168.75,165.0,165.5,17884
2016-09-27,165.25,168.38,158.68,162.0,97754
2016-09-28,162.0,168.0,162.0,168.0,12757
2016-09-29,165.5,168.0,162.46,168.0,14564
2016-09-30,162.75,168.0,162.75,168.0,2479
2016-10-03,166.0,172.0,164.4,170.0,20802
2016-10-04,172.5,180.0,170.25,172.0,80249
2016-10-05,174.0,176.5,170.5,175.0,43773
2016-10-06,170.75,177.0,170.75,176.0,17430
2016-10-07,173.5,177.75,172.69,177.75,11316
2016-10-10,172.75,178.0,172.0,175.0,9624
2016-10-11,175.0,177.0,174.0,176.25,6415
2016-10-12,175.5,177.0,173.0,177.0,9611
2016-10-13,177.0,180.0,174.44,175.5,26436
2016-10-14,180.0,184.75,175.9,180.0,46259
2016-10-17,176.0,179.0,174.0,174.0,14386
2016-10-18,175.0,183.75,174.4,183.75,27822
2016-10-19,175.0,181.75,175.0,175.0,12234
2016-10-20,175.0,180.0,175.0,178.0,35389
2016-10-21,169.75,175.0,165.0,171.0,183857
2016-10-24,175.0,175.0,169.0,170.0,44839
2016-10-25,171.25,174.0,169.0,170.25,149880
2016-10-26,173.0,173.0,170.0,171.25,33665
2016-10-27,173.0,173.0,171.25,171.75,17997
2016-10-28,175.0,178.0,171.0,178.0,40454
2016-10-31,178.0,178.0,176.1,178.0,18424
2016-11-01,178.0,184.0,172.8,180.0,16710
2016-11-02,180.0,180.0,167.0,178.0,136837
2016-11-03,180.0,180.25,177.0,180.25,30931
2016-11-04,177.0,177.0,175.0,176.0,33008
2016-11-07,178.0,178.0,176.5,177.75,3812
2016-11-08,179.0,186.0,176.75,176.75,13688
2016-11-09,177.0,179.75,176.16,178.0,5021
2016-11-10,177.0,182.0,176.75,181.75,32966
2016-11-11,180.25,182.0,178.0,180.75,28377
2016-11-14,182.0,182.0,178.0,180.0,20313
2016-11-15,182.0,184.25,179.25,182.0,22345
