Date,Open,High,Low,Close,Volume
2012-01-03,145.0,145.0,144.11,144.11,5844.0
2012-01-04,144.5,144.89,144.5,144.5,26979.0
2012-01-05,144.0,144.8,143.11,144.8,3176.0
2012-01-06,144.8,144.8,144.0,144.0,2088.0
2012-01-09,143.0,143.9,143.0,143.0,4832.0
2012-01-10,142.11,143.0,142.11,142.11,4228.0
2012-01-11,142.0,143.79,142.0,143.0,277816.0
2012-01-12,142.0,144.0,140.65,143.75,337669.0
2012-01-13,143.89,143.89,141.5,143.7,604762.0
2012-01-16,145.0,145.0,140.67,144.6,9632.0
2012-01-17,141.5,145.0,141.5,145.0,19333.0
2012-01-18,145.5,146.0,144.75,146.0,14931.0
2012-01-19,141.5,145.5,141.5,145.5,5199.0
2012-01-20,141.5,143.7,141.5,143.0,5812.0
2012-01-23,141.0,143.7,141.0,141.0,17639.0
2012-01-24,141.5,143.49,141.5,143.49,4250.0
2012-01-25,142.0,143.49,142.0,143.49,12755.0
2012-01-26,143.0,143.49,141.5,143.0,30598.0
2012-01-27,143.0,144.0,140.5,144.0,17191.0
2012-01-30,144.0,144.0,141.0,144.0,9663.0
2012-01-31,141.31,143.7,140.5,140.5,52259.0
2012-02-01,140.0,143.6,138.25,138.25,77542.0
2012-02-02,141.0,141.65,141.0,141.65,9795.0
2012-02-03,143.0,143.0,140.5,142.7,539450.0
2012-02-06,144.0,145.8,144.0,145.8,49297.0
2012-02-07,143.31,146.0,143.31,146.0,3983.0
2012-02-08,146.0,148.2,145.5,145.5,28768.0
2012-02-09,145.01,148.5,145.01,148.5,4498.0
2012-02-10,147.0,148.6,145.51,148.6,9465.0
2012-02-13,149.0,149.7,147.3,149.7,2201.0
2012-02-14,150.5,151.5,151.0,151.0,1065.0
2012-02-15,152.0,152.0,146.0,152.0,2000.0
2012-02-16,,,,153.0,0.0
2012-02-17,153.5,155.29,151.21,155.29,1956.0
2012-02-20,156.0,157.29,152.1,157.29,2000.0
2012-02-21,159.0,159.49,153.51,159.0,2000.0
2012-02-22,159.0,160.0,155.5,157.49,5953.0
2012-02-23,,,,157.3,0.0
2012-02-24,157.5,157.5,155.7,156.01,10000.0
