Date,Open,High,Low,Close,Volume
2012-01-03,289.8,294.0,289.4,294.0,361710
2012-01-04,294.0,294.0,287.0,290.4,339782
2012-01-05,287.7,289.7,286.6,288.8,470708
2012-01-06,287.1,290.7,287.1,290.7,230956
2012-01-09,288.4,290.5,287.6,289.7,418825
2012-01-10,292.0,295.7,290.4,294.1,358026
2012-01-11,293.2,294.0,291.7,293.5,260201
2012-01-12,292.4,296.37,291.48,294.0,322250
2012-01-13,295.2,295.98,290.2,294.3,512045
2012-01-16,290.8,296.0,290.8,296.0,256675
2012-01-17,297.9,300.0,296.7,298.5,484393
2012-01-18,295.1,299.7,295.1,297.7,334715
2012-01-19,298.0,301.9,296.78,299.8,1061151
2012-01-20,301.0,301.5,297.8,300.1,191989
2012-01-23,300.0,301.3,297.8,300.5,438692
2012-01-24,299.1,301.4,296.26,297.8,752101
2012-01-25,298.0,300.0,295.54,298.1,481222
2012-01-26,300.0,301.5,296.67,300.9,426017
2012-01-27,296.7,301.0,296.7,298.8,355251
2012-01-30,296.2,299.3,294.5,296.1,439469
2012-01-31,296.1,298.9,295.0,295.7,562500
2012-02-01,299.0,300.9,297.4,300.3,527535
2012-02-02,299.8,300.9,298.0,300.4,642609
2012-02-03,300.9,304.4,298.9,304.3,630509
2012-02-06,303.2,304.7,301.02,304.0,375185
2012-02-07,301.6,305.0,301.4,304.9,516062
2012-02-08,306.9,307.0,304.75,305.5,519673
2012-02-09,305.0,307.4,305.0,306.0,371489
2012-02-10,303.9,306.5,302.9,304.3,649483
2012-02-13,307.2,307.2,304.5,306.4,267488
2012-02-14,307.2,307.8,305.5,307.0,317523
2012-02-15,308.2,309.2,305.8,308.2,443377
2012-02-16,305.5,306.9,304.0,306.9,186193
2012-02-17,309.2,309.2,306.92,308.8,209225
2012-02-20,309.1,311.8,307.64,310.7,230475
2012-02-21,311.0,312.2,308.6,310.7,222712
2012-02-22,311.3,312.3,308.56,311.0,259707
2012-02-23,311.1,312.5,309.0,312.5,244608
2012-02-24,314.9,314.9,310.7,312.3,337404
2012-02-27,311.8,314.17,308.2,312.3,215543
2012-02-28,312.1,314.0,310.74,312.8,157545
2012-02-29,312.1,313.2,310.9,310.9,92928
2012-03-01,309.5,312.5,309.5,311.8,182656
2012-03-02,311.2,312.4,310.3,311.9,208039
2012-03-05,310.9,312.3,308.8,310.0,187859
2012-03-06,310.6,310.6,304.9,306.5,209873
2012-03-07,306.0,308.0,305.0,305.8,126879
2012-03-08,307.2,311.6,307.2,310.6,320077
2012-03-09,311.5,313.1,310.0,312.2,285759
2012-03-12,312.5,313.0,310.7,313.0,198434
2012-03-13,313.0,316.7,310.4,316.7,321533
2012-03-14,317.6,319.1,315.4,316.5,331216
2012-03-15,315.0,317.9,314.0,316.8,625080
2012-03-16,314.0,317.4,314.0,316.3,959021
2012-03-19,316.6,317.4,313.84,315.6,227717
2012-03-20,314.2,316.9,312.84,313.9,334180
2012-03-21,313.89,315.6,313.4,315.6,251748
