Date,Open,High,Low,Close,Volume
2012-01-03,1564.0,1594.0,1549.0,1594.0,558107
2012-01-04,1597.0,1625.0,1538.0,1569.0,614117
2012-01-05,1579.0,1636.0,1573.0,1620.0,652703
2012-01-06,1615.0,1669.0,1599.0,1661.0,660756
2012-01-09,1667.0,1707.6,1628.8,1638.0,826600
2012-01-10,1662.0,1747.0,1649.0,1732.0,904916
2012-01-11,1734.0,1786.0,1723.0,1757.0,727406
2012-01-12,1768.0,1823.98,1732.0,1733.0,571262
2012-01-13,1740.0,1749.0,1648.0,1687.0,857575
2012-01-16,1686.0,1715.0,1680.0,1707.0,573505
2012-01-17,1736.0,1755.0,1724.0,1753.0,438405
2012-01-18,1758.0,1775.0,1716.0,1765.0,492530
2012-01-19,1769.0,1797.0,1734.0,1768.0,511621
2012-01-20,1777.0,1777.0,1721.0,1725.0,602954
2012-01-23,1726.0,1789.0,1708.7,1784.0,597713
2012-01-24,1781.0,1790.0,1737.0,1752.0,713766
2012-01-25,1770.0,1785.0,1710.0,1743.0,524923
2012-01-26,1786.0,1831.0,1772.0,1817.0,1079613
2012-01-27,1812.0,1842.0,1797.0,1801.0,692890
2012-01-30,1790.0,1803.0,1760.0,1775.0,707268
2012-01-31,1804.0,1804.0,1736.0,1736.0,918025
2012-02-01,1755.0,1815.0,1728.0,1806.0,532128
2012-02-02,1826.0,1857.0,1801.0,1848.0,550068
2012-02-03,1844.0,1853.0,1823.57,1850.0,396859
2012-02-06,1843.0,1849.87,1804.0,1817.0,517040
2012-02-07,1825.0,1836.0,1780.0,1801.0,490794
2012-02-08,1812.0,1840.0,1792.0,1797.0,293443
2012-02-09,1805.0,1809.0,1775.0,1793.0,494213
2012-02-10,1779.0,1796.0,1742.0,1754.0,642257
2012-02-13,1773.0,1804.0,1763.0,1773.0,270706
2012-02-14,1764.0,1784.0,1743.0,1784.0,418423
2012-02-15,1807.0,1807.0,1748.0,1762.0,604402
2012-02-16,1756.0,1756.0,1704.0,1733.0,399169
2012-02-17,1752.0,1753.0,1711.0,1720.0,390046
2012-02-20,1741.0,1773.0,1733.0,1747.0,220085
2012-02-21,1751.0,1755.18,1724.0,1750.0,423533
2012-02-22,1756.0,1787.0,1732.0,1777.0,423300
2012-02-23,1773.0,1891.0,1771.0,1885.0,775802
2012-02-24,1895.0,1899.0,1851.0,1864.0,432100
2012-02-27,1848.0,1866.0,1830.0,1858.0,396287
2012-02-28,1857.0,1912.0,1844.0,1906.0,539630
2012-02-29,1914.0,1972.0,1899.0,1902.0,962849
2012-03-01,1895.0,1955.0,1868.0,1913.0,558182
2012-03-02,1920.0,1928.0,1885.0,1896.0,373175
2012-03-05,1879.0,1879.0,1817.0,1832.0,452183
2012-03-06,1849.0,1888.0,1818.0,1830.0,874651
2012-03-07,1862.0,1870.0,1776.0,1839.0,859614
2012-03-08,1852.0,1871.0,1805.0,1824.0,556558
2012-03-09,1819.0,1819.25,1744.0,1801.0,1076400
2012-03-12,1801.0,1821.0,1788.37,1811.0,590869
2012-03-13,1826.0,1840.0,1807.0,1830.0,447760
2012-03-14,1845.0,1858.0,1788.0,1793.0,800394
2012-03-15,1809.0,1838.0,1772.0,1780.0,504215
2012-03-16,1789.0,1838.0,1774.0,1797.0,656228
2012-03-19,1802.0,1808.95,1761.64,1776.0,372065
2012-03-20,1767.0,1776.0,1665.0,1687.0,893304
2012-03-21,1700.0,1763.0,1694.0,1737.0,671976
2012-03-22,1730.0,1734.0,1600.0,1621.0,1186460
2012-03-23,1627.0,1668.0,1600.0,1660.0,957956
2012-03-26,1678.0,1712.0,1634.0,1688.0,630530
2012-03-27,1700.0,1725.0,1669.0,1678.0,545430
2012-03-28,1677.0,1682.0,1604.8,1609.0,705769
2012-03-29,1614.0,1649.84,1575.0,1599.0,846557
2012-03-30,1617.0,1638.0,1593.0,1598.0,884002
2012-04-02,1624.0,1664.0,1615.0,1664.0,716729
2012-04-03,1665.0,1690.0,1651.26,1671.0,585277
2012-04-04,1662.0,1670.0,1528.0,1533.0,1312126
2012-04-05,1540.0,1571.84,1533.0,1539.0,1063260
2012-04-10,1529.0,1563.0,1516.0,1516.0,826530
2012-04-11,1517.0,1588.0,1513.0,1568.0,886158
2012-04-12,1583.0,1623.0,1576.0,1615.0,799906
2012-04-13,1623.0,1626.0,1572.0,1578.0,586120
