Date,Open,High,Low,Close,Volume
2012-01-03,510.0,518.0,510.0,515.0,7734.0
2012-01-04,516.5,520.0,508.0,510.0,61318.0
2012-01-05,510.0,510.0,510.0,510.0,2470.0
2012-01-06,522.0,524.5,518.87,520.0,21724.0
2012-01-09,512.31,0.0,511.25,511.25,1737.0
2012-01-10,509.65,510.0,505.0,505.0,8515.0
2012-01-11,510.0,512.75,505.0,505.0,12061.0
2012-01-12,500.0,510.0,500.0,510.0,74715.0
2012-01-13,506.4,0.0,506.2,506.2,795.0
2012-01-16,505.0,505.0,500.0,500.0,2904.0
2012-01-17,505.0,510.0,501.5,501.5,5134.0
2012-01-18,510.0,510.0,503.0,510.0,6423.0
2012-01-19,510.0,510.0,495.75,500.0,18307.0
2012-01-20,510.0,510.0,497.75,498.5,79628.0
2012-01-23,500.0,500.99,495.0,498.38,16367.0
2012-01-24,495.0,502.75,495.0,495.0,5964.0
2012-01-25,495.0,500.0,495.0,496.46,27686.0
2012-01-26,498.0,500.0,495.31,500.0,8333.0
2012-01-27,505.0,505.0,496.25,505.0,44635.0
2012-01-30,506.75,506.75,500.0,504.5,45511.0
2012-01-31,510.0,514.5,495.5,495.5,215459.0
2012-02-01,500.0,511.5,500.0,511.5,132608.0
2012-02-02,506.18,516.0,506.18,515.0,38338.0
2012-02-03,510.0,518.16,510.0,518.16,11230.0
2012-02-06,507.44,517.81,507.44,510.87,5822.0
2012-02-07,517.4,520.0,511.75,520.0,19330.0
2012-02-08,510.0,510.0,500.5,502.5,10704.0
2012-02-09,506.0,525.0,506.0,525.0,43572.0
2012-02-10,525.0,535.0,522.75,526.68,14518.0
2012-02-13,535.0,541.5,526.68,541.5,5161.0
2012-02-14,548.0,560.0,537.14,552.6,4248.0
2012-02-15,560.0,568.1,553.1,563.5,6976.0
2012-02-16,560.0,564.38,555.87,555.87,2251.0
2012-02-17,560.0,560.97,555.0,558.5,1756.0
2012-02-20,565.0,568.81,556.25,562.0,4000.0
2012-02-21,565.5,574.0,562.0,562.0,4043.0
2012-02-22,560.0,569.81,547.09,547.09,2000.0
2012-02-23,559.5,559.81,550.0,550.0,4004.0
2012-02-24,,,,558.13,0.0
2012-02-27,555.0,555.0,547.74,554.0,3285.0
2012-02-28,555.0,560.0,551.1,560.0,3811.0
2012-02-29,557.0,557.0,550.0,550.0,651.0
2012-03-01,557.0,558.5,542.5,558.5,2654.0
2012-03-02,,,,553.0,0.0
2012-03-05,556.5,556.5,545.68,556.0,4629.0
2012-03-06,564.5,576.28,560.15,570.0,23862.0
2012-03-07,570.0,570.0,563.2,569.0,700.0
2012-03-08,570.0,579.5,565.0,565.0,3288.0
2012-03-09,570.0,575.0,570.0,572.0,2987.0
2012-03-12,580.0,589.0,580.0,589.0,4443.0
2012-03-13,581.0,590.0,579.87,590.0,7479.0
2012-03-14,581.5,589.5,581.5,584.0,3065.0
2012-03-15,594.5,595.0,581.68,595.0,70.0
2012-03-16,600.0,600.0,583.94,595.5,26150.0
2012-03-19,599.5,599.5,587.0,589.0,2962.0
2012-03-20,599.5,599.5,586.1,595.0,3226.0
2012-03-21,600.0,605.0,594.19,605.0,5144.0
2012-03-22,608.13,608.13,592.25,605.0,247.0
2012-03-23,605.0,605.0,597.12,603.0,1918.0
2012-03-26,600.0,601.7,591.68,596.06,900.0
2012-03-27,602.5,602.5,590.62,600.5,3515.0
2012-03-28,601.5,601.5,595.0,600.0,10896.0
2012-03-29,600.0,604.0,592.5,602.0,8585.0
2012-03-30,600.0,603.44,593.68,596.0,1763.0
2012-04-02,601.12,602.75,591.85,596.0,7113.0
2012-04-03,594.0,600.63,594.0,599.5,162.0
2012-04-04,601.2,601.2,590.5,597.5,5953.0
2012-04-05,593.0,605.0,593.0,605.0,2986.0
2012-04-10,602.0,608.19,599.03,599.5,418.0
2012-04-11,590.0,592.0,585.0,591.41,3353.0
2012-04-12,595.5,620.0,592.38,615.0,15742.0
2012-04-13,611.0,611.25,601.5,602.5,2122.0
2012-04-16,602.0,605.14,602.0,603.0,1284.0
2012-04-17,598.5,601.44,595.0,595.5,7167.0
2012-04-18,600.0,604.0,595.0,597.5,4499.0
2012-04-19,596.0,600.0,581.0,581.0,6553.0
2012-04-20,580.0,583.38,580.0,583.38,216.0
2012-04-23,580.0,589.5,575.0,575.0,3011.0
2012-04-24,575.0,585.0,575.0,575.0,1114.0
2012-04-25,575.0,584.13,575.0,576.0,3540.0
2012-04-26,575.0,583.0,570.0,570.0,4964.0
2012-04-27,574.5,580.0,570.0,575.0,15171.0
2012-04-30,572.0,578.25,560.0,563.18,5314.0
2012-05-01,565.0,572.0,555.0,556.5,8434.0
2012-05-02,555.0,558.0,530.62,545.0,70993.0
2012-05-03,570.0,591.88,570.0,590.0,65648.0
2012-05-04,592.5,600.0,589.1,595.0,16893.0
2012-05-08,591.5,597.63,590.0,590.0,5393.0
2012-05-09,586.0,590.0,570.5,583.0,7665.0
2012-05-10,576.5,585.0,576.5,585.0,19239.0
2012-05-11,572.5,585.1,562.0,562.0,6988.0
2012-05-14,566.5,572.0,550.0,569.0,6224.0
2012-05-15,570.0,570.0,560.5,560.5,130.0
2012-05-16,557.5,569.68,557.5,560.0,342.0
2012-05-17,560.0,560.0,547.0,547.0,4899.0
2012-05-18,549.0,561.0,535.0,535.0,7301.0
2012-05-21,544.0,544.0,540.0,544.0,990.0
2012-05-22,548.75,556.72,543.0,555.0,1000.0
2012-05-23,550.5,550.5,540.0,540.0,4920.0
2012-05-24,542.5,555.0,541.5,550.0,5085.0
2012-05-25,556.0,556.0,540.5,540.5,10920.0
2012-05-28,542.0,556.16,542.0,550.5,7614.0
2012-05-29,553.0,562.25,550.0,557.0,11510.0
2012-05-30,562.0,562.75,555.0,557.0,10851.0
2012-05-31,559.5,560.0,549.0,549.0,3062.0
2012-06-01,554.5,555.75,546.17,548.5,11149.0
2012-06-06,556.5,556.5,545.0,545.0,56333.0
2012-06-07,552.0,563.5,547.0,561.5,9975.0
2012-06-08,553.5,561.5,549.04,557.0,3083.0
2012-06-11,565.0,565.0,555.0,565.0,4539.0
2012-06-12,565.0,578.0,555.0,578.0,14270.0
2012-06-13,580.0,585.0,577.5,585.0,6725.0
2012-06-14,585.0,600.0,582.0,600.0,28386.0
2012-06-15,605.0,617.87,591.5,617.5,120350.0
2012-06-18,607.0,625.5,606.5,625.5,23544.0
2012-06-19,625.0,625.0,610.5,624.0,15224.0
2012-06-20,620.0,630.0,617.0,629.5,11866.0
2012-06-21,629.5,629.5,611.5,620.0,7514.0
2012-06-22,614.0,615.0,605.62,610.0,7577.0
2012-06-25,614.5,614.5,607.0,613.0,422.0
2012-06-26,615.0,615.0,601.5,610.0,6382.0
2012-06-27,610.0,610.0,605.36,610.0,6870.0
2012-06-28,608.0,610.0,602.0,610.0,4998.0
2012-06-29,608.0,620.0,603.6,606.5,11364.0
2012-07-02,600.0,608.02,590.0,593.5,18824.0
2012-07-03,600.0,605.0,590.0,605.0,16249.0
2012-07-04,601.0,610.0,593.0,610.0,2975.0
2012-07-05,612.5,613.0,602.5,613.0,1637.0
2012-07-06,613.0,622.5,601.5,622.5,3892.0
2012-07-09,613.0,618.0,609.0,615.0,1607.0
2012-07-10,615.0,615.0,595.0,607.0,1482.0
2012-07-11,598.5,605.0,598.5,605.0,3441.0
2012-07-12,597.5,607.0,595.0,597.0,4512.0
2012-07-13,598.0,603.0,597.5,597.5,4835.0
2012-07-16,600.0,613.56,600.0,607.0,3185.0
2012-07-17,597.0,605.4,594.0,594.0,3389.0
2012-07-18,600.0,601.94,590.0,595.0,830.0
2012-07-19,595.0,600.88,590.0,590.0,3564.0
2012-07-20,590.5,606.0,590.5,606.0,3663.0
2012-07-23,607.0,607.0,595.8,595.8,15.0
2012-07-24,597.0,599.5,593.5,599.0,1762.0
2012-07-25,600.0,602.0,590.0,590.0,69.0
2012-07-26,596.0,602.0,594.5,601.5,2711.0
2012-07-27,594.0,597.5,590.0,597.5,6669.0
2012-07-30,590.0,610.0,590.0,610.0,4551.0
2012-07-31,605.5,606.5,599.37,606.5,487.0
2012-08-01,606.0,615.0,606.0,615.0,630.0
2012-08-02,615.0,615.0,605.87,615.0,513.0
2012-08-03,611.5,615.0,606.0,615.0,484.0
2012-08-06,614.5,625.0,612.0,625.0,28382.0
2012-08-07,620.0,624.5,612.0,618.0,1518.0
2012-08-08,610.5,620.0,610.0,618.0,11829.0
2012-08-09,620.0,624.5,617.56,620.0,1980.0
2012-08-10,624.5,627.0,616.18,627.0,6069.0
2012-08-13,620.0,627.62,616.0,625.0,898.0
2012-08-14,624.5,625.0,616.18,625.0,859.0
2012-08-15,620.0,625.38,615.0,625.0,3096.0
2012-08-16,627.0,630.13,620.9,625.0,3734.0
2012-08-17,628.0,646.5,624.5,646.5,7781.0
2012-08-20,639.0,649.0,637.68,645.5,5079.0
2012-08-21,650.0,675.0,649.14,673.0,8644.0
2012-08-22,673.06,690.0,671.25,690.0,9625.0
2012-08-23,690.0,700.0,682.0,700.0,9448.0
2012-08-24,704.5,704.5,690.0,699.0,4204.0
2012-08-28,695.0,710.0,695.0,706.0,19418.0
2012-08-29,706.5,709.0,700.58,708.0,236.0
2012-08-30,710.0,720.0,705.5,720.0,6552.0
2012-08-31,713.5,720.0,710.0,719.5,3360.0
2012-09-03,718.5,724.27,706.87,724.27,2594.0
2012-09-04,724.5,725.0,715.0,723.0,1086.0
2012-09-05,725.0,730.0,720.0,730.0,6876.0
2012-09-06,727.8,729.37,716.0,727.0,841.0
2012-09-07,729.5,738.0,722.0,738.0,14007.0
2012-09-10,733.5,736.53,727.0,727.0,189.0
2012-09-11,735.0,737.0,726.82,737.0,1105.0
2012-09-12,735.0,740.0,735.0,740.0,11001.0
2012-09-13,736.0,762.0,730.94,754.5,10642.0
2012-09-14,755.0,760.0,747.0,750.0,4590.0
2012-09-17,753.0,757.5,750.38,757.0,6703.0
2012-09-18,749.0,752.88,741.72,744.0,4979.0
2012-09-19,745.5,745.5,732.62,742.0,2755.0
2012-09-20,743.0,743.0,736.31,741.22,210.0
2012-09-21,736.43,745.0,734.0,745.0,874.0
2012-09-24,745.0,749.13,742.7,745.0,5524.0
2012-09-25,750.0,750.0,749.0,749.0,431.0
2012-09-26,742.0,749.5,741.8,749.25,4432.0
2012-09-27,750.0,765.0,746.88,765.0,10408.0
2012-09-28,765.0,771.0,760.5,762.5,6817.0
2012-10-01,765.5,769.19,762.48,767.0,4981.0
2012-10-02,767.5,767.5,760.0,765.0,11440.0
2012-10-03,767.0,767.0,755.0,757.0,13453.0
2012-10-04,753.5,754.0,751.99,754.0,240.0
2012-10-05,746.0,755.0,746.0,754.0,1824.0
2012-10-08,747.5,752.25,746.5,748.45,100.0
2012-10-09,752.0,752.5,748.0,748.0,698.0
2012-10-10,749.0,754.5,749.0,754.5,514.0
2012-10-11,750.0,755.0,749.5,750.5,3010.0
2012-10-12,750.0,755.0,745.0,755.0,3263.0
2012-10-15,745.0,753.0,745.0,750.0,3020.0
2012-10-16,753.0,770.0,747.5,769.5,20476.0
2012-10-17,764.0,770.18,763.0,763.0,119.0
2012-10-18,763.0,768.0,758.5,768.0,4599.0
2012-10-19,770.0,779.0,761.4,777.33,2543.0
2012-10-22,770.0,778.88,770.0,771.0,364.0
2012-10-23,780.0,787.36,770.01,787.36,3312.0
2012-10-24,778.0,784.79,771.0,771.0,18731.0
2012-10-25,780.5,788.5,779.34,788.5,3984.0
2012-10-26,778.0,779.0,770.0,775.0,3675.0
2012-10-29,775.0,778.5,769.21,769.65,1750.0
2012-10-30,775.0,778.0,768.83,771.46,2918.0
2012-10-31,778.5,782.0,771.9,782.0,3130.0
2012-11-01,781.5,802.5,775.34,796.0,19892.0
2012-11-02,800.0,800.0,790.31,798.0,4486.0
2012-11-05,797.5,799.69,790.0,793.0,5245.0
2012-11-06,788.5,796.81,786.5,794.0,2261.0
2012-11-07,791.5,801.0,788.0,801.0,12668.0
2012-11-08,797.0,798.0,791.62,798.0,390.0
2012-11-09,799.5,800.0,791.68,794.0,542.0
2012-11-12,785.5,787.0,779.5,780.0,4832.0
2012-11-13,788.0,788.0,775.88,787.5,8035.0
2012-11-14,799.5,803.1,792.78,801.0,4977.0
2012-11-15,795.5,802.52,780.62,793.0,17108.0
2012-11-16,785.5,786.12,778.28,785.5,2691.0
2012-11-19,789.5,794.5,782.7,792.5,2946.0
2012-11-20,795.0,799.76,782.52,791.5,11944.0
2012-11-21,784.56,,784.56,784.56,0.0
2012-11-22,785.0,794.5,784.12,794.5,1267.0
2012-11-23,787.0,787.0,783.0,783.5,8531.0
2012-11-26,779.0,789.0,778.92,789.0,3711.0
2012-11-27,789.0,790.0,778.67,790.0,2242.0
2012-11-28,789.5,795.0,787.12,795.0,2038.0
2012-11-29,791.0,791.0,788.0,791.0,101.0
2012-11-30,782.5,797.0,782.0,789.0,4456.0
2012-12-03,787.5,793.5,786.0,786.0,5570.0
2012-12-04,785.0,805.0,785.0,802.5,5776.0
2012-12-05,802.5,809.5,800.2,809.5,250.0
2012-12-06,805.0,,799.38,801.55,
2012-12-07,798.5,804.5,794.5,804.5,2691.0
2012-12-10,791.5,799.5,791.0,794.0,6360.0
2012-12-11,795.0,801.12,782.34,782.34,
2012-12-12,795.5,797.0,791.35,797.0,608.0
2012-12-13,790.0,790.0,780.0,785.0,6456.0
2012-12-14,785.5,787.5,781.18,781.18,76.0
2012-12-17,785.0,793.5,780.5,791.0,3062.0
2012-12-18,790.0,795.0,781.81,793.24,1565.0
2012-12-19,793.0,795.47,789.31,794.5,1363.0
2012-12-20,797.5,806.25,795.0,797.5,6559.0
2012-12-21,809.5,815.0,800.6,815.0,9538.0
2012-12-24,816.5,817.0,806.75,817.0,128.0
2012-12-27,817.0,817.0,805.0,805.0,3457.0
2012-12-28,808.25,816.49,,808.5,
2012-12-31,810.0,810.0,806.37,810.0,114.0
2013-01-02,805.5,821.0,804.68,821.0,2261.0
2013-01-03,820.0,825.0,815.5,825.0,2129.0
2013-01-04,825.0,825.0,820.0,825.0,1188.0
2013-01-07,820.0,828.05,820.0,820.0,9005.0
2013-01-08,824.5,829.0,823.0,823.0,323.0
