Date,Open,High,Low,Close,Volume
2016-05-31,100.0,100.0,99.85,100.0,0
2016-06-01,100.0,100.0,100.0,100.0,0
2016-06-02,100.0,101.62,100.0,100.0,0
2016-06-03,,,,100.0,0
2016-06-06,101.72,101.72,101.72,101.72,0
2016-06-07,,,,101.72,0
2016-06-08,101.72,101.72,101.5,101.5,0
2016-06-09,102.25,102.25,102.25,102.25,0
2016-06-10,102.98,102.98,102.98,102.98,0
2016-06-13,,,,102.98,0
2016-06-14,102.26,102.26,102.26,102.26,0
2016-06-15,,,,102.26,0
2016-06-16,,,,102.26,0
2016-06-17,102.2,102.2,102.2,102.2,0
2016-06-20,,,,102.2,0
2016-06-21,102.0,103.0,102.0,103.0,0
2016-06-22,,,,103.0,0
2016-06-23,,,,103.0,0
2016-06-24,,,,103.0,0
2016-06-27,,,,103.0,0
2016-06-28,,,,103.0,0
2016-06-29,,,,103.0,0
2016-06-30,,,,103.0,0
2016-07-01,103.5,103.5,103.5,103.5,0
2016-07-04,,,,103.5,0
2016-07-05,103.0,103.0,103.0,103.0,0
2016-07-06,,,,103.0,0
2016-07-07,,,,103.0,0
2016-07-08,,,,103.0,0
2016-07-11,,,,103.0,0
2016-07-12,,,,103.0,0
2016-07-13,102.0,102.0,102.0,102.0,0
2016-07-14,,,,102.0,0
2016-07-15,,,,102.0,0
2016-07-18,,,,102.0,0
2016-07-19,,,,102.0,0
2016-07-20,102.5,102.5,102.5,102.5,0
2016-07-21,,,,102.5,0
2016-07-22,,,,102.5,0
2016-07-25,,,,102.5,0
2016-07-26,,,,102.5,0
2016-07-27,103.0,103.0,103.0,103.0,0
2016-07-28,103.75,103.75,103.75,103.75,0
2016-07-29,,,,103.75,0
2016-08-01,,,,103.75,0
2016-08-02,,,,103.75,0
2016-08-03,104.69,104.69,104.69,104.69,0
2016-08-04,,,,104.69,0
2016-08-05,104.69,104.69,104.69,104.69,0
2016-08-08,,,,104.69,0
2016-08-09,104.86,105.67,104.86,105.67,0
2016-08-10,106.73,106.73,106.73,106.73,0
2016-08-11,106.75,106.75,106.3,106.3,0
2016-08-12,106.73,106.73,106.73,106.73,0
2016-08-15,105.2,105.2,105.2,105.2,0
2016-08-16,106.0,106.0,105.2,105.2,0
2016-08-17,,,,105.2,0
2016-08-18,,,,105.2,0
2016-08-19,,,,105.2,0
2016-08-22,106.74,106.74,106.74,106.74,0
2016-08-23,105.5,105.8,105.5,105.8,0
2016-08-24,,,,105.8,0
2016-08-25,106.62,106.62,106.62,106.62,0
2016-08-26,,,,106.62,0
2016-08-30,,,,106.62,0
2016-08-31,,,,106.62,0
2016-09-01,,,,106.62,0
2016-09-02,106.5,106.5,106.5,106.5,0
2016-09-05,,,,106.5,0
2016-09-06,,,,106.5,0
2016-09-07,108.75,108.75,108.75,108.75,0
2016-09-08,,,,108.75,0
2016-09-09,108.68,108.75,108.68,108.75,0
2016-09-12,108.99,108.99,108.99,108.99,0
2016-09-13,,,,108.99,0
2016-09-14,108.31,108.31,108.31,108.31,0
2016-09-15,108.31,108.31,108.31,108.31,0
2016-09-16,,,,108.31,0
2016-09-19,109.4,109.4,109.4,109.4,0
2016-09-20,,,,109.4,0
2016-09-21,,,,109.4,0
2016-09-22,109.5,110.0,109.0,109.76,0
2016-09-23,,,,109.76,0
2016-09-26,,,,109.76,0
2016-09-27,110.92,110.92,110.92,110.92,0
2016-09-28,109.5,109.7,109.5,109.7,0
2016-09-29,,,,109.7,0
2016-09-30,,,,109.7,0
2016-10-03,113.25,113.5,112.12,109.7,0
2016-10-04,109.5,109.5,109.5,109.5,0
2016-10-05,113.5,113.5,111.75,113.0,8929
2016-10-06,111.75,113.25,111.5,111.5,109147
2016-10-07,111.25,112.75,111.25,109.5,0
2016-10-10,110.78,110.78,110.78,110.78,0
2016-10-11,111.75,110.78,110.78,110.78,23923
2016-10-12,112.0,112.0,111.5,110.78,0
2016-10-13,110.78,110.78,110.78,110.78,0
2016-10-14,112.5,113.0,111.5,110.78,0
2016-10-17,110.35,110.35,109.5,110.35,0
2016-10-18,113.0,113.0,111.25,112.75,3040
2016-10-19,112.25,113.0,110.92,110.92,4335
2016-10-20,113.0,113.0,111.0,111.88,41345
2016-10-21,113.0,113.0,111.54,111.75,3030
2016-10-24,113.0,113.0,111.25,112.25,6519
2016-10-25,113.0,113.0,112.25,112.75,1150455
2016-10-26,113.0,113.0,110.5,112.0,8336
2016-10-27,111.0,111.0,109.0,110.5,7266
2016-10-28,109.25,110.75,109.22,110.5,3776
2016-10-31,109.25,111.0,109.25,111.0,3117
2016-11-01,109.25,110.35,108.5,110.25,38204
2016-11-02,108.75,109.5,106.5,107.0,87586
2016-11-03,106.75,107.87,106.5,107.0,15456
2016-11-04,106.75,108.81,106.69,108.0,3181
2016-11-07,106.5,107.5,106.5,107.0,6058
2016-11-08,106.75,108.0,104.75,105.0,126266
2016-11-09,106.0,106.0,105.0,105.5,118132
2016-11-10,106.0,106.9,104.5,106.0,58153
2016-11-11,106.0,106.5,105.5,105.5,38493
2016-11-14,105.5,106.5,105.5,105.5,61168
2016-11-15,105.5,106.25,105.5,105.5,24844
2016-11-16,106.0,107.0,105.83,106.25,36468
2016-11-17,107.0,107.0,105.75,107.0,156281
2016-11-18,107.0,107.5,107.0,107.25,9290
2016-11-21,107.5,108.25,106.25,106.25,18844
2016-11-22,106.75,107.75,106.5,106.75,646
2016-11-23,107.0,107.74,106.81,107.0,2795
2016-11-24,107.5,107.62,107.5,107.5,2943
2016-11-25,107.75,108.31,107.5,108.0,161148
2016-11-28,107.75,107.8,107.38,107.38,0
2016-11-29,108.0,108.0,107.12,107.75,98896
2016-11-30,107.75,108.0,107.11,108.0,3354
2016-12-01,108.0,108.0,107.0,108.0,7363
2016-12-02,108.0,108.0,107.11,108.0,7771
2016-12-05,108.0,108.0,107.11,107.75,22929
2016-12-06,107.0,108.0,107.0,108.0,78290
2016-12-07,108.0,108.0,107.5,107.5,80586
2016-12-08,107.5,108.0,107.11,108.0,30170
2016-12-09,108.25,108.5,107.0,108.25,297850
2016-12-12,108.5,108.5,108.08,108.5,3419
2016-12-13,107.5,108.54,107.22,108.0,346
2016-12-14,109.0,109.0,107.42,108.0,49150
2016-12-15,108.0,108.0,107.11,108.0,225
2016-12-16,108.75,108.75,106.97,108.75,51910
2016-12-19,109.0,109.0,107.0,109.0,41702
2016-12-20,107.0,108.0,106.82,107.12,12907
2016-12-21,108.0,108.5,107.0,108.5,38328
2016-12-22,107.0,108.5,106.25,107.0,18218
2016-12-23,106.0,107.46,106.0,106.25,8554
2016-12-28,106.0,108.0,106.0,106.0,11345
2016-12-29,106.25,107.46,106.0,106.0,13965
2016-12-30,106.0,106.25,106.0,106.0,2048
2017-01-03,106.75,107.28,106.55,107.22,0
2017-01-04,107.0,107.55,106.75,107.0,14
2017-01-05,106.5,107.55,106.5,106.5,11
2017-01-06,108.0,108.0,106.25,106.25,18614
2017-01-09,106.75,107.87,106.35,106.75,225
2017-01-10,106.75,107.5,106.25,106.25,4102
2017-01-11,106.75,107.25,106.31,107.25,35111
2017-01-12,106.0,106.9,106.0,106.5,10000
2017-01-13,106.0,106.75,105.5,106.25,34811
2017-01-16,107.0,107.0,105.25,105.25,10878
2017-01-17,105.75,106.5,105.5,106.0,11957
2017-01-18,107.25,107.25,106.25,106.25,2173
2017-01-19,107.0,107.0,105.5,106.0,703
2017-01-20,105.5,106.75,105.5,105.5,4809
2017-01-23,105.25,107.25,105.25,106.0,8091
2017-01-24,105.75,106.36,105.0,105.0,6150
2017-01-25,107.0,107.0,105.59,105.75,12706
2017-01-26,104.75,105.61,104.75,105.25,3822
2017-01-27,106.5,106.5,104.75,105.25,6090
2017-01-30,106.25,106.25,104.5,104.5,10590
2017-01-31,105.24,105.24,104.57,105.24,0
2017-02-01,106.0,106.0,104.75,105.0,10288
2017-02-02,104.75,105.0,104.0,104.5,24056
2017-02-03,104.0,104.25,103.5,103.65,37086
2017-02-06,103.5,104.01,103.5,103.5,22101
2017-02-07,104.75,104.75,103.75,104.75,14375
2017-02-08,103.75,104.75,103.5,104.75,9697
2017-02-09,105.15,105.15,104.0,105.15,0
2017-02-10,104.5,104.94,104.06,104.5,284
2017-02-13,105.0,105.5,104.0,104.5,23695
2017-02-14,105.5,107.0,105.08,105.81,13829
2017-02-15,107.1,107.1,105.99,106.0,0
2017-02-16,105.75,107.25,105.75,107.0,6825
2017-02-17,106.5,107.25,106.39,107.0,1754
2017-02-20,107.25,107.41,106.16,107.25,8105
2017-02-21,107.25,107.5,106.16,107.5,16218
2017-02-22,107.5,108.25,105.75,108.25,16733
2017-02-23,108.25,108.25,107.0,107.0,1344
2017-02-24,108.25,108.25,107.0,107.0,3994
2017-02-27,107.0,108.25,107.0,107.25,370
2017-02-28,107.0,108.25,107.0,107.0,90930
2017-03-01,108.25,108.25,107.25,108.25,18091
2017-03-02,108.12,108.12,107.49,108.12,0
2017-03-03,108.25,108.5,107.61,108.5,61350
2017-03-06,108.0,109.0,107.75,108.0,6233
2017-03-07,107.5,108.85,107.25,107.5,24444
2017-03-08,107.25,107.5,107.0,107.0,21146
2017-03-09,107.0,108.25,107.0,108.25,1685
2017-03-10,108.5,108.5,107.0,107.0,15000
2017-03-13,107.75,108.0,106.5,108.0,42556
2017-03-14,107.75,108.22,107.52,107.75,242656
2017-03-15,106.75,108.25,106.75,108.25,98078
2017-03-16,108.5,108.75,107.75,108.69,37200
2017-03-17,107.5,108.85,107.5,108.75,14965
2017-03-20,107.5,109.0,107.5,108.62,17090
2017-03-21,109.0,109.0,107.72,109.0,24853
2017-03-22,109.0,109.0,107.72,109.0,2882
2017-03-23,109.0,109.0,107.5,109.0,5200
2017-03-24,107.5,109.25,107.5,108.91,20681
2017-03-27,108.0,109.5,108.0,109.5,10326
2017-03-28,109.5,109.5,109.1,109.5,17127
2017-03-29,109.5,109.5,108.0,108.37,19710
2017-03-30,108.25,108.8,107.0,107.0,36146
2017-03-31,108.5,108.5,107.0,108.25,36146
2017-04-03,108.5,108.5,107.25,108.5,2205
2017-04-04,108.5,108.5,107.08,108.5,95
2017-04-05,107.44,108.08,107.44,108.08,0
2017-04-06,107.0,108.25,106.96,108.0,10826
2017-04-07,107.5,107.5,106.72,107.48,0
2017-04-10,106.5,108.0,105.5,106.44,23000
2017-04-11,105.5,106.44,105.5,105.6,12324
2017-04-12,107.0,107.0,105.5,105.5,10050
2017-04-13,105.5,106.29,105.0,105.1,35853
2017-04-18,107.0,107.0,105.5,106.0,14906
2017-04-19,106.0,106.44,105.5,105.5,8635
2017-04-20,105.5,106.26,105.5,105.58,2413
2017-04-21,106.0,107.0,105.5,106.08,22012
2017-04-24,105.5,107.0,105.5,105.96,59032
2017-04-25,105.75,106.65,105.5,105.75,6283
2017-04-26,105.88,106.56,105.5,105.95,0
2017-04-27,106.0,106.81,106.0,106.75,7026
2017-04-28,107.5,108.5,106.5,107.25,32775
