Date,Open,High,Low,Close,Volume
2012-01-03,196.7,196.7,190.0,192.4,139538
2012-01-04,193.7,197.4,189.8,197.4,94041
2012-01-05,196.7,196.7,181.67,187.0,389124
2012-01-06,194.43,194.43,185.1,186.7,93389
2012-01-09,188.5,191.53,184.2,189.9,46543
2012-01-10,193.5,193.5,183.8,184.5,74804
2012-01-11,184.6,190.0,183.89,185.8,97049
2012-01-12,191.5,192.67,184.97,185.0,100966
2012-01-13,184.9,190.0,184.2,188.8,57940
2012-01-16,190.0,192.8,188.2,190.0,91351
2012-01-17,193.0,196.7,189.8,189.9,100771
2012-01-18,188.2,197.4,186.13,192.7,86526
2012-01-19,190.1,207.7,190.1,202.5,227588
2012-01-20,201.4,207.9,199.81,201.0,79634
2012-01-23,199.3,214.63,199.3,206.3,222943
2012-01-24,206.8,212.06,203.3,208.0,197157
2012-01-25,205.1,211.5,201.73,209.4,201617
2012-01-26,211.0,219.7,208.97,215.7,183677
2012-01-27,218.0,220.8,209.71,216.0,240974
2012-01-30,212.7,215.4,205.5,210.0,128375
2012-01-31,212.6,213.28,202.6,210.0,213647
2012-02-01,212.2,214.4,208.61,212.0,175200
2012-02-02,213.6,219.4,212.4,215.5,210161
2012-02-03,216.9,225.2,215.53,222.2,217317
2012-02-06,223.5,235.0,223.0,234.4,261203
2012-02-07,236.0,238.18,227.6,230.4,177933
2012-02-08,232.3,235.4,225.0,230.0,95450
2012-02-09,231.7,236.4,229.3,235.0,81134
2012-02-10,235.1,238.37,224.6,233.4,157529
2012-02-13,232.8,237.7,224.12,236.0,82785
2012-02-14,236.6,240.0,230.56,237.3,109232
2012-02-15,240.0,240.0,231.96,235.8,163491
2012-02-16,237.3,237.3,233.0,233.6,65991
2012-02-17,235.0,239.6,230.2,237.2,75268
2012-02-20,236.3,239.9,235.1,239.7,106328
2012-02-21,232.6,239.3,230.36,233.3,101128
2012-02-22,231.5,243.6,231.5,243.6,124443
2012-02-23,245.0,254.28,245.0,254.2,150632
2012-02-24,255.0,270.0,254.0,254.0,246879
2012-02-27,252.4,255.0,247.1,250.0,105135
2012-02-28,252.6,254.0,247.3,251.3,164295
2012-02-29,250.1,255.4,250.0,253.7,92088
2012-03-01,253.5,253.5,249.5,250.7,44282
2012-03-02,252.0,253.7,243.0,253.6,99422
2012-03-05,255.0,255.0,237.5,250.4,48025
2012-03-06,251.1,252.0,235.7,242.0,100314
2012-03-07,242.9,257.0,238.32,244.0,190151
2012-03-08,244.0,248.5,241.8,242.0,101958
2012-03-09,242.0,242.0,237.5,242.0,73092
2012-03-12,239.0,242.02,239.0,242.0,95290
2012-03-13,242.0,251.0,240.0,249.5,287467
2012-03-14,250.8,257.3,247.4,248.5,133757
2012-03-15,259.9,259.9,242.42,247.6,149534
2012-03-16,249.5,256.0,244.0,252.0,257879
2012-03-19,253.4,289.57,253.1,281.0,339451
2012-03-20,280.6,300.5,272.4,300.5,474529
2012-03-21,299.6,316.75,298.28,310.6,197915
2012-03-22,301.7,306.5,278.2,303.6,266655
2012-03-23,304.7,304.7,280.3,284.6,282372
2012-03-26,287.1,292.38,282.6,285.4,61785
2012-03-27,287.8,289.5,281.8,286.5,47884
2012-03-28,287.5,287.5,268.8,275.0,191073
2012-03-29,274.7,280.9,269.89,280.3,33877
2012-03-30,282.4,285.0,273.1,273.5,80655
2012-04-02,276.6,276.6,268.4,269.4,92301
2012-04-03,269.3,273.5,265.7,270.2,187111
2012-04-04,267.6,270.62,262.1,268.5,138742
2012-04-05,267.5,269.9,261.1,262.8,109227
2012-04-10,260.0,268.8,260.0,262.6,105362
2012-04-11,263.5,266.0,261.2,266.0,67628
2012-04-12,267.6,270.98,263.4,264.2,99374
2012-04-13,265.8,266.7,259.9,263.7,139667
2012-04-16,264.5,273.1,261.0,265.9,270136
2012-04-17,267.7,272.0,264.1,269.8,94674
2012-04-18,271.3,273.6,266.81,273.6,56020
2012-04-19,275.6,281.5,271.0,274.2,123253
2012-04-20,270.0,275.0,266.74,272.0,272193
2012-04-23,269.6,271.5,268.5,270.0,194582
2012-04-24,264.0,270.6,264.0,267.0,140445
2012-04-25,265.4,271.0,262.98,264.0,114275
2012-04-26,264.4,265.73,249.3,255.0,165033
2012-04-27,253.8,264.42,253.7,261.9,192442
2012-04-30,260.4,266.53,257.5,259.0,124584
2012-05-01,257.9,257.9,251.22,253.0,53930
2012-05-02,256.8,256.8,244.2,246.1,178818
2012-05-03,248.2,256.6,244.0,256.1,137560
2012-05-04,253.5,255.4,246.88,248.0,116745
2012-05-08,246.4,247.5,243.0,243.0,193300
2012-05-09,247.8,248.1,236.8,242.0,224651
2012-05-10,245.0,245.0,238.3,239.6,210487
2012-05-11,239.9,240.8,235.4,240.8,77257
2012-05-14,240.0,241.0,232.3,237.4,136164
2012-05-15,237.3,239.54,226.7,226.7,81797
2012-05-16,226.3,226.3,214.0,216.6,124407
2012-05-17,216.6,219.9,213.4,214.4,122364
2012-05-18,214.5,224.0,213.54,221.9,110923
2012-05-21,220.5,229.82,220.0,222.0,106807
2012-05-22,224.4,225.74,210.5,216.1,215318
2012-05-23,215.0,215.0,208.8,209.9,125008
2012-05-24,210.1,214.97,205.7,210.7,63084
2012-05-25,211.4,211.4,205.5,207.9,97116
2012-05-28,211.0,213.7,202.59,208.4,62344
2012-05-29,209.4,210.0,207.5,209.0,100101
2012-05-30,209.5,209.5,204.0,205.2,134039
2012-05-31,205.2,207.7,202.2,204.1,242949
2012-06-01,204.1,210.66,202.9,206.2,86558
2012-06-06,209.4,210.24,206.0,207.0,293034
2012-06-07,209.6,209.6,199.76,205.5,151784
2012-06-08,204.7,204.7,200.1,203.0,230773
2012-06-11,207.0,207.3,200.0,202.4,131982
2012-06-12,204.2,204.2,196.8,198.6,73920
2012-06-13,197.1,201.0,196.9,200.0,182011
2012-06-14,200.0,206.4,197.3,206.4,173501
2012-06-15,205.0,209.12,201.5,209.0,1018309
2012-06-18,204.0,204.0,200.0,201.2,148308
2012-06-19,200.2,206.4,198.0,202.0,175273
2012-06-20,200.0,202.99,198.0,200.5,61270
2012-06-21,198.6,200.4,196.9,198.0,51838
2012-06-22,196.1,201.66,196.1,198.3,64258
2012-06-25,199.4,200.0,193.2,193.2,89277
2012-06-26,197.0,197.1,192.04,195.7,68972
2012-06-27,195.5,201.8,195.5,200.6,36656
2012-06-28,198.3,199.7,193.0,194.5,101793
2012-06-29,198.8,198.96,195.3,196.0,48836
2012-07-02,194.8,202.0,194.8,200.5,58595
2012-07-03,199.2,208.6,199.0,202.7,66155
2012-07-04,200.0,212.9,200.0,211.4,48330
2012-07-05,211.4,228.3,210.5,224.0,137483
2012-07-06,219.6,229.5,219.6,226.0,55653
2012-07-09,225.8,230.0,218.6,219.1,176573
2012-07-10,218.1,226.0,218.1,225.0,34638
2012-07-11,225.0,226.6,222.3,224.0,82605
2012-07-12,218.1,223.88,212.5,214.7,32070
2012-07-13,210.5,216.7,210.5,214.7,39129
2012-07-16,213.0,218.22,210.76,216.1,28643
2012-07-17,214.0,217.0,214.0,216.8,21420
2012-07-18,215.6,218.11,207.4,213.1,28337
2012-07-19,210.8,213.5,210.1,210.5,37485
2012-07-20,210.0,213.4,207.5,207.7,30089
2012-07-23,213.5,213.5,198.5,198.6,40830
2012-07-24,198.1,199.8,192.2,194.6,39003
2012-07-25,195.0,201.38,193.2,195.3,138829
2012-07-26,195.9,199.53,193.5,194.9,61994
2012-07-27,195.0,196.8,192.6,193.0,89766
2012-07-30,196.5,198.21,194.0,195.6,33369
2012-07-31,189.8,197.1,189.8,197.1,42095
2012-08-01,196.4,196.4,188.18,190.8,32865
2012-08-02,190.0,194.0,189.0,189.0,24030
2012-08-03,193.0,193.5,188.69,193.5,56393
2012-08-06,194.4,195.0,192.26,192.6,37661
2012-08-07,196.9,196.9,190.0,194.9,130701
2012-08-08,193.8,194.9,192.0,192.5,40174
2012-08-09,196.5,196.5,182.3,187.9,90990
2012-08-10,188.5,199.4,187.3,192.0,54114
2012-08-13,193.5,193.5,191.0,191.0,33732
2012-08-14,192.4,196.5,190.4,193.7,88401
2012-08-15,191.0,201.9,191.0,193.6,69813
2012-08-16,195.0,195.11,190.4,191.0,146740
2012-08-17,190.4,198.5,185.2,187.8,56079
2012-08-20,189.2,192.18,185.5,190.0,100730
2012-08-21,190.0,191.5,185.9,187.8,52163
2012-08-22,188.5,191.52,184.0,185.5,137358
2012-08-23,184.2,187.5,182.5,185.5,95385
2012-08-24,185.5,190.6,182.7,187.8,36517
2012-08-28,192.0,192.0,180.0,182.7,66822
2012-08-29,184.3,185.1,179.3,183.5,53564
2012-08-30,181.6,183.8,173.0,173.1,147181
2012-08-31,174.3,177.87,162.5,165.7,92281
2012-09-03,170.0,171.8,161.9,165.1,37560
2012-09-04,164.7,166.75,156.0,158.0,46826
2012-09-05,157.4,158.11,149.2,156.1,95684
2012-09-06,158.0,171.5,155.9,170.8,97520
2012-09-07,171.8,176.61,165.6,173.0,64592
2012-09-10,170.1,177.7,170.1,177.6,32200
2012-09-11,172.4,180.0,172.4,177.2,23241
2012-09-12,173.0,178.7,170.4,178.6,135979
2012-09-13,179.9,186.9,173.3,185.1,191074
2012-09-14,181.9,198.0,181.9,197.0,464157
2012-09-17,192.6,197.7,192.3,194.8,148788
