Date,Open,High,Low,Close,Volume
2012-01-03,477.0,484.2,460.32,484.2,49655
2012-01-04,482.5,482.5,461.7,473.0,56629
2012-01-05,471.6,474.1,461.2,463.5,56481
2012-01-06,465.7,468.75,460.2,464.5,67447
2012-01-09,467.5,480.9,464.5,478.0,52475
2012-01-10,471.7,475.28,466.11,467.4,70069
2012-01-11,470.1,483.05,465.6,475.0,56804
2012-01-12,471.5,479.3,470.0,479.3,139024
2012-01-13,471.1,486.18,471.1,480.0,47382
2012-01-16,480.0,489.9,476.34,480.0,27453
2012-01-17,486.5,491.4,478.8,491.4,56811
2012-01-18,489.0,489.0,477.57,480.4,63892
2012-01-19,476.0,493.9,470.5,485.3,61340
2012-01-20,482.0,485.23,475.12,476.5,52765
2012-01-23,475.9,491.96,475.15,491.5,297374
2012-01-24,488.5,494.08,480.0,490.0,83907
2012-01-25,488.5,493.9,470.7,473.5,122219
2012-01-26,477.5,480.0,473.5,477.0,83026
2012-01-27,475.0,485.06,455.0,457.64,252781
2012-01-30,475.0,487.0,475.0,475.0,72093
2012-01-31,487.0,488.2,461.53,476.5,152796
2012-02-01,476.0,487.0,467.5,486.0,96757
2012-02-02,486.0,489.0,469.97,482.0,85588
2012-02-03,484.6,488.2,469.6,484.0,86121
2012-02-06,471.7,493.9,471.14,488.76,91970
2012-02-07,493.6,494.0,477.5,488.5,56390
2012-02-08,493.4,494.0,477.0,483.0,61275
2012-02-09,484.0,494.0,481.92,491.1,84370
2012-02-10,493.0,500.0,484.9,499.6,83251
2012-02-13,496.0,529.5,483.7,512.0,45152
2012-02-14,508.5,508.96,495.9,497.5,56579
2012-02-15,510.0,512.0,500.0,500.0,62732
2012-02-16,502.0,509.15,496.36,499.5,13464
2012-02-17,514.5,514.5,496.0,500.0,15271
2012-02-20,510.0,510.0,495.2,500.0,72193
2012-02-21,497.5,510.0,495.6,501.0,122425
2012-02-22,516.0,567.38,516.0,545.0,177610
2012-02-23,549.0,564.5,545.75,560.0,65488
2012-02-24,560.0,583.6,556.93,578.0,104378
2012-02-27,578.0,588.0,559.06,588.0,69129
2012-02-28,598.5,600.6,579.92,591.0,38505
2012-02-29,598.5,598.5,589.5,591.0,143403
2012-03-01,594.5,601.88,589.5,595.0,99249
2012-03-02,599.0,607.5,592.25,602.0,82186
2012-03-05,605.0,618.5,591.0,604.5,86807
2012-03-06,604.0,605.12,593.7,600.0,93662
2012-03-07,607.0,607.0,594.12,595.0,134927
2012-03-08,602.0,609.5,600.0,602.0,90147
2012-03-09,601.0,609.5,599.5,602.0,72272
2012-03-12,600.5,607.0,600.0,605.0,23882
2012-03-13,610.6,630.0,607.0,620.0,99445
2012-03-14,627.0,629.0,618.5,619.0,75453
2012-03-15,616.0,628.5,615.0,623.0,97707
2012-03-16,621.5,624.12,611.92,620.0,167549
2012-03-19,622.5,624.19,610.45,620.0,43882
2012-03-20,620.0,620.0,612.5,615.5,83004
2012-03-21,606.12,615.37,594.61,606.0,92557
2012-03-22,606.5,610.5,595.38,603.5,97616
2012-03-23,605.0,616.5,605.0,612.0,66709
2012-03-26,615.0,631.0,612.06,628.0,117785
2012-03-27,627.0,636.6,621.0,628.0,41108
2012-03-28,624.5,633.38,613.0,619.0,83654
