Date,Open,High,Low,Close,Volume
2015-11-09,180.0,192.5,180.0,186.47,1081735
2015-11-10,185.0,188.0,184.07,185.0,65474
2015-11-11,187.0,187.0,180.0,182.5,174121
2015-11-12,184.5,184.5,177.0,184.0,13055
2015-11-13,177.0,184.25,177.0,181.0,6990
2015-11-16,175.0,179.0,175.0,179.0,36186
2015-11-17,179.0,180.0,178.25,180.0,8244
2015-11-18,180.0,180.0,180.0,180.0,7372
2015-11-19,181.0,181.0,179.0,179.0,9073
2015-11-20,178.75,180.0,178.0,179.73,43831
2015-11-23,178.0,179.0,174.0,177.0,29792
2015-11-24,176.25,176.25,172.0,175.0,9583
2015-11-25,176.0,176.0,172.0,175.0,10793
2015-11-26,177.0,177.0,176.39,176.5,1243
2015-11-27,176.0,177.0,174.0,177.0,76938
2015-11-30,177.0,179.75,175.0,178.0,47208
2015-12-01,,,,178.0,0
2015-12-02,176.0,176.0,176.0,176.0,21987
2015-12-03,,,,176.0,0
2015-12-04,,,,176.0,0
2015-12-07,174.0,174.0,173.0,173.0,21022
2015-12-08,173.0,173.0,165.0,168.0,82802
2015-12-09,168.0,172.0,167.5,167.5,5750
2015-12-10,167.75,170.0,167.75,167.75,0
2015-12-11,165.5,170.0,165.5,170.0,621
2015-12-14,165.0,170.0,163.0,169.75,1197
2015-12-15,163.0,163.0,163.0,163.0,1
2015-12-16,164.0,164.0,164.0,164.0,1
2015-12-18,167.0,167.0,160.0,160.25,3982
2015-12-21,165.0,165.0,161.0,161.0,21470
2015-12-22,163.0,163.0,163.0,163.0,1319
2015-12-23,165.0,165.43,160.0,165.0,55135
2015-12-24,165.0,165.0,165.0,165.0,39308
2015-12-29,,,,165.0,0
2015-12-30,160.0,160.0,160.0,160.0,1089
2015-12-31,161.0,161.0,155.0,155.0,26731
2016-01-04,160.0,160.0,154.0,155.0,84512
2016-01-05,155.0,155.25,153.5,155.25,53583
2016-01-06,155.0,155.0,155.0,155.0,18
2016-01-07,156.0,156.25,156.0,156.25,1189
2016-01-08,156.0,163.5,155.0,162.0,163575
2016-01-11,160.0,165.0,160.0,165.0,108220
2016-01-12,161.0,165.0,161.0,165.0,50908
2016-01-13,164.0,164.0,164.0,164.0,2663
2016-01-14,160.0,162.27,160.0,160.25,260888
2016-01-15,165.0,165.0,165.0,165.0,3556
2016-01-18,160.0,167.0,160.0,163.0,723254
2016-01-19,163.5,165.0,162.5,162.5,10950
