Date,Open,High,Low,Close,Volume
2012-01-03,190.0,191.52,187.0,191.5,4898747
2012-01-04,191.4,192.9,188.8,190.7,4692225
2012-01-05,190.4,192.2,188.29,190.1,4669364
2012-01-06,191.0,195.3,189.32,191.4,3592438
2012-01-09,192.7,193.5,188.9,190.4,4292775
2012-01-10,193.0,198.9,190.5,196.2,7167235
2012-01-11,196.1,197.7,194.4,196.6,5370872
2012-01-12,196.7,200.8,196.2,198.7,3655464
2012-01-13,200.5,201.7,191.2,196.3,6296786
2012-01-16,195.9,203.2,195.32,202.7,3316073
2012-01-17,205.0,210.7,204.22,206.3,8173414
2012-01-18,206.5,206.6,202.1,204.7,6393838
2012-01-19,204.6,214.1,204.6,213.1,6877972
2012-01-20,214.3,214.3,205.6,211.7,7466726
2012-01-23,212.2,216.04,210.7,214.4,6486714
2012-01-24,212.9,213.5,204.12,207.9,5248422
2012-01-25,209.0,213.7,205.3,210.0,4097296
2012-01-26,210.2,217.5,208.9,214.6,4121207
2012-01-27,212.2,215.5,208.3,209.8,3670311
2012-01-30,208.2,210.8,203.9,207.7,3022163
2012-01-31,208.3,213.5,207.8,209.6,4178018
2012-02-01,208.9,216.9,206.2,215.5,5282439
2012-02-02,216.4,220.7,214.9,220.0,5105528
2012-02-03,219.3,226.6,218.4,225.6,5627569
2012-02-06,225.3,225.9,221.8,224.6,3341875
2012-02-07,225.5,225.5,217.5,221.5,5151781
2012-02-08,222.0,224.3,218.2,219.1,3600056
2012-02-09,220.5,224.2,219.7,220.0,5091904
2012-02-10,219.9,221.6,215.9,217.2,4378889
2012-02-13,219.7,222.2,217.2,219.3,2064067
2012-02-14,218.4,221.53,216.2,218.8,3845430
2012-02-15,220.4,222.2,218.4,218.7,3617734
2012-02-16,217.3,219.7,214.7,219.2,2091810
2012-02-17,220.5,225.6,220.5,223.1,4328399
2012-02-20,224.6,227.8,221.9,226.2,3423486
2012-02-21,226.6,226.99,222.6,225.5,3199349
2012-02-22,226.0,227.58,224.2,226.2,4141047
2012-02-23,225.0,230.9,225.0,228.3,5456986
2012-02-24,230.5,237.0,229.5,235.5,7696539
2012-02-27,235.4,236.0,228.2,232.5,6229812
2012-02-28,234.0,236.92,218.9,222.2,12427155
2012-02-29,222.4,225.8,218.4,218.8,8952055
2012-03-01,217.7,223.2,215.4,222.5,4235843
2012-03-02,222.8,223.2,217.5,218.4,5477677
2012-03-05,216.8,218.68,209.3,214.0,7113832
2012-03-06,212.9,213.3,205.0,205.6,10222930
2012-03-07,205.0,207.8,204.5,206.5,7174286
2012-03-08,208.0,213.3,207.7,211.4,4622343
2012-03-09,210.3,213.95,209.0,212.5,5681759
2012-03-12,213.0,213.0,206.9,211.0,6801958
2012-03-13,212.0,218.2,211.5,216.0,4912354
2012-03-14,217.2,223.7,215.0,219.8,6266303
2012-03-15,220.0,222.0,217.7,219.6,3739414
2012-03-16,220.7,220.9,215.3,217.2,6649064
2012-03-19,217.6,217.68,211.9,215.4,4105292
2012-03-20,212.1,213.2,205.5,209.5,6118559
2012-03-21,210.5,212.6,208.5,209.2,4896708
2012-03-22,209.7,210.6,204.2,207.4,4715672
2012-03-23,208.1,210.9,203.45,210.3,4811882
2012-03-26,211.4,215.54,208.8,213.8,3501533
2012-03-27,214.9,216.4,210.52,211.6,4626493
2012-03-28,210.2,212.0,205.8,207.1,5204919
2012-03-29,206.0,207.2,200.2,202.4,4542460
2012-03-30,204.0,209.5,204.0,206.1,5199499
2012-04-02,206.3,211.3,204.0,210.6,3738224
2012-04-03,211.3,214.2,208.5,208.5,3168702
2012-04-04,207.5,208.38,198.0,198.9,4891137
2012-04-05,200.0,201.9,195.4,199.8,3664256
2012-04-10,198.0,198.0,189.4,189.7,6820436
2012-04-11,189.5,193.3,189.5,191.5,7105819
2012-04-12,195.1,203.7,195.1,203.3,9836604
2012-04-13,203.5,205.4,197.7,199.2,5846631
2012-04-16,199.1,207.4,197.9,203.7,7393600
2012-04-17,202.7,212.54,202.6,211.5,7400871
2012-04-18,210.5,212.47,205.2,209.2,8030051
2012-04-19,211.5,213.8,205.8,206.9,6170522
2012-04-20,207.4,208.97,205.4,208.7,2898575
2012-04-23,205.9,206.9,200.5,202.0,4476664
2012-04-24,204.3,205.27,200.0,202.4,4496987
2012-04-25,200.1,205.0,199.8,203.3,5232399
2012-04-26,204.4,207.1,201.9,206.8,5223098
2012-04-27,205.6,209.0,203.1,207.8,5577125
2012-04-30,208.0,209.76,202.7,203.7,4478773
2012-05-01,204.5,206.02,202.0,206.0,1736773
2012-05-02,207.7,208.2,204.9,205.1,4898837
2012-05-03,206.0,207.3,203.1,204.9,3704847
2012-05-04,203.7,204.3,194.2,197.9,6257895
2012-05-08,196.4,198.48,191.6,191.8,6428117
2012-05-09,193.1,194.5,184.7,187.6,5811528
2012-05-10,190.6,191.27,186.9,188.6,4170643
2012-05-11,188.2,193.6,187.0,192.8,5450434
2012-05-14,191.4,192.8,188.6,190.0,6793986
2012-05-15,191.9,193.1,188.5,190.2,6100077
2012-05-16,186.8,195.2,186.1,192.4,7984819
2012-05-17,191.5,192.9,183.97,184.3,4723897
2012-05-18,181.6,183.9,179.43,182.5,6434591
2012-05-21,182.6,188.0,181.24,186.4,3976791
2012-05-22,188.4,191.2,187.4,191.0,4721146
2012-05-23,189.0,189.0,184.1,184.1,4027100
2012-05-24,186.3,186.8,180.9,183.2,4229803
2012-05-25,183.7,184.1,181.0,182.8,3081211
2012-05-28,185.0,187.4,183.9,185.0,2952507
2012-05-29,187.0,190.3,185.2,189.4,2753192
2012-05-30,188.8,188.8,181.9,183.6,3273113
2012-05-31,184.9,187.0,181.1,183.0,6247235
2012-06-01,182.5,184.3,173.8,175.5,4635690
2012-06-06,176.2,178.47,175.35,177.8,5891150
2012-06-07,179.3,186.9,177.8,183.5,7832669
2012-06-08,184.0,184.0,179.7,181.8,3963283
2012-06-11,187.5,190.67,183.0,183.4,4763634
2012-06-12,183.9,185.5,182.1,184.9,5135157
2012-06-13,185.8,188.1,178.87,182.3,4837090
2012-06-14,180.9,182.58,173.4,175.3,6942674
2012-06-15,176.2,177.27,174.2,176.0,8098424
2012-06-18,180.1,180.4,174.6,177.8,2748863
2012-06-19,178.2,182.0,177.8,181.3,2759741
2012-06-20,181.1,184.3,179.5,183.9,3714214
2012-06-21,183.8,184.6,181.5,182.2,4434730
2012-06-22,180.5,180.8,178.5,179.4,3630065
2012-06-25,179.0,179.28,174.2,174.5,4522645
2012-06-26,175.0,175.27,172.6,173.6,5062006
2012-06-27,174.1,175.7,172.3,175.3,4074007
2012-06-28,174.2,176.4,171.36,174.3,5888730
2012-06-29,179.7,181.9,177.65,180.6,5731212
2012-07-02,180.6,183.2,180.2,181.7,4559366
2012-07-03,181.7,183.7,179.7,183.6,6961469
2012-07-04,184.6,187.93,182.77,186.6,3786718
2012-07-05,202.4,213.72,200.5,211.0,19596373
2012-07-06,210.7,211.6,206.7,207.1,8480563
2012-07-09,207.9,211.1,203.8,208.7,5526151
2012-07-10,210.5,216.1,208.8,215.5,5367174
2012-07-11,215.1,215.1,208.8,210.0,5566204
2012-07-12,209.1,212.9,207.3,208.6,3534080
2012-07-13,209.9,211.8,207.4,211.4,4374901
2012-07-16,212.2,213.8,209.5,212.4,2489468
2012-07-17,213.8,215.4,209.4,210.1,4641482
2012-07-18,211.7,213.83,208.3,213.0,3775811
2012-07-19,213.8,217.75,212.7,215.6,3965986
2012-07-20,216.7,216.7,209.3,209.9,5723246
2012-07-23,207.5,207.9,200.0,202.0,5311053
2012-07-24,202.8,203.6,199.95,200.7,3412905
2012-07-25,200.2,203.31,199.27,201.8,4699158
2012-07-26,202.8,206.83,198.0,204.5,4650096
2012-07-27,205.5,208.0,203.9,208.0,3666297
2012-07-30,209.0,211.3,206.2,211.0,4360144
2012-07-31,210.0,215.0,208.3,210.4,4279762
2012-08-01,209.4,212.3,208.5,211.5,2548933
2012-08-02,211.0,211.5,200.4,203.0,11038794
2012-08-03,205.3,211.77,203.4,210.6,4479467
2012-08-06,210.1,217.45,210.1,216.4,3331422
2012-08-07,215.6,220.46,215.6,219.4,3529018
2012-08-08,216.3,218.25,213.7,215.7,3572932
2012-08-09,217.3,217.3,213.7,215.9,2940756
2012-08-10,215.3,218.3,214.7,217.8,3035756
2012-08-13,217.8,217.86,214.0,215.2,2201567
2012-08-14,216.6,219.2,216.0,219.0,3150814
2012-08-15,218.5,218.5,215.6,218.2,2357921
2012-08-16,219.2,221.03,218.1,220.7,3347765
2012-08-17,221.8,226.2,220.8,226.1,3840783
2012-08-20,226.3,226.67,223.47,224.0,3030053
2012-08-21,224.9,227.76,224.09,226.5,2311695
2012-08-22,225.5,226.0,222.75,225.1,2659863
2012-08-23,226.3,227.6,223.0,223.9,3687446
2012-08-24,224.4,224.5,218.5,220.1,3072376
2012-08-28,221.1,221.2,218.5,218.9,2853518
2012-08-29,219.1,220.4,217.6,218.4,2013832
2012-08-30,217.9,217.9,211.8,212.4,3933243
2012-08-31,211.3,217.3,211.1,213.5,5446884
2012-09-03,212.7,215.4,211.9,214.7,2400419
2012-09-04,214.8,215.3,211.4,213.0,4592222
2012-09-05,213.0,215.5,212.3,215.0,3501531
2012-09-06,215.5,222.1,214.4,221.3,3886043
2012-09-07,221.3,227.3,219.1,223.9,5045071
2012-09-10,222.8,225.15,222.1,224.0,1484076
2012-09-11,222.8,223.32,219.9,223.3,3011884
2012-09-12,224.4,229.3,223.2,229.1,6196767
2012-09-13,229.4,230.0,226.1,228.5,2824466
2012-09-14,233.2,242.1,231.83,237.2,8096217
2012-09-17,236.6,238.1,234.6,236.9,3526149
2012-09-18,235.0,235.0,227.4,228.3,4428754
2012-09-19,229.8,231.6,228.1,230.8,3655612
2012-09-20,229.6,230.0,224.9,226.6,4103700
2012-09-21,227.7,229.2,225.93,226.0,9516641
2012-09-24,223.5,224.35,218.19,218.9,3868226
2012-09-25,219.2,219.2,215.0,218.0,3771079
2012-09-26,216.2,217.0,212.8,214.2,6253904
2012-09-27,215.7,217.3,213.4,217.2,5724937
2012-09-28,218.9,218.9,214.8,214.8,5646942
2012-10-01,215.5,217.52,214.0,217.0,5117443
2012-10-02,215.9,220.5,214.2,218.6,3858440
2012-10-03,218.1,221.9,217.0,220.9,4262804
2012-10-04,222.1,223.0,219.7,222.0,5064038
2012-10-05,222.2,227.0,221.9,226.3,3721799
2012-10-08,224.4,224.4,215.4,216.9,5330676
2012-10-09,217.6,218.3,214.03,215.0,3972161
2012-10-10,214.5,215.52,210.6,214.1,3964064
2012-10-11,213.4,217.6,212.3,217.0,8602094
2012-10-12,216.1,216.1,201.42,209.9,7134998
2012-10-15,210.2,212.7,210.1,211.9,4519147
2012-10-16,203.6,210.8,200.84,204.8,16032071
2012-10-17,204.5,208.7,202.7,207.0,7990965
2012-10-18,206.7,214.77,205.9,214.0,10229485
2012-10-19,212.8,216.0,210.0,210.3,6531050
2012-10-22,210.0,211.5,206.4,210.0,4029346
2012-10-23,210.0,210.8,204.2,205.2,4965627
2012-10-24,206.1,207.0,202.8,204.9,4847617
2012-10-25,204.9,206.2,203.57,204.3,3407568
2012-10-26,202.4,205.8,201.5,205.2,3024957
2012-10-29,204.5,205.6,201.9,204.5,2156535
2012-10-30,204.1,210.8,204.1,210.1,3335529
2012-10-31,209.8,213.22,207.6,207.6,4227908
2012-11-01,207.6,212.3,207.6,212.0,4821249
2012-11-02,211.9,218.4,211.6,216.7,6566649
2012-11-05,215.0,216.8,212.3,213.5,2641838
2012-11-06,213.4,216.8,212.3,216.0,2973588
2012-11-07,217.1,219.07,210.8,211.1,3149395
2012-11-08,212.1,212.7,207.8,207.8,2634563
2012-11-09,208.0,208.67,204.7,206.0,4125512
2012-11-12,206.9,207.3,204.8,205.7,3507063
2012-11-13,205.0,208.2,202.6,207.7,4023355
2012-11-14,207.7,207.7,201.7,202.7,4171036
2012-11-15,201.0,206.7,201.0,204.3,4268805
2012-11-16,204.2,205.8,201.0,201.0,3856598
2012-11-19,202.5,208.96,202.1,207.7,3924630
2012-11-20,207.0,211.7,206.5,210.0,4635151
2012-11-21,209.2,213.2,209.2,212.0,3001049
2012-11-22,212.8,214.7,212.5,214.4,2741656
2012-11-23,215.1,218.84,213.9,218.4,3648423
2012-11-26,217.5,218.91,215.3,217.2,2597756
2012-11-27,218.8,221.0,216.4,217.9,2712651
2012-11-28,217.3,218.9,215.77,216.8,3493864
2012-11-29,218.9,221.16,218.0,220.9,4401237
2012-11-30,221.0,225.3,220.3,222.0,8578414
2012-12-03,222.6,223.7,220.4,221.4,2872195
2012-12-04,221.5,223.3,220.4,222.1,2458171
2012-12-05,223.4,226.2,222.96,225.0,5455588
2012-12-06,226.0,228.1,224.6,224.7,3631329
2012-12-07,224.7,225.3,221.2,223.4,3545755
2012-12-10,223.0,226.0,221.11,225.2,2336135
2012-12-11,225.2,226.9,224.56,226.2,2778180
2012-12-12,226.2,226.8,224.6,225.5,3461082
2012-12-13,226.0,227.9,222.66,226.5,2768475
2012-12-14,227.4,229.1,226.3,227.7,3341662
2012-12-17,228.1,229.2,225.2,225.6,2646373
2012-12-18,226.2,228.8,226.12,228.7,3201468
2012-12-19,229.1,229.7,224.6,227.1,2981790
2012-12-20,227.6,231.8,227.6,229.3,4946029
2012-12-21,228.9,231.4,226.0,230.5,6107878
2012-12-24,230.4,232.1,227.7,229.9,720685
2012-12-27,228.7,232.4,228.7,232.1,1916275
2012-12-28,232.1,234.3,229.14,230.1,1525379
2012-12-31,228.4,231.9,226.65,228.8,865676
2013-01-02,233.3,236.8,232.9,235.2,3333598
2013-01-03,235.5,237.11,234.6,236.4,2704883
2013-01-04,236.0,236.3,233.1,235.9,4112503
2013-01-07,236.0,236.89,233.9,234.7,2362530
2013-01-08,233.9,236.29,231.0,231.3,3602841
2013-01-09,234.9,236.1,231.0,235.3,5788034
2013-01-10,235.9,240.2,235.15,240.0,4771409
2013-01-11,240.0,241.0,235.25,239.3,3789373
2013-01-14,239.5,243.8,238.5,241.1,4136306
2013-01-15,241.0,245.39,240.65,244.2,4348025
2013-01-16,243.0,244.5,239.4,239.9,4009073
2013-01-17,239.0,242.0,238.55,241.8,3445005
2013-01-18,242.5,244.8,241.6,243.3,3520184
2013-01-21,245.0,248.4,243.2,248.1,3038831
2013-01-22,247.2,248.3,243.7,244.5,2797227
2013-01-23,244.3,246.4,242.1,246.0,2814627
2013-01-24,246.1,246.7,243.6,245.7,2990611
2013-01-25,244.9,247.7,244.6,246.6,2389704
2013-01-28,246.4,248.64,241.2,241.5,4613374
2013-01-29,241.9,245.3,241.08,244.9,2947258
2013-01-30,244.9,247.5,242.7,243.5,3260300
2013-01-31,243.3,245.9,239.58,240.8,4531682
2013-02-01,241.2,249.74,240.9,249.3,4032017
2013-02-04,249.2,250.2,246.2,247.3,4962788
2013-02-05,247.0,250.0,245.6,246.6,3453552
2013-02-06,247.3,249.7,245.7,248.8,3968681
2013-02-07,248.8,249.83,243.7,245.9,3874962
2013-02-08,247.6,255.5,246.8,255.5,5539511
2013-02-11,255.1,257.93,252.2,257.9,4149469
2013-02-12,256.9,257.1,252.2,254.8,3329273
2013-02-13,254.4,261.7,254.0,260.4,3386955
2013-02-14,260.3,261.6,256.5,256.7,3093594
