Date,Open,High,Low,Close,Volume
2014-12-19,365.0,370.0,361.5,365.0,14213
2014-12-22,368.0,370.0,355.46,360.0,4463
2014-12-23,362.89,362.96,355.0,355.0,0
2014-12-24,360.25,361.38,355.43,355.43,252
2014-12-29,362.9,362.9,355.43,355.43,0
2014-12-30,367.75,367.75,355.64,365.0,153
2014-12-31,353.25,358.61,353.25,357.0,4
2015-01-05,353.5,364.5,353.5,360.0,42
2015-01-06,361.16,361.16,361.16,361.16,0
2015-01-07,360.0,365.32,360.0,365.12,17
2015-01-08,362.62,364.0,360.0,363.97,0
2015-01-09,369.75,370.0,365.0,365.25,8789
2015-01-12,365.0,370.0,365.0,370.0,4862
2015-01-13,370.0,370.0,365.25,365.75,8688
2015-01-14,365.25,365.81,365.25,365.75,422
2015-01-15,363.0,363.29,355.0,355.0,3567
2015-01-16,355.0,358.3,355.0,355.0,94
2015-01-19,355.25,367.58,349.55,349.55,7571
2015-01-20,349.0,350.62,347.21,348.5,3305
2015-01-21,347.0,349.16,345.02,345.59,1500
2015-01-22,349.5,352.38,348.0,348.5,639
2015-01-23,354.0,355.04,347.0,350.0,20321
2015-01-26,350.0,364.3,346.68,356.15,17895
2015-01-27,365.0,371.78,357.0,370.0,29178
2015-01-28,370.0,373.08,361.5,373.08,1687
2015-01-29,370.0,373.58,366.16,366.16,267
2015-01-30,363.0,372.81,363.0,363.0,31
2015-02-02,375.0,381.8,369.94,373.0,4421
2015-02-03,382.18,382.74,374.83,374.83,0
2015-02-04,381.75,382.18,380.5,381.75,0
2015-02-05,383.75,383.75,373.0,374.5,3184
2015-02-06,382.75,382.75,370.0,380.0,5945
2015-02-09,380.98,380.98,372.95,379.94,0
2015-02-10,370.25,383.75,370.25,372.0,820
2015-02-11,377.53,377.87,373.75,377.87,0
2015-02-12,375.0,378.76,373.12,378.5,1693
2015-02-13,381.75,382.0,375.81,377.5,1969
2015-02-16,382.75,382.75,371.42,375.0,3156
2015-02-17,370.0,373.0,370.0,373.0,369
2015-02-18,370.5,379.5,367.37,369.75,6430
2015-02-19,373.08,376.08,371.1,371.1,0
2015-02-20,375.0,376.48,370.25,371.2,3183
2015-02-23,368.25,377.0,368.0,368.0,764
2015-02-24,371.04,377.12,371.04,377.0,0
2015-02-25,380.0,385.0,369.0,369.0,15123
2015-02-26,374.25,374.69,366.5,366.5,3086
2015-02-27,366.0,370.5,362.0,362.0,3823
2015-03-02,355.25,364.39,345.71,355.0,107355
2015-03-03,356.25,370.0,356.25,365.0,21318
2015-03-04,364.0,365.48,361.2,364.0,62
2015-03-05,360.25,365.38,354.0,361.0,3976
2015-03-06,369.25,371.0,358.61,363.0,18072
2015-03-09,370.0,372.76,362.35,367.0,18688
2015-03-10,373.0,373.0,366.24,373.0,2302
2015-03-11,373.0,377.0,367.44,377.0,3014
2015-03-12,378.75,378.75,373.88,376.5,834
2015-03-13,376.0,385.0,376.0,385.0,6037
2015-03-16,390.0,390.0,379.5,383.0,0
2015-03-17,388.5,394.5,380.0,394.5,0
2015-03-18,385.0,399.9,385.0,390.5,0
2015-03-19,399.9,405.0,395.0,400.0,0
2015-03-20,402.0,402.0,390.0,390.0,3024
2015-03-23,398.5,402.0,398.5,401.65,0
2015-03-24,401.65,409.0,401.65,403.5,0
2015-03-25,407.9,409.0,400.0,400.01,0
2015-03-26,405.0,407.45,402.5,407.45,1000
2015-03-27,407.45,407.45,403.0,407.4,0
2015-03-30,404.0,409.0,404.0,409.0,0
2015-03-31,404.5,409.99,400.0,404.5,1055
2015-04-01,405.8,409.0,402.0,402.5,0
2015-04-02,402.0,407.0,401.0,401.0,0
2015-04-07,401.0,405.0,401.0,405.0,0
2015-04-08,405.0,405.0,400.1,400.1,0
2015-04-09,400.0,410.17,400.0,404.5,0
2015-04-10,402.5,407.0,400.5,400.55,0
2015-04-13,400.55,403.5,395.0,395.1,0
2015-04-14,395.0,397.0,395.0,395.0,0
2015-04-15,394.5,397.0,392.0,395.0,0
2015-04-16,392.5,397.0,392.5,397.0,0
2015-04-17,392.75,392.75,390.0,390.0,0
2015-04-20,392.5,392.5,389.57,391.75,0
2015-04-21,391.75,391.75,390.0,390.0,0
2015-04-22,391.0,391.0,382.25,382.25,52
2015-04-23,390.2,391.0,390.2,390.25,0
2015-04-24,390.2,392.0,390.2,390.25,0
2015-04-27,390.25,391.0,390.25,390.25,0
2015-04-28,391.5,391.75,390.0,390.25,0
2015-04-29,391.4,391.4,390.25,390.25,0
2015-04-30,390.25,391.39,390.0,390.0,0
2015-05-01,391.39,391.39,390.25,390.25,0
2015-05-05,390.2,398.0,390.2,398.0,19
2015-05-06,391.39,392.0,385.21,392.0,152
2015-05-07,386.0,390.0,385.0,390.0,0
2015-05-08,385.0,397.5,383.0,392.0,0
