Date,Open,High,Low,Close,Volume
2012-01-03,399.7,418.15,395.65,418.15,6626260
2012-01-04,415.35,419.2,402.0,405.0,4554910
2012-01-05,405.9,407.51,394.25,394.25,6550844
2012-01-06,395.1,400.76,389.8,395.25,4804517
2012-01-09,396.0,401.6,394.7,398.65,4723985
2012-01-10,403.3,409.15,400.75,401.7,7212520
2012-01-11,401.15,408.65,395.15,396.65,5175227
2012-01-12,399.1,411.86,398.7,399.9,5501908
2012-01-13,405.55,406.1,393.13,400.0,6331223
2012-01-16,398.0,400.55,393.85,396.8,4487680
2012-01-17,404.2,408.0,398.1,405.45,10112469
2012-01-18,405.0,416.55,401.75,415.4,8437177
2012-01-19,413.25,430.65,411.6,430.0,7574878
2012-01-20,430.0,430.8,416.65,423.05,7212970
2012-01-23,425.0,443.36,420.0,435.85,7513593
2012-01-24,433.5,436.5,423.65,427.1,4630410
2012-01-25,427.5,430.65,416.5,418.45,5127767
2012-01-26,420.0,439.8,420.0,434.3,8942628
2012-01-27,430.95,434.1,423.85,425.35,4142407
2012-01-30,420.3,424.5,413.0,415.0,6161992
2012-01-31,424.55,424.55,411.2,411.2,7528489
2012-02-01,415.9,431.8,411.4,431.75,6334519
2012-02-02,442.65,467.8,429.28,461.7,46984719
2012-02-03,457.7,484.0,444.95,482.55,15680704
2012-02-06,478.0,483.2,458.0,460.75,11927946
2012-02-07,461.05,472.2,437.0,443.25,36079969
2012-02-08,446.1,459.25,434.45,434.45,11913568
2012-02-09,438.85,446.9,431.0,442.95,7196650
2012-02-10,437.4,442.0,419.3,435.2,4580151
2012-02-13,438.0,442.61,428.25,429.25,6539551
2012-02-14,431.5,431.9,418.4,423.55,9626378
2012-02-15,428.35,434.4,419.25,422.0,6121076
2012-02-16,420.75,426.8,415.55,426.6,10092958
2012-02-17,428.7,438.15,425.6,430.0,8502315
2012-02-20,435.4,439.1,430.0,436.45,4676572
2012-02-21,439.35,442.0,431.8,438.35,7108250
2012-02-22,439.25,444.0,434.5,440.35,7091022
2012-02-23,442.25,443.1,432.05,438.1,5452420
2012-02-24,437.4,441.25,432.35,436.3,4278714
2012-02-27,432.5,434.15,425.55,434.15,6192841
2012-02-28,432.9,439.4,432.0,438.35,8993929
2012-02-29,440.0,442.85,429.35,432.0,40226327
2012-03-01,431.3,432.9,423.65,427.15,11894325
2012-03-02,429.0,429.0,419.5,420.0,4775338
2012-03-05,419.9,421.05,397.5,403.35,10784278
2012-03-06,405.0,405.35,397.8,401.3,11086478
2012-03-07,402.3,405.7,396.85,402.25,7744771
2012-03-08,404.55,410.62,397.0,405.1,8003049
2012-03-09,405.1,411.1,399.0,408.7,5160363
2012-03-12,408.5,412.11,402.55,411.35,4465052
2012-03-13,413.0,418.2,412.9,418.2,7134120
2012-03-14,419.95,423.83,412.0,413.35,12570393
2012-03-15,416.0,418.75,407.95,412.2,6628441
2012-03-16,411.1,424.58,409.25,418.25,12453202
2012-03-19,416.9,424.8,414.3,420.45,5754568
2012-03-20,419.0,420.44,406.7,413.6,12328123
2012-03-21,419.0,419.0,413.1,415.75,9224645
2012-03-22,412.55,412.87,398.8,403.5,9744271
2012-03-23,408.0,409.24,394.75,404.95,6617094
2012-03-26,409.7,409.7,398.0,401.7,8032452
2012-03-27,405.5,409.07,399.55,401.5,4604800
2012-03-28,400.0,401.4,388.4,389.25,9060595
2012-03-29,389.0,394.2,381.35,387.3,7520202
2012-03-30,388.65,399.33,387.1,389.4,8086243
2012-04-02,392.85,399.85,388.25,399.15,5797557
2012-04-03,402.25,405.3,397.8,401.4,8216738
2012-04-04,399.5,399.5,388.1,389.4,8010755
2012-04-05,394.5,412.45,386.65,411.8,15927344
2012-04-10,406.8,407.35,392.9,392.9,10153944
2012-04-11,392.4,400.2,389.94,395.0,6882017
2012-04-12,397.3,409.2,396.65,404.9,6372628
2012-04-13,407.15,409.9,398.25,399.8,5859952
2012-04-16,398.0,405.94,397.7,400.7,5631822
2012-04-17,397.95,410.0,396.1,409.75,5309677
2012-04-18,409.9,415.6,407.6,414.95,7439143
2012-04-19,418.3,419.95,413.5,415.9,6992392
2012-04-20,417.85,425.1,412.8,423.4,6856670
2012-04-23,416.0,418.59,406.6,408.55,6628272
2012-04-24,410.65,419.95,410.0,415.75,5331904
2012-04-25,418.2,430.15,414.9,429.2,6612316
2012-04-26,428.0,435.0,427.0,435.0,7209772
2012-04-27,433.65,439.95,422.9,437.25,6986804
2012-04-30,439.85,439.85,425.6,425.6,6855842
2012-05-01,426.0,437.05,424.95,434.6,2553756
2012-05-02,434.8,435.9,423.8,425.65,7866348
2012-05-03,426.0,435.86,424.0,426.4,4798536
2012-05-04,424.35,424.35,405.65,410.25,9240868
2012-05-08,405.8,412.3,391.75,392.0,7867856
2012-05-09,394.0,402.6,392.0,397.95,8228901
2012-05-10,400.0,403.2,391.3,396.5,5824659
2012-05-11,396.9,403.96,377.1,386.1,10787680
2012-05-14,383.0,383.15,368.85,371.9,10246325
2012-05-15,375.0,377.5,367.25,370.0,7642329
2012-05-16,360.0,372.0,348.05,363.15,13860533
2012-05-17,366.9,366.9,346.8,354.3,8547166
2012-05-18,349.9,355.8,340.8,345.35,17117307
2012-05-21,345.0,354.38,343.0,351.5,5840734
2012-05-22,359.0,364.13,350.36,361.6,5916269
2012-05-23,354.3,354.3,340.85,343.65,8469768
2012-05-24,337.5,346.6,331.2,346.0,17185405
2012-05-25,345.0,346.65,337.9,340.65,8122547
2012-05-28,343.0,350.5,343.0,345.95,6905718
2012-05-29,350.0,358.05,348.85,354.1,9107074
2012-05-30,351.5,351.5,342.0,345.0,9190273
2012-05-31,345.1,351.9,335.0,340.5,10328658
2012-06-01,343.95,345.1,332.2,334.35,15949459
2012-06-06,335.05,348.2,335.05,347.75,17642491
2012-06-07,350.0,364.94,348.0,361.2,18524822
2012-06-08,356.4,360.0,334.23,357.8,12754762
2012-06-11,367.6,369.8,360.75,363.55,17183532
2012-06-12,362.95,370.39,358.55,366.85,15654516
2012-06-13,370.0,370.0,349.4,355.0,24556599
2012-06-14,353.7,354.05,336.95,341.7,21712836
2012-06-15,345.4,353.8,340.25,340.45,178154065
2012-06-18,345.8,347.93,326.45,328.4,14769774
2012-06-19,331.0,336.05,328.75,330.0,11237985
2012-06-20,329.0,342.14,328.5,333.25,12473565
2012-06-21,330.0,339.54,320.7,322.65,11864340
2012-06-22,322.9,322.9,312.1,312.65,10774972
2012-06-25,310.2,316.0,304.5,308.15,11881756
2012-06-26,311.5,311.5,301.1,302.7,15660265
2012-06-27,300.0,305.0,289.35,298.3,30021682
2012-06-28,300.0,304.75,290.35,293.55,12082406
2012-06-29,305.0,305.03,295.55,295.55,13115409
2012-07-02,298.0,299.66,290.2,299.0,9650220
2012-07-03,299.9,305.28,292.0,303.75,12612679
2012-07-04,304.6,315.08,303.42,312.05,10146485
2012-07-05,313.15,324.39,311.25,315.6,10301425
2012-07-06,315.5,315.5,308.45,310.35,5390847
2012-07-09,303.45,309.9,303.45,308.75,6335726
2012-07-10,308.5,317.78,307.4,310.55,7405210
2012-07-11,307.2,317.2,305.2,316.3,5902007
2012-07-12,312.3,314.76,306.5,309.65,4622153
2012-07-13,312.25,318.39,306.85,316.65,6166194
2012-07-16,314.65,318.55,313.2,316.5,3419921
2012-07-17,316.0,319.5,312.3,317.0,7045839
2012-07-18,317.0,318.6,312.08,317.1,5553334
2012-07-19,317.0,325.0,315.75,322.0,11700400
2012-07-20,320.0,325.0,317.35,317.45,11364779
2012-07-23,314.0,314.9,304.55,308.85,8155967
2012-07-24,308.1,312.5,299.6,301.65,7482627
2012-07-25,300.0,307.0,300.0,303.5,4106993
2012-07-26,304.5,311.78,303.03,308.35,5991744
2012-07-27,308.65,313.95,307.5,313.2,5683971
2012-07-30,313.6,321.55,312.0,318.4,8758381
2012-07-31,317.0,323.25,317.0,320.15,5822000
2012-08-01,319.0,322.5,316.5,322.5,4854980
2012-08-02,323.6,324.15,313.1,316.55,8080401
2012-08-03,317.15,329.6,314.15,321.0,10067479
2012-08-06,322.25,331.5,321.95,328.85,7609165
2012-08-07,330.5,339.0,329.4,336.6,9997736
2012-08-08,335.8,339.55,332.73,337.9,8394921
2012-08-09,340.0,345.07,338.95,344.8,13578630
2012-08-10,341.8,346.52,341.0,344.5,7126526
2012-08-13,345.45,348.0,340.15,345.1,6215337
2012-08-14,346.0,350.02,341.7,347.9,7714547
2012-08-15,347.9,349.73,343.75,347.6,10225681
2012-08-16,348.0,350.28,344.9,349.85,9038046
2012-08-17,349.3,353.6,347.6,352.15,10891395
2012-08-20,353.0,354.25,347.15,353.75,13633082
2012-08-21,355.0,360.8,349.51,360.0,15865494
2012-08-22,355.8,357.85,351.85,356.6,9905214
2012-08-23,357.0,366.0,355.75,366.0,14711243
2012-08-24,366.0,368.89,358.2,366.85,12419689
2012-08-28,363.6,384.0,361.45,384.0,22511878
2012-08-29,378.5,379.27,361.88,368.5,18943211
2012-08-30,366.0,369.46,355.35,357.45,12012833
2012-08-31,359.7,385.05,356.12,385.05,156022666
2012-09-03,380.25,388.15,368.52,388.15,28622872
2012-09-04,387.25,390.0,381.0,385.1,23288534
2012-09-05,386.8,391.1,382.5,389.5,23789501
2012-09-06,390.0,400.0,388.2,392.35,32879948
2012-09-07,396.2,399.0,365.1,386.61,80423221
2012-09-10,374.8,380.5,369.2,370.0,21317838
2012-09-11,370.15,372.05,362.0,364.35,13772183
2012-09-12,362.15,370.0,356.25,359.6,15900164
2012-09-13,359.4,359.75,350.6,353.3,15760626
2012-09-14,361.0,381.22,360.31,378.85,30153804
2012-09-17,376.0,380.75,370.0,370.85,9163467
2012-09-18,368.8,374.48,364.7,373.2,13478471
2012-09-19,375.0,377.58,371.3,373.3,12072957
2012-09-20,370.2,379.7,366.25,368.15,18952113
2012-09-21,369.1,375.18,358.85,362.0,33642268
2012-09-24,358.3,361.2,348.9,354.15,13743606
