Date,Open,High,Low,Close,Volume
2014-06-06,205.0,205.0,195.0,196.5,2703273
2014-06-09,198.0,200.0,185.85,197.13,869855
2014-06-10,201.0,201.0,198.0,199.0,94909
2014-06-11,200.0,200.0,197.0,199.49,52301
2014-06-12,197.5,199.0,196.25,198.63,30783
2014-06-13,196.0,199.0,196.0,197.5,109904
2014-06-16,197.75,198.5,196.0,196.0,31398
2014-06-17,197.0,197.0,196.5,196.5,252
2014-06-18,198.0,204.0,197.25,203.25,201242
2014-06-19,205.0,214.5,205.0,212.0,317858
2014-06-20,210.0,211.1,206.0,209.75,85044
2014-06-23,210.25,210.25,209.0,209.5,16235
2014-06-24,209.25,210.0,207.0,208.5,10033
2014-06-25,208.5,208.5,205.5,205.5,85036
2014-06-26,206.0,206.0,205.38,206.0,17
2014-06-27,206.0,206.0,205.0,205.0,9911
2014-06-30,207.0,207.0,203.75,205.0,48230
2014-07-01,205.0,208.5,203.5,205.0,85168
2014-07-02,204.0,209.25,204.0,208.5,58655
2014-07-03,209.0,212.0,209.0,210.0,34471
2014-07-04,211.0,213.75,210.0,210.75,50221
2014-07-07,211.5,212.25,210.0,211.0,11751
2014-07-08,210.25,212.0,207.0,212.0,15533
2014-07-09,210.0,211.0,208.5,210.0,6339
2014-07-10,210.25,210.25,208.75,210.0,14652
2014-07-11,210.0,210.25,208.0,210.25,26588
2014-07-14,210.0,211.75,209.0,209.5,28035
2014-07-15,210.5,210.75,209.75,210.0,65808
2014-07-16,210.5,213.75,209.63,212.0,11411
2014-07-17,215.0,215.0,212.0,212.0,17793
2014-07-18,211.0,215.0,211.0,214.0,8123
2014-07-21,216.0,217.5,213.0,214.25,114178
2014-07-22,215.25,215.5,214.5,214.5,3110
2014-07-23,215.5,215.5,214.0,214.0,9170
2014-07-24,215.5,216.0,215.5,216.0,1036
2014-07-25,216.0,217.0,215.12,217.0,3236
2014-07-28,218.0,219.75,216.0,219.75,82846
2014-07-29,220.0,223.0,219.5,223.0,56107
2014-07-30,219.3,219.3,219.0,219.0,0
2014-07-31,220.5,223.0,219.5,221.0,13045
2014-08-01,223.0,223.0,217.0,222.0,11798
2014-08-04,219.0,222.5,217.25,220.75,280982
2014-08-05,222.0,222.0,220.5,221.0,36492
2014-08-06,222.0,222.5,220.75,222.0,20840
2014-08-07,220.25,227.0,220.0,224.5,18493
2014-08-08,224.25,230.0,223.38,227.5,18143
2014-08-11,230.0,235.0,228.0,232.0,50455
2014-08-12,235.0,236.75,233.88,235.25,20791
2014-08-13,234.0,242.0,234.0,242.0,59639
2014-08-14,243.0,251.75,239.0,242.0,145201
2014-08-15,250.75,254.0,246.38,249.5,33413
2014-08-18,249.75,256.0,248.0,255.0,22972
2014-08-19,256.0,264.25,251.5,260.5,40805
