Date,Open,High,Low,Close,Volume
2012-01-03,497.2,497.2,485.0,495.2,349250
2012-01-04,492.9,496.98,485.8,488.9,531625
2012-01-05,487.7,487.8,476.3,476.3,345762
2012-01-06,480.9,485.8,474.81,484.4,245936
2012-01-09,485.6,487.1,481.4,482.4,470097
2012-01-10,483.0,493.1,483.0,484.4,450905
2012-01-11,485.0,489.1,479.1,479.9,293114
2012-01-12,474.5,482.3,474.34,480.2,439194
2012-01-13,480.2,485.66,477.4,481.0,433798
2012-01-16,478.2,488.6,478.2,485.8,364620
2012-01-17,488.3,503.5,488.3,498.4,671869
2012-01-18,505.0,506.5,493.01,504.0,401474
2012-01-19,504.5,522.5,502.28,520.5,635623
2012-01-20,520.0,521.0,511.5,512.0,391304
2012-01-23,513.0,514.5,507.28,513.5,326927
2012-01-24,508.5,515.0,503.5,507.0,317666
2012-01-25,510.5,516.0,504.5,507.0,343254
2012-01-26,509.5,512.0,499.4,509.5,381640
2012-01-27,506.0,510.0,497.2,497.2,791797
2012-01-30,494.8,496.7,490.6,493.2,543543
2012-01-31,495.3,498.8,491.3,492.1,487815
2012-02-01,495.0,511.0,494.9,510.5,439814
2012-02-02,510.0,513.0,506.0,508.0,403689
2012-02-03,508.0,521.5,504.0,521.5,494678
2012-02-06,520.5,520.67,511.52,517.5,310307
2012-02-07,519.0,519.0,511.5,515.0,318718
2012-02-08,515.5,518.5,508.5,511.0,245074
2012-02-09,515.0,517.0,508.0,513.0,137865
2012-02-10,511.5,518.0,505.0,517.5,290414
2012-02-13,523.5,524.5,518.5,520.5,175301
2012-02-14,519.5,523.0,517.0,519.0,196035
2012-02-15,520.0,525.0,505.5,510.0,496765
2012-02-16,505.5,509.5,495.1,508.0,259356
2012-02-17,508.0,511.16,501.2,507.5,126345
2012-02-20,509.0,512.0,504.5,506.5,164316
2012-02-21,506.5,510.5,499.5,503.5,166454
2012-02-22,503.0,507.0,495.9,505.5,291220
2012-02-23,508.0,512.0,502.5,506.0,242119
2012-02-24,507.0,511.0,502.0,506.0,275979
2012-02-27,503.5,510.7,500.09,504.0,162005
2012-02-28,506.0,506.0,498.7,502.5,220250
2012-02-29,502.5,505.0,494.74,502.5,173674
2012-03-01,501.0,507.5,491.12,504.5,193783
2012-03-02,503.5,505.0,495.5,501.5,163571
2012-03-05,499.5,507.6,488.8,502.0,157896
2012-03-06,500.5,508.0,490.8,494.6,306832
2012-03-07,495.0,502.5,493.1,502.0,169859
2012-03-08,501.5,508.0,489.5,502.5,244403
2012-03-09,503.0,511.5,500.5,505.5,255768
2012-03-12,505.0,508.26,497.6,505.5,174748
2012-03-13,509.0,514.0,503.5,512.5,343551
2012-03-14,516.0,522.5,512.0,514.0,291788
2012-03-15,519.5,520.5,511.0,512.5,297617
2012-03-16,511.5,525.0,509.5,517.5,693853
2012-03-19,516.5,521.0,514.0,517.0,291383
2012-03-20,514.0,515.0,508.5,513.0,318969
2012-03-21,512.5,522.5,512.5,519.5,208020
