Date,Open,High,Low,Close,Volume
2016-11-03,76.0,76.0,71.0,72.2,1269285
2016-11-04,72.0,75.0,71.2,72.0,4222259
2016-11-07,72.25,72.75,71.25,72.0,1385424
2016-11-08,70.75,71.75,65.5,66.5,2768420
2016-11-09,67.75,67.75,65.5,66.0,235420
2016-11-10,66.25,67.5,65.75,66.09,1076672
2016-11-11,66.5,67.3,65.41,65.5,416809
2016-11-14,67.5,67.5,64.5,65.5,394439
2016-11-15,66.75,66.75,62.75,62.75,616947
2016-11-16,62.5,63.25,58.5,60.5,1812141
2016-11-17,60.5,64.0,59.75,62.75,1139680
2016-11-18,63.25,63.75,62.0,63.0,310110
2016-11-21,63.75,63.76,61.0,62.0,363324
2016-11-22,63.0,63.0,61.75,61.9,294000
2016-11-23,62.0,62.36,61.0,62.0,262967
2016-11-24,62.25,62.25,61.25,61.5,415284
2016-11-25,62.25,63.0,61.75,63.0,365252
2016-11-28,63.5,64.0,61.8,62.0,388217
2016-11-29,62.0,62.6,61.25,61.25,435352
2016-11-30,62.0,62.0,59.75,60.0,1340652
2016-12-01,60.0,60.5,59.5,59.88,482350
2016-12-02,60.0,61.0,59.0,59.0,508642
2016-12-05,60.0,60.2,58.0,60.0,175799
2016-12-06,59.75,59.75,56.5,58.5,155442
2016-12-07,59.5,60.25,58.75,60.25,306426
2016-12-08,61.0,64.0,60.44,63.0,215587
2016-12-09,63.5,66.75,62.75,66.75,518895
2016-12-12,68.0,71.0,67.0,70.75,683266
2016-12-13,69.75,71.08,67.5,69.0,302316
2016-12-14,70.0,70.0,67.5,69.25,438030
2016-12-15,68.0,69.75,68.0,69.25,293804
2016-12-16,70.5,71.75,67.75,71.75,1707942
2016-12-19,72.0,72.0,69.32,70.0,555951
2016-12-20,70.5,71.06,67.75,68.0,557404
2016-12-21,68.0,70.75,67.0,70.0,466259
2016-12-22,71.0,72.19,69.25,71.0,362882
2016-12-23,73.0,73.0,70.0,70.0,266443
2016-12-28,70.0,73.25,70.0,71.75,124381
2016-12-29,73.0,73.0,71.5,71.5,341537
2016-12-30,72.0,72.0,71.0,71.0,89992
2017-01-03,70.0,70.9,68.5,70.0,59078
2017-01-04,70.0,70.0,67.0,68.0,118039
2017-01-05,69.25,70.0,68.62,69.0,193649
2017-01-06,67.75,70.0,67.75,67.75,299820
2017-01-09,67.75,68.5,67.0,67.75,104945
2017-01-10,70.0,76.0,70.0,73.75,944371
2017-01-11,77.0,80.95,75.5,80.0,972605
2017-01-12,79.75,82.35,78.0,80.38,357559
2017-01-13,80.0,81.0,78.48,80.0,402804
2017-01-16,81.75,82.0,78.75,79.0,124728
2017-01-17,79.5,79.5,78.0,79.38,35573
2017-01-18,79.25,79.75,78.0,79.0,260935
2017-01-19,80.0,80.5,79.5,80.26,319140
2017-01-20,80.75,80.75,76.0,79.0,524478
2017-01-23,77.0,79.5,76.38,79.0,370333
2017-01-24,80.5,80.66,78.0,79.0,99464
2017-01-25,80.25,80.5,78.0,79.75,252918
2017-01-26,80.0,80.0,76.5,79.0,622814
2017-01-27,80.0,81.75,78.5,80.0,878354
2017-01-30,82.5,87.0,80.8,85.0,378991
2017-01-31,82.0,85.75,82.0,85.25,554795
2017-02-01,83.75,88.5,83.5,85.5,227995
2017-02-02,88.75,88.75,85.25,86.5,172934
2017-02-03,86.0,88.98,85.75,88.0,380943
2017-02-06,86.5,90.0,86.5,89.0,205230
2017-02-07,89.0,89.75,88.76,89.12,203897
2017-02-08,90.0,90.32,88.5,89.97,286793
2017-02-09,91.0,92.22,90.0,92.0,306840
2017-02-10,92.5,92.5,90.39,92.0,267773
2017-02-13,92.5,92.5,91.0,92.0,51037
2017-02-14,92.0,92.0,90.3,91.25,306214
2017-02-15,92.0,92.01,90.5,91.5,236095
2017-02-16,92.0,92.0,90.5,92.0,291144
2017-02-17,91.5,91.58,88.88,89.5,115672
2017-02-20,87.75,91.0,87.75,90.5,54432
2017-02-21,91.0,91.25,89.0,90.5,205149
2017-02-22,91.0,91.5,90.21,91.0,156830
2017-02-23,91.0,91.07,88.54,90.0,183646
2017-02-24,88.25,90.62,88.25,90.0,189449
2017-02-27,88.25,95.0,88.0,94.25,410929
2017-02-28,92.5,97.31,91.19,94.0,623845
2017-03-01,96.5,99.75,95.62,99.0,556216
2017-03-02,97.25,99.0,92.0,96.25,332629
2017-03-03,96.25,96.25,90.31,92.0,243728
2017-03-06,93.75,94.0,92.3,94.0,189945
2017-03-07,92.5,94.0,92.0,93.25,93562
2017-03-08,94.0,95.0,91.75,93.0,152393
2017-03-09,94.75,94.75,92.75,92.75,134267
2017-03-10,92.75,94.01,92.5,94.0,202659
2017-03-13,92.25,93.5,89.0,90.5,152361
2017-03-14,89.0,90.25,84.62,86.0,181785
2017-03-15,85.0,88.25,85.0,87.75,139977
2017-03-16,89.0,89.0,86.25,87.5,75173
2017-03-17,86.0,88.0,85.5,86.25,228364
2017-03-20,86.0,90.1,86.0,89.75,122972
2017-03-21,88.0,91.1,88.0,89.25,116127
2017-03-22,88.0,90.75,88.0,90.0,138065
2017-03-23,88.5,90.0,87.25,89.75,184370
2017-03-24,89.5,92.0,89.5,90.75,272007
2017-03-27,92.0,92.0,87.75,89.75,217070
2017-03-28,88.0,94.5,88.0,93.0,476999
2017-03-29,91.25,94.0,90.5,92.0,178432
2017-03-30,90.5,94.0,90.5,91.25,146039
2017-03-31,90.0,92.0,88.75,90.0,643848
2017-04-03,88.25,91.5,88.25,90.0,186234
2017-04-04,90.0,91.75,87.25,90.0,198597
2017-04-05,92.0,93.75,89.78,93.0,145068
2017-04-06,94.0,94.0,90.0,91.25,144762
2017-04-07,90.0,93.5,89.92,91.5,153273
2017-04-10,89.75,93.0,88.88,91.0,209971
2017-04-11,92.75,92.75,90.0,91.5,101069
2017-04-12,88.75,91.25,88.75,91.0,132545
2017-04-13,92.0,92.0,89.25,89.5,132588
2017-04-18,91.25,93.25,90.0,90.25,353679
2017-04-19,91.5,93.38,90.25,92.75,151867
2017-04-20,94.0,94.75,91.5,92.0,213430
2017-04-21,91.5,94.0,91.5,93.75,190552
2017-04-24,92.0,94.19,92.0,93.5,62446
2017-04-25,94.0,94.0,92.0,94.0,188903
2017-04-26,93.75,93.75,90.0,91.0,148056
2017-04-27,92.5,93.75,90.0,90.0,82562
2017-04-28,90.0,94.0,90.0,92.0,231022
