Date,Open,High,Low,Close,Volume
2012-01-03,348.2,350.2,344.9,348.4,886948
2012-01-04,348.6,350.7,339.7,341.6,867243
2012-01-05,348.3,351.6,346.1,346.3,1133580
2012-01-06,346.3,349.7,339.2,342.7,988181
2012-01-09,342.8,350.7,342.8,347.1,867177
2012-01-10,350.84,355.89,349.22,352.11,511366
2012-01-11,352.4,355.9,345.8,348.2,832983
2012-01-12,349.5,360.4,348.5,358.0,771154
2012-01-13,361.5,362.7,347.6,354.2,999781
2012-01-16,350.9,360.9,347.7,355.4,777471
2012-01-17,359.7,364.9,358.9,364.2,710501
2012-01-18,362.9,372.0,359.7,367.9,1763343
2012-01-19,366.8,392.5,366.8,392.5,1689744
2012-01-20,388.6,391.6,374.1,378.3,1337188
2012-01-23,379.89,383.59,376.11,378.95,838004
2012-01-24,376.8,377.5,369.5,371.8,675602
2012-01-25,371.2,376.1,367.8,369.8,572502
2012-01-26,369.8,377.8,369.8,373.5,1786878
2012-01-27,370.5,376.8,368.8,374.7,1700168
2012-01-30,372.32,379.68,371.29,374.95,748858
2012-01-31,375.4,383.7,371.3,379.3,790902
2012-02-01,379.6,390.2,379.6,388.2,955443
2012-02-02,390.5,395.5,378.9,382.7,1133597
2012-02-03,383.5,391.6,383.5,391.6,889282
2012-02-06,392.2,396.7,387.3,388.3,653598
2012-02-07,389.8,390.1,386.4,387.3,519161
2012-02-08,387.2,391.8,384.2,389.9,1200603
2012-02-09,392.1,392.1,384.4,387.6,820968
2012-02-10,385.9,389.2,381.5,382.6,646302
2012-02-13,386.3,386.6,382.8,385.7,564716
2012-02-14,386.0,388.8,382.9,382.9,341023
2012-02-15,385.9,392.0,378.7,380.9,585419
2012-02-16,380.5,380.5,369.6,372.5,799608
2012-02-17,373.7,376.7,368.1,373.2,646981
2012-02-20,372.5,377.3,372.5,372.8,525105
2012-02-21,373.8,373.8,365.6,366.8,426852
2012-02-22,373.7,381.1,372.7,376.2,1216361
2012-02-23,377.2,380.2,374.0,374.7,624931
2012-02-24,377.1,382.1,373.1,380.1,611565
