Date,Open,High,Low,Close,Volume
2012-01-03,510.0,527.5,501.56,526.0,165407
2012-01-04,526.0,526.0,514.68,519.0,120458
2012-01-05,518.5,518.5,507.5,515.5,127201
2012-01-06,514.5,520.5,509.56,515.5,242191
2012-01-09,513.5,525.94,512.5,515.0,104048
2012-01-10,518.5,522.42,508.88,518.5,134625
2012-01-11,520.0,524.5,514.33,517.5,417535
2012-01-12,517.5,518.0,508.5,514.5,174212
2012-01-13,515.5,521.5,510.5,510.5,101847
2012-01-16,509.5,514.5,492.77,513.0,97099
2012-01-17,515.0,515.0,509.0,509.5,68740
2012-01-18,508.5,513.0,505.0,511.0,78133
2012-01-19,509.0,515.05,503.32,509.5,118968
2012-01-20,509.0,514.5,508.0,511.0,96759
2012-01-23,509.5,514.5,506.5,511.5,122315
2012-01-24,509.0,513.0,499.6,511.0,96189
2012-01-25,510.0,514.0,506.0,510.0,55852
2012-01-26,509.0,516.91,504.04,510.0,70107
2012-01-27,507.5,509.5,501.0,506.0,104949
2012-01-30,503.5,520.5,498.61,512.0,110575
2012-01-31,512.5,513.0,508.5,510.0,95334
2012-02-01,510.5,523.4,506.5,520.0,185373
2012-02-02,520.0,521.34,507.5,520.0,86980
2012-02-03,520.0,527.67,516.0,522.0,154465
2012-02-06,520.0,530.5,515.0,525.5,121185
2012-02-07,525.0,540.5,525.0,540.0,277745
2012-02-08,539.5,541.48,527.07,537.5,100903
2012-02-09,535.5,543.0,533.5,536.5,104494
2012-02-10,536.5,541.0,527.09,535.5,192827
2012-02-13,536.5,543.5,532.0,543.5,71259
2012-02-14,540.5,544.0,537.0,538.5,88471
2012-02-15,539.0,539.0,530.7,535.0,127307
2012-02-16,532.5,535.0,521.11,535.0,53191
2012-02-17,536.0,540.0,525.0,540.0,78690
2012-02-20,540.0,567.33,532.44,556.0,128867
2012-02-21,554.0,565.64,548.0,552.0,96308
2012-02-22,551.5,557.0,550.0,552.0,46557
2012-02-23,550.5,558.84,550.5,552.5,54229
2012-02-24,552.5,555.0,548.5,548.5,86211
2012-02-27,547.5,549.83,543.0,546.0,59444
2012-02-28,545.0,555.0,539.0,546.0,39135
2012-02-29,546.0,561.0,543.5,547.0,51000
2012-03-01,545.0,552.5,542.74,548.5,53750
2012-03-02,546.5,556.0,535.83,547.0,110299
2012-03-05,545.0,547.9,536.26,545.0,114193
2012-03-06,542.0,544.5,532.58,544.0,95252
2012-03-07,542.0,551.0,539.0,551.0,89396
2012-03-08,551.0,558.0,546.52,555.5,119683
2012-03-09,554.0,556.95,544.3,555.5,47360
2012-03-12,553.5,557.0,549.0,555.0,129365
2012-03-13,556.0,562.0,547.0,558.0,211231
2012-03-14,555.0,563.0,536.5,548.0,271943
2012-03-15,534.0,543.5,525.47,535.0,269293
2012-03-16,534.0,544.0,520.97,543.5,333095
2012-03-19,541.5,548.0,535.0,544.0,144003
2012-03-20,540.5,550.06,538.5,545.5,135731
2012-03-21,545.0,549.56,534.9,549.5,118457
2012-03-22,547.0,548.5,518.22,520.0,264733
2012-03-23,522.0,522.64,513.0,519.0,189909
2012-03-26,516.5,523.82,514.0,520.0,136153
2012-03-27,523.0,526.0,514.0,518.0,122782
2012-03-28,516.0,522.0,512.48,514.0,184648
2012-03-29,515.0,521.0,512.5,518.37,290038
2012-03-30,518.5,522.5,513.36,520.5,86993
2012-04-02,520.0,523.0,515.5,523.0,104890
2012-04-03,521.5,526.0,518.96,526.0,99830
2012-04-04,523.5,526.36,516.5,517.5,198646
2012-04-05,519.0,522.21,514.5,517.0,95798
2012-04-10,515.0,517.5,510.0,510.5,168250
2012-04-11,508.5,515.0,503.4,512.5,133955
2012-04-12,512.0,525.0,510.79,517.5,135615
2012-04-13,515.0,520.09,513.5,515.5,112651
2012-04-16,513.5,523.0,513.08,516.5,107244
2012-04-17,517.5,520.82,512.5,516.0,166854
2012-04-18,517.5,519.0,512.5,519.0,197881
2012-04-19,517.5,520.0,511.0,514.5,98536
2012-04-20,516.0,528.5,513.65,521.0,152379
2012-04-23,520.5,520.5,507.0,510.5,137810
2012-04-24,509.5,518.0,507.5,514.5,105665
2012-04-25,502.0,504.0,496.3,498.0,219117
2012-04-26,500.0,509.44,497.0,499.5,139112
2012-04-27,499.0,502.5,492.16,500.0,77941
2012-04-30,499.3,501.5,496.66,501.5,112216
2012-05-01,497.4,512.0,497.4,504.0,41036
2012-05-02,507.0,510.5,493.7,505.0,125690
2012-05-03,504.0,504.99,500.19,502.0,65786
2012-05-04,499.8,503.5,491.6,493.0,113795
2012-05-08,492.0,497.7,485.2,485.2,143087
2012-05-09,486.0,491.8,483.8,488.5,166705
2012-05-10,487.5,494.3,484.0,487.7,227396
2012-05-11,485.3,489.04,484.1,487.0,206371
2012-05-14,486.2,488.0,481.5,486.3,68017
2012-05-15,485.8,497.5,485.8,496.0,275168
2012-05-16,483.7,488.0,470.38,476.4,313167
2012-05-17,476.0,479.36,468.6,473.2,122848
2012-05-18,470.0,470.7,459.71,467.0,176589
2012-05-21,464.8,466.3,459.6,462.5,104696
2012-05-22,463.3,467.83,451.0,457.0,197837
2012-05-23,456.6,469.35,453.74,464.0,315406
2012-05-24,465.2,469.37,457.9,460.0,215302
2012-05-25,459.3,464.9,455.0,464.9,174063
2012-05-28,463.5,471.34,463.5,466.6,136431
2012-05-29,500.0,511.48,485.0,504.5,514539
2012-05-30,501.5,506.5,492.3,498.6,240296
2012-05-31,498.8,505.11,497.5,502.5,212078
2012-06-01,504.0,504.0,494.59,495.0,126839
2012-06-06,500.0,505.6,493.4,500.1,145497
2012-06-07,502.5,502.5,497.5,500.32,252188
2012-06-08,497.0,501.5,494.2,495.99,234976
2012-06-11,501.0,506.0,494.4,497.3,65901
2012-06-12,498.7,498.7,487.0,488.3,100101
2012-06-13,493.3,497.5,488.1,492.5,224899
2012-06-14,495.0,495.0,485.8,490.0,223965
2012-06-15,490.6,496.5,487.8,493.9,333732
2012-06-18,499.0,499.0,490.4,493.7,217960
2012-06-19,496.5,498.1,488.64,493.3,154243
2012-06-20,492.4,494.0,487.5,493.3,106093
2012-06-21,491.3,493.7,489.9,493.7,67187
2012-06-22,488.2,493.84,487.6,490.5,62714
2012-06-25,489.2,490.0,479.07,486.7,57568
2012-06-26,484.6,489.9,484.1,487.0,79865
2012-06-27,491.0,491.74,486.3,490.0,77636
2012-06-28,490.0,499.0,489.8,494.6,142715
2012-06-29,498.0,509.0,498.0,504.0,138348
2012-07-02,502.5,506.0,498.5,503.0,93456
2012-07-03,505.0,507.5,501.5,504.5,75443
2012-07-04,507.0,510.5,499.31,510.0,121193
2012-07-05,510.0,511.5,505.0,505.5,51606
2012-07-06,508.0,510.0,499.42,507.5,65413
2012-07-09,506.0,509.0,503.5,506.5,73016
2012-07-10,505.5,514.0,505.5,509.5,57654
2012-07-11,506.5,511.0,505.44,511.0,68020
2012-07-12,508.0,508.0,505.0,509.5,47294
2012-07-13,508.5,515.5,505.0,515.5,98425
2012-07-16,513.0,518.5,507.5,514.0,80916
2012-07-17,513.0,520.0,509.0,520.0,76073
2012-07-18,514.0,523.0,514.0,521.0,72466
2012-07-19,519.5,523.0,509.79,521.5,94550
2012-07-20,524.5,524.5,516.5,518.5,43713
2012-07-23,518.5,521.5,509.5,509.5,67393
2012-07-24,512.5,520.0,509.98,510.5,52834
2012-07-25,512.0,518.0,503.06,508.0,94241
2012-07-26,510.5,519.0,507.22,512.5,110994
2012-07-27,513.0,518.0,511.5,517.5,62288
2012-07-30,520.0,520.0,506.94,516.5,13098
2012-07-31,515.0,526.0,511.5,515.0,52983
2012-08-01,516.0,518.5,508.03,514.0,67624
2012-08-02,512.0,521.5,504.06,509.5,75536
2012-08-03,510.0,511.02,508.0,509.5,79956
2012-08-06,511.5,514.19,502.36,505.0,145243
2012-08-07,494.1,500.78,486.5,491.5,226654
2012-08-08,489.0,495.8,489.0,490.0,149258
2012-08-09,489.7,493.0,484.57,492.0,79445
2012-08-10,491.7,495.0,489.5,494.2,84134
2012-08-13,490.0,496.0,490.0,493.9,103617
2012-08-14,495.5,504.1,494.8,504.0,120296
2012-08-15,502.0,507.0,502.0,506.0,104005
2012-08-16,504.5,506.74,496.6,503.0,112715
2012-08-17,504.5,508.0,491.7,503.5,82977
2012-08-20,503.5,504.59,497.0,499.1,53505
2012-08-21,496.0,506.0,496.0,505.0,70142
2012-08-22,502.0,506.0,494.6,498.7,35183
2012-08-23,499.0,501.5,491.26,495.3,54862
2012-08-24,494.2,502.0,493.6,494.5,82900
2012-08-28,495.3,495.3,489.15,492.0,137761
2012-08-29,492.3,494.88,486.44,490.0,113964
2012-08-30,490.5,495.5,489.1,490.5,89422
2012-08-31,489.8,495.7,489.4,490.8,62797
2012-09-03,500.0,500.0,486.87,493.0,103783
2012-09-04,495.6,500.73,487.6,488.7,101272
2012-09-05,482.0,491.0,481.0,490.5,329008
2012-09-06,485.9,495.0,485.9,493.7,82361
2012-09-07,493.0,519.5,487.3,490.1,106505
2012-09-10,489.74,492.0,485.0,486.7,77588
2012-09-11,486.7,490.9,484.3,490.6,87850
2012-09-12,491.6,506.0,491.6,495.8,186276
2012-09-13,495.0,499.8,491.0,494.6,90124
2012-09-14,497.6,506.4,494.14,500.0,151323
2012-09-17,493.6,502.5,493.6,501.0,105865
2012-09-18,498.4,508.2,496.5,505.0,126882
2012-09-19,505.0,506.28,498.74,505.5,83703
2012-09-20,504.0,510.64,502.82,507.5,70160
2012-09-21,506.0,506.5,502.0,503.5,158387
2012-09-24,504.0,509.0,504.0,507.0,80665
2012-09-25,508.0,508.0,503.5,504.0,94838
2012-09-26,500.5,504.0,499.2,502.0,60912
2012-09-27,503.5,504.61,499.86,502.5,18293
2012-09-28,503.0,504.17,493.1,502.0,47391
2012-10-01,501.5,505.5,501.5,504.5,57045
2012-10-02,505.5,511.0,500.02,504.01,71346
2012-10-03,505.5,513.5,503.5,508.5,57405
