Date,Open,High,Low,Close,Volume
2012-01-03,108.3,108.6,105.07,107.5,519858
2012-01-04,108.0,108.0,104.9,105.0,230635
2012-01-05,104.8,106.7,102.5,103.5,332074
2012-01-06,104.5,105.5,102.8,104.2,142732
2012-01-09,105.0,105.0,103.2,105.0,158826
2012-01-10,105.5,105.61,103.1,104.0,228580
2012-01-11,102.4,103.5,101.3,102.7,554963
2012-01-12,103.5,105.0,102.2,104.7,824561
2012-01-13,106.3,106.3,104.0,105.0,920331
2012-01-16,104.5,105.2,102.87,105.0,253500
2012-01-17,106.9,107.0,104.04,104.4,265057
2012-01-18,103.7,105.0,103.1,105.0,299728
2012-01-19,105.0,105.5,103.3,104.1,1610350
2012-01-20,104.0,106.0,103.7,103.9,755668
2012-01-23,104.9,105.0,102.53,104.7,272849
2012-01-24,104.98,104.98,101.0,101.9,344976
2012-01-25,104.0,104.0,100.2,100.3,272133
2012-01-26,103.9,103.9,101.2,101.9,174366
2012-01-27,101.4,102.2,100.2,102.0,121887
2012-01-30,100.1,102.8,97.1,97.3,652723
2012-01-31,98.4,100.4,96.7,99.0,1651547
2012-02-01,98.7,104.0,97.36,104.0,1274532
2012-02-02,103.5,104.7,102.3,104.1,1537512
2012-02-03,103.4,105.0,101.0,103.5,1038539
2012-02-06,104.0,106.09,103.38,105.0,758018
2012-02-07,105.0,105.6,102.6,104.0,879465
2012-02-08,105.9,107.3,104.6,107.0,889840
2012-02-09,105.1,109.0,105.1,107.8,211881
2012-02-10,106.7,109.4,105.7,107.24,823729
2012-02-13,107.0,109.4,105.5,106.87,215472
2012-02-14,105.6,109.97,103.1,103.1,269377
2012-02-15,105.9,106.4,103.6,105.63,566123
2012-02-16,103.7,104.8,101.7,102.74,325289
2012-02-17,102.8,104.0,101.5,103.07,243486
2012-02-20,103.0,106.0,103.0,104.8,201277
2012-02-21,104.4,106.0,103.7,104.5,195003
2012-02-22,105.2,105.9,103.1,104.0,107973
2012-02-23,103.4,109.1,103.4,108.8,229201
2012-02-24,109.5,110.4,107.1,110.0,644611
2012-02-27,110.5,110.8,107.1,107.7,294664
2012-02-28,109.0,111.9,107.3,110.9,421920
2012-02-29,111.9,112.4,107.7,109.9,144549
2012-03-01,110.4,112.0,108.2,110.0,343058
2012-03-02,110.8,110.8,108.1,109.0,129404
2012-03-05,109.3,109.8,106.1,107.0,160212
2012-03-06,107.3,109.41,103.5,105.3,254107
2012-03-07,105.0,107.2,103.82,104.5,130277
2012-03-08,104.6,110.0,104.6,109.0,493026
2012-03-09,109.7,110.8,107.5,108.5,357794
2012-03-12,108.3,110.1,108.2,109.5,63952
2012-03-13,110.0,116.0,109.1,116.0,353116
2012-03-14,116.7,118.7,114.5,115.3,243167
2012-03-15,116.3,117.0,112.0,112.6,445422
2012-03-16,112.7,114.3,112.0,113.0,723202
2012-03-19,113.6,114.0,110.3,111.7,275863
2012-03-20,112.0,112.0,110.5,111.0,331046
2012-03-21,111.9,112.61,108.7,109.0,392958
2012-03-22,109.2,109.5,107.2,108.5,370302
2012-03-23,109.0,110.1,106.3,109.0,411421
2012-03-26,108.9,114.1,108.1,109.5,455962
2012-03-27,110.3,110.9,108.4,109.4,243454
2012-03-28,109.5,109.5,105.9,106.2,266624
2012-03-29,106.6,108.0,102.88,103.0,314530
2012-03-30,103.7,104.8,102.1,104.7,412829
2012-04-02,105.2,105.7,102.1,104.5,367917
2012-04-03,104.0,104.8,96.0,103.0,581647
2012-04-04,102.0,103.2,100.2,102.3,616617
2012-04-05,101.9,108.0,101.9,105.5,566895
2012-04-10,104.0,106.4,102.0,102.7,254137
2012-04-11,101.9,103.6,101.5,103.6,250642
2012-04-12,103.3,108.6,103.3,106.0,620350
2012-04-13,106.3,107.3,104.7,104.9,157659
2012-04-16,105.2,106.9,103.4,103.4,312740
2012-04-17,104.0,107.0,103.1,106.7,512726
2012-04-18,107.0,107.0,105.0,106.5,145515
2012-04-19,107.3,107.9,105.4,105.4,361788
2012-04-20,105.2,106.7,104.4,105.1,94724
2012-04-23,105.2,105.77,101.3,102.9,263720
2012-04-24,103.0,103.75,101.4,101.4,318776
2012-04-25,102.5,102.6,99.3,99.45,548475
2012-04-26,100.5,101.7,98.05,98.95,250264
2012-04-27,98.31,100.4,98.0,99.15,560886
2012-04-30,100.0,100.0,98.4,99.2,182518
2012-05-01,98.5,99.95,98.0,99.0,300501
2012-05-02,99.0,99.0,96.5,98.65,729441
2012-05-03,99.0,99.05,97.2,98.05,437358
2012-05-04,98.0,98.4,96.9,97.0,256181
2012-05-08,97.6,98.75,93.8,96.2,965337
2012-05-09,96.9,97.75,95.4,97.0,555371
2012-05-10,97.35,97.65,95.35,97.0,415837
2012-05-11,97.1,98.5,96.97,98.2,278070
2012-05-14,98.0,98.05,96.45,97.5,297817
2012-05-15,98.0,98.0,95.2,96.0,447103
2012-05-16,96.0,96.45,94.25,95.8,546383
2012-05-17,98.25,99.0,95.3,95.35,477826
2012-05-18,96.85,97.6,95.0,95.0,334482
2012-05-21,95.05,96.2,94.4,94.9,507677
2012-05-22,96.3,96.45,94.45,95.4,349263
2012-05-23,95.3,95.8,91.85,92.55,428102
2012-05-24,93.0,94.95,92.88,92.9,638074
2012-05-25,93.85,93.9,91.55,91.95,394355
2012-05-28,92.95,93.0,91.1,91.1,246705
2012-05-29,92.3,92.5,90.2,90.9,485725
2012-05-30,91.0,91.0,87.4,87.65,549899
2012-05-31,88.45,90.3,86.0,86.1,861507
2012-06-01,86.75,86.75,84.4,85.0,772510
2012-06-06,84.65,85.6,84.0,85.0,1424099
2012-06-07,85.1,87.4,85.1,87.4,560238
2012-06-08,87.0,90.3,87.0,90.0,984638
2012-06-11,91.05,91.5,88.8,89.4,964785
2012-06-12,89.6,90.55,88.55,89.0,593128
2012-06-13,88.74,89.9,85.25,87.65,566410
2012-06-14,88.0,88.1,85.0,87.4,597947
2012-06-15,88.0,89.5,86.65,86.7,5295791
2012-06-18,88.7,88.8,81.25,83.1,827821
2012-06-19,83.85,85.75,82.45,85.2,854766
2012-06-20,85.9,88.95,85.0,88.95,619902
2012-06-21,88.3,88.3,86.15,87.1,475404
2012-06-22,86.5,87.5,86.3,86.9,322285
2012-06-25,86.5,88.35,86.5,87.1,409110
2012-06-26,87.1,88.35,87.0,87.6,579655
2012-06-27,87.5,88.7,87.25,88.0,223296
2012-06-28,88.6,88.6,86.7,87.65,298119
2012-06-29,89.15,91.35,88.5,91.0,511974
2012-07-02,90.6,93.35,90.3,93.35,702985
2012-07-03,93.65,93.65,91.75,92.6,262838
2012-07-04,92.0,92.6,91.25,91.5,98661
2012-07-05,91.85,92.4,91.0,92.0,452623
2012-07-06,92.0,92.65,91.52,92.2,320909
2012-07-09,91.95,92.45,90.1,90.1,297620
2012-07-10,90.1,91.5,89.0,89.0,399640
2012-07-11,89.0,93.1,89.0,92.65,282243
2012-07-12,0.0,93.2,0.0,93.0,259617
2012-07-13,93.5,95.25,93.1,94.5,269716
2012-07-16,94.2,94.58,93.0,93.0,236181
2012-07-17,93.5,93.55,92.0,92.7,267999
2012-07-18,93.35,93.35,91.95,92.7,213936
2012-07-19,92.75,94.15,92.75,93.3,412382
2012-07-20,93.0,93.3,91.0,91.5,284937
2012-07-23,91.05,92.15,86.8,86.8,343632
2012-07-24,88.5,88.5,85.5,85.5,207914
2012-07-25,85.8,87.7,85.1,87.7,267552
2012-07-26,87.9,88.3,86.0,88.0,149320
2012-07-27,88.5,89.55,87.05,89.55,208052
2012-07-30,89.45,89.8,87.0,89.15,146892
2012-07-31,89.4,92.5,89.4,90.35,304314
2012-08-01,90.35,91.5,89.55,90.95,257990
2012-08-02,90.25,92.25,90.0,91.0,129766
2012-08-03,90.05,93.0,89.8,92.5,192645
2012-08-06,92.45,94.75,92.05,93.8,222047
2012-08-07,93.1,94.35,92.0,92.8,197493
2012-08-08,92.0,93.2,91.7,93.0,226992
2012-08-09,95.0,97.85,93.41,97.0,547811
2012-08-10,96.05,98.0,95.05,96.2,192897
2012-08-13,95.55,97.85,95.55,97.85,231505
2012-08-14,97.8,98.3,96.5,97.65,201428
2012-08-15,96.95,97.65,96.95,97.6,145462
2012-08-16,97.3,98.35,97.0,98.25,133192
2012-08-17,98.15,102.9,98.15,101.6,370097
2012-08-20,100.3,102.9,99.85,101.5,351498
2012-08-21,100.9,103.0,100.2,102.0,152287
2012-08-22,101.2,103.0,100.1,100.8,308266
2012-08-23,100.9,101.7,98.58,99.3,145240
2012-08-24,98.2,99.85,98.2,99.5,56426
2012-08-28,99.7,99.7,98.55,99.4,92846
2012-08-29,99.1,99.15,97.82,98.8,87492
2012-08-30,98.25,99.26,97.15,97.45,88776
2012-08-31,98.25,98.9,97.3,97.97,264820
2012-09-03,98.85,99.8,97.74,99.3,166131
2012-09-04,99.7,99.7,98.4,98.4,76958
2012-09-05,98.9,99.65,97.55,98.4,172348
2012-09-06,98.55,100.7,98.55,100.6,366768
2012-09-07,100.3,101.2,99.8,100.7,207352
2012-09-10,100.6,101.0,99.8,100.0,153607
2012-09-11,101.0,101.0,98.85,100.0,92826
2012-09-12,99.9,101.0,98.25,100.5,284101
2012-09-13,100.9,102.4,100.2,102.3,145360
2012-09-14,102.9,106.1,102.9,104.2,283344
2012-09-17,103.7,105.8,103.7,105.1,305912
2012-09-18,105.0,107.7,104.1,105.6,204274
2012-09-19,105.3,106.7,105.3,106.1,258257
2012-09-20,104.9,106.4,104.9,106.3,172047
2012-09-21,106.0,111.5,105.5,111.34,2601490
2012-09-24,110.9,110.9,108.1,108.6,345602
2012-09-25,108.1,109.0,106.2,109.0,282417
2012-09-26,106.1,110.9,106.1,107.0,307580
2012-09-27,108.5,108.5,106.5,107.3,108211
2012-09-28,107.1,108.2,107.0,107.7,186744
2012-10-01,107.3,110.0,107.0,107.8,263536
2012-10-02,108.0,108.0,107.0,108.0,247130
2012-10-03,107.7,108.2,107.0,108.2,166948
2012-10-04,108.3,110.5,107.0,108.0,165981
2012-10-05,108.6,110.0,107.0,110.0,221070
2012-10-08,109.9,110.0,107.3,110.0,637666
2012-10-09,109.8,109.8,107.8,107.8,51161
2012-10-10,108.3,109.0,106.5,107.2,258326
2012-10-11,106.6,107.9,106.6,106.7,48656
2012-10-12,106.1,108.4,105.4,105.4,152673
2012-10-15,106.0,108.45,105.3,106.1,71686
2012-10-16,105.8,108.8,105.8,107.0,345409
2012-10-17,106.5,108.05,106.5,108.0,274802
2012-10-18,107.8,109.3,107.0,107.5,105053
2012-10-19,107.3,110.1,107.3,107.7,140579
2012-10-22,111.0,111.0,106.8,107.0,117056
2012-10-23,109.4,109.4,105.1,105.1,270549
2012-10-24,109.0,109.4,107.1,109.4,206176
2012-10-25,108.1,108.8,107.5,108.5,133445
2012-10-26,110.0,110.52,107.22,110.0,171266
