Date,Open,High,Low,Close,Volume
2012-01-03,455.4,466.9,454.8,466.9,60753
2012-01-04,466.7,466.7,458.5,459.4,89448
2012-01-05,457.8,463.3,457.2,462.5,57324
2012-01-06,457.6,472.2,457.5,461.7,37672
2012-01-09,462.9,464.0,459.4,464.0,17380
2012-01-10,467.6,475.5,467.6,475.5,68101
2012-01-11,469.6,476.5,469.6,475.6,83307
2012-01-12,475.6,479.0,474.1,476.9,90941
2012-01-13,475.4,478.9,474.0,477.0,26280
2012-01-16,473.0,476.9,473.0,474.6,74452
2012-01-17,479.9,483.0,476.86,477.3,48626
2012-01-18,476.2,483.0,476.2,482.8,144818
2012-01-19,483.0,491.1,480.2,489.2,118584
2012-01-20,489.0,490.0,487.0,489.0,54173
2012-01-23,489.3,490.0,488.7,489.6,60340
2012-01-24,490.0,490.0,480.1,486.8,71963
2012-01-25,485.5,487.5,481.0,485.0,139250
2012-01-26,486.0,494.9,486.0,492.3,101767
2012-01-27,494.4,495.9,490.1,495.9,94436
2012-01-30,492.0,493.0,487.1,487.1,156321
2012-01-31,488.9,495.0,488.9,495.0,196901
2012-02-01,495.0,502.5,491.6,499.0,292661
2012-02-02,499.0,514.5,498.1,505.25,229454
2012-02-03,510.0,514.0,506.5,513.0,287588
2012-02-06,510.0,510.0,507.5,509.0,39702
2012-02-07,507.0,509.5,506.0,507.5,57457
2012-02-08,506.5,512.0,505.5,506.0,87539
2012-02-09,507.0,511.0,506.0,510.0,51537
2012-02-10,503.5,508.0,494.5,494.5,83807
2012-02-13,501.0,505.5,500.0,505.0,32820
2012-02-14,504.0,506.0,502.0,504.5,31990
2012-02-15,506.0,509.5,502.5,507.5,51701
2012-02-16,502.0,506.0,499.5,506.0,26391
2012-02-17,507.5,509.5,504.0,509.0,49614
2012-02-20,506.0,510.0,506.0,510.0,29238
2012-02-21,503.5,511.5,503.5,511.5,34189
2012-02-22,510.0,522.0,508.0,522.0,52128
2012-02-23,517.0,520.0,515.5,520.0,51862
2012-02-24,518.0,520.0,516.5,520.0,58292
2012-02-27,515.0,515.0,509.0,511.5,53349
2012-02-28,514.0,517.0,508.5,517.0,52544
2012-02-29,514.0,522.0,512.0,512.0,27819
2012-03-01,516.0,519.0,513.5,519.0,46304
2012-03-02,514.5,520.0,514.5,519.0,35606
2012-03-05,517.5,517.5,510.5,510.5,51906
2012-03-06,510.0,516.0,497.7,499.0,41632
2012-03-07,501.0,503.5,497.0,503.5,66109
2012-03-08,503.0,510.0,502.0,506.0,34150
2012-03-09,503.5,508.0,503.5,507.0,35550
2012-03-12,508.5,511.0,507.82,510.0,38724
2012-03-13,509.5,517.0,509.5,517.0,132600
2012-03-14,519.5,520.5,515.0,518.0,219262
2012-03-15,517.5,518.0,512.0,518.0,95518
2012-03-16,515.5,520.0,513.0,516.0,203552
2012-03-19,516.0,517.0,509.5,513.5,91469
2012-03-20,513.0,513.0,500.0,505.5,61073
2012-03-21,504.0,510.5,498.11,507.5,31356
2012-03-22,509.5,509.5,502.5,502.5,36829
2012-03-23,503.0,508.0,497.6,503.0,52526
2012-03-26,506.0,506.0,500.0,501.0,40067
2012-03-27,508.0,508.0,498.0,498.0,50884
2012-03-28,498.8,505.0,495.89,496.5,22768
2012-03-29,503.5,503.5,495.3,498.0,10050
2012-03-30,501.0,501.75,494.0,497.0,61181
2012-04-02,504.5,505.0,498.1,504.0,15102
2012-04-03,504.0,505.99,498.0,498.0,22671
2012-04-04,500.5,501.5,493.8,497.9,18376
2012-04-05,498.0,500.0,493.25,494.0,11110
2012-04-10,494.6,497.85,484.6,484.6,20412
2012-04-11,485.4,489.5,480.5,485.1,27104
2012-04-12,486.0,492.0,483.7,492.0,90131
2012-04-13,491.3,495.5,490.01,492.0,14883
2012-04-16,494.3,495.25,484.5,490.0,57367
2012-04-17,490.6,498.5,490.0,498.5,16077
2012-04-18,500.5,501.5,495.8,495.8,17060
2012-04-19,494.2,500.0,493.4,493.4,15850
2012-04-20,492.4,496.15,490.1,492.5,24686
2012-04-23,494.0,494.0,483.8,484.7,37384
2012-04-24,482.0,489.1,480.6,489.1,41881
2012-04-25,487.1,493.0,487.1,491.5,32419
2012-04-26,491.2,496.0,490.0,496.0,7956
2012-04-27,492.5,495.48,490.0,495.4,13754
2012-04-30,490.6,497.5,490.6,497.5,16873
2012-05-01,491.5,502.5,491.5,502.5,33407
2012-05-02,497.3,504.0,497.3,503.5,164648
2012-05-03,503.0,510.0,503.0,506.5,91638
2012-05-04,503.0,503.0,493.0,497.1,66114
2012-05-08,495.9,495.9,488.1,489.0,41116
2012-05-09,492.9,492.9,484.0,491.0,45431
2012-05-10,485.8,495.0,485.7,495.0,25626
2012-05-11,487.7,494.5,486.0,494.5,42858
2012-05-14,490.0,491.4,477.0,480.0,25613
2012-05-15,479.4,481.0,476.98,478.2,47361
2012-05-16,475.0,475.0,464.4,474.5,147223
2012-05-17,474.7,475.0,465.1,465.7,29035
2012-05-18,464.7,475.0,464.7,466.2,43824
2012-05-21,462.8,465.3,456.6,465.0,119611
2012-05-22,463.5,466.0,458.0,464.1,98211
2012-05-23,456.1,459.15,454.0,454.0,35745
2012-05-24,455.1,459.8,453.3,455.5,15791
2012-05-25,461.8,461.8,454.2,458.2,65485
2012-05-28,464.9,465.0,460.0,464.0,23864
2012-05-29,465.0,479.5,462.0,473.5,34707
2012-05-30,474.6,474.6,461.0,462.5,18773
2012-05-31,464.5,467.1,461.86,463.7,24576
2012-06-01,463.9,464.5,457.5,457.9,36503
2012-06-06,458.6,466.9,456.4,466.9,56749
2012-06-07,464.3,472.5,463.9,466.0,41159
2012-06-08,466.8,466.8,463.0,464.9,11290
2012-06-11,465.0,465.0,458.1,458.5,55024
2012-06-12,457.2,458.0,454.8,457.0,96669
2012-06-13,457.0,464.0,457.0,464.0,43569
2012-06-14,464.1,467.5,460.0,463.5,53791
2012-06-15,460.6,467.0,453.79,453.9,172948
2012-06-18,465.0,465.0,459.0,462.8,44261
2012-06-19,462.7,470.3,458.3,469.7,120972
2012-06-20,464.8,469.5,464.8,468.0,38273
2012-06-21,467.0,468.5,463.0,468.5,36799
2012-06-22,463.0,466.4,458.5,466.4,28507
2012-06-25,459.3,463.82,455.1,459.8,13479
2012-06-26,456.9,469.4,455.0,460.2,170623
2012-06-27,463.9,467.5,460.5,465.0,50733
2012-06-28,464.0,464.0,455.4,460.3,26894
2012-06-29,464.8,472.5,463.7,472.5,23143
2012-07-02,471.5,475.64,467.5,474.5,20842
2012-07-03,473.5,482.8,473.5,482.8,45911
2012-07-04,476.0,481.4,475.0,481.4,34884
2012-07-05,473.1,480.6,471.63,475.0,16525
2012-07-06,476.7,477.0,472.5,475.0,17083
2012-07-09,472.5,479.8,472.5,476.0,49334
2012-07-10,477.0,481.8,476.0,477.8,48626
2012-07-11,478.0,483.9,477.5,478.3,100004
2012-07-12,0.0,0.0,472.5,476.0,12427
2012-07-13,479.9,483.0,475.04,480.7,56029
2012-07-16,481.9,485.1,477.5,484.7,35653
2012-07-17,484.1,484.5,480.7,480.7,13041
2012-07-18,484.0,489.34,476.6,480.6,5053
2012-07-19,479.5,493.1,479.5,493.1,47843
2012-07-20,491.5,491.5,483.8,484.1,16830
2012-07-23,480.8,480.8,472.5,474.0,14726
2012-07-24,474.1,479.1,472.9,477.7,16276
2012-07-25,472.5,487.4,468.57,484.0,87646
2012-07-26,480.0,494.0,479.3,494.0,57245
2012-07-27,489.4,501.0,489.4,501.0,104281
2012-07-30,497.0,502.5,492.51,502.5,28107
2012-07-31,495.8,503.5,495.8,496.7,56875
2012-08-01,495.2,500.5,494.8,500.0,3696
2012-08-02,502.0,502.0,496.3,499.6,17475
2012-08-03,497.0,505.5,497.0,505.5,29781
2012-08-06,503.0,509.0,500.0,509.0,37539
2012-08-07,508.5,509.0,505.5,506.5,23688
2012-08-08,506.0,509.0,501.5,509.0,19267
2012-08-09,507.5,508.5,501.0,502.7,10738
2012-08-10,502.5,507.9,502.5,503.5,6391
2012-08-13,501.0,507.5,500.5,504.0,38371
2012-08-14,503.5,512.0,503.5,512.0,43016
2012-08-15,508.0,508.0,504.0,504.0,17152
2012-08-16,508.0,510.0,504.0,510.0,90541
2012-08-17,510.0,517.5,510.0,517.5,38909
2012-08-20,510.0,516.5,506.0,507.0,55797
2012-08-21,510.0,510.0,504.5,504.5,28586
2012-08-22,504.0,505.5,498.44,504.5,44590
2012-08-23,503.0,505.0,496.1,497.5,38921
2012-08-24,495.8,496.3,492.79,496.0,6606
2012-08-28,496.0,496.0,491.1,491.1,10271
2012-08-29,492.0,495.1,490.0,492.5,28811
2012-08-30,487.0,489.9,486.2,489.5,21910
2012-08-31,489.0,495.5,487.4,494.0,30280
2012-09-03,494.0,494.5,491.7,494.5,13304
2012-09-04,493.9,495.5,490.0,493.5,30820
2012-09-05,487.0,492.2,482.1,489.1,46458
2012-09-06,491.9,500.5,489.85,500.5,33596
2012-09-07,500.6,505.5,500.0,505.5,12848
2012-09-10,500.5,503.0,497.7,500.0,12955
2012-09-11,500.0,504.5,499.0,504.5,12275
2012-09-12,503.0,505.0,500.0,505.0,18442
2012-09-13,500.5,505.5,500.5,505.5,32892
2012-09-14,513.0,523.5,513.0,516.0,56718
2012-09-17,521.0,525.0,521.0,521.0,58701
2012-09-18,522.5,524.0,520.0,524.0,41045
2012-09-19,523.0,525.0,519.0,525.0,44790
2012-09-20,517.0,520.5,513.5,520.5,42050
2012-09-21,516.5,522.0,511.61,522.0,141612
2012-09-24,515.5,522.0,515.0,518.0,28021
2012-09-25,517.5,522.0,517.0,520.0,125761
2012-09-26,516.5,521.28,516.0,520.0,87884
2012-09-27,519.0,520.0,514.0,517.0,66077
2012-09-28,517.0,520.0,515.0,515.5,91091
2012-10-01,520.0,521.0,516.5,516.5,77515
2012-10-02,517.0,523.5,517.0,521.0,21120
2012-10-03,520.0,522.0,516.5,519.5,7664
2012-10-04,519.0,525.0,518.5,524.5,31161
2012-10-05,525.0,534.5,522.0,534.5,39768
2012-10-08,531.5,533.0,526.5,531.0,41969
2012-10-09,532.5,533.0,531.0,533.0,22432
2012-10-10,530.5,536.0,530.5,536.0,21800
2012-10-11,536.0,539.0,533.5,539.0,58996
2012-10-12,536.0,543.0,535.0,541.0,42436
2012-10-15,544.5,546.0,541.5,546.0,17239
2012-10-16,548.0,558.0,545.51,558.0,68784
2012-10-17,553.0,557.5,551.0,557.5,64556
2012-10-18,557.5,563.0,556.2,560.0,36825
2012-10-19,562.5,567.0,559.5,565.5,66382
2012-10-22,564.0,566.0,561.0,561.0,3952
2012-10-23,559.5,565.0,548.0,549.0,109347
2012-10-24,547.0,554.0,545.0,545.0,48177
2012-10-25,545.5,547.5,541.5,547.0,20966
2012-10-26,549.5,549.5,539.0,545.0,8958
2012-10-29,540.0,540.0,533.0,538.5,25109
2012-10-30,540.0,540.0,533.0,534.5,20416
2012-10-31,536.5,537.0,534.5,536.5,15660
2012-11-01,537.0,539.0,536.0,539.0,15668
2012-11-02,539.0,541.0,538.0,541.0,9656
2012-11-05,540.5,541.0,527.53,531.0,87391
2012-11-06,524.0,536.5,522.9,535.0,37891
2012-11-07,533.0,538.03,530.0,536.0,41795
2012-11-08,532.0,538.0,531.0,534.0,49948
2012-11-09,531.0,535.5,526.0,535.5,8229
2012-11-12,527.5,536.91,527.5,536.0,17755
2012-11-13,525.0,527.0,522.5,527.0,19394
2012-11-14,526.5,529.0,522.5,522.5,13662
2012-11-15,519.5,523.5,515.0,515.0,35732
2012-11-16,515.0,526.5,511.0,520.0,89059
2012-11-19,523.0,526.0,519.0,526.0,17191
2012-11-20,525.0,527.5,522.0,525.0,20339
2012-11-21,525.0,530.0,521.0,528.0,36901
2012-11-22,528.0,529.0,528.0,529.0,6349
2012-11-23,527.5,532.0,524.0,532.0,19283
2012-11-26,531.0,533.84,528.5,531.5,22436
2012-11-27,533.0,534.0,530.0,531.0,21652
2012-11-28,534.0,534.0,527.0,528.5,155529
2012-11-29,531.0,533.0,523.5,529.0,36612
2012-11-30,532.0,532.0,524.0,524.0,18760
2012-12-03,532.0,535.0,526.5,534.5,13791
2012-12-04,531.0,535.0,528.0,535.0,16011
2012-12-05,535.0,544.0,535.0,544.0,33375
2012-12-06,541.0,546.0,538.0,546.0,26048
2012-12-07,546.0,550.5,540.0,549.5,33670
2012-12-10,550.5,557.0,547.5,557.0,51238
2012-12-11,557.0,560.56,555.5,557.5,13472
2012-12-12,556.0,563.0,556.0,563.0,53256
2012-12-13,562.0,563.0,555.04,560.0,51002
2012-12-14,561.0,565.0,559.0,559.0,9721
2012-12-17,559.0,563.28,552.5,552.5,12045
2012-12-18,555.5,560.43,553.5,556.0,106230
2012-12-19,556.5,564.5,554.0,556.0,102693
2012-12-20,558.0,561.0,555.0,558.0,130667
2012-12-21,555.0,558.0,546.0,546.0,143483
2012-12-24,546.0,552.5,544.0,544.0,2260
2012-12-27,545.0,551.0,543.0,543.0,16933
2012-12-28,543.5,548.0,542.0,542.0,300191
2012-12-31,544.0,551.43,542.0,542.5,13943
2013-01-02,549.5,564.0,543.0,564.0,60930
2013-01-03,559.5,569.0,556.0,561.5,61862
2013-01-04,560.5,569.79,560.0,569.0,28523
2013-01-07,564.0,569.0,559.0,568.0,47849
2013-01-08,566.5,568.0,562.5,568.0,46099
2013-01-09,569.0,572.0,566.0,568.5,13762
2013-01-10,571.5,573.0,564.5,569.0,15980
2013-01-11,570.0,573.0,567.5,573.0,31275
2013-01-14,572.5,574.0,565.5,565.5,29415
2013-01-15,572.5,575.0,569.5,575.0,19221
2013-01-16,575.0,590.0,570.5,590.0,43201
2013-01-17,586.0,599.5,583.5,599.0,201474
2013-01-18,597.0,600.0,596.8,599.5,25408
2013-01-21,595.5,601.0,595.5,601.0,34156
2013-01-22,600.0,609.5,595.51,603.5,133303
2013-01-23,597.0,604.0,594.0,594.0,14711
2013-01-24,596.0,599.0,592.5,596.0,34663
2013-01-25,598.5,603.5,594.0,603.5,51038
2013-01-28,603.0,610.0,602.5,603.0,82664
2013-01-29,603.5,603.5,597.0,601.0,9095
2013-01-30,598.0,602.8,594.5,600.0,31772
2013-01-31,602.0,602.0,590.5,598.0,57187
2013-02-01,598.0,598.0,591.0,598.0,35614
2013-02-04,595.0,600.0,592.6,600.0,41043
2013-02-05,598.0,602.0,597.66,599.0,19585
2013-02-06,600.5,607.2,600.0,605.0,68581
2013-02-07,605.0,605.0,594.0,595.0,50511
2013-02-08,591.5,597.0,591.5,595.0,48570
2013-02-11,597.0,602.0,596.0,602.0,42250
2013-02-12,598.5,605.0,597.5,605.0,45734
2013-02-13,604.0,605.0,598.5,600.0,38793
2013-02-14,603.0,603.0,584.0,587.0,42445
2013-02-15,584.0,586.36,582.0,584.0,54831
2013-02-18,581.0,586.0,575.5,577.0,25303
2013-02-19,580.0,585.5,568.75,581.0,59976
2013-02-20,578.0,584.0,578.0,580.0,49997
2013-02-21,577.0,577.4,571.0,575.0,16600
2013-02-22,573.5,583.0,573.5,583.0,132828
2013-02-25,581.5,590.0,579.5,590.0,37108
2013-02-26,575.0,585.0,575.0,585.0,29638
2013-02-27,583.0,595.5,582.0,595.5,36737
2013-02-28,596.5,599.12,592.5,598.0,43509
2013-03-01,596.5,597.5,588.5,596.5,30972
2013-03-04,590.0,596.49,584.5,585.0,14210
2013-03-05,585.5,593.5,584.5,593.5,45021
2013-03-06,592.0,593.5,586.51,593.5,33475
2013-03-07,588.5,596.0,588.5,593.5,20658
2013-03-08,594.0,600.0,593.99,598.5,29335
2013-03-11,598.5,600.0,591.5,591.5,21300
2013-03-12,596.0,601.5,592.0,592.5,22028
2013-03-13,596.0,596.0,580.0,580.0,22664
2013-03-14,586.0,587.48,579.66,586.0,57783
2013-03-15,585.0,587.5,578.93,585.5,117952
2013-03-18,580.0,589.0,577.12,589.0,70216
2013-03-19,590.0,593.0,585.0,585.0,49729
2013-03-20,589.0,589.0,584.0,584.0,20173
2013-03-21,583.0,589.0,577.5,580.0,55354
2013-03-22,577.0,580.0,571.0,576.0,71643
2013-03-25,579.0,580.0,573.13,576.0,40457
2013-03-26,576.0,580.5,570.5,579.0,72128
2013-03-27,578.0,578.0,571.5,572.0,26632
2013-03-28,575.0,575.0,570.0,575.0,47617
2013-04-02,568.5,579.5,568.5,572.0,94070
2013-04-03,567.0,571.87,554.05,555.0,84294
2013-04-04,554.0,558.5,547.5,551.0,41932
2013-04-05,550.0,550.0,540.0,545.5,148415
2013-04-08,545.0,548.0,543.0,546.5,109023
2013-04-09,548.0,551.0,545.5,551.0,46338
2013-04-10,550.0,559.0,547.5,559.0,63574
2013-04-11,555.5,561.0,553.4,560.0,41241
2013-04-12,556.0,560.0,552.0,555.5,37485
2013-04-15,557.0,557.0,544.0,548.0,54666
2013-04-16,548.0,551.0,543.5,551.0,51570
2013-04-17,551.0,551.5,543.5,543.5,53658
2013-04-18,543.0,550.31,543.0,547.0,37755
2013-04-19,543.0,553.0,543.0,553.0,25188
2013-04-22,553.0,558.0,548.0,556.5,20113
2013-04-23,554.5,559.5,551.0,559.0,43055
2013-04-24,559.0,565.5,555.5,565.5,103566
2013-04-25,564.0,564.0,560.0,564.0,135729
2013-04-26,564.0,564.0,557.0,560.5,35488
2013-04-29,562.0,564.0,559.0,563.5,38197
2013-04-30,564.0,568.0,560.0,562.0,57056
2013-05-01,565.0,568.0,560.95,567.0,22242
2013-05-02,567.0,567.0,556.5,559.5,54009
2013-05-03,563.5,566.0,559.0,564.5,31841
2013-05-07,564.5,570.0,564.5,567.0,44938
2013-05-08,570.0,575.0,570.0,573.5,27046
2013-05-09,570.0,573.0,569.0,571.5,32692
2013-05-10,570.0,574.0,569.0,572.0,16874
2013-05-13,574.0,574.0,565.0,565.0,228182
2013-05-14,570.0,579.0,565.0,579.0,17679
2013-05-15,575.0,585.5,571.0,583.0,131787
2013-05-16,583.0,583.52,577.0,580.0,44001
2013-05-17,579.5,583.9,576.75,579.5,20536
2013-05-20,586.0,586.0,581.4,585.0,10246
2013-05-21,581.0,586.0,581.0,585.0,13183
2013-05-22,586.0,592.0,583.0,590.5,48617
2013-05-23,583.0,583.0,562.04,567.0,89900
2013-05-24,564.0,572.0,558.5,558.5,23086
2013-05-28,565.0,578.0,565.0,578.0,25878
2013-05-29,572.0,572.0,564.0,566.5,14843
2013-05-30,562.0,567.0,558.0,562.0,45435
2013-05-31,556.5,562.0,555.0,557.0,56406
2013-06-03,553.0,557.0,550.0,550.0,29405
2013-06-04,556.0,559.5,551.01,553.5,12035
2013-06-05,550.0,555.0,547.5,549.5,58462
2013-06-06,550.5,550.5,534.0,534.0,15917
2013-06-07,543.0,551.0,532.5,549.0,103096
2013-06-10,549.0,549.0,535.0,535.0,16380
2013-06-11,532.0,532.0,515.0,523.0,84157
2013-06-12,517.0,522.5,513.5,519.0,11398
2013-06-13,499.5,514.0,495.6,514.0,39496
2013-06-14,517.0,519.0,510.39,517.0,14846
2013-06-17,518.0,519.0,513.9,518.5,32248
2013-06-18,519.0,521.0,514.0,520.0,29425
2013-06-19,519.5,519.5,516.5,517.5,54955
2013-06-20,512.0,512.0,489.4,496.8,37500
2013-06-21,498.2,502.5,492.0,492.0,87236
2013-06-24,494.1,499.25,479.5,480.6,28681
2013-06-25,482.0,491.2,481.93,491.2,35327
2013-06-26,487.0,489.74,485.5,487.5,90363
2013-06-27,490.0,502.0,487.88,493.3,190068
2013-06-28,498.8,501.5,495.0,495.5,31447
2013-07-01,500.5,505.5,495.11,504.0,27938
2013-07-02,505.5,508.0,502.5,504.0,44270
2013-07-03,500.0,504.48,491.0,493.0,28040
2013-07-04,493.1,519.5,493.1,519.5,109795
2013-07-05,513.0,525.5,508.05,518.0,91141
2013-07-08,508.5,519.5,508.5,518.0,46159
2013-07-09,516.0,526.0,516.0,526.0,66391
2013-07-10,517.0,524.0,516.5,517.0,98981
2013-07-11,526.5,530.5,521.0,521.0,42792
2013-07-12,528.0,528.0,520.96,525.0,94424
2013-07-15,530.0,530.0,521.0,525.0,54656
2013-07-16,526.5,532.5,525.0,532.0,15055
2013-07-17,530.0,532.0,521.0,532.0,48855
2013-07-18,523.0,531.5,519.5,527.0,91962
2013-07-19,519.0,525.0,517.0,519.0,141150
2013-07-22,521.5,525.0,519.0,520.0,14263
2013-07-23,529.0,529.0,524.5,520.0,23777
2013-07-24,527.5,528.0,522.0,526.5,158943
2013-07-25,525.0,526.5,520.0,520.5,60826
2013-07-26,525.0,525.0,519.0,525.0,6552
2013-07-29,519.0,519.0,517.0,519.0,13886
2013-07-30,519.0,522.0,517.0,520.0,38094
2013-07-31,517.5,522.0,517.0,517.0,10811
2013-08-01,518.0,522.0,518.0,519.0,37303
2013-08-02,522.5,528.0,520.0,524.0,31661
2013-08-05,526.5,526.5,521.0,522.5,11348
2013-08-06,524.0,524.0,515.0,526.0,57365
2013-08-07,517.0,517.0,508.0,518.0,8547
2013-08-08,513.0,514.5,511.0,511.0,59836
2013-08-09,510.5,521.0,510.5,514.0,36836
2013-08-12,521.0,521.0,517.5,512.0,14050
2013-08-13,523.0,527.5,519.0,525.0,18412
2013-08-14,520.0,525.5,520.0,519.0,29803
2013-08-15,520.0,522.0,511.0,519.5,45200
2013-08-16,514.0,515.5,511.0,525.0,14287
2013-08-19,517.5,517.5,508.0,512.25,12930
2013-08-20,497.2,503.5,495.0,501.0,66081
2013-08-21,501.5,503.0,496.0,499.0,70748
2013-08-22,499.9,506.0,499.9,509.0,35473
2013-08-23,509.5,510.0,504.0,498.75,22962
2013-08-27,504.0,505.5,492.5,507.0,39418
2013-08-28,492.6,497.5,490.7,508.0,22082
2013-08-29,497.1,497.1,492.5,490.5,37736
2013-08-30,499.0,499.5,494.0,507.0,30883
2013-09-02,503.0,507.5,500.5,502.0,34463
2013-09-03,507.5,507.5,501.5,506.0,18029
2013-09-04,509.5,510.0,503.0,505.0,57999
2013-09-05,512.5,513.5,509.0,510.5,11345
2013-09-06,510.0,519.0,510.0,513.0,31000
2013-09-09,522.5,522.5,519.0,515.56,8033
2013-09-10,522.5,537.5,522.5,528.5,84564
2013-09-11,536.0,538.5,535.0,538.0,22134
2013-09-12,537.0,537.5,534.0,537.0,9000
2013-09-13,534.5,536.0,532.0,533.0,25719
2013-09-16,535.5,535.5,525.0,536.0,50482
2013-09-17,529.5,534.5,529.5,536.0,27597
2013-09-18,534.5,535.5,525.5,533.5,61460
2013-09-19,537.0,545.0,536.5,544.0,78755
2013-09-20,540.0,543.0,537.0,527.5,86718
2013-09-24,541.0,551.0,541.0,542.0,44211
2013-09-25,550.0,554.0,549.0,546.0,48331
2013-09-26,551.0,557.0,550.0,550.0,19397
2013-09-27,556.5,556.5,546.5,550.0,137183
2013-09-30,550.5,556.0,546.0,554.5,12194
2013-10-01,552.5,552.5,548.0,549.0,12003
2013-10-02,553.0,553.0,545.5,546.0,6880
2013-10-03,546.0,552.0,546.0,547.0,18765
2013-10-04,549.5,549.5,546.5,547.5,67200
2013-10-07,547.5,547.5,542.0,547.5,25594
2013-10-08,545.5,547.5,542.5,542.5,20949
2013-10-09,541.5,546.0,539.0,545.0,83091
2013-10-10,543.0,545.0,540.0,541.0,94847
2013-10-11,543.0,543.0,535.0,537.0,38850
2013-10-14,535.0,537.0,534.0,536.0,6498
2013-10-15,532.5,540.0,532.5,535.0,172620
2013-10-16,535.0,546.0,532.0,546.0,56506
2013-10-17,545.5,546.5,538.5,541.5,32328
2013-10-18,549.0,549.0,540.0,541.0,14213
2013-10-21,543.0,548.0,542.5,545.5,15798
2013-10-22,545.0,546.5,544.5,546.0,38214
2013-10-23,541.5,544.5,538.0,538.73,52023
2013-10-24,540.0,545.0,540.0,545.0,32301
2013-10-25,545.5,545.5,542.0,542.0,11441
2013-10-28,542.0,545.5,542.0,542.0,16151
2013-10-29,542.5,548.5,542.5,545.0,33923
2013-10-30,551.0,556.5,547.0,550.25,50752
2013-10-31,548.5,550.5,540.5,543.5,45761
2013-11-01,543.0,544.0,540.0,541.0,18424
2013-11-04,541.0,549.5,540.0,540.0,39675
2013-11-05,545.0,545.0,536.0,537.5,35418
2013-11-06,537.5,543.5,537.0,537.0,36165
2013-11-07,539.0,542.0,534.5,534.5,41470
2013-11-08,534.5,537.5,529.5,529.5,34562
2013-11-11,532.5,532.5,527.5,527.5,3459
2013-11-12,530.0,531.5,528.0,530.0,98882
2013-11-13,538.0,538.0,514.5,514.5,74526
2013-11-14,521.5,526.0,519.5,519.5,85121
2013-11-15,524.0,527.5,521.0,521.5,116364
2013-11-18,525.0,530.0,523.0,526.5,55609
2013-11-19,526.5,527.5,525.0,527.5,45366
2013-11-20,524.0,529.0,522.5,525.5,24049
2013-11-21,523.0,523.0,515.5,515.5,43599
2013-11-22,518.5,519.0,515.0,521.0,47232
2013-11-25,524.5,527.5,521.5,527.5,6482
2013-11-26,525.0,526.0,521.0,524.0,59649
2013-11-27,525.5,526.0,520.0,523.5,23420
2013-11-28,524.0,526.0,523.5,524.0,6626
2013-11-29,523.5,525.5,520.0,521.0,15872
2013-12-02,528.0,528.0,515.0,515.0,13264
2013-12-03,515.5,520.0,515.0,515.0,68079
2013-12-04,517.0,517.0,510.0,510.0,34926
2013-12-05,510.0,516.0,502.5,502.5,100794
2013-12-06,516.5,516.5,503.0,507.5,59110
2013-12-09,507.0,513.5,506.0,506.0,76247
2013-12-10,506.5,508.5,505.5,507.0,29231
2013-12-11,506.0,508.0,504.0,508.0,54749
2013-12-12,508.5,508.5,500.0,500.0,38783
2013-12-13,504.5,504.5,500.0,500.0,12804
2013-12-16,501.0,504.0,500.5,500.5,25939
2013-12-17,500.5,503.5,495.5,496.0,163475
