Date,Open,High,Low,Close,Volume
2015-11-09,199.0,216.75,195.0,204.0,801938
2015-11-10,207.0,207.0,201.85,201.85,28600
2015-11-11,206.38,207.19,202.96,202.96,0
2015-11-12,205.0,205.0,199.96,202.75,4084
2015-11-13,205.0,205.0,201.33,201.33,5900
2015-11-16,209.0,209.0,201.0,202.0,26886
2015-11-17,202.0,205.0,201.0,205.0,29102
2015-11-18,204.5,204.5,202.48,202.98,20150
2015-11-19,205.69,205.69,202.0,203.85,0
2015-11-20,203.5,205.0,203.5,205.0,7928
2015-11-23,205.0,205.0,202.54,203.5,16672
2015-11-24,203.5,203.77,198.0,201.18,10000
2015-11-25,200.44,200.44,200.0,200.0,0
2015-11-26,201.2,201.2,201.12,201.12,0
2015-11-27,205.0,205.0,202.5,205.0,1000
2015-11-30,209.0,209.0,200.0,206.0,2500
2015-12-01,202.0,203.96,197.0,202.0,7500
2015-12-02,203.0,204.2,200.0,203.48,1000
2015-12-03,200.0,203.92,200.0,203.92,0
2015-12-04,200.56,200.56,200.0,200.0,0
2015-12-07,203.4,204.44,203.4,204.44,0
2015-12-08,202.0,204.56,200.0,201.8,3090
2015-12-09,200.75,202.22,200.75,202.22,0
2015-12-10,200.0,202.48,200.0,200.0,126232
2015-12-11,200.0,201.0,199.52,201.0,4893
2015-12-14,201.0,210.0,201.0,204.0,18952
2015-12-15,204.0,206.0,198.0,205.94,12612
2015-12-16,202.25,204.97,198.0,198.0,22278
2015-12-18,203.25,203.5,200.0,203.5,6781
2015-12-21,198.0,198.0,198.0,198.0,1
2015-12-22,203.5,203.75,201.0,201.0,5635
2015-12-23,201.25,203.94,201.25,201.5,20309
2015-12-24,201.25,201.25,198.0,201.0,11795
2015-12-29,205.0,206.0,201.0,202.0,50911
2015-12-30,201.5,206.0,201.5,202.5,46647
2015-12-31,205.0,206.68,203.66,205.51,77044
2016-01-04,205.5,208.0,202.0,202.25,20235
2016-01-05,205.5,209.0,203.52,207.78,173762
2016-01-06,209.0,223.0,208.5,220.0,112667
2016-01-07,218.0,234.03,217.52,232.0,45386
2016-01-08,230.0,230.0,226.8,229.52,56634
2016-01-11,228.0,232.13,225.0,230.0,267738
2016-01-12,229.25,242.0,229.0,237.62,251286
2016-01-13,239.28,239.34,233.61,238.52,0
2016-01-14,230.0,230.75,221.25,228.25,59915
2016-01-15,227.0,228.92,226.64,227.0,1
2016-01-18,225.0,225.54,220.21,223.0,15829
2016-01-19,222.5,234.0,220.04,232.75,37934
2016-01-20,225.0,238.0,222.58,232.25,134089
2016-01-21,231.75,232.0,228.0,230.0,18123
2016-01-22,235.0,245.0,230.3,243.0,60504
2016-01-25,241.75,242.0,229.91,235.0,40248
2016-01-26,233.0,240.0,233.0,239.5,44154
2016-01-27,238.0,255.0,238.0,255.0,96960
2016-01-28,250.0,257.0,248.6,254.48,53299
2016-01-29,257.0,260.0,256.16,257.94,98795
2016-02-01,254.0,263.0,251.92,262.0,50102
2016-02-02,264.5,264.5,251.0,255.0,83166
2016-02-03,255.0,262.28,241.0,251.2,138856
2016-02-04,240.0,249.25,230.0,237.0,119894
2016-02-05,240.0,243.25,238.19,243.0,41572
2016-02-08,240.0,244.0,238.0,240.0,24059
2016-02-09,240.0,242.0,230.0,234.5,71112
2016-02-10,230.0,235.0,230.0,230.75,4883
2016-02-11,240.0,240.0,230.5,239.25,3518
2016-02-12,240.0,242.0,230.0,235.0,6620
2016-02-15,242.0,242.0,234.0,239.0,24151
2016-02-16,239.25,240.0,230.0,239.25,5394
2016-02-17,238.0,238.97,230.25,230.25,14351
2016-02-18,233.0,236.55,212.0,225.0,32819
2016-02-19,230.0,230.0,224.25,229.0,46350
2016-02-22,230.0,230.0,225.0,226.5,31411
2016-02-23,228.0,228.0,225.0,225.88,2927
2016-02-24,230.0,237.0,226.25,226.25,19775
2016-02-25,236.0,236.0,225.0,235.0,15963
2016-02-26,236.75,239.0,231.75,235.25,20285
2016-02-29,238.5,239.0,235.5,237.5,7783
2016-03-01,239.0,240.6,238.68,240.0,2849
2016-03-02,245.0,248.75,242.0,248.75,11290
2016-03-03,247.5,250.0,242.75,245.0,35624
2016-03-04,246.75,250.0,245.0,249.75,11233
2016-03-07,245.0,249.38,232.25,232.25,32503
2016-03-08,232.25,237.68,230.25,230.25,3202
2016-03-09,242.0,255.0,237.25,240.0,58814
2016-03-10,246.0,254.75,246.0,246.75,77680
2016-03-11,253.25,260.0,248.0,248.0,64849
2016-03-14,250.0,253.25,245.0,249.26,82635
2016-03-15,240.0,249.0,231.71,242.0,95661
2016-03-16,242.0,254.5,239.0,250.94,83593
2016-03-17,248.0,256.5,248.0,254.75,84704
2016-03-18,250.25,254.0,245.0,252.45,1272545
2016-03-21,253.75,253.75,251.0,253.0,10490
2016-03-22,248.25,254.75,248.0,248.5,76252
2016-03-23,247.0,248.16,240.75,241.5,25589
2016-03-24,241.5,245.27,241.5,243.75,3142
2016-03-29,247.75,247.75,240.6,247.75,24270
2016-03-30,250.0,250.0,241.76,244.5,5814
2016-03-31,250.0,250.0,241.75,247.5,23095
2016-04-01,245.0,249.75,245.0,246.75,10817
2016-04-04,249.75,250.0,241.25,248.75,9920
2016-04-05,250.0,251.5,247.0,251.25,14815
2016-04-06,245.75,250.0,245.75,246.0,21085
2016-04-07,245.75,250.5,245.75,245.75,19874
2016-04-08,253.75,255.0,246.0,246.0,3114
2016-04-11,254.75,255.5,252.0,255.5,8711
2016-04-12,255.5,255.75,246.5,246.5,10688
2016-04-13,245.75,253.2,245.75,245.75,118
2016-04-14,255.75,255.75,246.0,246.0,5235
2016-04-15,255.0,255.0,249.96,255.0,5706
2016-04-18,255.75,265.0,254.06,260.0,28062
2016-04-19,262.25,270.0,261.5,266.25,96829
2016-04-20,268.5,274.13,268.0,269.25,17073
2016-04-21,267.0,280.0,267.0,274.0,90341
2016-04-22,279.0,279.0,274.0,274.0,62
2016-04-25,274.0,278.16,268.25,268.25,6319
2016-04-26,268.25,268.25,262.0,262.0,17274
2016-04-27,272.0,272.0,262.0,267.25,9812
2016-04-28,270.0,270.0,263.32,267.25,6444
2016-04-29,272.0,272.0,262.0,270.0,5294
2016-05-03,272.0,272.0,262.0,268.0,23957
2016-05-04,264.75,270.0,260.0,268.0,11858
2016-05-05,270.0,270.0,265.0,268.0,17646
2016-05-06,268.0,268.0,261.49,268.0,645
2016-05-09,260.25,267.0,252.09,260.0,26963
2016-05-10,255.0,255.0,251.25,254.52,4126
2016-05-11,255.0,255.0,253.7,255.0,5856
2016-05-12,255.0,255.0,255.0,255.0,1031
2016-05-13,255.0,255.0,240.0,247.5,20581
2016-05-16,243.0,244.32,240.61,243.0,100
2016-05-17,242.0,242.0,237.5,238.0,6556
2016-05-18,238.0,242.2,238.0,238.0,560
2016-05-19,237.5,245.0,235.0,235.25,12560
2016-05-20,240.0,240.0,235.25,235.5,2164
2016-05-23,240.0,240.0,235.0,235.0,9816
2016-05-24,235.0,235.0,228.3,230.0,16689
2016-05-25,228.0,231.7,222.0,222.0,8319
2016-05-26,222.72,224.0,222.72,224.0,0
2016-05-27,227.6,227.68,223.49,223.49,0
2016-05-31,222.25,227.6,212.75,212.75,49260
2016-06-01,218.0,219.48,212.0,212.0,27079
2016-06-02,212.25,222.0,205.0,220.0,57308
2016-06-03,223.0,225.0,218.0,218.0,17037
