Date,Open,High,Low,Close,Volume
2012-01-03,785.0,813.0,776.11,801.89,5535.0
2012-01-04,785.0,785.0,780.11,780.11,12619.0
2012-01-05,802.0,802.0,780.11,802.0,2002.0
2012-01-06,797.5,801.0,780.0,792.0,7614.0
2012-01-09,792.0,0.0,780.0,789.0,2791.0
2012-01-10,791.0,801.0,785.0,792.0,13601.0
2012-01-11,796.5,0.0,794.5,794.5,886.0
2012-01-12,790.0,0.0,790.0,801.9,5404.0
2012-01-13,801.9,0.0,784.75,792.0,4843.0
2012-01-16,792.0,798.9,792.0,792.0,3025.0
2012-01-17,809.0,809.0,800.0,806.0,1590.0
2012-01-18,829.0,829.0,804.11,827.0,7153.0
2012-01-19,810.0,810.0,810.0,810.0,201.0
2012-01-20,816.89,0.0,805.36,815.0,3183.0
2012-01-23,818.0,846.62,806.11,835.89,5421.0
2012-01-24,822.0,842.78,822.0,823.11,7900.0
2012-01-25,827.0,849.0,825.11,833.0,3912.0
2012-01-26,842.0,862.0,825.5,862.0,2415.0
2012-01-27,862.0,867.0,850.43,862.0,859.0
2012-01-30,849.0,862.0,848.03,855.0,3445.0
2012-01-31,879.0,880.0,856.0,856.0,1643.0
2012-02-01,889.0,890.0,889.0,890.0,1286.0
2012-02-02,889.0,890.08,880.11,885.11,3377.0
2012-02-03,895.0,896.5,885.11,895.0,1732.0
2012-02-06,915.0,915.0,0.0,915.0,320.0
2012-02-07,890.0,910.0,890.0,910.0,2085.0
2012-02-08,908.49,0.0,886.51,886.51,1467.0
2012-02-09,886.51,915.07,886.51,910.0,11475.0
2012-02-10,909.0,909.0,894.11,894.11,2299.0
2012-02-13,908.0,913.89,902.11,913.89,204.0
2012-02-14,,,,900.11,0.0
2012-02-15,,,,905.11,0.0
2012-02-16,930.0,930.0,896.11,896.11,690.0
2012-02-17,,,,913.0,0.0
2012-02-20,919.0,927.02,916.11,916.11,439.0
2012-02-21,,,,915.11,0.0
2012-02-22,915.0,929.25,908.37,915.0,500.0
2012-02-23,,,,928.89,0.0
2012-02-24,,,,914.51,0.0
2012-02-27,,,,928.89,0.0
2012-02-28,925.0,945.0,914.76,935.0,3046.0
2012-02-29,911.11,905.0,905.0,905.0,38.0
2012-03-01,,,,938.89,0.0
2012-03-02,,,,930.11,0.0
2012-03-05,,,,925.11,0.0
2012-03-06,920.0,938.89,905.5,906.11,611.0
2012-03-07,,,,898.11,0.0
2012-03-08,913.0,922.0,910.0,910.0,5.0
2012-03-09,921.0,930.0,912.11,930.0,209.0
2012-03-12,914.0,933.0,913.0,928.0,2508.0
2012-03-13,934.0,935.0,907.11,935.0,6.0
2012-03-14,920.0,945.0,913.3,930.0,4960.0
2012-03-15,930.0,949.0,930.0,949.0,643.0
2012-03-16,949.0,949.0,935.0,935.0,1346.0
2012-03-19,,,,949.89,0.0
2012-03-20,930.0,949.89,918.0,918.0,12.0
2012-03-21,917.0,930.0,917.0,930.0,1046.0
2012-03-22,929.89,934.89,910.0,930.0,19.0
2012-03-23,930.0,930.0,921.0,930.0,16.0
2012-03-26,911.0,911.0,910.0,910.0,1001.0
