Date,Open,High,Low,Close,Volume
2012-01-03,66.0,67.11,64.75,67.1,2791155
2012-01-04,66.95,67.2,66.05,66.75,2919680
2012-01-05,66.85,67.0,63.95,64.45,2842098
2012-01-06,64.6,66.0,64.3,64.85,2037728
2012-01-09,65.2,66.1,64.65,65.35,2129963
2012-01-10,64.9,64.9,61.75,62.7,5032093
2012-01-11,62.65,63.9,62.15,63.05,4435602
2012-01-12,62.0,63.75,61.55,61.55,3091581
2012-01-13,63.4,66.2,63.4,64.61,8194526
2012-01-16,64.3,65.05,63.5,65.05,2389353
2012-01-17,66.25,66.45,64.55,66.15,2964626
2012-01-18,66.1,67.6,65.7,66.3,4333086
2012-01-19,66.65,70.35,66.25,69.75,5315428
2012-01-20,70.15,72.4,69.62,72.15,6284396
2012-01-23,72.0,73.21,72.0,72.5,2297022
2012-01-24,71.8,72.65,71.3,72.3,3687604
2012-01-25,72.6,73.75,71.95,73.55,1788393
2012-01-26,73.7,74.55,73.15,73.8,3707183
2012-01-27,73.6,73.95,71.9,72.45,2651894
2012-01-30,72.6,72.6,70.7,72.0,3022048
2012-01-31,72.35,72.85,70.68,71.35,5214779
2012-02-01,71.6,74.35,71.45,74.1,3480840
2012-02-02,74.9,81.85,73.88,79.95,14504406
2012-02-03,80.5,86.5,80.07,85.75,9168260
2012-02-06,85.45,85.86,82.65,82.9,3528208
2012-02-07,83.75,83.75,80.35,81.0,6823087
2012-02-08,81.25,81.65,79.75,80.2,4376663
2012-02-09,80.5,80.95,79.05,80.1,4918984
2012-02-10,80.0,80.55,79.25,79.5,4990877
2012-02-13,79.9,81.6,79.9,81.6,2183705
2012-02-14,81.2,82.15,80.0,80.55,2537871
2012-02-15,80.85,82.3,80.2,80.2,2584309
2012-02-16,79.15,80.75,78.65,80.5,2894430
2012-02-17,81.2,81.98,78.22,80.0,4272901
2012-02-20,81.1,81.65,80.0,81.2,2112855
2012-02-21,81.4,81.4,79.86,81.0,4505990
2012-02-22,79.4,91.2,79.4,87.4,13139821
2012-02-23,87.75,89.35,87.1,87.3,3655537
2012-02-24,85.25,87.5,81.16,84.1,9299821
2012-02-27,85.05,85.05,82.05,82.8,3699760
2012-02-28,83.6,83.6,82.15,82.65,3942996
2012-02-29,81.7,83.45,80.15,80.55,5451795
2012-03-01,81.0,85.26,80.95,85.25,4839651
2012-03-02,85.2,86.3,83.85,84.2,3412979
2012-03-05,83.8,85.15,83.5,83.5,3678310
2012-03-06,83.2,83.3,79.25,79.75,5323077
2012-03-07,79.9,81.2,79.38,81.0,3751687
2012-03-08,81.5,83.6,81.5,82.4,2685636
2012-03-09,82.55,86.35,82.35,85.65,3828883
2012-03-12,85.4,85.55,84.1,84.85,4316532
2012-03-13,85.7,87.16,85.25,86.0,6565343
2012-03-14,86.5,87.9,86.0,87.3,4908505
2012-03-15,88.0,89.9,87.35,89.4,5149975
2012-03-16,89.75,92.15,89.6,91.5,13962651
2012-03-19,91.4,93.54,91.0,92.35,3458538
2012-03-20,92.0,92.05,89.6,90.95,3037013
2012-03-21,91.25,91.8,88.65,90.0,2865786
2012-03-22,89.6,90.37,86.05,86.4,5455206
2012-03-23,86.65,86.9,85.25,85.7,4362428
2012-03-26,86.1,87.5,85.2,86.65,3719293
2012-03-27,87.65,87.7,85.95,86.5,2476476
2012-03-28,86.2,87.1,84.8,84.8,3137455
2012-03-29,84.8,85.84,84.05,84.5,2593442
2012-03-30,84.8,86.55,84.35,84.35,3980107
2012-04-02,84.75,85.4,83.1,85.25,4013361
2012-04-03,86.65,88.05,86.3,86.3,4081836
2012-04-04,86.2,86.2,81.0,81.55,5290885
2012-04-05,81.7,83.45,81.0,82.8,5374909
2012-04-10,82.3,82.77,80.7,80.7,5506291
2012-04-11,80.25,82.1,79.3,81.25,4903827
2012-04-12,88.15,90.7,86.95,88.5,12023734
2012-04-13,89.45,89.7,87.45,88.2,3715146
2012-04-16,88.0,88.7,86.15,88.1,3828982
2012-04-17,88.15,93.0,87.9,92.5,6268612
2012-04-18,92.4,92.65,89.55,91.25,3871933
2012-04-19,91.25,93.5,91.2,92.45,4445761
2012-04-20,92.8,92.98,90.9,91.6,2442596
2012-04-23,91.5,92.0,86.65,87.4,3150052
2012-04-24,87.45,88.0,86.85,87.85,2134413
2012-04-25,88.3,90.7,88.05,90.7,3213837
2012-04-26,91.3,92.5,88.75,89.4,2972851
2012-04-27,88.7,91.15,87.95,91.05,2468330
2012-04-30,92.5,92.5,88.95,89.3,2230365
2012-05-01,89.6,91.8,89.47,91.6,642105
2012-05-02,92.1,92.65,90.2,91.05,3940938
2012-05-03,91.2,91.7,90.55,91.0,2652821
2012-05-04,90.7,90.75,83.05,83.35,5209078
2012-05-08,83.8,84.0,79.9,79.95,4474246
2012-05-09,80.95,80.95,78.0,79.12,2541415
2012-05-10,79.3,80.95,77.55,80.0,4224035
2012-05-11,79.45,80.55,79.0,79.7,1794897
2012-05-14,79.1,79.25,75.85,76.35,3545776
2012-05-15,76.75,77.4,75.4,76.05,6450465
2012-05-16,75.35,75.5,74.3,75.25,3543639
2012-05-17,75.3,76.45,75.05,76.0,4341641
2012-05-18,74.85,75.45,73.95,74.65,6197153
2012-05-21,74.2,75.5,72.7,73.1,2346667
2012-05-22,73.5,75.1,72.65,73.35,3683444
2012-05-23,72.3,73.35,71.7,71.85,2357779
2012-05-24,72.5,73.45,71.85,72.55,2594074
2012-05-25,71.6,72.35,70.7,71.1,4386117
2012-05-28,72.2,73.35,71.8,72.0,1383457
2012-05-29,72.4,76.65,72.39,76.1,3734050
2012-05-30,75.7,76.12,73.35,73.35,3097401
2012-05-31,73.7,74.3,71.75,72.6,3178998
2012-06-01,72.9,72.9,68.6,68.8,3189132
2012-06-06,69.75,70.85,69.75,70.6,5953810
2012-06-07,71.2,75.05,70.65,75.05,7691804
2012-06-08,74.7,74.77,71.9,72.25,3953095
2012-06-11,73.95,74.7,72.55,72.95,2299827
2012-06-12,72.8,73.2,71.0,71.35,2675262
2012-06-13,71.7,72.05,70.15,70.9,3574217
2012-06-14,70.85,72.25,70.65,71.75,3687920
2012-06-15,72.25,75.2,72.05,75.2,6122554
2012-06-18,76.35,76.65,73.35,74.5,2370262
2012-06-19,74.45,76.6,73.97,76.55,2094647
2012-06-20,76.75,78.15,75.9,78.1,2197143
2012-06-21,78.9,78.9,77.25,77.5,1711590
2012-06-22,76.6,76.7,73.8,74.0,4068338
2012-06-25,73.65,73.8,71.55,71.6,2623816
2012-06-26,71.65,72.3,70.6,71.3,2628559
2012-06-27,71.6,71.9,70.78,71.45,1578517
2012-06-28,71.6,71.95,70.4,71.25,4457819
2012-06-29,72.85,73.8,72.08,73.65,4514480
2012-07-02,73.5,76.35,73.5,75.7,3277213
2012-07-03,76.0,77.5,75.5,77.5,3261675
2012-07-04,77.95,77.95,75.4,76.4,2057871
2012-07-05,76.0,76.0,73.35,73.7,2661779
2012-07-06,73.95,74.3,72.25,72.85,1519934
2012-07-09,71.65,71.75,69.35,70.9,4102142
2012-07-10,70.9,73.3,70.9,73.05,2446125
2012-07-11,72.0,72.6,70.35,70.55,3938644
