Date,Open,High,Low,Close,Volume
2012-01-03,268.16,268.16,0.0,257.06,1955.0
2012-01-04,267.94,267.94,0.0,267.94,469.0
2012-01-05,255.25,267.65,255.25,258.0,15833.0
2012-01-06,255.25,267.69,255.25,256.5,149614.0
2012-01-09,255.25,255.25,255.0,255.0,51342.0
2012-01-10,260.25,260.25,260.25,260.25,7560.0
2012-01-11,255.25,265.0,255.25,265.0,1038.0
2012-01-12,260.25,268.53,260.25,262.0,30875.0
2012-01-13,261.12,263.5,261.12,263.5,27940.0
2012-01-16,260.0,262.96,260.0,262.0,9977.0
2012-01-17,270.0,277.75,270.0,270.75,23024.0
2012-01-18,270.25,280.0,270.25,279.0,8436.0
2012-01-19,279.75,279.75,275.0,275.0,24173.0
2012-01-20,271.43,275.55,271.43,275.55,111587.0
2012-01-23,278.41,278.41,270.31,270.31,1929.0
2012-01-24,269.0,270.75,269.0,270.75,2047.0
2012-01-25,270.56,0.0,270.56,270.56,500.0
2012-01-26,280.0,283.0,277.69,277.69,7995.0
2012-01-27,,,,280.25,0.0
2012-01-31,270.25,280.0,270.25,270.25,69255.0
2012-02-01,282.75,284.0,272.46,282.75,49644.0
2012-02-02,280.5,284.62,278.75,280.0,24142.0
2012-02-03,281.31,281.31,0.0,281.31,611.0
2012-02-06,278.25,279.25,272.86,279.25,16410.0
2012-02-07,284.25,284.25,284.25,284.25,451.0
2012-02-08,275.25,278.75,275.25,278.75,2229.0
2012-02-09,285.0,285.0,283.25,283.25,1408.0
2012-02-10,285.0,285.0,283.0,283.0,2593.0
2012-02-13,282.0,288.62,275.0,276.0,18253.0
2012-02-14,288.75,295.84,288.75,295.5,18405.0
2012-02-15,292.25,292.25,290.0,290.0,1741.0
2012-02-16,,,,290.0,0.0
2012-02-17,295.0,295.62,290.0,290.0,3002.0
2012-02-20,,,,290.0,0.0
2012-02-21,304.25,304.25,287.25,287.25,9037.0
2012-02-22,285.0,285.0,285.0,285.0,2687.0
2012-02-23,294.75,294.75,285.0,292.0,815.0
2012-02-24,,,,285.0,0.0
2012-02-27,,,,285.0,0.0
2012-02-28,294.75,294.75,292.0,292.0,782.0
2012-02-29,285.0,286.0,285.0,286.0,3133.0
2012-03-01,285.75,289.75,285.0,287.0,4660.0
2012-03-02,,,,287.0,0.0
2012-03-05,,,,287.0,0.0
2012-03-06,285.0,285.5,285.0,285.5,5593.0
2012-03-07,,,,286.87,0.0
2012-03-08,285.5,285.5,285.5,285.5,13.0
2012-03-09,290.0,299.75,289.81,291.0,24709.0
2012-03-12,300.0,300.0,292.25,292.5,288.0
2012-03-13,302.0,302.0,295.25,302.0,178.0
2012-03-14,301.75,301.75,300.32,301.5,44.0
2012-03-15,301.75,301.75,293.43,301.25,150.0
2012-03-16,292.25,301.75,292.25,295.0,9645.0
2012-03-19,293.0,297.5,293.0,293.0,5222.0
