Date,Open,High,Low,Close,Volume
2012-01-03,119.0,121.49,119.0,120.69,20876.0
2012-01-04,120.0,120.0,118.01,118.01,23420.0
2012-01-05,118.01,120.69,118.0,118.0,13969.0
2012-01-06,120.19,120.19,118.01,118.25,35553.0
2012-01-09,118.01,121.5,118.01,119.0,25014.0
2012-01-10,123.0,123.0,121.21,122.5,98587.0
2012-01-11,121.0,123.0,121.0,123.0,36786.0
2012-01-12,122.5,123.39,120.21,120.21,64389.0
2012-01-13,121.0,124.49,120.5,120.51,82253.0
2012-01-16,120.0,122.5,120.0,120.25,25845.0
2012-01-17,122.0,123.75,121.0,123.5,66689.0
2012-01-18,122.75,123.85,120.5,123.85,56290.0
2012-01-19,123.0,125.0,123.0,123.61,32644.0
2012-01-20,124.0,124.49,123.5,123.5,14096.0
2012-01-23,123.5,126.0,123.5,126.0,65498.0
2012-01-24,124.51,126.0,123.0,123.0,44120.0
2012-01-25,123.51,123.51,0.0,123.3,15430.0
2012-01-26,124.5,126.49,124.5,126.49,8973.0
2012-01-27,125.49,0.0,123.5,123.89,82714.0
2012-01-30,121.5,123.89,121.5,123.39,34929.0
2012-01-31,123.99,124.5,122.51,123.5,38452.0
2012-02-01,126.0,126.49,0.0,125.01,69366.0
2012-02-02,127.0,130.5,125.01,126.0,106145.0
2012-02-03,126.0,129.49,125.0,129.49,64626.0
2012-02-06,126.0,128.99,125.5,126.51,26968.0
2012-02-07,126.0,129.49,125.51,128.0,64825.0
2012-02-08,125.25,128.5,125.25,125.25,27473.0
2012-02-09,125.5,129.0,125.5,129.0,27500.0
2012-02-10,125.5,127.42,124.75,124.75,84462.0
2012-02-13,127.0,127.89,125.0,126.46,5828.0
2012-02-14,128.0,128.0,125.5,126.65,16178.0
2012-02-15,128.0,129.91,126.5,129.5,7512.0
2012-02-16,126.0,128.5,126.0,127.0,9000.0
2012-02-17,129.5,129.5,128.0,129.35,6566.0
2012-02-20,130.89,131.0,128.65,130.44,10000.0
2012-02-21,130.0,130.5,128.0,129.99,12398.0
2012-02-22,128.0,130.5,126.5,129.78,18664.0
2012-02-23,129.0,131.03,129.0,130.78,10480.0
2012-02-24,,,,132.0,0.0
2012-02-27,130.0,130.69,129.15,130.69,10000.0
2012-02-28,132.0,132.0,129.31,132.0,860.0
2012-02-29,130.75,132.49,129.0,129.0,6676.0
2012-03-01,,,,132.0,0.0
2012-03-02,132.5,132.5,129.38,129.38,12241.0
2012-03-05,128.0,130.49,128.0,128.0,10086.0
2012-03-06,128.0,129.99,126.0,126.0,10000.0
2012-03-07,129.0,129.0,125.82,129.0,5605.0
2012-03-08,130.0,132.0,128.51,129.5,10136.0
2012-03-09,131.0,131.5,128.51,131.5,16888.0
2012-03-12,132.5,133.5,129.26,133.5,14521.0
2012-03-13,134.0,134.5,131.5,134.5,9580.0
2012-03-14,134.5,135.0,132.51,135.0,15094.0
2012-03-15,134.0,134.0,131.75,134.0,171.0
2012-03-16,131.75,135.0,131.75,134.75,21707.0
2012-03-19,131.75,135.0,131.75,135.0,12.0
2012-03-20,134.0,134.5,131.26,134.0,44260.0
2012-03-21,130.0,134.0,130.0,134.0,19720.0
2012-03-22,133.0,134.0,130.5,134.0,5578.0
2012-03-23,133.0,134.5,132.0,133.0,565.0
2012-03-26,,,,132.61,0.0
2012-03-27,134.5,134.75,132.5,134.5,199.0
2012-03-28,133.95,133.95,131.5,133.0,164.0
2012-03-29,130.0,131.45,128.0,131.0,24788.0
2012-03-30,129.31,132.0,128.5,131.0,1920.0
2012-04-02,130.5,133.0,129.84,131.25,6907.0
2012-04-03,131.4,134.14,131.4,134.0,23.0
2012-04-04,132.0,134.0,130.5,130.5,5309.0
2012-04-05,132.5,132.5,130.01,132.0,33398.0
2012-04-10,129.25,131.0,128.0,128.0,271.0
2012-04-11,128.0,128.5,125.5,128.5,30000.0
2012-04-12,128.5,129.5,126.75,129.5,5000.0
2012-04-13,128.5,129.25,126.76,127.5,5000.0
2012-04-16,,,,128.75,0.0
2012-04-17,127.5,129.5,127.0,127.75,12269.0
2012-04-18,128.0,129.5,128.0,129.5,5350.0
2012-04-19,128.75,129.62,128.75,129.35,211.0
2012-04-20,130.5,131.0,129.21,131.0,10507.0
2012-04-23,129.0,129.5,127.75,128.49,68672.0
2012-04-24,129.5,129.75,127.5,127.75,6185.0
2012-04-25,129.75,130.0,128.75,130.0,10898.0
2012-04-26,129.75,130.5,128.75,128.75,12819.0
2012-04-27,130.5,131.05,129.51,130.5,931.0
2012-04-30,130.0,130.87,129.0,130.25,5000.0
2012-05-01,130.0,132.0,129.0,132.0,11500.0
2012-05-02,132.0,132.0,130.51,132.0,2786.0
2012-05-03,130.25,132.0,129.0,129.0,34.0
2012-05-04,130.25,130.75,127.0,127.0,1675.0
2012-05-08,126.0,129.0,125.25,127.0,11015.0
2012-05-09,127.5,127.5,125.26,126.75,5346.0
2012-05-10,126.25,127.5,125.25,127.5,10651.0
2012-05-11,126.5,128.0,125.61,128.0,9177.0
2012-05-14,126.5,128.0,125.11,127.5,60959.0
2012-05-15,127.5,127.5,125.72,127.0,7951.0
2012-05-16,125.5,126.75,124.75,126.74,5000.0
2012-05-17,124.0,125.25,123.25,124.25,10104.0
2012-05-18,123.5,123.75,121.51,123.5,12220.0
2012-05-21,123.75,125.0,122.62,125.0,15010.0
2012-05-22,125.0,125.75,123.0,125.5,9647.0
2012-05-23,123.75,125.25,122.5,122.5,511.0
2012-05-24,124.0,125.75,123.0,125.75,17109.0
2012-05-25,125.75,126.0,124.01,125.2,119.0
2012-05-28,125.0,127.0,125.0,126.0,295.0
2012-05-29,126.0,126.5,125.69,126.0,28.0
2012-05-30,123.5,125.0,122.75,123.49,39072.0
2012-05-31,123.75,124.2,121.74,123.19,5410.0
2012-06-01,123.5,123.5,121.01,122.5,94.0
2012-06-06,122.5,124.5,122.5,124.5,12645.0
2012-06-07,125.0,127.0,123.51,127.0,9771.0
2012-06-08,127.0,127.0,125.3,127.0,705.0
2012-06-11,127.0,128.7,126.25,127.0,8038.0
2012-06-12,125.25,127.0,124.74,127.0,15913.0
2012-06-13,126.0,127.0,126.0,127.0,6885.0
2012-06-14,126.5,126.5,125.25,126.0,2240.0
2012-06-15,127.5,127.5,125.5,126.0,50925.0
2012-06-18,126.0,127.92,126.0,126.99,9215.0
2012-06-19,127.5,127.7,126.26,127.7,25000.0
2012-06-20,128.5,128.99,127.01,128.99,23.0
2012-06-21,127.5,129.0,126.5,126.5,68.0
2012-06-22,127.4,128.0,126.5,126.5,5749.0
2012-06-25,127.5,127.9,126.75,126.75,14125.0
2012-06-26,127.5,127.91,127.0,127.06,5000.0
2012-06-27,126.0,126.5,125.25,126.0,18166.0
2012-06-28,127.25,127.25,126.0,127.0,402.0
2012-06-29,128.5,129.45,126.75,128.22,10000.0
2012-07-02,129.5,130.0,127.75,129.25,16116.0
2012-07-03,130.0,131.0,129.31,131.0,28454.0
2012-07-04,,,,130.75,0.0
2012-07-05,130.0,131.0,129.65,130.75,5000.0
2012-07-06,,,,129.75,0.0
2012-07-09,129.19,130.0,129.19,130.0,28.0
2012-07-10,129.75,130.75,129.4,130.75,24.0
2012-07-11,129.75,130.5,129.01,129.01,2.0
2012-07-12,129.5,129.5,128.0,128.0,36.0
2012-07-13,130.0,131.0,129.38,131.0,25000.0
2012-07-16,131.0,132.0,129.5,132.0,13432.0
2012-07-17,130.89,131.0,129.25,131.0,6513.0
2012-07-18,,,,131.11,0.0
2012-07-19,131.5,132.95,130.7,132.95,6670.0
2012-07-20,132.0,133.0,131.0,131.0,10096.0
2012-07-23,130.0,130.75,129.0,129.21,35854.0
2012-07-24,128.25,130.0,128.25,128.75,242.0
2012-07-25,129.0,129.52,128.0,128.0,16599.0
2012-07-26,129.0,130.75,128.88,130.75,17936.0
2012-07-27,131.0,131.0,129.25,131.0,10000.0
2012-07-30,132.75,133.75,131.01,133.75,27372.0
2012-07-31,,,,132.89,0.0
2012-08-01,132.0,133.0,131.69,132.75,15614.0
2012-08-02,132.75,133.25,131.69,133.0,23012.0
2012-08-03,,,,132.6,0.0
2012-08-06,,,,133.96,0.0
2012-08-07,133.96,134.78,133.75,133.75,96.0
2012-08-08,134.0,134.78,133.51,134.5,10586.0
2012-08-09,,,,133.95,0.0
2012-08-10,,,,133.95,0.0
2012-08-13,135.0,135.77,134.6,134.61,15000.0
2012-08-14,135.2,135.5,134.11,135.5,2214.0
2012-08-15,134.11,135.0,133.95,135.0,23.0
2012-08-16,135.0,136.25,134.78,135.1,25000.0
2012-08-17,,,,135.85,0.0
2012-08-20,136.0,136.5,135.01,135.7,55600.0
2012-08-21,135.0,136.6,135.0,136.5,6434.0
