Date,Open,High,Low,Close,Volume
2012-01-03,118.0,118.5,117.9,118.4,1183826
2012-01-04,118.5,118.5,117.9,118.4,775215
2012-01-05,118.1,118.5,118.06,118.5,703744
2012-01-06,118.3,118.6,118.1,118.3,1369996
2012-01-09,118.0,118.3,117.9,118.3,520080
2012-01-10,118.1,118.5,118.0,118.5,816361
2012-01-11,118.5,118.6,118.3,118.4,504025
2012-01-12,118.0,118.7,118.0,118.4,677460
2012-01-13,118.7,118.7,118.0,118.1,1483018
2012-01-16,117.8,118.1,117.7,118.0,623879
2012-01-17,117.6,118.2,117.0,117.0,904608
2012-01-18,117.8,117.9,117.0,117.6,1520754
2012-01-19,117.8,117.9,117.3,117.8,1957030
2012-01-20,117.9,117.9,117.5,117.5,1140866
2012-01-23,117.8,117.9,117.3,117.7,1178915
2012-01-24,117.7,117.7,117.2,117.5,763492
2012-01-25,117.5,117.69,117.2,117.3,1085236
2012-01-26,117.7,117.8,117.4,117.7,770320
2012-01-27,117.4,117.8,117.4,117.8,735878
2012-01-30,117.5,118.0,117.5,117.7,477112
2012-01-31,117.6,117.9,117.6,117.83,1390340
2012-02-01,117.7,118.2,117.7,118.1,1603456
2012-02-02,118.2,118.28,117.9,118.28,1256093
2012-02-03,118.0,118.5,118.0,118.4,1153616
2012-02-06,118.2,118.5,118.1,118.4,1012238
2012-02-07,118.4,118.41,118.1,118.4,1261939
2012-02-08,118.4,119.3,118.2,119.3,2569910
2012-02-09,119.3,119.3,118.9,119.3,1179177
2012-02-10,119.0,119.9,119.0,119.8,1510824
2012-02-13,119.3,120.13,119.3,119.6,588177
2012-02-14,120.2,120.2,119.78,120.0,588367
2012-02-15,119.5,120.1,119.5,119.8,736267
2012-02-16,119.9,119.9,119.4,119.8,625755
2012-02-17,119.8,120.1,119.5,120.0,867348
2012-02-20,120.0,120.0,119.5,119.7,1316233
2012-02-21,119.8,119.8,119.4,119.5,630108
2012-02-22,119.7,119.7,119.2,119.4,248524
2012-02-23,119.2,119.7,119.1,119.4,700024
2012-02-24,119.5,119.5,119.2,119.5,413964
2012-02-27,119.2,119.5,119.2,119.3,266114
2012-02-28,119.2,119.4,118.8,119.0,441527
2012-02-29,118.8,119.0,118.6,119.0,709864
2012-03-01,118.6,119.0,118.4,118.7,219450
2012-03-02,118.7,119.3,118.5,119.3,1335490
2012-03-05,119.3,119.3,118.8,118.8,311000
2012-03-06,118.8,119.0,118.2,118.4,344521
2012-03-07,118.2,119.0,118.2,119.0,820010
2012-03-08,118.6,119.5,118.6,119.2,522029
2012-03-09,119.1,119.4,119.1,119.2,250029
2012-03-12,119.2,119.5,119.1,119.4,120940
2012-03-13,119.1,119.9,119.1,119.9,997217
2012-03-14,119.8,119.9,119.42,119.9,542986
2012-03-15,119.9,119.9,119.2,119.4,333462
2012-03-16,119.2,119.6,119.1,119.6,1327686
2012-03-19,119.6,119.7,119.2,119.7,349871
2012-03-20,119.7,119.7,119.4,119.5,241050
2012-03-21,119.2,119.6,119.2,119.6,190323
2012-03-22,119.3,119.6,119.3,119.6,240415
2012-03-23,119.2,119.6,119.2,119.4,450456
2012-03-26,119.3,119.6,119.3,119.41,681207
2012-03-27,119.6,119.6,119.3,119.4,411463
2012-03-28,119.5,119.5,118.86,119.5,1543494
2012-03-29,119.5,119.5,119.2,119.2,112352
2012-03-30,119.2,120.6,118.6,120.4,970962
2012-04-02,120.2,120.8,120.2,120.8,474353
2012-04-03,120.5,121.0,120.3,120.6,426140
2012-04-04,120.7,120.7,120.3,120.6,174279
2012-04-05,120.3,121.4,120.3,121.4,1695482
2012-04-10,120.9,122.0,120.9,121.7,1099506
2012-04-11,121.5,122.1,121.5,122.0,853105
2012-04-12,121.8,122.1,121.7,122.0,650327
2012-04-13,122.0,122.2,121.84,122.2,759325
2012-04-16,121.9,123.1,121.9,123.1,2069976
2012-04-17,122.8,123.6,122.8,123.6,539685
2012-04-18,120.1,120.1,119.6,119.9,366949
2012-04-19,119.4,120.8,119.4,120.8,857633
2012-04-20,120.2,120.8,120.2,120.6,322299
2012-04-23,120.5,120.56,119.7,119.8,777476
2012-04-24,120.0,120.0,118.9,118.9,407647
2012-04-25,118.9,119.1,117.5,118.0,1255448
2012-04-26,118.4,118.9,118.0,118.5,1722447
2012-04-27,118.7,119.4,118.46,119.3,325524
2012-04-30,119.1,120.2,119.1,120.0,2715874
2012-05-01,119.6,120.2,119.6,120.2,712869
2012-05-02,119.8,120.4,119.8,120.2,677248
2012-05-03,119.8,120.1,119.8,120.0,490588
2012-05-04,119.4,120.0,119.4,119.9,6289915
2012-05-08,120.0,120.0,118.3,118.4,1565430
2012-05-09,118.3,119.0,118.3,119.0,1193724
2012-05-10,119.0,119.6,118.6,119.6,232119
2012-05-11,118.8,119.5,118.8,119.5,969084
2012-05-14,118.7,120.5,118.7,120.5,1132771
2012-05-15,120.08,120.7,119.9,120.4,353349
2012-05-16,119.9,120.3,119.8,120.0,396465
2012-05-17,119.7,119.9,118.0,118.5,840818
2012-05-18,118.1,118.5,117.7,118.0,292200
2012-05-21,117.7,118.12,117.3,117.4,574274
2012-05-22,117.4,118.2,116.8,118.2,1965898
2012-05-23,117.7,118.05,117.6,117.6,409704
2012-05-24,118.4,119.0,117.7,118.4,661319
2012-05-25,118.4,119.1,118.3,119.0,714291
2012-05-28,118.7,120.0,118.7,119.9,668114
2012-05-29,119.6,120.4,119.6,120.2,399939
2012-05-30,119.7,120.3,119.6,120.0,250022
2012-05-31,119.7,120.8,119.7,120.7,962492
2012-06-01,120.4,120.7,120.14,120.6,358401
2012-06-06,120.6,120.9,120.0,120.9,431339
2012-06-07,120.9,121.8,120.5,120.8,1067726
2012-06-08,121.3,121.3,120.9,121.1,258803
2012-06-11,121.4,121.5,120.6,120.8,346589
2012-06-12,120.9,120.9,119.0,119.0,852621
2012-06-13,119.8,119.8,119.0,119.25,336134
2012-06-14,119.8,120.1,119.1,119.9,1045303
2012-06-15,120.1,121.0,119.4,121.0,2820816
2012-06-18,120.6,120.68,120.1,120.4,509878
2012-06-19,120.2,120.75,119.88,120.4,609398
2012-06-20,120.6,120.6,120.3,120.5,312663
2012-06-21,120.6,120.6,120.3,120.4,398630
2012-06-22,120.5,120.5,120.0,120.0,377133
2012-06-25,120.4,120.44,119.5,119.5,626524
2012-06-26,119.6,119.6,118.3,119.2,398138
2012-06-27,119.5,119.5,117.65,118.1,1255461
2012-06-28,118.3,118.3,117.85,118.1,312694
2012-06-29,118.1,118.5,117.9,118.5,357366
2012-07-02,118.7,119.4,118.1,119.3,609737
2012-07-03,119.5,119.9,119.0,119.9,660296
2012-07-04,119.8,119.8,119.16,119.5,434380
2012-07-05,119.5,119.5,118.7,119.1,201395
2012-07-06,118.7,119.4,118.7,119.3,104850
2012-07-09,118.9,119.33,118.7,118.9,602445
2012-07-10,119.0,119.09,118.6,119.0,468485
2012-07-11,118.8,119.4,118.8,119.4,610870
2012-07-12,118.8,119.7,118.7,119.7,251636
2012-07-13,119.3,120.4,119.1,120.1,761881
2012-07-16,119.9,121.3,119.9,121.2,1027038
2012-07-17,121.0,121.3,120.7,121.2,355980
2012-07-18,121.2,121.2,120.85,121.1,348106
2012-07-19,121.0,121.7,120.9,121.4,1689733
2012-07-20,121.4,121.47,121.1,121.4,166498
2012-07-23,121.1,121.5,121.0,121.3,563897
2012-07-24,121.1,121.8,121.0,121.2,2207965
2012-07-25,121.6,121.6,121.0,121.4,376610
2012-07-26,121.0,121.5,121.0,121.3,274746
2012-07-27,121.4,121.4,120.7,120.9,584966
2012-07-30,120.6,121.3,120.6,121.3,256730
2012-07-31,121.3,121.38,120.7,121.3,371730
2012-08-01,121.3,121.3,120.8,121.2,81727
2012-08-02,121.3,121.3,120.7,121.1,515183
2012-08-03,121.1,121.5,121.1,121.5,1998890
2012-08-06,121.6,121.7,121.5,121.6,432933
2012-08-07,121.5,121.7,121.5,121.7,189654
2012-08-08,121.5,121.7,121.5,121.7,242360
2012-08-09,121.6,121.7,121.5,121.6,258391
2012-08-10,121.5,121.8,121.5,121.8,154342
2012-08-13,121.5,121.7,121.3,121.6,458923
2012-08-14,121.5,121.8,121.3,121.8,475576
2012-08-15,122.0,122.0,121.4,121.5,218951
2012-08-16,121.9,121.9,121.4,121.5,116747
2012-08-17,121.4,122.0,121.4,121.9,221377
2012-08-20,122.2,122.2,121.7,121.7,332240
2012-08-21,122.2,124.0,121.9,123.9,901785
2012-08-22,124.0,124.0,123.5,123.6,251240
2012-08-23,123.6,123.82,123.3,123.6,174861
2012-08-24,123.7,123.7,122.7,122.8,449349
