Date,Open,High,Low,Close,Volume
2012-01-03,189.5,195.0,185.0,188.25,56772
2012-01-04,187.5,187.5,180.62,184.0,104377
2012-01-05,184.0,185.5,181.25,182.0,180517
2012-01-06,183.5,184.25,176.0,181.5,118732
2012-01-09,182.0,183.0,180.25,182.25,81024
2012-01-10,182.25,183.04,178.25,180.75,162747
2012-01-11,181.5,185.0,179.0,182.0,215022
2012-01-12,182.25,185.0,178.0,185.0,134341
2012-01-13,186.75,186.75,182.0,184.0,124975
2012-01-16,184.5,185.0,181.75,182.25,22660
2012-01-17,184.75,185.25,182.0,182.0,49015
2012-01-18,185.0,185.0,182.25,182.25,98282
2012-01-19,184.0,185.25,182.0,183.75,172785
2012-01-20,185.0,187.0,184.0,184.0,98058
2012-01-23,187.75,190.0,186.0,190.0,54365
2012-01-24,187.0,190.25,184.0,187.0,122354
2012-01-25,191.0,191.0,184.0,186.0,67467
2012-01-26,188.0,188.5,184.75,185.25,113208
2012-01-27,187.0,188.0,183.5,185.0,61983
2012-01-30,185.0,185.0,181.25,181.25,110753
2012-01-31,181.25,185.75,181.25,185.25,233673
2012-02-01,185.5,191.5,185.5,191.5,95751
2012-02-02,192.5,196.5,191.0,194.5,236990
2012-02-03,196.0,202.75,194.75,202.75,275383
2012-02-06,202.5,206.75,200.25,203.0,146087
2012-02-07,203.0,205.0,198.75,199.0,127348
2012-02-08,200.0,200.25,196.75,200.25,250532
2012-02-09,200.25,207.0,199.5,204.0,663259
2012-02-10,203.75,205.25,200.25,201.25,121008
2012-02-13,206.25,206.25,201.25,202.75,30330
2012-02-14,203.75,207.5,201.25,203.0,70321
2012-02-15,203.5,203.75,197.75,200.0,81368
2012-02-16,200.0,201.0,195.5,196.0,192024
2012-02-17,195.25,198.5,193.75,194.75,214069
2012-02-20,193.5,195.75,193.5,194.75,56690
2012-02-21,194.25,194.25,192.38,193.0,23119
2012-02-22,192.5,192.5,189.0,189.75,41783
2012-02-23,189.75,189.75,184.5,184.5,54600
2012-02-24,188.25,192.5,185.0,185.0,60059
2012-02-27,188.0,188.0,180.91,184.75,35644
2012-02-28,183.75,189.19,183.01,187.5,80743
2012-02-29,187.5,187.5,185.5,187.25,48450
2012-03-01,187.5,187.5,184.25,185.75,35621
2012-03-02,186.75,186.75,183.88,184.75,64704
2012-03-05,184.5,185.0,181.0,182.0,12651
2012-03-06,183.25,184.08,180.5,180.5,85764
2012-03-07,182.0,184.0,176.75,180.0,70301
2012-03-08,181.5,184.75,178.0,179.25,52149
2012-03-09,178.0,179.25,177.0,178.5,38246
2012-03-12,178.0,180.0,177.46,179.5,49240
