Date,Open,High,Low,Close,Volume
2012-01-03,168.0,168.0,166.4,168.0,223697
2012-01-04,167.8,167.9,166.51,167.4,437345
2012-01-05,167.5,167.8,166.4,167.4,556654
2012-01-06,166.6,167.9,166.5,167.9,544453
2012-01-09,167.4,167.89,166.54,167.5,320681
2012-01-10,167.1,167.9,166.5,167.0,418826
2012-01-11,166.5,167.8,166.5,167.4,642711
2012-01-12,167.0,167.5,166.7,166.7,675924
2012-01-13,167.4,167.5,166.6,167.0,457086
2012-01-16,167.0,167.57,166.61,167.0,384427
2012-01-17,167.3,167.3,166.4,166.5,950541
2012-01-18,166.4,166.9,166.0,166.4,915455
2012-01-19,166.9,167.0,166.1,166.4,587119
2012-01-20,166.8,167.0,166.0,166.3,436538
2012-01-23,166.7,166.7,165.8,166.0,1055492
2012-01-24,166.1,166.5,164.5,165.0,801098
2012-01-25,165.4,165.5,163.5,163.5,526639
2012-01-26,164.5,164.5,163.0,163.0,251237
2012-01-27,164.1,164.1,163.0,163.4,441935
2012-01-30,163.4,163.8,162.7,163.25,578972
2012-01-31,162.8,163.5,162.5,162.5,957610
2012-02-01,162.8,163.29,162.6,162.7,772195
2012-02-02,163.0,163.0,159.0,161.3,1287165
2012-02-03,162.0,162.94,160.5,161.5,1803931
2012-02-06,161.5,161.5,160.8,161.0,1822334
2012-02-07,161.4,161.5,160.1,160.6,1100567
2012-02-08,161.0,161.5,160.1,161.0,1676723
2012-02-09,160.7,163.18,160.5,162.0,994613
2012-02-10,161.9,163.1,161.3,161.3,1184254
2012-02-13,162.2,164.1,161.71,164.1,382967
2012-02-14,163.2,164.5,163.2,164.2,138030
2012-02-15,164.1,164.5,163.8,164.0,224468
2012-02-16,163.5,163.9,162.8,163.5,243544
2012-02-17,163.0,165.8,163.0,163.5,422540
2012-02-20,164.4,164.5,163.3,163.4,205381
2012-02-21,163.4,164.0,163.3,163.8,359916
2012-02-22,163.4,164.9,163.4,163.74,410667
2012-02-23,164.5,166.9,164.5,166.3,709726
2012-02-24,165.5,166.0,164.5,164.8,430480
2012-02-27,165.0,165.9,164.62,164.8,381954
2012-02-28,165.2,165.29,164.57,164.6,254921
2012-02-29,164.6,165.5,164.6,164.7,190713
2012-03-01,165.5,166.0,164.5,164.9,656891
2012-03-02,164.5,165.2,164.5,164.9,102570
2012-03-05,165.1,165.3,164.3,164.3,168044
2012-03-06,164.9,165.05,164.3,164.8,163877
2012-03-07,164.4,165.29,164.3,164.6,79145
2012-03-08,165.3,165.3,163.6,164.6,494621
2012-03-09,164.6,165.0,164.5,165.0,138731
2012-03-12,164.5,165.3,164.0,164.2,84758
2012-03-13,164.6,165.0,164.1,164.8,246667
2012-03-14,165.3,166.1,164.61,165.0,302876
2012-03-15,165.5,166.0,164.5,165.3,383588
2012-03-16,165.3,165.9,164.6,165.3,711197
2012-03-19,165.5,165.8,164.54,164.9,241436
2012-03-20,165.3,165.5,164.5,164.5,289392
2012-03-21,164.9,165.0,164.0,164.0,270653
2012-03-22,164.5,164.9,163.71,164.0,110004
2012-03-23,165.0,165.0,162.3,162.7,429670
2012-03-26,163.5,163.9,163.09,163.7,78049
2012-03-27,163.9,163.9,163.0,163.0,440313
2012-03-28,163.5,163.5,162.1,163.0,119412
2012-03-29,162.7,163.0,160.75,161.3,410158
2012-03-30,161.0,161.92,160.6,160.6,448593
2012-04-02,161.8,162.0,161.0,161.7,477252
2012-04-03,161.7,162.61,161.5,162.2,886293
2012-04-04,162.5,163.5,162.0,162.0,325502
2012-04-05,162.0,163.28,162.0,162.25,144047
2012-04-10,162.0,163.28,161.7,161.7,346579
2012-04-11,162.0,162.9,162.0,162.0,192716
2012-04-12,162.0,162.5,161.5,162.0,229489
2012-04-13,161.8,162.5,161.5,161.5,28337
2012-04-16,161.5,162.8,161.2,161.2,238420
2012-04-17,161.5,162.4,161.5,161.5,178396
2012-04-18,162.1,162.4,161.5,161.9,155659
2012-04-19,161.7,162.0,161.5,161.5,140917
2012-04-20,161.5,162.0,161.3,161.4,92166
2012-04-23,161.6,162.6,161.3,161.3,179596
2012-04-24,161.3,162.0,161.3,161.3,94470
2012-04-25,161.3,162.6,161.1,161.1,151722
