Date,Open,High,Low,Close,Volume
2012-01-03,367.1,370.0,358.6,363.1,1903592
2012-01-04,360.2,364.8,356.6,357.0,3639296
2012-01-05,358.8,363.6,355.4,359.5,2365781
2012-01-06,359.5,363.4,353.4,356.7,1721367
2012-01-09,356.7,361.8,354.4,354.5,1841787
2012-01-10,358.9,369.5,356.9,367.1,2214991
2012-01-11,366.4,371.4,361.7,364.9,1440244
2012-01-12,368.4,374.5,363.3,373.2,2657979
2012-01-13,376.8,376.8,366.0,370.2,1208198
2012-01-16,368.3,371.8,367.0,369.6,1524268
2012-01-17,374.3,374.3,368.9,371.7,2479157
2012-01-18,370.0,372.7,367.0,370.6,2572273
2012-01-19,370.6,386.1,370.6,384.3,2219524
2012-01-20,385.9,391.8,384.6,390.4,2221845
2012-01-23,391.4,393.5,387.6,389.0,2131651
2012-01-24,388.0,388.6,378.3,381.7,1717316
2012-01-25,381.8,387.7,381.7,385.6,1551425
2012-01-26,386.0,392.5,386.0,391.3,1329017
2012-01-27,387.6,393.7,387.6,388.9,1353311
2012-01-30,388.0,390.3,381.7,381.7,1774419
2012-01-31,382.4,386.9,376.4,377.1,3347549
2012-02-01,378.9,383.3,376.8,377.9,4658069
2012-02-02,379.8,380.2,374.3,378.3,2481412
2012-02-03,376.9,384.4,376.9,382.8,2645449
2012-02-06,382.2,384.9,380.0,381.3,1961653
2012-02-07,383.4,383.4,377.9,379.0,1740618
2012-02-08,379.3,383.2,378.7,381.9,3003996
2012-02-09,382.1,384.8,380.3,381.9,2518310
2012-02-10,382.1,386.8,379.7,382.7,3513165
2012-02-13,386.3,391.34,383.0,391.3,1711889
2012-02-14,388.7,395.3,388.7,393.5,2403551
2012-02-15,395.5,398.4,391.7,392.8,2053550
2012-02-16,391.3,392.0,387.2,391.7,1200504
2012-02-17,393.7,399.1,392.8,396.4,1580686
2012-02-20,398.8,403.1,397.0,401.7,1099412
2012-02-21,401.6,402.0,391.8,395.9,1429072
2012-02-22,397.5,397.9,387.5,388.4,2144408
2012-02-23,390.9,393.6,383.8,385.7,1353595
2012-02-24,400.0,402.49,394.0,400.1,2795421
2012-02-27,399.8,400.5,391.1,398.8,1597800
2012-02-28,400.0,405.56,396.2,396.4,1770334
2012-02-29,395.9,397.3,391.66,391.8,2662382
2012-03-01,390.3,402.6,390.3,399.4,1189104
2012-03-02,400.0,405.0,399.8,403.7,2014000
2012-03-05,401.7,407.2,399.8,401.4,2372419
2012-03-06,399.5,401.9,388.2,388.2,1751376
2012-03-07,388.2,392.6,386.2,390.0,2373539
2012-03-08,392.8,412.9,392.2,411.3,3876495
2012-03-09,411.1,420.2,408.73,417.6,3176771
2012-03-12,416.4,424.9,415.7,423.9,2163407
2012-03-13,425.2,429.0,422.0,429.0,2434300
2012-03-14,422.8,426.7,420.1,420.1,2036479
2012-03-15,421.0,427.7,415.5,420.8,2927672
2012-03-16,421.1,430.4,420.7,425.0,2581278
2012-03-19,425.2,430.5,424.1,430.0,1993730
2012-03-20,427.8,428.84,419.5,424.2,2050477
2012-03-21,422.3,428.6,422.0,423.3,1736328
