Date,Open,High,Low,Close,Volume
2012-01-03,387.0,408.0,380.73,408.0,248006
2012-01-04,408.9,414.8,391.0,396.1,278705
2012-01-05,399.8,406.0,389.1,392.4,206445
2012-01-06,389.4,414.1,388.5,411.9,240754
2012-01-09,409.8,416.4,408.0,412.3,180909
2012-01-10,413.9,425.7,413.3,420.6,289818
2012-01-11,422.9,437.1,407.3,430.38,271936
2012-01-12,439.3,457.7,430.7,450.0,557319
2012-01-13,444.9,454.87,444.9,452.4,256567
2012-01-16,456.0,461.2,450.0,450.0,194948
2012-01-17,458.0,460.4,453.45,460.0,214518
2012-01-18,443.7,485.5,443.7,478.0,308768
2012-01-19,494.9,498.5,480.7,493.9,284417
2012-01-20,501.0,507.5,493.8,500.0,214609
2012-01-23,506.5,509.5,496.3,497.7,299885
2012-01-24,502.0,506.0,472.7,495.0,240853
2012-01-25,501.0,505.0,470.0,470.7,903340
2012-01-26,490.0,520.0,483.8,515.0,371803
2012-01-27,515.5,528.5,491.4,507.0,204514
2012-01-30,509.5,509.5,486.03,495.5,187989
2012-01-31,504.0,504.94,490.18,494.3,125411
2012-02-01,500.5,524.0,495.3,520.5,125248
2012-02-02,520.0,533.0,510.5,522.0,211905
2012-02-03,526.0,534.0,519.5,532.5,156176
2012-02-06,535.5,543.76,524.5,528.0,163572
2012-02-07,525.0,531.0,513.0,520.5,134935
2012-02-08,526.0,527.2,518.0,520.5,64979
2012-02-09,518.5,529.0,515.0,523.0,125524
2012-02-10,526.5,527.5,502.0,520.5,271912
2012-02-13,517.5,532.12,515.5,516.75,166211
2012-02-14,519.5,521.0,504.5,504.5,172437
2012-02-15,512.5,514.5,492.67,504.24,309072
2012-02-16,503.0,503.0,485.8,493.4,102987
2012-02-17,504.5,504.5,489.5,501.25,171167
2012-02-20,493.5,505.0,493.5,504.24,113659
2012-02-21,501.0,504.0,492.8,501.0,135562
2012-02-22,504.0,514.0,492.1,504.5,158334
2012-02-23,501.5,526.0,501.5,519.0,225752
2012-02-24,525.0,526.5,512.0,518.5,188130
2012-02-27,511.0,518.0,504.5,511.5,99998
2012-02-28,518.0,520.0,508.75,514.5,162105
2012-02-29,519.0,527.5,499.5,511.0,189600
2012-03-01,513.0,513.0,490.72,498.6,172681
2012-03-02,501.5,517.0,495.5,513.0,154390
2012-03-05,507.5,507.86,461.5,485.0,269161
2012-03-06,483.4,485.8,469.8,475.6,363285
