Date,Open,High,Low,Close,Volume
2012-01-03,57.0,57.75,57.0,57.75,191756.0
2012-01-04,53.0,57.0,53.0,57.0,343968.0
2012-01-05,58.75,58.75,58.0,58.25,6531.0
2012-01-06,57.12,0.0,57.12,57.12,4633.0
2012-01-09,57.0,57.78,56.44,57.0,100521.0
2012-01-10,57.8,57.8,57.0,57.8,41885.0
2012-01-11,58.0,58.0,57.26,58.0,7785.0
2012-01-12,57.88,58.0,57.12,58.0,59156.0
2012-01-13,57.15,0.0,57.12,57.12,11933.0
2012-01-16,57.0,57.5,57.0,57.0,110724.0
2012-01-17,57.0,57.12,55.0,56.5,241646.0
2012-01-18,58.0,58.25,56.0,57.5,741700.0
2012-01-19,57.0,58.75,57.0,58.75,294729.0
2012-01-20,58.59,58.88,58.0,58.88,2028193.0
2012-01-23,58.25,58.5,58.25,58.25,33697.0
2012-01-24,58.12,0.0,58.12,58.12,1721.0
2012-01-25,59.0,59.72,59.0,59.5,108422.0
2012-01-26,60.0,60.0,59.69,60.0,13908.0
2012-01-27,60.0,61.06,60.0,61.06,181728.0
2012-01-30,61.5,63.0,61.06,63.0,69806.0
2012-01-31,64.0,64.0,63.0,63.21,27388.0
2012-02-01,63.12,0.0,63.12,63.12,21869.0
2012-02-02,64.0,64.0,63.0,63.25,165689.0
2012-02-03,63.0,64.0,63.0,63.0,399237.0
2012-02-06,63.0,63.75,63.0,63.0,18319.0
2012-02-07,63.0,63.38,63.0,63.25,322208.0
2012-02-08,64.0,64.0,63.5,63.5,1203748.0
2012-02-09,63.0,63.9,63.0,63.5,51942.0
2012-02-10,63.0,63.5,63.0,63.0,69551.0
2012-02-13,63.0,63.5,61.73,63.5,168932.0
2012-02-14,63.0,63.0,63.0,63.0,333377.0
2012-02-15,62.0,63.0,61.0,63.0,60690.0
2012-02-16,63.0,63.5,62.64,63.0,280596.0
2012-02-17,63.5,63.5,61.53,63.25,1659.0
2012-02-20,,,,63.09,0.0
2012-02-21,62.0,63.0,61.0,61.75,1580.0
2012-02-22,61.0,61.75,60.5,60.5,6410.0
2012-02-23,61.75,62.0,61.12,62.0,281.0
2012-02-24,62.0,62.5,61.5,62.0,102997.0
2012-02-27,62.0,62.25,60.46,62.0,275857.0
2012-02-28,62.0,62.25,60.5,62.0,20217.0
2012-02-29,62.0,62.5,60.5,62.0,382348.0
2012-03-01,63.0,65.0,63.0,64.0,3062863.0
2012-03-02,64.0,65.0,63.46,65.0,32958.0
2012-03-05,65.0,65.0,63.9,65.0,8902.0
2012-03-06,66.77,68.0,63.88,68.0,72720.0
2012-03-07,67.75,68.0,65.66,68.0,9251.0
2012-03-08,67.25,68.0,65.6,68.0,30145.0
2012-03-09,66.0,66.0,65.83,66.0,2868.0
2012-03-12,65.5,67.12,65.5,66.25,5660.0
2012-03-13,66.25,67.03,66.0,66.25,2907.0
2012-03-14,66.0,70.38,66.0,69.0,332755.0
2012-03-15,69.0,70.4,68.5,68.5,21986.0
2012-03-16,68.25,71.0,68.0,68.0,94493.0
2012-03-19,68.0,69.25,68.0,68.5,18948.0
2012-03-20,68.25,69.19,68.0,69.0,44321.0
2012-03-21,69.0,69.25,69.0,69.0,257579.0
2012-03-22,69.5,69.7,69.0,69.0,223.0
2012-03-23,69.0,69.62,69.0,69.0,17789.0
2012-03-26,69.0,69.83,69.0,69.12,13807.0
2012-03-27,69.0,69.75,69.0,69.0,199734.0
2012-03-28,69.75,69.85,68.75,68.75,52431.0
2012-03-29,69.5,70.0,68.4,69.5,13019.0
2012-03-30,69.5,71.0,68.5,70.25,161345.0
2012-04-02,71.5,71.5,69.25,70.0,58485.0
2012-04-03,69.94,70.25,69.58,70.25,81.0
2012-04-04,69.48,69.75,69.48,69.75,168.0
2012-04-05,69.5,70.38,69.25,69.5,27707.0
2012-04-10,70.0,70.0,69.5,69.5,15827.0
2012-04-11,69.0,69.5,68.45,69.0,56848.0
2012-04-12,69.0,70.28,68.5,69.5,48740.0
2012-04-13,70.0,70.0,69.34,70.0,56174.0
2012-04-16,70.0,70.66,69.0,70.25,65628.0
2012-04-17,69.0,69.5,69.0,69.5,8075.0
2012-04-18,69.5,70.59,69.5,69.94,1206.0
2012-04-19,69.75,70.72,69.75,70.41,728.0
2012-04-20,71.67,72.25,70.75,71.5,108655.0
2012-04-23,71.0,71.84,70.46,71.0,8047.0
2012-04-24,70.5,72.0,70.5,72.0,19982.0
2012-04-25,72.0,72.0,70.0,70.0,49738.0
2012-04-26,70.0,71.0,70.0,70.38,18757.0
2012-04-27,70.5,70.5,69.65,69.75,8768.0
2012-04-30,69.5,70.0,69.5,70.0,1565.0
2012-05-01,69.5,69.5,67.0,68.25,249568.0
2012-05-02,69.0,70.5,67.0,67.25,648356.0
2012-05-03,68.0,68.0,64.0,67.0,402379.0
2012-05-04,66.5,70.0,64.25,69.5,785652.0
2012-05-08,68.0,68.15,66.5,66.5,165840.0
2012-05-09,66.0,68.0,66.0,67.0,154505.0
2012-05-10,67.5,68.0,66.0,66.0,128842.0
2012-05-11,66.25,66.5,65.0,65.0,127698.0
2012-05-14,65.0,70.0,64.25,69.0,676499.0
2012-05-15,69.0,69.0,67.75,68.5,64538.0
2012-05-16,67.0,67.0,66.0,66.0,87261.0
2012-05-17,67.0,67.0,65.0,66.0,66101.0
2012-05-18,67.0,67.0,63.0,63.25,102020.0
2012-05-21,64.0,64.0,62.0,63.25,58570.0
2012-05-22,62.5,63.94,61.5,63.0,54728.0
2012-05-23,64.0,65.0,60.0,60.75,126831.0
2012-05-24,60.75,62.0,60.25,62.0,48802.0
2012-05-25,60.5,61.25,59.5,60.25,66960.0
2012-05-28,60.0,60.77,58.75,58.75,8137.0
2012-05-29,60.0,62.5,58.5,61.75,247455.0
2012-05-30,60.75,61.0,60.75,60.75,30322.0
2012-05-31,62.0,63.0,61.5,63.0,39925.0
2012-06-01,61.75,61.75,61.5,61.5,3827.0
2012-06-06,60.75,61.0,60.0,60.25,214734.0
2012-06-07,60.25,60.5,60.0,60.0,223623.0
2012-06-08,59.0,60.75,59.0,60.0,35228.0
2012-06-11,60.5,61.25,59.25,60.5,374623.0
2012-06-12,60.0,60.5,59.89,60.0,131737.0
2012-06-13,61.75,63.0,60.25,63.0,25519.0
2012-06-14,61.75,63.5,61.62,62.25,102333.0
2012-06-15,63.0,67.29,62.5,67.25,1259543.0
2012-06-18,66.0,72.0,64.5,70.5,288251.0
2012-06-19,71.0,71.0,67.75,69.0,235188.0
2012-06-20,69.0,69.0,66.5,68.0,71045.0
2012-06-21,68.0,68.0,66.5,68.0,61593.0
2012-06-22,67.25,68.75,66.75,68.75,39681.0
2012-06-25,69.0,69.0,66.25,66.5,14744.0
2012-06-26,67.75,67.75,66.22,66.75,68686.0
2012-06-27,65.5,66.5,65.5,66.0,64782.0
2012-06-28,66.0,66.19,64.0,64.0,105342.0
2012-06-29,63.75,63.75,62.75,63.25,151712.0
2012-07-02,63.25,64.4,63.1,63.5,108560.0
2012-07-03,64.5,65.0,63.5,65.0,16996.0
2012-07-04,62.94,64.0,62.94,63.5,2127.0
2012-07-05,63.25,65.25,63.25,64.75,100068.0
2012-07-06,64.0,65.0,63.25,64.0,33373.0
2012-07-09,63.0,63.25,63.0,63.0,15874.0
2012-07-10,63.0,64.0,63.0,64.0,3002.0
2012-07-11,63.0,63.5,62.0,62.0,34846.0
2012-07-12,0.0,62.12,61.0,61.5,67226.0
2012-07-13,61.5,61.75,60.75,60.75,199863.0
2012-07-16,60.5,61.0,60.5,60.5,4476.0
2012-07-17,60.5,61.0,58.25,58.25,86619.0
2012-07-18,58.25,58.5,57.0,57.25,37326.0
2012-07-19,57.0,57.5,56.0,56.0,36267.0
2012-07-20,56.0,56.75,55.5,56.0,69049.0
2012-07-23,56.0,57.28,56.0,57.25,12527.0
2012-07-24,57.75,62.81,56.18,60.0,184375.0
2012-07-25,60.0,60.0,55.48,57.5,101293.0
2012-07-26,55.0,57.75,55.0,55.0,34115.0
2012-07-27,55.0,60.0,55.0,57.0,389481.0
2012-07-30,59.5,59.75,57.5,59.75,18438.0
2012-07-31,59.5,59.75,58.19,59.75,10817.0
2012-08-01,57.25,59.5,57.25,59.5,847.0
2012-08-02,59.75,59.75,58.0,59.75,1141.0
2012-08-03,57.25,59.5,57.25,59.5,2110.0
2012-08-06,59.0,59.75,57.53,59.75,1079.0
2012-08-07,57.53,57.0,57.0,57.0,255.0
2012-08-08,,,,57.59,0.0
2012-08-09,,,,57.59,0.0
2012-08-10,,,,57.55,0.0
2012-08-13,57.25,57.25,57.0,57.0,3017.0
2012-08-14,57.0,58.09,57.0,58.09,2204.0
2012-08-15,57.0,58.25,57.0,58.25,4938.0
2012-08-16,59.0,59.0,57.4,57.4,4.0
2012-08-17,57.0,57.75,57.0,57.25,26527.0
2012-08-20,57.5,58.6,55.5,55.5,62635.0
2012-08-21,56.25,57.02,55.5,55.5,9110.0
2012-08-22,56.25,56.75,56.25,56.75,6586.0
2012-08-23,57.0,57.35,55.25,57.0,5646.0
2012-08-24,57.0,57.44,56.5,56.5,12138.0
2012-08-28,57.5,57.68,55.88,57.25,726.0
2012-08-29,57.75,57.75,55.63,57.75,854.0
2012-08-30,57.5,57.5,56.0,56.0,3600.0
2012-08-31,55.5,57.5,55.5,57.5,87.0
2012-09-03,55.25,55.25,53.84,54.5,38549.0
2012-09-04,54.5,55.0,54.0,54.75,40319.0
2012-09-05,,,,54.43,0.0
2012-09-06,54.25,54.43,54.25,54.25,400.0
2012-09-07,54.25,55.72,54.25,55.0,8757.0
2012-09-10,54.5,55.45,54.17,54.75,7563.0
2012-09-11,,,,54.34,0.0
2012-09-12,54.0,55.0,54.0,54.0,21892.0
2012-09-13,55.0,55.0,54.0,54.5,29427.0
2012-09-14,54.25,54.26,53.75,53.75,9590.0
2012-09-17,54.25,55.25,53.75,54.0,15245.0
2012-09-18,54.0,54.38,53.75,54.0,3267.0
2012-09-19,54.0,54.0,52.5,52.5,55150.0
2012-09-20,54.0,54.0,52.25,53.0,12206.0
2012-09-21,52.5,52.9,52.0,52.0,58049.0
2012-09-24,53.25,53.53,52.22,52.22,532.0
2012-09-25,52.0,53.39,51.0,52.0,10802.0
2012-09-26,52.25,52.5,51.56,52.25,1090.0
2012-09-27,51.0,51.75,51.0,51.0,5268.0
2012-09-28,52.5,52.5,50.25,50.25,39910.0
2012-10-01,51.75,52.25,50.71,52.25,1860.0
2012-10-02,52.0,52.0,51.0,52.0,9871.0
2012-10-03,52.0,52.0,51.0,52.0,18728.0
2012-10-04,51.75,52.0,51.0,52.0,16511.0
2012-10-05,52.0,52.5,51.84,52.16,56454.0
2012-10-08,51.5,52.0,51.5,51.91,21816.0
2012-10-09,52.5,53.0,51.62,53.0,682.0
2012-10-10,52.0,52.6,51.75,51.75,38420.0
2012-10-11,53.25,53.25,51.0,51.55,19798.0
2012-10-12,,,,52.2,0.0
2012-10-15,52.0,52.16,51.0,52.16,106641.0
2012-10-16,52.0,52.0,51.5,51.75,3934.0
2012-10-17,51.25,51.5,51.0,51.0,5916.0
2012-10-18,50.0,51.0,50.0,50.0,13003.0
2012-10-19,,,,50.65,0.0
2012-10-22,49.94,51.5,49.94,51.5,127119.0
2012-10-23,50.0,51.31,50.0,51.0,8766.0
2012-10-24,51.0,51.5,50.25,51.0,8834.0
2012-10-25,50.5,51.0,50.5,50.5,11635.0
2012-10-26,50.0,51.0,50.0,50.0,5468.0
2012-10-29,50.5,51.2,50.0,50.0,18029.0
2012-10-30,49.5,50.81,49.5,49.5,5100.0
