Date,Open,High,Low,Close,Volume
2012-01-03,150.25,158.53,150.0,150.0,16755.0
2012-01-04,155.0,155.23,150.5,152.0,1229168.0
2012-01-05,155.8,155.8,0.0,155.8,3000.0
2012-01-06,154.55,154.64,0.0,153.7,2466.0
2012-01-09,156.3,156.4,152.0,156.4,19591.0
2012-01-10,158.7,158.7,154.0,156.0,136578.0
2012-01-11,153.5,158.84,153.5,153.6,4623.0
2012-01-12,158.73,158.73,0.0,158.73,7062.0
2012-01-13,158.73,158.98,0.0,158.98,2030.0
2012-01-16,153.0,157.5,151.64,152.0,56659.0
2012-01-17,152.25,154.16,150.0,150.0,32279.0
2012-01-18,153.0,156.7,150.62,154.23,43851.0
2012-01-19,151.18,154.24,151.18,154.24,9437.0
2012-01-20,155.15,155.15,150.5,155.15,17763.0
2012-01-23,156.0,156.81,153.04,156.8,44968.0
2012-01-24,154.5,156.84,152.14,156.0,10070.0
2012-01-25,153.0,156.4,153.0,156.4,39511.0
2012-01-26,158.0,158.0,153.25,153.97,17390.0
2012-01-27,156.0,159.0,153.0,154.62,46954.0
2012-01-30,154.51,154.62,153.0,153.0,34300.0
2012-01-31,149.0,152.0,144.33,148.5,591226.0
2012-02-01,151.0,151.0,144.7,146.0,64464.0
2012-02-02,148.0,149.16,147.35,147.48,190990.0
2012-02-03,151.0,151.0,146.61,151.0,105352.0
2012-02-06,148.0,150.63,148.0,150.25,18314.0
2012-02-07,150.0,150.64,148.1,150.25,31767.0
2012-02-08,150.0,151.57,145.0,147.0,6095064.0
2012-02-09,150.0,152.0,145.0,152.0,71001.0
2012-02-10,152.0,154.0,148.06,154.0,44828.0
2012-02-13,150.0,153.0,146.25,148.85,10658.0
2012-02-14,152.0,152.0,150.0,152.0,27590.0
2012-02-15,,,,150.0,0.0
2012-02-16,,,,151.78,0.0
2012-02-17,152.0,152.19,150.0,150.0,16089.0
2012-02-20,,,,151.0,0.0
2012-02-21,,,,151.0,0.0
2012-02-22,,,,148.37,0.0
2012-02-23,150.0,152.0,148.3,150.01,10732.0
2012-02-24,152.5,153.08,148.76,152.4,3396.0
2012-02-27,152.0,154.18,152.0,154.18,3000.0
2012-02-28,,,,153.7,0.0
2012-02-29,150.0,150.0,147.0,148.0,670.0
2012-03-01,150.0,151.9,147.25,147.5,1336.0
2012-03-02,152.75,153.0,152.75,152.75,68.0
2012-03-05,152.0,153.68,150.75,150.75,2220.0
2012-03-06,148.0,153.36,148.0,148.0,67.0
2012-03-07,150.0,150.0,149.45,150.0,4731.0
2012-03-08,148.25,151.93,147.25,147.25,6976.0
2012-03-09,147.5,152.83,147.5,147.5,68.0
2012-03-12,150.0,153.0,148.53,150.0,67.0
2012-03-13,150.25,152.32,150.25,150.25,66.0
2012-03-14,149.5,151.0,148.25,148.25,4325.0
2012-03-15,147.0,153.17,147.0,147.0,68.0
2012-03-16,150.0,155.9,145.0,147.0,8585.0
2012-03-19,153.0,153.0,148.0,148.0,6068.0
