Date,Open,High,Low,Close,Volume
2015-02-04,207.0,210.0,198.25,201.37,6502116
2015-02-05,210.0,210.0,203.74,206.2,1747619
2015-02-06,207.0,210.0,203.0,204.5,973163
2015-02-09,205.0,207.57,195.0,198.0,414515
2015-02-10,195.0,198.75,191.0,195.0,812629
2015-02-11,196.25,198.5,195.28,197.0,242690
2015-02-12,197.0,197.2,195.5,197.0,146496
2015-02-13,200.0,200.0,195.3,197.0,219873
2015-02-16,195.0,197.95,192.2,194.25,11827
2015-02-17,194.75,196.25,192.91,195.0,13785
2015-02-18,193.0,198.74,185.56,188.0,223553
2015-02-19,187.75,194.0,185.2,194.0,176063
2015-02-20,191.25,196.8,190.72,192.5,46256
2015-02-23,193.25,198.1,191.3,192.25,39200
2015-02-24,192.0,194.25,191.0,191.66,5043
2015-02-25,193.75,193.94,187.78,188.0,54238
2015-02-26,189.0,197.75,186.0,193.0,42097
2015-02-27,192.0,195.9,191.0,191.0,6188
2015-03-02,190.0,194.0,190.0,194.0,2874
2015-03-03,198.0,198.0,192.0,197.0,10554
2015-03-04,193.04,195.7,193.04,194.83,0
2015-03-05,194.04,195.75,193.72,194.5,0
2015-03-06,195.0,197.04,193.62,196.0,34733
2015-03-09,193.99,195.7,193.15,194.7,0
2015-03-10,195.5,195.5,190.3,193.0,16153
2015-03-11,191.0,193.72,190.0,191.0,18118
2015-03-12,191.0,193.0,188.8,192.75,27325
2015-03-13,192.0,192.5,190.25,192.5,47700
2015-03-16,193.25,195.0,191.15,195.0,8875
2015-03-17,195.0,197.0,194.3,195.5,43934
2015-03-18,196.0,196.0,190.69,192.0,120051
2015-03-19,195.0,195.0,192.0,192.25,90238
2015-03-20,192.25,195.0,192.25,193.0,61989
2015-03-23,195.0,196.0,194.08,195.5,87698
2015-03-24,196.5,200.08,194.24,199.0,76563
2015-03-25,200.25,202.0,197.11,201.5,37503
2015-03-26,204.0,205.0,196.0,196.5,32857
2015-03-27,197.0,199.4,193.0,193.5,127885
2015-03-30,193.75,198.05,193.75,193.75,2000
2015-03-31,195.0,199.0,192.0,195.0,151451
2015-04-01,195.25,197.1,195.0,197.0,112363
2015-04-02,197.5,199.63,195.62,197.0,23798
2015-04-07,200.0,201.19,197.75,199.5,35757
2015-04-08,201.0,210.0,195.6,205.19,56541
2015-04-09,210.0,211.0,206.0,209.0,45289
2015-04-10,209.5,216.5,208.0,211.84,156041
2015-04-13,220.0,220.0,211.44,215.5,58815
2015-04-14,213.0,215.25,211.25,212.0,19535
2015-04-15,212.0,213.22,210.2,211.0,40626
2015-04-16,210.0,216.0,208.0,216.0,11722
2015-04-17,218.0,218.0,208.25,209.0,48078
2015-04-20,208.75,215.0,208.13,214.15,48403
2015-04-21,207.0,208.5,198.8,200.0,180278
2015-04-22,205.0,205.0,198.0,200.25,56845
2015-04-23,205.0,206.0,201.0,205.75,42236
2015-04-24,205.5,206.0,200.12,205.25,61167
2015-04-27,207.0,209.75,202.09,207.5,32408
2015-04-28,206.0,206.06,201.25,205.0,50218
2015-04-29,205.5,207.75,202.6,203.0,23771
2015-04-30,200.75,205.52,197.25,197.25,53582
2015-05-01,197.5,201.04,195.0,195.25,45233
2015-05-05,196.5,201.65,196.5,201.0,3535
2015-05-06,195.8,200.6,195.8,200.2,0
2015-05-07,195.0,199.55,190.35,195.0,5393
2015-05-08,193.25,197.0,193.0,194.0,15487
2015-05-11,200.0,205.0,193.35,198.5,87141
2015-05-12,197.25,200.0,193.0,198.0,44601
2015-05-13,200.0,207.0,198.34,206.75,181357
2015-05-14,209.75,209.75,202.0,205.5,17572
2015-05-15,206.75,207.0,201.49,205.75,46646
2015-05-18,206.0,207.0,202.6,206.5,24046
2015-05-19,210.0,210.63,202.93,206.0,22507
2015-05-20,200.5,209.78,200.5,203.75,8312
2015-05-21,208.0,208.0,202.5,203.5,35163
2015-05-22,203.0,210.5,200.5,210.5,30393
2015-05-26,201.0,215.0,201.0,209.5,51126
2015-05-27,211.0,212.0,203.0,212.0,119732
2015-05-28,206.0,211.25,206.0,208.0,44332
2015-05-29,211.0,211.0,200.0,200.0,582970
2015-06-01,206.0,206.0,198.0,200.0,82021
2015-06-02,195.5,198.5,195.5,198.5,22571
2015-06-03,200.0,201.75,195.81,197.75,16478
2015-06-04,201.25,202.75,198.65,202.5,13613
2015-06-05,201.5,201.5,195.5,198.5,14852
2015-06-08,196.5,199.5,195.0,198.0,68964
2015-06-09,195.0,197.75,190.8,195.0,29339
2015-06-10,191.5,197.5,191.5,197.5,82101
2015-06-11,197.5,199.0,190.0,192.0,50702
2015-06-12,194.0,195.0,188.4,188.75,68086
2015-06-15,190.0,190.0,183.75,185.0,45534
2015-06-16,183.75,189.25,180.25,183.0,34251
2015-06-17,180.0,189.98,180.0,182.5,39937
2015-06-18,181.0,182.25,170.0,173.5,154987
2015-06-19,178.0,178.0,162.75,162.75,1060942
2015-06-22,170.0,170.5,164.0,168.0,122272
2015-06-23,170.0,181.5,167.98,180.0,142871
