Date,Open,High,Low,Close,Volume
2012-01-03,313.4,332.1,312.2,332.1,637206
2012-01-04,330.94,338.8,330.4,333.2,670745
2012-01-05,332.8,334.9,320.6,322.0,580372
2012-01-06,322.65,323.7,317.05,322.0,381452
2012-01-09,322.9,325.4,320.1,323.1,1395095
2012-01-10,323.5,325.2,321.6,323.1,909879
2012-01-11,323.08,323.79,318.55,322.22,694842
2012-01-12,320.92,329.97,320.92,328.66,781998
2012-01-13,325.4,328.5,318.4,324.0,509816
2012-01-16,324.2,325.0,321.4,324.2,394564
2012-01-17,330.0,330.0,321.6,326.7,339227
2012-01-18,325.8,337.3,325.8,328.5,516484
2012-01-19,329.9,338.8,326.6,331.8,589065
2012-01-20,333.8,336.8,327.8,333.8,251623
2012-01-23,333.3,337.0,331.8,334.4,189404
2012-01-24,329.75,329.75,320.7,325.77,349628
2012-01-25,327.4,327.4,319.8,321.9,219423
2012-01-26,321.1,323.0,312.5,316.2,602499
2012-01-27,322.5,328.1,315.9,317.4,941699
2012-01-30,315.22,320.49,308.11,308.4,640277
2012-01-31,302.29,310.15,296.81,305.74,943060
2012-02-01,307.7,319.8,304.3,314.9,731183
2012-02-02,314.5,316.6,311.3,311.3,1110531
2012-02-03,312.3,318.2,306.2,312.7,1388972
2012-02-06,313.38,313.38,304.35,306.82,622732
2012-02-07,308.0,308.9,296.2,296.2,919484
2012-02-08,274.08,296.69,254.89,263.59,5107198
2012-02-09,258.57,265.68,247.42,264.03,2217293
2012-02-10,263.52,272.91,262.55,271.17,2913865
2012-02-13,272.0,277.6,264.7,269.3,1037456
2012-02-14,269.2,271.3,263.7,269.2,543610
2012-02-15,269.2,270.4,262.1,262.6,693763
2012-02-16,261.6,268.2,256.0,263.7,596564
2012-02-17,265.1,269.6,265.0,268.5,296627
2012-02-20,268.05,268.05,251.57,259.92,935680
2012-02-21,254.05,254.05,236.49,247.24,1615427
2012-02-22,244.46,246.5,240.8,241.66,871815
2012-02-23,240.8,244.31,236.71,241.45,743003
2012-02-24,244.0,253.1,243.5,246.0,748531
2012-02-27,245.0,245.3,239.72,241.45,375212
2012-02-28,241.2,244.0,240.0,242.3,539307
2012-02-29,241.2,242.3,237.7,239.7,629083
2012-03-01,239.1,240.7,236.4,238.2,713367
2012-03-02,237.14,240.15,235.74,236.2,655597
2012-03-05,236.92,238.75,234.88,237.28,719767
2012-03-06,235.85,238.43,230.57,237.4,2328176
2012-03-07,231.5,245.2,231.5,239.1,1730267
2012-03-08,239.8,244.7,234.9,235.3,1375997
2012-03-09,235.6,241.0,233.9,237.4,1274942
2012-03-12,237.5,248.2,237.5,247.6,1224997
2012-03-13,249.3,255.3,246.6,253.9,1026526
2012-03-14,255.77,258.46,248.77,256.55,1294732
