Date,Open,High,Low,Close,Volume
2015-10-28,193.0,200.0,193.0,197.0,1540527
2015-10-29,199.0,201.78,198.0,200.4,208216
2015-10-30,202.63,202.81,200.38,202.0,0
2015-11-02,205.0,205.0,200.0,202.0,295594
2015-11-03,202.0,204.34,201.35,203.0,92935
2015-11-04,204.0,215.0,202.69,206.22,63431
2015-11-05,210.0,213.63,210.0,213.0,105375
2015-11-06,216.75,219.5,215.0,215.0,55087
2015-11-09,215.0,217.0,213.0,213.0,35396
2015-11-10,214.0,214.68,213.0,213.0,69633
2015-11-11,214.0,216.58,213.71,214.0,6301
2015-11-12,211.5,215.35,207.36,209.25,9782
2015-11-13,210.14,210.14,208.38,210.14,0
2015-11-16,209.41,209.48,207.52,207.52,0
2015-11-17,209.0,211.25,208.52,210.0,28087
2015-11-18,208.0,209.96,208.0,208.0,0
2015-11-19,210.0,211.0,210.0,210.0,679
2015-11-20,211.0,211.0,209.82,209.92,63639
2015-11-23,212.0,212.36,208.5,208.5,60374
2015-11-24,213.0,213.0,208.04,213.0,79374
2015-11-25,213.0,216.0,210.0,216.0,45320
2015-11-26,217.0,217.0,213.25,217.0,262
2015-11-27,216.0,216.0,213.44,216.0,25000
2015-11-30,216.0,218.2,215.84,217.0,98470
2015-12-01,217.0,230.0,216.36,227.0,104191
2015-12-02,223.0,224.5,220.0,220.0,47706
2015-12-03,220.0,230.5,219.88,230.0,81807
2015-12-04,222.25,225.0,222.25,225.0,24854
2015-12-07,225.0,225.0,224.25,225.0,49630
2015-12-08,226.25,226.25,222.25,222.25,1716
2015-12-09,223.0,225.0,220.0,224.75,55778
2015-12-10,225.75,227.0,220.0,227.0,72723
2015-12-11,222.0,230.0,221.0,221.5,75266
2015-12-14,229.75,229.75,216.21,223.75,67875
2015-12-15,225.0,234.5,216.88,230.0,117251
2015-12-16,229.25,233.5,225.0,229.0,106664
2015-12-18,221.0,243.0,221.0,232.25,2255927
2015-12-21,226.0,226.0,219.5,219.5,101749
2015-12-22,220.0,220.0,215.0,217.75,18780
2015-12-23,218.0,227.25,215.0,227.25,79264
2015-12-24,218.0,218.0,215.0,215.0,33441
2015-12-29,218.0,218.31,215.0,217.0,3756
2015-12-30,218.0,218.16,215.25,215.25,16676
2015-12-31,218.0,218.0,218.0,218.0,10204
2016-01-04,218.75,224.4,217.62,218.25,16430
2016-01-05,220.0,220.0,217.0,217.0,16848
2016-01-06,220.0,220.0,217.0,218.75,7674
2016-01-07,218.0,224.05,215.5,219.41,28724
2016-01-08,223.75,225.0,220.0,225.0,1558
2016-01-11,225.0,225.0,220.0,221.75,3106
2016-01-12,225.0,225.0,216.0,219.0,31159
2016-01-13,225.0,225.0,220.0,225.0,107602
2016-01-14,224.25,224.4,219.0,223.0,25224
2016-01-15,224.5,224.5,215.0,215.0,101560
2016-01-18,216.5,218.77,210.0,210.0,11999
2016-01-19,214.0,215.0,208.0,209.5,48668
