Date,Open,High,Low,Close,Volume
2015-09-09,865.0,868.9,865.0,865.0,0
2015-09-10,870.0,870.0,862.0,862.0,131645
2015-09-11,862.0,862.0,850.0,850.0,42000
2015-09-14,845.0,845.62,845.0,845.0,3200
2015-09-15,846.1,846.1,846.1,846.1,0
2015-09-16,845.0,845.0,842.0,842.0,12000
2015-09-17,840.0,841.12,837.24,840.0,7000
2015-09-18,,,,840.0,0
2015-09-21,841.67,841.76,839.24,841.67,0
2015-09-22,836.0,836.0,835.0,835.0,7000
2015-09-23,837.41,837.41,837.41,837.41,0
2015-09-24,833.0,833.0,829.0,832.29,12000
2015-09-25,,,,832.29,0
2015-09-28,826.0,830.8,826.0,830.8,5000
2015-09-29,822.0,830.0,822.0,830.0,0
2015-09-30,830.0,831.1,829.93,830.0,0
2015-10-01,829.5,831.43,824.0,828.07,0
2015-10-02,827.0,827.0,825.0,826.0,25000
2015-10-05,825.0,825.0,822.75,825.0,0
2015-10-06,826.0,826.0,826.0,826.0,0
2015-10-07,826.0,826.0,826.0,826.0,0
2015-10-08,830.0,830.0,827.5,828.0,0
2015-10-09,826.0,826.0,826.0,826.0,3608
2015-10-12,825.0,828.2,825.0,825.0,10000
2015-10-13,824.0,827.12,824.0,824.0,7000
2015-10-14,829.8,830.6,829.8,830.6,0
2015-10-15,828.43,834.96,828.43,828.43,0
2015-10-16,840.0,840.0,836.7,839.37,3599
2015-10-19,834.0,834.0,832.0,832.0,1000
2015-10-20,839.68,839.68,839.68,839.68,0
2015-10-21,839.36,839.36,831.32,831.32,0
2015-10-22,839.0,839.0,835.04,835.04,0
2015-10-23,846.0,846.41,841.41,846.0,2000
2015-10-26,849.0,849.0,841.4,845.25,13
2015-10-27,844.93,845.64,841.14,845.64,0
2015-10-28,852.0,852.0,847.53,852.0,1452
2015-10-29,847.0,850.14,843.99,848.27,3000
2015-10-30,842.0,847.64,838.0,842.0,8674
2015-11-02,846.54,846.54,840.0,840.0,0
2015-11-03,845.0,846.7,841.47,846.0,2950
2015-11-04,850.0,850.0,845.0,845.0,3000
2015-11-05,845.0,845.0,845.0,845.0,0
2015-11-06,850.0,852.0,842.0,852.0,12052
2015-11-09,852.0,852.0,846.0,848.25,101
2015-11-10,852.0,852.0,848.0,848.0,48579
2015-11-11,852.0,852.0,850.0,850.0,9
2015-11-12,852.0,852.0,848.0,850.0,26736
2015-11-13,843.75,850.0,843.75,848.09,0
2015-11-16,842.0,849.0,842.0,844.5,44013
2015-11-17,849.5,862.0,848.08,852.0,36858
