Date,Open,High,Low,Close,Volume
2012-01-03,336.0,351.0,336.0,350.0,49559.0
2012-01-04,349.75,349.75,338.0,342.0,43040.0
2012-01-05,338.0,338.0,335.0,337.5,61263.0
2012-01-06,334.0,342.69,331.28,339.0,96201.0
2012-01-09,336.0,339.75,333.97,335.0,44972.0
2012-01-10,335.0,340.75,333.78,340.5,220776.0
2012-01-11,345.75,345.75,335.0,335.0,246060.0
2012-01-12,334.75,344.14,332.25,336.0,28015.0
2012-01-13,335.0,339.28,335.0,336.0,24967.0
2012-01-16,336.25,336.25,334.0,335.0,20388.0
2012-01-17,337.5,337.52,334.0,334.4,18772.0
2012-01-18,335.25,336.0,334.0,335.0,165314.0
2012-01-19,344.04,344.75,334.25,335.4,22450.0
2012-01-20,340.0,340.0,335.0,337.0,43614.0
2012-01-23,340.0,344.25,334.0,337.0,67093.0
2012-01-24,336.25,344.75,336.0,337.0,16473.0
2012-01-25,336.0,341.64,335.25,336.0,41784.0
2012-01-26,343.5,349.75,341.25,346.0,23390.0
2012-01-27,348.75,358.7,348.75,358.0,52026.0
2012-01-30,355.25,360.0,349.13,354.99,22994.0
2012-01-31,359.0,360.24,353.26,357.0,54485.0
2012-02-01,362.0,365.0,355.75,365.0,82012.0
2012-02-02,364.75,369.48,362.25,369.45,33633.0
2012-02-03,374.0,380.0,370.36,377.5,36686.0
2012-02-06,380.25,392.74,380.0,385.0,48962.0
2012-02-07,388.0,390.0,385.5,390.0,20391.0
2012-02-08,394.0,410.0,392.22,397.75,154309.0
2012-02-09,400.25,405.14,398.0,401.0,70323.0
2012-02-10,402.25,402.25,393.0,393.0,38374.0
2012-02-13,,,,400.56,0.0
2012-02-14,,,,394.75,0.0
2012-02-15,,,,394.0,0.0
2012-02-16,393.17,400.0,393.0,393.0,6909.0
2012-02-17,395.0,398.0,393.0,394.0,19680.0
2012-02-20,393.75,399.14,391.25,393.75,448.0
2012-02-21,392.75,399.89,386.0,387.0,46017.0
2012-02-22,387.25,393.01,384.0,387.0,26416.0
2012-02-23,,,,387.89,0.0
2012-02-24,379.0,387.64,378.0,378.0,4000.0
2012-02-27,374.25,383.75,374.0,374.0,3238.0
2012-02-28,384.0,384.0,376.67,377.0,4970.0
2012-02-29,372.0,373.0,372.0,373.0,8442.0
2012-03-01,375.0,375.0,372.25,373.0,8318.0
2012-03-02,375.25,379.32,375.0,378.0,10127.0
2012-03-05,,,,377.5,0.0
2012-03-06,385.75,387.75,376.75,387.75,4942.0
2012-03-07,388.75,388.75,380.25,388.0,848.0
2012-03-08,388.75,390.0,382.44,390.0,4800.0
2012-03-09,391.0,392.0,382.25,392.0,226.0
2012-03-12,385.0,390.0,382.25,385.0,27359.0
2012-03-13,395.0,400.0,393.0,400.0,2123.0
2012-03-14,402.0,402.24,390.0,391.0,8622.0
2012-03-15,397.0,398.0,388.76,398.0,212.0
2012-03-16,395.0,397.0,390.25,396.25,167.0
2012-03-19,395.0,396.7,388.25,390.0,313.0
2012-03-20,390.0,394.62,388.51,390.0,5508.0
2012-03-21,388.0,391.0,388.0,390.5,2453.0
2012-03-22,398.0,398.0,388.68,398.0,498.0
2012-03-23,394.75,394.75,389.75,394.0,2009.0
2012-03-26,393.0,393.0,388.0,390.25,11922.0
2012-03-27,387.0,391.0,387.0,387.0,4370.0
2012-03-28,389.25,389.25,387.0,387.0,2000.0
2012-03-29,387.0,389.89,384.0,386.11,2000.0
2012-03-30,389.0,389.0,376.15,381.0,14520.0
2012-04-02,385.0,390.5,382.0,385.0,24899.0
2012-04-03,384.51,391.75,381.25,390.0,19.0
2012-04-04,391.0,394.21,386.86,391.0,18774.0
2012-04-05,400.0,403.0,393.11,402.0,8735.0
2012-04-10,402.0,407.0,400.25,401.5,74456.0
2012-04-11,408.75,408.75,400.76,406.0,1336.0
2012-04-12,404.74,404.74,400.5,404.53,400.0
2012-04-13,403.0,404.5,400.0,400.0,16198.0
2012-04-16,407.0,412.0,404.0,412.0,2798.0
2012-04-17,406.25,410.0,406.25,406.75,114.0
2012-04-18,404.25,411.5,404.25,409.0,21323.0
2012-04-19,403.25,412.64,403.25,403.5,3215.0
2012-04-20,403.25,409.75,401.5,401.5,4196.0
2012-04-23,401.75,407.75,400.41,402.0,7533.0
2012-04-24,400.0,402.25,399.0,401.0,26629.0
2012-04-25,397.64,407.0,397.64,403.0,15372.0
2012-04-26,407.0,409.0,405.4,407.0,2965.0
2012-04-27,402.25,412.75,401.0,412.75,10741.0
2012-04-30,407.0,410.0,404.65,407.0,7572.0
2012-05-01,403.5,413.0,403.0,413.0,16036.0
2012-05-02,403.0,410.75,403.0,405.25,15574.0
2012-05-03,407.25,412.0,405.02,410.0,6020.0
2012-05-04,407.5,417.0,407.5,408.5,26388.0
2012-05-08,408.5,412.73,407.55,410.25,22256.0
2012-05-09,409.0,415.64,409.0,413.37,250.0
2012-05-10,417.75,417.75,408.75,416.0,232.0
2012-05-11,406.25,412.0,406.0,412.0,5285.0
2012-05-14,403.25,413.22,403.22,413.0,26093.0
2012-05-15,412.0,412.0,399.0,399.0,7612.0
2012-05-16,399.0,401.0,395.0,395.0,2011.0
2012-05-17,391.0,402.0,390.0,390.5,6624.0
2012-05-18,388.75,388.75,380.0,381.0,12705.0
2012-05-21,381.0,389.75,379.5,380.0,19104.0
2012-05-22,,,,380.0,0.0
2012-05-23,385.49,385.49,377.0,377.0,67.0
2012-05-24,375.0,383.75,375.0,375.0,7804.0
2012-05-25,375.25,384.0,375.25,384.0,1311.0
2012-05-28,375.0,382.0,375.0,381.89,28.0
2012-05-29,382.5,382.5,375.11,382.0,4478.0
2012-05-30,,,,378.0,0.0
2012-05-31,380.0,380.0,370.36,380.0,31.0
2012-06-01,370.0,380.0,370.0,370.0,450.0
2012-06-06,384.0,384.0,377.0,384.0,960.0
2012-06-07,383.25,386.0,379.7,386.0,1211.0
2012-06-08,386.0,386.0,379.0,379.0,22098.0
2012-06-11,379.0,388.89,379.0,380.5,9594.0
2012-06-12,386.0,386.0,380.0,380.5,75940.0
2012-06-13,380.0,382.0,380.0,382.0,2064.0
2012-06-14,380.0,382.25,374.5,374.5,16649.0
2012-06-15,375.25,380.39,373.41,373.5,29767.0
2012-06-18,376.0,377.79,373.0,373.0,5029.0
2012-06-19,373.25,379.0,372.0,377.0,186539.0
2012-06-20,376.0,381.25,376.0,381.25,338.0
2012-06-21,379.75,382.5,378.0,380.0,89490.0
2012-06-22,380.25,382.0,379.17,380.0,14039.0
2012-06-25,376.0,380.69,376.0,377.0,446.0
2012-06-26,,,,376.5,0.0
2012-06-27,380.5,382.6,376.0,376.0,21388.0
2012-06-28,379.5,381.0,376.0,381.0,297.0
2012-06-29,376.0,382.75,376.0,382.75,200.0
2012-07-02,376.0,382.75,374.0,374.0,14563.0
2012-07-03,380.0,381.0,380.0,381.0,5812.0
2012-07-04,381.79,381.79,378.0,380.0,171.0
2012-07-05,381.0,382.0,381.0,382.0,26670.0
2012-07-06,381.5,382.0,381.0,382.0,27380.0
2012-07-09,381.0,390.0,380.0,390.0,35614.0
2012-07-10,388.25,394.0,388.21,394.0,4994.0
2012-07-11,390.0,393.4,384.55,393.4,2029.0
2012-07-12,386.0,392.98,385.25,385.25,2150.0
2012-07-13,390.5,393.6,388.11,392.0,4898.0
2012-07-16,395.0,395.0,381.0,394.7,400.0
2012-07-17,395.0,395.0,391.0,391.11,4328.0
2012-07-18,,,,392.0,0.0
2012-07-19,,,,394.5,0.0
2012-07-20,393.0,394.5,393.0,393.0,5069.0
2012-07-23,393.0,396.5,391.0,391.11,18000.0
2012-07-24,395.75,396.0,392.36,393.0,9241.0
2012-07-25,395.89,395.89,392.0,392.0,7.0
2012-07-26,392.0,395.89,390.0,394.75,9031.0
2012-07-27,390.0,391.12,381.83,388.0,26354.0
2012-07-30,386.0,391.06,385.0,386.0,4000.0
2012-07-31,386.0,387.75,381.75,387.75,6520.0
2012-08-01,383.5,388.64,383.5,384.0,2898.0
2012-08-02,392.0,392.0,378.0,378.0,18766.0
2012-08-03,375.8,383.75,375.8,377.0,28086.0
2012-08-06,379.5,384.24,376.25,381.78,3000.0
2012-08-07,380.0,384.78,378.69,380.0,12695.0
2012-08-08,380.0,382.75,380.0,382.0,4800.0
2012-08-09,378.93,381.0,378.93,381.0,1400.0
2012-08-10,380.0,382.0,378.0,382.0,7000.0
2012-08-13,381.0,384.5,378.11,384.5,13515.0
2012-08-14,382.0,383.6,378.6,382.0,6077.0
2012-08-15,385.0,385.0,384.7,385.0,5250.0
2012-08-16,388.5,388.5,379.01,384.5,15264.0
2012-08-17,382.0,386.0,382.0,386.0,11000.0
2012-08-20,387.0,387.5,383.0,383.0,34513.0
2012-08-21,382.0,385.0,382.0,385.0,392.0
2012-08-22,385.0,385.0,379.0,382.0,27203.0
2012-08-23,385.0,387.0,383.0,384.5,12526.0
2012-08-24,386.0,387.04,382.36,384.11,2560.0
2012-08-28,385.0,385.51,380.72,385.0,10589.0
2012-08-29,385.0,385.0,381.44,383.0,10363.0
2012-08-30,376.48,384.0,376.48,383.0,3720.0
2012-08-31,381.25,385.25,380.0,385.25,41214.0
2012-09-03,,,,379.0,0.0
2012-09-04,380.0,383.09,376.75,380.0,25172.0
2012-09-05,380.25,383.0,378.75,380.0,19696.0
2012-09-06,381.0,383.0,378.67,380.0,39364.0
2012-09-07,381.25,385.4,381.25,381.25,500.0
2012-09-10,385.0,385.5,380.45,383.0,10210.0
2012-09-11,383.0,384.25,381.0,383.0,4447.0
2012-09-12,386.0,386.0,379.0,379.0,4489.0
2012-09-13,384.06,387.0,380.47,387.0,32882.0
2012-09-14,385.25,388.75,373.75,385.0,10225.0
2012-09-17,385.25,389.64,384.0,385.0,7071.0
2012-09-18,385.0,385.25,384.0,385.0,51303.0
2012-09-19,,,,384.11,0.0
2012-09-20,385.0,388.75,385.0,385.0,478.0
2012-09-21,386.5,388.0,385.0,388.0,8647.0
2012-09-24,384.0,390.0,382.31,390.0,10212.0
2012-09-25,387.0,391.0,386.99,391.0,29651.0
2012-09-26,,,,388.11,0.0
2012-09-27,390.0,392.0,388.0,392.0,966.0
2012-09-28,389.87,392.5,389.1,392.0,4193.0
2012-10-01,392.5,392.5,391.11,392.5,2000.0
2012-10-02,392.0,394.8,392.0,394.8,2000.0
2012-10-03,395.0,396.0,392.0,396.0,8557.0
2012-10-04,396.0,396.0,393.23,396.0,5512.0
2012-10-05,396.0,410.0,396.0,405.0,24957.0
2012-10-08,405.5,409.0,400.58,409.0,14315.0
2012-10-09,,,,406.9,0.0
2012-10-10,406.0,408.25,403.66,408.25,5000.0
2012-10-11,408.75,409.0,402.25,409.0,62.0
2012-10-12,409.0,410.0,402.0,410.0,3695.0
2012-10-15,402.5,411.0,402.5,410.5,27.0
2012-10-16,405.5,411.75,405.25,408.38,25.0
2012-10-17,406.25,414.64,406.25,410.0,50.0
2012-10-18,410.5,415.98,410.5,415.0,7535.0
2012-10-19,415.0,416.0,410.36,416.0,6004.0
2012-10-22,410.5,413.0,410.5,411.11,9300.0
2012-10-23,415.75,415.75,410.74,415.0,1180.0
2012-10-24,,,,411.26,0.0
2012-10-25,411.01,415.0,410.5,415.0,403.0
2012-10-26,415.0,415.0,410.96,415.0,3000.0
2012-10-29,,,,411.11,0.0
2012-10-30,,,,413.12,0.0
2012-10-31,417.75,420.0,417.5,418.5,9998.0
2012-11-01,421.0,422.75,421.0,422.75,2016.0
2012-11-02,424.0,429.0,423.8,429.0,34460.0
2012-11-05,421.25,428.0,421.0,421.88,2637.0
2012-11-06,,,,421.25,0.0
2012-11-07,423.0,423.0,419.5,420.0,12070.0
2012-11-08,420.0,424.8,419.0,421.0,18094.0
2012-11-09,427.5,427.5,418.36,425.0,45256.0
2012-11-12,426.75,426.75,418.48,423.0,18.0
2012-11-13,419.25,419.8,418.0,418.5,6980.0
2012-11-14,419.75,425.46,419.5,420.0,1845.0
2012-11-15,425.05,425.9,418.0,422.0,992.0
2012-11-16,419.0,425.9,418.28,420.0,15072.0
2012-11-19,418.25,420.0,418.0,419.25,25164.0
2012-11-20,420.0,422.5,418.0,420.0,113748.0
2012-11-21,427.75,427.75,419.25,421.0,2953.0
2012-11-22,428.0,428.0,419.25,423.75,1000.0
2012-11-23,421.72,421.72,419.46,421.0,
2012-11-26,420.0,421.89,419.25,420.0,30682.0
2012-11-27,419.5,426.75,419.0,420.5,35598.0
2012-11-28,426.9,426.9,419.13,423.5,
2012-11-29,422.0,424.64,419.25,421.56,7765.0
