Date,Open,High,Low,Close,Volume
2012-01-03,306.1,313.4,303.7,313.4,747501
2012-01-04,312.2,318.2,310.9,315.9,997394
2012-01-05,315.3,317.6,301.6,303.6,655257
2012-01-06,306.3,308.2,303.2,304.8,1132980
2012-01-09,305.9,307.5,296.5,298.7,456070
2012-01-10,303.1,309.0,299.8,307.3,553289
2012-01-11,305.3,314.1,304.8,313.3,569584
2012-01-12,317.6,327.9,315.8,324.6,798575
2012-01-13,326.68,328.54,316.97,322.74,432648
2012-01-16,321.6,326.2,319.2,324.1,685650
2012-01-17,328.1,335.7,326.6,329.0,645738
2012-01-18,332.72,360.94,332.72,360.4,2452433
2012-01-19,350.4,361.3,348.2,359.0,1168886
2012-01-20,362.78,367.11,358.05,363.25,1178629
2012-01-23,367.2,372.4,361.9,365.8,873049
2012-01-24,366.19,366.71,359.52,360.02,733697
2012-01-25,361.1,364.1,357.9,360.8,558335
2012-01-26,363.6,374.6,362.4,369.9,850216
2012-01-27,365.3,371.3,364.7,368.4,616717
2012-01-30,366.84,367.68,354.64,355.95,492605
2012-01-31,359.5,368.8,359.0,360.9,898819
2012-02-01,363.6,384.0,363.6,384.0,1232383
2012-02-02,383.8,391.8,380.9,389.2,1062253
2012-02-03,389.9,399.9,386.5,398.9,888456
2012-02-06,398.9,398.9,387.2,391.5,619824
2012-02-07,393.6,393.6,380.4,383.1,723941
2012-02-08,383.1,384.6,377.2,377.7,970052
2012-02-09,379.3,380.6,374.8,375.4,1025568
2012-02-10,375.4,376.0,367.5,371.3,843466
2012-02-13,375.1,378.5,372.4,373.4,368562
2012-02-14,370.4,376.4,368.9,370.6,608762
2012-02-15,373.5,380.0,367.5,370.1,909614
2012-02-16,364.2,367.6,360.5,366.2,570402
2012-02-17,367.5,371.4,364.2,370.1,898687
2012-02-20,372.2,373.0,368.6,370.4,386676
2012-02-21,370.78,374.06,366.45,368.42,581294
2012-02-22,370.6,371.0,366.1,366.2,696202
2012-02-23,367.0,369.2,360.9,364.2,451835
2012-02-24,365.3,369.3,362.9,364.9,543788
2012-02-27,365.9,365.9,357.0,360.5,427490
2012-02-28,361.86,364.88,359.62,363.09,914300
2012-02-29,364.48,365.01,354.26,355.29,757202
2012-03-01,355.8,364.0,353.1,363.6,611060
2012-03-02,362.12,364.74,359.11,362.78,635732
2012-03-05,361.1,363.7,356.0,361.6,651925
2012-03-06,359.6,361.1,340.6,342.8,1033034
2012-03-07,343.61,350.37,343.61,348.86,682802
2012-03-08,351.4,360.9,349.4,356.3,869048
2012-03-09,357.5,357.9,348.5,350.2,796285
2012-03-12,349.4,354.0,349.0,352.1,574157
2012-03-13,355.29,370.87,354.73,368.79,1209787
2012-03-14,374.1,379.6,373.3,375.9,848715
2012-03-15,375.0,379.0,373.0,379.0,735285
2012-03-16,379.2,385.7,378.0,384.4,1056559
2012-03-19,383.9,387.2,379.7,387.2,965032
2012-03-20,384.8,386.9,373.0,373.9,844660
