Date,Open,High,Low,Close,Volume
2012-01-03,95.3,97.05,95.23,97.05,155467.0
2012-01-04,97.0,97.3,95.3,95.3,96777.0
2012-01-05,95.3,96.79,95.0,95.65,131311.0
2012-01-06,95.2,95.95,95.0,95.5,73633.0
2012-01-09,96.4,96.4,94.75,94.75,145563.0
2012-01-10,95.7,96.55,95.2,95.5,188381.0
2012-01-11,97.2,97.2,95.6,96.2,217119.0
2012-01-12,96.2,97.1,96.0,96.8,245977.0
2012-01-13,97.4,97.4,95.9,96.9,318859.0
2012-01-16,96.9,97.0,95.67,97.0,30717.0
2012-01-17,97.95,98.8,96.65,98.5,218632.0
2012-01-18,98.0,98.75,98.0,98.75,138672.0
2012-01-19,99.0,99.9,98.1,99.5,215945.0
2012-01-20,100.4,100.5,99.55,99.8,302143.0
2012-01-23,100.0,100.8,99.26,100.6,375183.0
2012-01-24,99.8,100.4,99.05,100.1,143506.0
2012-01-25,99.0,100.6,99.0,99.0,104012.0
2012-01-26,99.0,100.8,99.0,100.0,140362.0
2012-01-27,100.1,100.51,99.0,100.5,113095.0
2012-01-30,100.0,100.0,97.5,97.95,437641.0
2012-01-31,97.55,98.4,97.0,97.9,437934.0
2012-02-01,97.7,99.0,97.08,98.75,353568.0
2012-02-02,98.75,99.85,98.0,98.0,245138.0
2012-02-03,99.75,100.0,97.8,97.8,879856.0
2012-02-06,99.0,100.0,98.4,100.0,152091.0
2012-02-07,99.1,100.0,99.0,100.0,237789.0
2012-02-08,99.8,99.8,99.0,99.8,219508.0
2012-02-09,99.75,100.68,99.08,100.0,159927.0
2012-02-10,99.4,100.5,99.18,100.0,1298897.0
2012-02-13,101.0,102.0,100.5,101.5,482042.0
2012-02-14,101.8,102.5,101.2,102.4,109662.0
2012-02-15,103.0,103.0,102.0,102.6,231034.0
2012-02-16,101.7,102.72,101.5,101.8,86430.0
2012-02-17,103.2,103.4,102.4,102.8,84668.0
2012-02-20,101.7,103.3,101.7,103.1,37572.0
2012-02-21,102.9,103.5,101.5,103.5,105796.0
2012-02-22,102.7,104.0,102.7,104.0,147091.0
2012-02-23,103.5,104.4,103.2,104.0,136372.0
2012-02-24,104.3,105.0,103.4,105.0,257816.0
2012-02-27,103.9,104.0,103.0,103.4,69867.0
2012-02-28,104.0,104.0,103.1,103.3,99083.0
2012-02-29,103.0,104.5,103.0,104.5,23232.0
2012-03-01,104.4,104.4,103.0,103.2,92942.0
2012-03-02,103.0,104.08,103.0,103.5,44775.0
2012-03-05,103.6,103.88,102.2,102.4,21832.0
2012-03-06,103.4,103.56,101.0,101.2,123511.0
2012-03-07,101.2,102.4,101.2,101.5,43049.0
2012-03-08,102.5,102.9,101.0,101.3,150492.0
2012-03-09,101.1,102.4,101.1,102.0,135728.0
2012-03-12,102.1,102.9,101.6,101.6,53605.0
2012-03-13,102.6,103.3,101.8,103.3,97867.0
2012-03-14,102.8,104.0,101.3,102.9,164632.0
2012-03-15,103.9,103.9,102.5,102.8,181445.0
2012-03-16,102.7,103.08,99.5,99.7,3089749.0
2012-03-19,101.5,101.74,100.0,101.25,508890.0
2012-03-20,101.0,101.49,100.5,101.25,288365.0
2012-03-21,100.75,101.49,100.25,100.5,219113.0
2012-03-22,100.75,101.0,100.5,100.75,116264.0
2012-03-23,100.75,100.9,100.3,100.5,49050.0
2012-03-26,100.75,100.91,100.25,100.5,58342.0
2012-03-27,100.75,101.0,100.5,100.5,114944.0
2012-03-28,100.75,102.0,100.0,100.0,140755.0
2012-03-29,100.0,100.64,98.75,99.0,175011.0
2012-03-30,99.25,100.0,98.75,100.0,455747.0
2012-04-02,99.0,99.35,98.74,98.75,50051.0
2012-04-03,99.25,99.5,98.0,99.5,109130.0
2012-04-04,99.0,99.5,98.25,99.0,140459.0
2012-04-05,99.0,99.4,98.51,99.0,19970.0
2012-04-10,98.75,99.46,97.25,97.25,84761.0
2012-04-11,98.75,98.75,97.19,98.25,27744.0
2012-04-12,97.25,99.19,97.25,98.0,80843.0
2012-04-13,97.75,98.5,97.26,98.5,27831.0
2012-04-16,98.75,98.84,97.48,98.25,22519.0
2012-04-17,98.0,99.25,97.5,98.0,62806.0
2012-04-18,98.0,99.4,97.5,98.0,92453.0
2012-04-19,99.0,99.0,97.5,97.5,21693.0
2012-04-20,97.75,98.0,97.5,97.5,20037.0
2012-04-23,98.0,98.36,96.5,96.5,109296.0
2012-04-24,97.75,98.22,96.5,96.5,50312.0
2012-04-25,97.75,98.5,97.7,98.5,30112.0
2012-04-26,98.5,99.0,98.02,98.75,5754.0
2012-04-27,99.0,99.5,98.25,99.0,172268.0
2012-04-30,98.5,100.0,97.99,99.0,61267.0
2012-05-01,99.75,99.75,99.0,99.0,111363.0
2012-05-02,99.5,100.0,98.27,99.75,83063.0
2012-05-03,99.0,100.0,98.36,98.75,97810.0
2012-05-04,98.75,99.66,98.0,98.0,104673.0
2012-05-08,98.25,98.25,96.5,96.5,65225.0
2012-05-09,96.5,96.9,95.75,95.75,67449.0
2012-05-10,96.0,96.69,95.5,95.5,6749.0
2012-05-11,95.75,96.95,95.5,96.0,11058.0
2012-05-14,96.0,97.0,94.25,95.0,95277.0
2012-05-15,94.5,95.4,94.0,95.0,40312.0
2012-05-16,94.0,95.5,93.58,95.5,50597.0
2012-05-17,95.0,95.75,95.0,95.75,268399.0
2012-05-18,95.0,96.5,94.84,96.5,356093.0
2012-05-21,95.75,96.0,95.25,95.25,183044.0
2012-05-22,95.25,95.99,95.0,95.0,23198.0
2012-05-23,95.0,95.5,94.0,94.61,81259.0
2012-05-24,94.5,96.48,94.5,96.0,90824.0
2012-05-25,95.5,96.0,95.26,96.0,11394.0
2012-05-28,95.25,96.0,95.25,96.0,16374.0
2012-05-29,96.25,97.25,95.76,97.25,86448.0
2012-05-30,95.5,96.5,95.5,96.5,69802.0
2012-05-31,95.5,96.0,95.5,96.0,44107.0
2012-06-01,95.5,96.0,95.5,95.5,119035.0
2012-06-06,95.75,97.07,95.25,97.0,173079.0
2012-06-07,96.5,96.5,95.55,95.75,61670.0
2012-06-08,96.5,96.5,95.75,96.0,54296.0
2012-06-11,96.75,97.06,96.5,96.5,169032.0
2012-06-12,96.5,97.25,95.25,95.25,243037.0
2012-06-13,96.0,96.17,94.75,94.75,40024.0
2012-06-14,95.0,96.25,93.5,93.5,91827.0
2012-06-15,94.0,94.75,94.0,94.0,378364.0
2012-06-18,94.0,94.5,94.0,94.0,70160.0
2012-06-19,94.5,94.75,94.5,94.5,59615.0
2012-06-20,94.75,95.75,94.5,95.0,140686.0
2012-06-21,95.0,95.25,94.75,94.75,90674.0
2012-06-22,94.5,94.5,93.66,94.0,94357.0
2012-06-25,94.0,94.0,93.5,93.5,77047.0
2012-06-26,93.25,93.73,93.0,93.0,16676.0
2012-06-27,93.73,93.73,93.25,93.25,4258.0
2012-06-28,93.5,93.5,93.08,93.25,26093.0
2012-06-29,94.25,94.7,94.0,94.0,35400.0
2012-07-02,93.75,94.0,93.25,93.25,89645.0
2012-07-03,94.5,96.0,94.0,96.0,234100.0
2012-07-04,95.0,97.0,95.0,97.0,145823.0
2012-07-05,97.0,97.25,96.95,97.0,117977.0
2012-07-06,97.25,97.5,96.75,96.75,39137.0
2012-07-09,97.0,97.12,96.0,96.0,66616.0
2012-07-10,96.25,97.0,95.75,96.0,302128.0
2012-07-11,95.75,97.0,95.0,95.75,83092.0
2012-07-12,95.0,95.25,94.84,95.0,61164.0
2012-07-13,95.75,95.75,95.0,95.25,6846.0
2012-07-16,96.0,96.0,94.75,94.75,39126.0
2012-07-17,95.0,95.5,94.5,94.75,176892.0
2012-07-18,94.75,95.38,94.75,94.75,50886.0
2012-07-19,94.75,95.72,94.75,94.75,28950.0
2012-07-20,94.75,95.0,94.75,95.0,49143.0
2012-07-23,94.75,95.38,94.25,94.25,35608.0
2012-07-24,94.75,94.88,94.25,94.5,1131.0
2012-07-25,94.0,95.24,93.75,93.75,41804.0
2012-07-26,94.0,95.0,93.0,93.0,73005.0
2012-07-27,93.0,95.0,92.51,94.95,145921.0
2012-07-30,94.25,94.49,93.0,93.0,72323.0
2012-07-31,93.25,94.5,93.25,93.5,41124.0
2012-08-01,94.0,95.0,94.0,95.0,68033.0
2012-08-02,95.0,95.0,93.0,94.5,80091.0
2012-08-03,94.25,94.5,93.75,94.5,463646.0
2012-08-06,94.5,94.5,94.25,94.25,54766.0
2012-08-07,94.25,94.5,94.25,94.5,130500.0
2012-08-08,94.25,94.5,94.0,94.0,57548.0
2012-08-09,94.25,95.0,94.25,95.0,188385.0
2012-08-10,95.25,96.25,94.01,96.25,140932.0
2012-08-13,95.5,95.5,94.69,95.25,16988.0
2012-08-14,95.5,95.5,95.0,95.0,22549.0
2012-08-15,95.25,95.38,95.0,95.0,1630.0
2012-08-16,96.0,96.0,95.25,95.25,24653.0
2012-08-17,95.25,95.75,95.01,95.75,138892.0
2012-08-20,95.25,95.99,95.0,95.0,38713.0
2012-08-21,95.5,95.62,95.0,95.25,2087.0
2012-08-22,95.5,95.51,95.0,95.0,45537.0
2012-08-23,95.5,95.74,95.0,95.0,16045.0
2012-08-24,95.0,96.0,94.73,96.0,126148.0
2012-08-28,96.0,96.0,95.0,95.0,22215.0
2012-08-29,95.25,95.99,95.25,95.25,53957.0
2012-08-30,95.25,96.0,95.0,95.0,63795.0
2012-08-31,95.5,97.0,95.5,97.0,150815.0
2012-09-03,96.5,97.0,96.25,97.0,32473.0
2012-09-04,96.25,96.74,96.25,96.5,50039.0
2012-09-05,96.0,96.5,96.0,96.5,23921.0
2012-09-06,96.0,97.0,96.0,97.0,54657.0
2012-09-07,97.75,98.0,96.77,98.0,47186.0
2012-09-10,97.5,98.25,97.5,98.25,86862.0
2012-09-11,98.0,99.0,98.0,99.0,39912.0
2012-09-12,98.0,98.5,98.0,98.25,24618.0
2012-09-13,98.25,98.25,97.5,98.0,270582.0
2012-09-14,98.5,100.5,98.5,100.5,357496.0
2012-09-17,99.5,100.96,99.34,100.0,18641.0
2012-09-18,99.25,100.26,99.0,99.0,35424.0
2012-09-19,100.25,100.5,100.0,100.5,250605.0
2012-09-20,99.0,101.0,99.0,101.0,41473.0
2012-09-21,99.75,101.25,99.5,101.25,74110.0
2012-09-24,99.5,99.5,99.0,99.0,7588.0
2012-09-25,100.0,100.25,99.5,99.75,54274.0
2012-09-26,99.25,100.47,99.25,100.25,21094.0
2012-09-27,99.0,100.25,99.0,99.25,7933.0
2012-09-28,99.0,100.25,99.0,100.25,69401.0
2012-10-01,99.0,100.25,99.0,99.0,6384.0
2012-10-02,99.0,100.12,98.82,99.0,14193.0
2012-10-03,99.0,100.05,98.5,98.75,33200.0
2012-10-04,,,,100.25,0.0
2012-10-05,98.75,100.49,98.0,98.0,40877.0
2012-10-08,98.25,99.49,98.0,98.0,114336.0
2012-10-09,98.25,99.49,98.0,98.0,38456.0
2012-10-10,98.25,98.99,98.0,98.0,5365.0
2012-10-11,99.0,99.0,98.0,98.0,296.0
2012-10-12,98.0,98.99,98.0,98.99,8301.0
2012-10-15,98.25,98.25,98.0,98.0,41046.0
2012-10-16,98.0,99.5,98.0,98.25,242683.0
2012-10-17,98.75,99.74,98.25,98.75,6046.0
2012-10-18,99.0,99.75,98.0,98.0,94810.0
2012-10-19,99.5,100.5,99.5,100.5,130128.0
2012-10-22,100.0,100.74,99.75,99.75,31686.0
2012-10-23,99.75,100.0,98.5,98.75,75048.0
2012-10-24,98.5,100.5,98.0,98.0,127253.0
2012-10-25,98.25,100.12,98.0,98.0,5642.0
2012-10-26,98.26,98.75,98.25,98.25,14000.0
