Date,Open,High,Low,Close,Volume
2012-01-03,183.6,190.4,182.8,187.8,2614344
2012-01-04,186.5,189.39,182.22,183.9,2697465
2012-01-05,183.6,185.5,175.7,176.8,3041852
2012-01-06,177.1,181.4,174.73,178.3,1869679
2012-01-09,178.4,179.3,174.6,175.6,1597446
2012-01-10,176.9,177.2,174.3,174.5,2703039
2012-01-11,174.8,175.5,173.1,173.9,2297313
2012-01-12,174.1,179.2,173.0,177.5,1962681
2012-01-13,179.1,180.5,175.1,178.3,2963182
2012-01-16,177.8,178.9,177.1,178.0,1374303
2012-01-17,180.0,180.47,177.6,179.0,3396790
2012-01-18,179.0,180.5,178.0,178.5,2918417
2012-01-19,180.7,184.8,179.1,181.5,5991356
2012-01-20,182.4,187.3,181.1,186.4,8272100
2012-01-23,187.0,189.2,185.63,187.2,3633940
2012-01-24,187.0,187.3,183.7,185.0,3006670
2012-01-25,185.8,186.8,182.8,185.0,1664790
2012-01-26,184.1,184.6,175.1,184.6,7542599
2012-01-27,184.6,186.2,181.77,185.5,3034536
2012-01-30,184.1,184.64,178.59,181.0,6468805
2012-01-31,181.4,184.7,180.2,184.6,7038685
2012-02-01,184.7,194.4,184.3,193.6,4300094
2012-02-02,194.0,195.0,189.8,194.6,3107407
2012-02-03,194.3,205.2,193.4,205.2,5569266
2012-02-06,204.2,204.73,200.31,204.2,2064734
2012-02-07,203.8,206.03,200.4,201.1,3025327
2012-02-08,200.9,202.4,198.2,199.6,2137135
2012-02-09,199.4,203.1,198.5,201.5,1597499
2012-02-10,200.4,200.5,196.1,196.8,2056623
2012-02-13,198.5,200.5,196.8,199.5,1100612
2012-02-14,198.0,200.6,192.0,192.7,1786150
2012-02-15,194.6,197.9,192.6,196.8,2850858
2012-02-16,196.6,196.6,192.3,195.6,2725458
2012-02-17,196.5,198.1,195.2,196.0,1686555
2012-02-20,198.0,200.8,196.3,198.3,1818172
2012-02-21,199.0,199.0,194.5,195.9,1900265
2012-02-22,196.9,196.9,193.87,194.2,1558873
2012-02-23,194.1,196.2,193.3,194.6,1877574
2012-02-24,195.8,197.5,195.0,196.0,1447633
2012-02-27,195.0,195.93,191.78,193.8,1756986
2012-02-28,194.0,196.0,192.9,194.3,1443961
2012-02-29,193.9,194.6,189.1,189.5,2888606
2012-03-01,189.5,195.7,188.64,194.7,2263999
2012-03-02,195.5,199.7,194.9,198.0,2389398
2012-03-05,196.7,197.64,194.9,195.9,1702635
2012-03-06,194.2,195.1,189.2,191.3,1239149
2012-03-07,190.7,193.9,188.4,190.2,2155093
2012-03-08,190.2,193.8,182.83,191.6,1815463
2012-03-09,192.3,196.8,191.21,193.7,1799677
2012-03-12,194.2,200.0,192.2,196.4,4687337
2012-03-13,198.2,211.2,198.2,210.0,6454415
2012-03-14,212.0,216.0,210.4,213.5,3389505
2012-03-15,214.0,215.4,213.4,214.1,3408842
2012-03-16,214.6,220.6,213.9,219.2,4201400
2012-03-19,219.5,219.64,214.4,217.5,1825007
2012-03-20,217.0,217.04,209.5,211.4,2510887
2012-03-21,212.6,213.7,208.6,209.0,1503005
2012-03-22,208.6,209.4,206.2,208.0,2088344
2012-03-23,209.0,209.4,203.89,206.92,2464437
2012-03-26,209.7,209.7,205.63,207.0,1579775
2012-03-27,208.3,210.5,204.7,206.9,1720891
2012-03-28,207.2,207.7,203.39,204.0,2655536
2012-03-29,211.0,214.9,209.4,209.7,5116651
2012-03-30,211.0,214.5,209.2,214.0,2835417
