Date,Open,High,Low,Close,Volume
2012-01-03,886.9,919.4,876.0,917.7,1539052
2012-01-04,918.9,926.3,900.6,904.6,780250
2012-01-05,904.0,911.4,893.7,903.4,780230
2012-01-06,902.9,923.4,902.9,909.1,705302
2012-01-09,908.6,921.1,906.9,915.4,579184
2012-01-10,920.0,935.0,913.0,930.0,1018966
2012-01-11,928.0,954.29,925.73,948.0,1275340
2012-01-12,944.6,984.6,941.7,981.7,1477481
2012-01-13,981.7,1017.1,979.4,994.9,1892096
2012-01-16,985.1,1001.7,982.3,993.7,974307
2012-01-17,1008.0,1026.0,1000.0,1005.0,958039
2012-01-18,1008.6,1012.6,988.0,993.1,1587360
2012-01-19,998.3,1010.3,989.1,1000.0,1301162
2012-01-20,1000.57,1004.0,984.43,1002.86,1186882
2012-01-23,982.9,990.3,964.0,977.1,1366258
2012-01-24,968.6,973.7,944.0,958.3,951372
2012-01-25,957.71,989.14,957.44,971.43,798127
2012-01-26,974.3,1002.3,970.9,992.0,633886
2012-01-27,986.3,1001.1,980.0,985.7,441976
2012-01-30,980.57,985.14,950.31,954.86,617276
2012-01-31,960.0,987.4,960.0,975.4,1318545
2012-02-01,977.7,1006.9,970.3,998.9,948555
2012-02-02,999.4,1020.0,994.3,1009.1,568874
2012-02-03,1006.3,1047.4,998.9,1043.4,1205275
2012-02-06,1040.57,1051.46,1028.57,1050.86,790236
2012-02-07,1050.3,1054.3,1033.7,1046.3,871683
2012-02-08,1048.0,1057.7,1040.6,1044.0,582575
2012-02-09,1045.1,1060.6,1044.6,1057.7,788600
2012-02-10,1052.6,1060.0,1030.9,1038.9,595119
2012-02-13,1044.57,1064.96,1043.43,1052.57,503406
2012-02-14,1046.9,1066.3,1044.0,1054.9,457146
2012-02-15,1060.0,1080.95,1058.28,1069.71,462364
2012-02-16,1058.9,1062.9,1031.4,1058.9,1043578
2012-02-17,1064.6,1098.3,1064.6,1097.1,945862
2012-02-20,1108.57,1131.41,1100.0,1125.71,578728
2012-02-21,1122.3,1122.9,1094.9,1104.0,706743
2012-02-22,1102.9,1108.6,1088.6,1102.9,530931
2012-02-23,1104.57,1118.86,1100.54,1112.57,583811
2012-02-24,1116.6,1129.6,1106.9,1126.3,503980
2012-02-27,1121.14,1123.5,1103.43,1113.14,529876
2012-02-28,1118.29,1142.29,1114.88,1127.43,885849
2012-02-29,1129.71,1133.14,1107.03,1107.43,781485
2012-03-01,1111.0,1126.0,1101.0,1109.0,882212
2012-03-02,1129.0,1157.0,1119.0,1133.0,1739204
2012-03-05,1132.0,1132.6,1086.9,1113.1,1139864
2012-03-06,1112.0,1112.0,1059.0,1066.0,1424044
2012-03-07,1074.3,1099.4,1067.4,1087.4,1128921
2012-03-08,1095.43,1131.14,1090.86,1130.86,1072640
2012-03-09,1128.6,1145.1,1125.1,1130.9,1042083
2012-03-12,1133.7,1141.1,1122.3,1130.9,797247
2012-03-13,1142.3,1166.9,1134.3,1158.9,656909
2012-03-14,1170.0,1178.0,1152.0,1152.0,726188
2012-03-15,1153.0,1173.0,1147.0,1162.0,1069344
2012-03-16,1166.0,1175.0,1153.0,1168.0,836163
2012-03-19,1168.0,1168.0,1142.0,1147.0,742851
2012-03-20,1145.1,1145.1,1102.3,1103.4,1283467
2012-03-21,1109.7,1121.1,1092.0,1103.4,1238246
2012-03-22,1102.86,1103.43,1074.34,1083.43,896221
2012-03-23,1084.0,1101.1,1078.3,1092.0,845902
2012-03-26,1097.1,1122.9,1090.3,1115.4,777693
2012-03-27,1121.0,1146.0,1113.0,1120.0,1003719
2012-03-28,1114.29,1124.57,1100.01,1107.43,1130154
2012-03-29,1101.7,1114.3,1078.3,1084.0,1270596
2012-03-30,1087.4,1119.4,1084.0,1111.4,1217596
2012-04-02,1111.4,1140.0,1111.4,1137.1,1246707
2012-04-03,1139.0,1160.0,1139.0,1139.0,954833
