Date,Open,High,Low,Close,Volume
2012-01-03,317.5,321.9,315.0,315.2,1219900
2012-01-04,313.4,317.4,309.6,309.9,1003946
2012-01-05,309.1,311.8,304.5,308.1,1554161
2012-01-06,308.5,313.3,303.9,306.5,1018694
2012-01-09,305.9,308.0,300.9,301.1,1486987
2012-01-10,306.0,311.7,303.7,309.9,985825
2012-01-11,310.6,313.9,308.4,310.4,1101061
2012-01-12,311.2,317.2,309.8,313.6,1545708
2012-01-13,317.9,317.9,307.7,312.0,977680
2012-01-16,313.3,315.6,310.4,311.4,876303
2012-01-17,314.6,316.6,312.4,313.6,1525585
2012-01-18,314.8,315.4,311.0,313.9,1486685
2012-01-19,315.5,326.8,315.5,324.2,1923926
2012-01-20,325.4,331.3,323.5,330.1,1858832
2012-01-23,331.7,332.9,328.4,332.9,1350373
2012-01-24,332.0,334.5,320.6,326.6,1733795
2012-01-25,328.9,329.4,322.2,326.0,1151491
2012-01-26,327.0,336.7,327.0,334.0,1211904
2012-01-27,332.3,333.5,328.7,332.6,1009837
2012-01-30,330.9,332.1,325.1,328.1,735709
2012-01-31,328.5,331.8,323.0,323.2,1923989
2012-02-01,325.6,330.2,323.0,330.0,1630342
2012-02-02,331.9,335.7,328.3,334.6,1348015
2012-02-03,334.0,340.8,332.8,339.1,1356461
2012-02-06,339.0,342.5,337.5,340.3,996383
2012-02-07,340.7,343.3,338.9,341.4,982805
2012-02-08,341.8,342.7,338.9,339.3,1277296
2012-02-09,341.2,341.7,336.5,337.5,2027897
2012-02-10,335.7,339.2,332.2,333.0,1116132
2012-02-13,334.0,339.5,334.0,337.1,595305
2012-02-14,335.1,339.8,335.1,337.0,1027316
2012-02-15,339.3,340.8,336.7,338.0,1029675
2012-02-16,336.3,336.4,329.0,336.4,801444
2012-02-17,338.1,340.8,335.3,339.8,711101
2012-02-20,340.1,345.1,340.1,342.9,515720
2012-02-21,343.1,343.18,336.4,339.9,964426
2012-02-22,339.6,340.0,333.8,334.8,1160818
2012-02-23,335.9,337.9,332.3,337.1,1052219
2012-02-24,341.0,341.1,337.2,338.8,757306
2012-02-27,339.4,339.4,332.3,336.1,833531
2012-02-28,338.2,341.8,336.8,338.3,1014315
2012-02-29,338.7,338.7,332.58,332.7,1331764
2012-03-01,333.2,337.9,333.0,337.1,1110812
