Date,Open,High,Low,Close,Volume
2012-01-03,174.3,186.2,169.7,186.2,908032
2012-01-04,185.2,189.5,180.6,180.9,602823
2012-01-05,178.0,180.7,170.4,172.0,510932
2012-01-06,168.8,171.8,158.0,160.0,1125755
2012-01-09,160.8,163.76,156.2,156.9,790106
2012-01-10,159.1,161.06,153.2,154.0,1264625
2012-01-11,153.0,155.7,149.5,150.4,1086549
2012-01-12,150.9,152.2,149.5,151.1,1349029
2012-01-13,152.7,153.0,145.0,148.9,732402
2012-01-16,149.2,149.3,146.56,148.5,406159
2012-01-17,150.4,155.2,150.3,155.2,891553
2012-01-18,154.7,166.8,153.7,166.8,1054997
2012-01-19,165.3,196.1,164.81,178.92,2289026
2012-01-20,186.4,194.0,184.9,192.82,845336
2012-01-23,193.4,195.4,190.1,193.22,600735
2012-01-24,192.0,193.0,187.22,192.29,822036
2012-01-25,195.9,200.0,193.8,198.4,687706
2012-01-26,198.3,206.2,191.5,202.81,896119
2012-01-27,199.9,200.9,195.78,198.0,343003
2012-01-30,197.8,197.8,185.3,186.92,612818
2012-01-31,188.0,193.8,182.4,190.3,337682
2012-02-01,190.5,199.4,189.0,194.6,1113645
2012-02-02,195.9,206.4,193.9,203.9,1487867
2012-02-03,205.0,214.4,203.7,213.0,1610191
2012-02-06,211.9,214.7,203.84,213.6,288324
2012-02-07,213.0,213.1,205.7,211.4,483447
2012-02-08,211.5,215.6,210.75,214.6,998361
2012-02-09,214.0,215.7,213.2,213.6,198368
2012-02-10,213.0,215.0,203.8,207.0,557014
2012-02-13,209.0,213.9,209.0,211.21,311186
2012-02-14,210.9,214.5,205.4,206.9,181347
2012-02-15,208.5,216.0,208.5,213.9,551400
2012-02-16,211.4,215.0,205.6,212.6,276432
2012-02-17,213.4,220.2,213.0,218.6,201634
2012-02-20,219.5,226.8,216.33,225.5,143718
2012-02-21,224.5,228.7,220.1,222.6,207579
2012-02-22,222.0,225.3,221.4,223.5,138042
2012-02-23,223.6,228.4,213.51,224.2,219317
2012-02-24,224.7,224.7,219.3,220.0,242667
2012-02-27,218.8,222.6,211.6,221.6,242858
2012-02-28,223.1,226.1,218.7,224.2,263666
2012-02-29,224.0,256.1,223.0,245.73,1332981
2012-03-01,249.4,254.0,241.56,245.89,752259
2012-03-02,245.2,249.6,243.8,247.9,443597
2012-03-05,247.7,254.1,244.4,252.0,357084
2012-03-06,250.0,250.0,231.9,240.1,577142
2012-03-07,239.2,246.6,235.8,244.5,271722
2012-03-08,249.8,257.8,245.3,245.4,471285
2012-03-09,244.6,253.7,243.3,247.4,334115
2012-03-12,247.4,248.6,243.2,246.68,422990
2012-03-13,246.8,256.4,246.8,253.23,254319
2012-03-14,256.2,264.1,255.45,258.2,257721
2012-03-15,258.6,261.9,251.0,261.9,376547
2012-03-16,262.0,271.51,255.9,271.4,861392
2012-03-19,270.1,271.7,262.6,264.0,428928
2012-03-20,263.4,263.4,258.21,262.0,231119
2012-03-21,262.9,269.8,258.8,269.3,263555
2012-03-22,267.6,271.4,246.4,247.6,1083392
2012-03-23,248.8,251.0,244.0,247.7,536010
2012-03-26,249.4,257.8,248.1,257.7,211546
2012-03-27,259.5,262.8,257.4,261.6,349648
2012-03-28,260.2,260.5,254.13,257.0,396861
2012-03-29,255.7,262.2,254.4,256.0,292348
2012-03-30,257.0,268.1,257.0,268.1,312561
2012-04-02,269.1,271.8,261.9,271.5,547044
2012-04-03,272.3,278.0,268.4,275.0,414170
2012-04-04,274.3,279.0,261.7,264.3,383917
2012-04-05,265.2,265.4,249.3,252.2,437000
2012-04-10,250.0,252.5,239.2,239.4,392721
2012-04-11,238.9,247.4,238.6,246.3,343593
2012-04-12,242.7,251.5,242.0,249.6,523129
2012-04-13,250.2,258.1,249.0,254.8,355969
2012-04-16,252.4,254.58,240.0,240.9,451814
2012-04-17,241.8,245.3,237.1,240.2,473754
2012-04-18,241.9,249.4,239.5,243.4,1067172
2012-04-19,246.8,247.2,241.2,243.0,458528
2012-04-20,241.5,253.5,237.3,253.5,835278
2012-04-23,249.5,250.6,236.1,245.7,484034
2012-04-24,248.2,250.0,240.5,245.0,343700
2012-04-25,247.1,259.1,247.0,257.4,307249
2012-04-26,258.7,262.5,255.3,262.1,408868
2012-04-27,258.5,268.0,257.7,266.8,332544
