Date,Open,High,Low,Close,Volume
2012-01-03,78.0,79.8,78.0,78.75,125074
2012-01-04,78.5,78.88,77.25,78.75,795000
2012-01-05,78.0,78.96,77.17,78.75,698493
2012-01-06,78.75,80.0,78.5,79.75,196967
2012-01-09,81.25,81.25,79.35,81.0,34128
2012-01-10,80.5,82.75,79.48,82.75,302170
2012-01-11,81.5,83.0,80.55,82.5,239870
2012-01-12,81.5,82.0,80.5,82.0,184484
2012-01-13,81.0,82.0,81.0,81.87,1431348
2012-01-16,81.5,82.84,81.12,82.0,48592
2012-01-17,81.92,81.0,80.46,81.0,10712
2012-01-18,80.75,81.11,79.25,79.75,516863
2012-01-19,79.0,79.88,76.0,76.0,434082
2012-01-20,76.0,77.75,74.48,77.0,254741
2012-01-23,77.5,80.25,75.5,80.0,158335
2012-01-24,78.25,80.25,78.0,79.0,247789
2012-01-25,80.0,82.68,79.0,82.0,643429
2012-01-26,83.0,85.0,82.0,84.0,944984
2012-01-27,85.0,86.12,84.86,85.0,103828
2012-01-30,86.5,86.61,85.0,85.0,87503
2012-01-31,86.0,88.25,85.25,86.5,537267
2012-02-01,88.0,102.75,87.38,101.0,4084145
2012-02-02,100.26,101.75,99.12,100.0,2190779
2012-02-03,100.25,102.19,99.09,101.5,5580711
2012-02-06,101.0,102.0,98.36,102.0,582159
2012-02-07,101.0,102.0,101.0,101.75,3636443
2012-02-08,101.5,103.0,101.0,101.75,624376
2012-02-09,101.75,103.0,101.5,101.75,337311
2012-02-10,101.25,104.75,100.04,101.75,807755
2012-02-13,103.0,103.0,100.88,101.0,86761
2012-02-14,101.0,102.92,100.5,101.25,89962
2012-02-15,103.0,103.0,100.5,100.75,93737
2012-02-16,102.25,102.25,100.35,101.44,61897
2012-02-17,100.0,101.5,98.78,101.0,60826
2012-02-20,106.0,122.0,105.69,113.0,1734190
2012-02-21,117.5,117.5,112.75,113.0,411324
2012-02-22,113.75,115.87,113.16,115.0,567562
2012-02-23,115.5,118.5,114.25,115.5,365945
2012-02-24,115.75,117.0,114.75,116.0,246366
2012-02-27,119.25,119.25,114.96,115.0,172425
2012-02-28,115.0,116.0,114.5,114.75,636167
2012-02-29,116.0,117.0,114.7,116.0,363274
2012-03-01,116.25,117.75,115.0,115.25,256517
2012-03-02,116.25,116.25,114.25,115.0,136884
2012-03-05,115.25,116.25,114.5,114.5,142972
2012-03-06,112.5,113.75,110.75,112.0,243682
2012-03-07,112.5,114.5,110.36,114.0,336321
2012-03-08,115.0,116.0,111.82,115.0,215193
2012-03-09,114.25,116.5,114.25,115.75,134689
2012-03-12,115.0,117.0,115.0,115.75,60790
2012-03-13,115.25,118.12,114.92,117.5,173733
2012-03-14,117.5,119.5,117.44,119.5,127493
2012-03-15,118.25,120.0,118.21,118.75,51524
2012-03-16,117.5,120.25,116.5,116.5,97686
2012-03-19,117.75,119.0,116.25,117.25,39597
2012-03-20,116.25,120.0,116.25,120.0,182950
2012-03-21,119.25,119.62,118.25,119.5,47938
2012-03-22,118.0,120.0,117.5,120.0,151517
2012-03-23,119.25,119.5,118.0,119.5,207850
2012-03-26,120.0,120.62,118.5,119.5,118483
2012-03-27,120.0,121.0,119.25,120.0,129044
2012-03-28,120.5,121.04,120.0,120.0,85562
2012-03-29,119.5,124.0,119.0,124.0,173099
2012-03-30,124.5,135.0,124.5,134.0,269915
2012-04-02,133.0,135.1,128.5,134.0,301288
2012-04-03,132.5,133.09,130.5,132.0,535054
2012-04-04,131.25,132.08,130.0,130.0,160990
2012-04-05,130.5,132.59,128.78,129.5,170553
2012-04-10,129.75,132.5,128.85,132.5,110747
2012-04-11,132.5,133.5,131.0,132.5,272655
2012-04-12,132.5,137.5,132.5,137.5,153110
2012-04-13,135.75,141.88,135.75,139.25,205937
2012-04-16,139.75,140.9,138.5,138.5,91707
2012-04-17,141.0,141.0,137.25,140.25,55604
2012-04-18,139.25,141.74,139.0,141.0,106537
2012-04-19,141.75,148.0,140.0,141.75,275614
2012-04-20,143.0,148.0,142.5,147.0,189731
2012-04-23,146.0,160.0,146.0,151.0,458434
2012-04-24,152.0,152.0,143.0,143.0,285507
2012-04-25,143.75,145.0,141.26,143.5,162131
2012-04-26,144.5,145.88,141.25,144.75,178568
2012-04-27,143.0,146.75,143.0,145.5,82342
2012-04-30,146.0,146.5,145.0,145.5,40811
2012-05-01,146.0,146.0,143.25,144.5,122176
2012-05-02,142.75,146.5,142.75,146.0,253597
2012-05-03,148.25,148.25,140.0,142.0,725025
2012-05-04,141.0,145.5,135.0,137.5,297460
2012-05-08,140.0,140.0,135.25,136.5,260034
2012-05-09,139.25,140.5,136.22,140.5,158190
2012-05-10,140.0,144.0,140.0,143.0,336026
2012-05-11,142.5,144.12,141.0,141.5,149266
2012-05-14,141.5,141.5,137.45,140.0,210712
2012-05-15,139.5,141.1,139.5,140.0,61078
2012-05-16,140.0,140.75,138.0,140.0,148165
2012-05-17,139.0,141.0,136.35,138.75,126011
2012-05-18,136.0,138.25,136.0,137.0,112079
2012-05-21,138.0,138.0,135.61,138.0,160937
2012-05-22,138.75,139.2,137.5,138.5,66204
2012-05-23,136.25,137.75,133.63,136.5,121471
2012-05-24,137.5,138.12,136.25,138.0,182977
2012-05-25,138.0,142.54,138.0,138.5,128121
2012-05-28,139.5,142.0,139.25,141.5,229821
2012-05-29,141.75,143.5,141.75,143.5,184885
2012-05-30,144.25,145.0,141.72,143.5,166380
2012-05-31,144.5,148.0,136.25,136.25,3389106
2012-06-01,135.0,140.0,129.86,138.9,602275
2012-06-06,137.5,141.0,137.5,140.8,286580
2012-06-07,140.3,144.1,137.4,142.1,487254
2012-06-08,141.3,145.0,140.0,145.0,283743
2012-06-11,146.2,146.74,140.62,141.7,191166
2012-06-12,141.6,144.1,140.4,140.4,350402
2012-06-13,141.1,146.7,141.1,144.0,207505
2012-06-14,143.0,145.5,142.06,145.0,232597
2012-06-15,146.1,150.59,144.2,150.5,857062
2012-06-18,148.5,149.34,144.2,145.0,152995
2012-06-19,146.3,149.0,144.5,149.0,300650
2012-06-20,148.2,148.5,146.0,148.5,140689
2012-06-21,147.5,154.0,145.0,150.7,245186
2012-06-22,150.5,152.5,148.2,148.5,86072
2012-06-25,149.1,149.9,147.0,147.5,145140
