Date,Open,High,Low,Close,Volume
2012-01-03,200.0,202.75,199.5,199.5,42501.0
2012-01-04,202.9,203.25,0.0,203.0,11182.0
2012-01-05,202.5,202.5,198.0,200.5,61640.0
2012-01-06,201.0,202.0,197.9,200.0,18318.0
2012-01-09,199.0,201.5,197.0,197.0,19868.0
2012-01-10,201.0,201.0,0.0,200.5,7182.0
2012-01-11,201.0,201.0,197.0,197.0,495.0
2012-01-12,200.5,200.5,0.0,197.5,6582.0
2012-01-13,197.5,201.0,196.5,196.5,23629.0
2012-01-16,199.5,199.9,196.5,199.0,17665.0
2012-01-17,200.65,200.75,197.51,200.65,14611.0
2012-01-18,200.0,200.9,197.68,200.25,41740.0
2012-01-19,198.0,200.9,197.0,200.9,28256.0
2012-01-20,198.0,200.67,198.0,200.67,9000.0
2012-01-23,201.0,204.65,198.51,204.65,54437.0
2012-01-24,203.4,203.68,201.01,202.26,47645.0
2012-01-25,204.0,204.0,200.31,201.5,41885.0
2012-01-26,202.5,204.49,200.5,200.5,48998.0
2012-01-27,200.0,202.62,199.0,199.25,23336.0
2012-01-30,199.25,200.99,197.5,199.5,67608.0
2012-01-31,202.0,202.5,199.0,199.0,51446.0
2012-02-01,203.0,204.24,201.68,203.99,24870.0
2012-02-02,205.0,206.5,203.5,203.5,58774.0
2012-02-03,205.5,207.2,0.0,207.2,37079.0
2012-02-06,207.75,207.75,205.5,207.25,29243.0
2012-02-07,208.0,209.0,205.9,209.0,71292.0
2012-02-08,208.75,210.82,207.2,208.0,230238.0
2012-02-09,210.0,210.38,207.8,209.75,60297.0
2012-02-10,208.5,209.75,206.0,207.5,42201.0
2012-02-13,206.75,209.75,206.5,208.75,10000.0
2012-02-14,,,,207.94,0.0
2012-02-15,,,,208.38,0.0
2012-02-16,207.0,207.0,204.01,207.0,2000.0
2012-02-17,,,,209.8,0.0
2012-02-20,210.0,212.95,209.7,212.95,2500.0
2012-02-21,208.5,211.98,208.5,210.9,2950.0
2012-02-22,210.5,210.74,210.04,210.74,14177.0
2012-02-23,211.75,211.99,207.05,210.0,29477.0
2012-02-24,211.0,211.5,208.0,211.5,9165.0
2012-02-27,207.0,210.0,206.26,210.0,10000.0
2012-02-28,211.5,211.5,209.5,211.5,2500.0
2012-02-29,210.5,212.0,208.75,208.75,7802.0
2012-03-01,212.0,212.5,210.25,211.0,5652.0
2012-03-02,209.25,212.85,209.25,212.85,3600.0
2012-03-05,,,,209.61,0.0
2012-03-06,209.0,210.25,204.75,207.75,19830.0
2012-03-07,,,,208.75,0.0
2012-03-08,209.0,210.0,206.5,210.0,13192.0
