Date,Open,High,Low,Close,Volume
2012-01-03,84.05,89.95,84.05,89.3,819039
2012-01-04,89.5,91.15,87.56,89.1,314534
2012-01-05,89.05,89.05,84.3,86.5,388379
2012-01-06,88.15,88.6,84.15,86.15,439835
2012-01-09,87.4,89.42,84.0,85.0,403973
2012-01-10,83.9,85.25,83.5,83.5,625606
2012-01-11,83.6,86.15,83.6,84.2,401011
2012-01-12,87.0,89.4,84.55,89.0,798333
2012-01-13,85.3,90.1,85.3,90.0,467528
2012-01-16,88.8,90.1,85.64,86.1,579027
2012-01-17,87.6,89.95,87.1,88.1,125405
2012-01-18,88.4,88.75,87.0,87.0,298422
2012-01-19,88.75,90.1,86.55,88.75,1258256
2012-01-20,90.95,90.95,89.09,89.2,404167
2012-01-23,89.5,91.0,87.28,90.25,648677
2012-01-24,90.1,90.35,85.8,90.15,1135885
2012-01-25,90.1,95.72,90.0,94.3,1186910
2012-01-26,94.4,99.01,94.35,99.0,1823274
2012-01-27,98.0,101.0,96.05,99.1,1183790
2012-01-30,98.25,100.0,95.0,97.15,2821261
2012-01-31,97.0,99.07,91.45,92.0,2474139
2012-02-01,93.5,99.45,90.65,99.35,2441857
2012-02-02,99.3,102.9,97.75,102.3,1187043
2012-02-03,101.8,108.64,100.9,107.8,1700548
2012-02-06,107.4,108.8,105.1,106.5,606210
2012-02-07,107.7,108.1,101.68,102.0,879441
2012-02-08,102.8,104.21,101.3,103.4,6254704
2012-02-09,103.9,105.3,102.34,105.2,500071
2012-02-10,105.0,107.8,104.1,107.6,855487
2012-02-13,107.9,110.9,107.9,110.1,1112545
2012-02-14,110.1,112.1,110.0,111.1,956484
2012-02-15,111.4,113.8,111.2,112.1,1200175
2012-02-16,111.1,112.8,110.5,112.0,1544526
2012-02-17,114.0,116.1,112.5,115.23,599091
2012-02-20,116.8,116.8,114.1,115.0,199961
2012-02-21,115.6,117.5,114.2,116.4,854720
2012-02-22,116.1,116.1,112.0,112.3,1297892
2012-02-23,112.5,113.3,111.64,112.3,1030330
2012-02-24,113.8,113.8,112.1,113.15,809812
2012-02-27,113.0,113.2,111.7,112.5,449271
2012-02-28,112.1,113.19,111.4,112.4,861038
2012-02-29,113.0,113.0,109.7,110.7,941915
