Date,Open,High,Low,Close,Volume
2012-01-03,867.5,873.0,856.93,873.0,42113
2012-01-04,872.0,872.0,850.0,852.0,63977
2012-01-05,855.5,865.0,851.0,865.0,57778
2012-01-06,859.5,881.5,848.61,881.5,76700
2012-01-09,881.87,885.0,876.0,876.0,54191
2012-01-10,887.5,894.39,886.0,886.0,71863
2012-01-11,892.5,894.5,881.75,894.5,47824
2012-01-12,889.5,901.99,888.26,892.5,118737
2012-01-13,900.56,900.56,883.5,891.0,48725
2012-01-16,889.0,901.0,889.0,901.0,36519
2012-01-17,904.5,909.8,899.0,904.0,98695
2012-01-18,896.0,904.5,892.0,898.0,49742
2012-01-19,905.5,914.5,898.0,914.0,166486
2012-01-20,914.5,914.99,906.26,913.0,75344
2012-01-23,915.0,927.0,899.46,924.0,92230
2012-01-24,913.43,924.2,913.43,922.5,78694
2012-01-25,925.0,927.0,907.0,907.0,92143
2012-01-26,915.0,924.49,908.5,908.5,116507
2012-01-27,905.0,910.49,899.01,902.0,127074
2012-01-30,905.0,905.0,891.0,892.0,49326
2012-01-31,905.0,908.0,893.0,894.5,204116
2012-02-01,902.0,911.5,897.5,907.0,88122
2012-02-02,914.0,914.0,904.1,908.5,71922
2012-02-03,908.0,922.5,903.0,920.0,72209
2012-02-06,913.0,919.49,912.74,919.0,95049
2012-02-07,920.0,920.0,902.0,905.5,213569
2012-02-08,904.0,920.0,902.5,906.0,50033
2012-02-09,918.0,918.0,906.0,909.5,50939
2012-02-10,910.5,918.99,904.0,909.5,52754
2012-02-13,912.0,919.0,908.5,916.0,65672
2012-02-14,918.5,922.35,908.46,920.0,9040
2012-02-15,923.5,929.0,919.0,929.0,15287
2012-02-16,914.0,925.23,910.51,918.0,23535
2012-02-17,929.5,929.5,915.5,924.0,4729
2012-02-20,931.0,935.0,920.51,930.5,41148
2012-02-21,935.0,935.0,926.0,929.0,42806
2012-02-22,928.0,934.0,925.0,934.0,31795
2012-02-23,932.0,933.5,924.01,933.5,67807
2012-02-24,936.0,936.8,923.01,933.0,42976
2012-02-27,921.5,940.5,920.51,940.5,46745
