Date,Open,High,Low,Close,Volume
2012-01-03,420.0,421.0,414.26,420.0,19647
2012-01-04,420.0,421.14,416.25,416.25,20592
2012-01-05,424.0,424.0,412.11,416.89,12553
2012-01-06,414.0,418.11,413.25,416.0,27337
2012-01-09,416.0,420.24,412.22,413.0,51440
2012-01-10,415.0,420.75,413.44,418.25,40017
2012-01-11,417.0,419.89,413.25,415.0,19964
2012-01-12,418.0,422.14,415.0,420.0,53686
2012-01-13,416.0,419.24,413.0,416.0,27360
2012-01-16,414.0,425.0,413.11,417.3,30268
2012-01-17,421.25,429.64,418.5,418.5,33907
2012-01-18,421.0,425.89,416.25,421.25,27116
2012-01-19,423.0,425.26,418.7,425.0,45896
2012-01-20,422.0,424.89,418.0,422.0,54731
2012-01-23,422.0,427.5,420.0,427.0,33795
2012-01-24,426.0,426.0,421.96,422.25,64443
2012-01-25,422.25,426.0,417.11,418.0,35604
2012-01-26,421.0,428.14,421.0,423.25,58552
2012-01-27,421.25,424.49,419.0,419.0,23464
2012-01-30,415.72,418.89,413.03,416.0,23512
2012-01-31,419.25,422.14,416.0,416.0,59348
2012-02-01,421.0,424.0,421.0,424.0,19802
2012-02-02,425.0,429.74,422.0,425.0,42430
2012-02-03,424.71,434.0,422.0,434.0,35470
2012-02-06,431.0,434.85,429.25,433.0,42310
2012-02-07,435.0,439.6,433.25,434.0,40636
2012-02-08,430.25,430.25,422.37,427.0,40023
2012-02-09,429.0,430.64,427.0,427.0,60557
2012-02-10,426.0,429.64,425.0,425.5,8798
2012-02-13,430.0,432.25,428.0,428.5,6464
2012-02-14,429.0,432.5,428.25,431.25,35799
2012-02-15,430.5,433.89,427.57,428.25,30199
2012-02-16,429.25,431.5,425.97,430.5,9850
2012-02-17,429.25,432.64,428.0,431.0,10292
2012-02-20,434.0,438.0,433.25,433.25,4109
2012-02-21,432.75,437.14,429.61,433.0,23095
2012-02-22,435.5,439.25,432.77,439.25,6740
2012-02-23,437.0,439.25,434.0,434.75,5053
2012-02-24,435.0,438.24,430.0,434.0,11463
2012-02-27,430.0,436.0,430.0,433.5,11676
2012-02-28,435.0,437.14,430.11,435.14,14464
2012-02-29,433.0,438.75,428.0,428.0,13360
2012-03-01,434.5,440.75,432.25,433.0,43732
2012-03-02,435.0,443.5,435.0,442.0,50787
